dataset,kir,seed,method,selected_balls,predictor,outcome,spearman_rho
clinc150,0.5,42,mogb_minilm,129,train_support,known_false_reject,0.5049051084727366
clinc150,0.5,42,mogb_minilm,129,structural_radius,oos_assignment,0.685251330116407
clinc150,0.5,42,mogb_minilm,129,structural_radius,oos_false_accept,0.2698414493610207
clinc150,0.5,42,mogb_minilm,129,structural_radius,known_false_reject,0.4752319386469846
clinc150,0.5,42,mogb_minilm,129,tree_depth,oos_assignment,-0.34840036804507263
clinc150,0.5,42,mogb_minilm,129,tree_depth,oos_false_accept,-0.2742266264995669
clinc150,0.5,42,mogb_minilm,129,tree_depth,known_false_reject,-0.21776876192996947
clinc150,0.5,42,mogb_partition_ours_boundary,129,train_support,oos_assignment,0.34587075722011734
clinc150,0.5,42,mogb_partition_ours_boundary,129,train_support,oos_false_accept,0.19202362233204542
clinc150,0.5,42,mogb_partition_ours_boundary,129,train_support,known_false_reject,0.4414349354148582
clinc150,0.5,42,mogb_partition_ours_boundary,129,structural_radius,oos_assignment,0.7407129729716198
clinc150,0.5,42,mogb_partition_ours_boundary,129,structural_radius,oos_false_accept,0.3360564918899782
clinc150,0.5,42,mogb_partition_ours_boundary,129,structural_radius,known_false_reject,0.6586521999872345
clinc150,0.5,42,mogb_partition_ours_boundary,129,tree_depth,oos_assignment,-0.38913471316832854
clinc150,0.5,42,mogb_partition_ours_boundary,129,tree_depth,oos_false_accept,-0.27307351570945776
clinc150,0.5,42,mogb_partition_ours_boundary,129,tree_depth,known_false_reject,-0.3485714802436196
clinc150,0.5,87,mogb_minilm,138,train_support,oos_assignment,0.37539324248307865
clinc150,0.5,87,mogb_minilm,138,train_support,oos_false_accept,0.1156103532170164
clinc150,0.5,87,mogb_minilm,138,train_support,known_false_reject,0.48611073390967663
clinc150,0.5,87,mogb_minilm,138,structural_radius,oos_assignment,0.6307679975468441
clinc150,0.5,87,mogb_minilm,138,structural_radius,oos_false_accept,0.18091443166776927
clinc150,0.5,87,mogb_minilm,138,structural_radius,known_false_reject,0.4878417481822669
clinc150,0.5,87,mogb_minilm,138,tree_depth,oos_assignment,-0.45318627288883856
clinc150,0.5,87,mogb_minilm,138,tree_depth,oos_false_accept,-0.0923699100863272
clinc150,0.5,87,mogb_minilm,138,tree_depth,known_false_reject,-0.18334494809290855
clinc150,0.5,87,mogb_partition_ours_boundary,138,train_support,oos_assignment,0.479672155720135
clinc150,0.5,87,mogb_partition_ours_boundary,138,train_support,oos_false_accept,0.25781016516393324
clinc150,0.5,87,mogb_partition_ours_boundary,138,train_support,known_false_reject,0.5763074140757916
clinc150,0.5,87,mogb_partition_ours_boundary,138,structural_radius,oos_assignment,0.6343675534258358
clinc150,0.5,87,mogb_partition_ours_boundary,138,structural_radius,oos_false_accept,0.31645699254113807
clinc150,0.5,87,mogb_partition_ours_boundary,138,structural_radius,known_false_reject,0.6633552705744288
clinc150,0.5,87,mogb_partition_ours_boundary,138,tree_depth,oos_assignment,-0.4404987181378865
clinc150,0.5,87,mogb_partition_ours_boundary,138,tree_depth,oos_false_accept,-0.2744278705807751
clinc150,0.5,87,mogb_partition_ours_boundary,138,tree_depth,known_false_reject,-0.35274194055819774
clinc150,0.5,100,mogb_minilm,150,train_support,oos_assignment,0.3971338808259931
clinc150,0.5,100,mogb_minilm,150,train_support,oos_false_accept,0.2501290106802906
clinc150,0.5,100,mogb_minilm,150,train_support,known_false_reject,0.588292281332646
clinc150,0.5,100,mogb_minilm,150,structural_radius,oos_assignment,0.6132916551735504
clinc150,0.5,100,mogb_minilm,150,structural_radius,oos_false_accept,0.21902855355746112
clinc150,0.5,100,mogb_minilm,150,structural_radius,known_false_reject,0.3937317443293452
clinc150,0.5,100,mogb_minilm,150,tree_depth,oos_assignment,-0.34409039525265744
clinc150,0.5,100,mogb_minilm,150,tree_depth,oos_false_accept,-0.21082526805009502
clinc150,0.5,100,mogb_minilm,150,tree_depth,known_false_reject,-0.2946352720815668
clinc150,0.5,100,mogb_partition_ours_boundary,150,train_support,oos_assignment,0.37941971130463015
clinc150,0.5,100,mogb_partition_ours_boundary,150,train_support,oos_false_accept,0.32491311651920285
clinc150,0.5,100,mogb_partition_ours_boundary,150,train_support,known_false_reject,0.6064193490128698
clinc150,0.5,100,mogb_partition_ours_boundary,150,structural_radius,oos_assignment,0.5968097524864954
clinc150,0.5,100,mogb_partition_ours_boundary,150,structural_radius,oos_false_accept,0.33376691180288043
clinc150,0.5,100,mogb_partition_ours_boundary,150,structural_radius,known_false_reject,0.5521888299402178
clinc150,0.5,100,mogb_partition_ours_boundary,150,tree_depth,oos_assignment,-0.2696500475526068
clinc150,0.5,100,mogb_partition_ours_boundary,150,tree_depth,oos_false_accept,-0.23917362602170328
clinc150,0.5,100,mogb_partition_ours_boundary,150,tree_depth,known_false_reject,-0.42665008935295073
clinc150,0.5,123,mogb_minilm,133,train_support,oos_assignment,0.4188423265240959
clinc150,0.5,123,mogb_minilm,133,train_support,oos_false_accept,0.12924180478065347
clinc150,0.5,123,mogb_minilm,133,train_support,known_false_reject,0.544023985896421
clinc150,0.5,123,mogb_minilm,133,structural_radius,oos_assignment,0.6727901768600885
clinc150,0.5,123,mogb_minilm,133,structural_radius,oos_false_accept,0.26927960517481875
clinc150,0.5,123,mogb_minilm,133,structural_radius,known_false_reject,0.429224768260702
clinc150,0.5,123,mogb_minilm,133,tree_depth,oos_assignment,-0.41071286794097833
clinc150,0.5,123,mogb_minilm,133,tree_depth,oos_false_accept,-0.039611366165523965
clinc150,0.5,123,mogb_minilm,133,tree_depth,known_false_reject,-0.219383443652287
clinc150,0.5,123,mogb_partition_ours_boundary,133,train_support,oos_assignment,0.34759335070321556
clinc150,0.5,123,mogb_partition_ours_boundary,133,train_support,oos_false_accept,0.18309037619790078
clinc150,0.5,123,mogb_partition_ours_boundary,133,train_support,known_false_reject,0.5676987460321268
clinc150,0.5,123,mogb_partition_ours_boundary,133,structural_radius,oos_assignment,0.6153149219353855
clinc150,0.5,123,mogb_partition_ours_boundary,133,structural_radius,oos_false_accept,0.362379213715378
clinc150,0.5,123,mogb_partition_ours_boundary,133,structural_radius,known_false_reject,0.6007299408473432
clinc150,0.5,123,mogb_partition_ours_boundary,133,tree_depth,oos_assignment,-0.3081280510183538
clinc150,0.5,123,mogb_partition_ours_boundary,133,tree_depth,oos_false_accept,-0.0827364220493263
clinc150,0.5,123,mogb_partition_ours_boundary,133,tree_depth,known_false_reject,-0.3824157494724934
clinc150,0.75,13,mogb_minilm,214,train_support,oos_assignment,0.20843141233094686
clinc150,0.75,13,mogb_minilm,214,train_support,oos_false_accept,0.10909694652634323
clinc150,0.75,13,mogb_minilm,214,train_support,known_false_reject,0.5150997671628104
clinc150,0.75,13,mogb_minilm,214,structural_radius,oos_assignment,0.6145053237021821
clinc150,0.75,13,mogb_minilm,214,structural_radius,oos_false_accept,0.13455604349858402
clinc150,0.75,13,mogb_minilm,214,structural_radius,known_false_reject,0.45067632536525093
clinc150,0.75,13,mogb_minilm,214,tree_depth,oos_assignment,-0.27706983441876787
clinc150,0.75,13,mogb_minilm,214,tree_depth,oos_false_accept,-0.09709165305372305
clinc150,0.75,13,mogb_minilm,214,tree_depth,known_false_reject,-0.3086660015236192
clinc150,0.75,13,mogb_partition_ours_boundary,214,train_support,oos_assignment,0.31317003573284363
clinc150,0.75,13,mogb_partition_ours_boundary,214,train_support,oos_false_accept,0.17252012793829696
clinc150,0.75,13,mogb_partition_ours_boundary,214,train_support,known_false_reject,0.4746121366062513
clinc150,0.75,13,mogb_partition_ours_boundary,214,structural_radius,oos_assignment,0.6122020906579371
clinc150,0.75,13,mogb_partition_ours_boundary,214,structural_radius,oos_false_accept,0.13492445875186254
clinc150,0.75,13,mogb_partition_ours_boundary,214,structural_radius,known_false_reject,0.6183457899681163
clinc150,0.75,13,mogb_partition_ours_boundary,214,tree_depth,oos_assignment,-0.4051057390708906
clinc150,0.75,13,mogb_partition_ours_boundary,214,tree_depth,oos_false_accept,-0.1549129503794396
clinc150,0.75,13,mogb_partition_ours_boundary,214,tree_depth,known_false_reject,-0.401218245514904
clinc150,0.75,42,mogb_minilm,201,train_support,oos_assignment,0.3470213315729527
clinc150,0.75,42,mogb_minilm,201,train_support,oos_false_accept,0.13760010150468233
clinc150,0.75,42,mogb_minilm,201,train_support,known_false_reject,0.4864771120107147
clinc150,0.75,42,mogb_minilm,201,structural_radius,oos_assignment,0.6209821202820872
clinc150,0.75,42,mogb_minilm,201,structural_radius,oos_false_accept,0.11842875643943344
clinc150,0.75,42,mogb_minilm,201,structural_radius,known_false_reject,0.46913575214743974
clinc150,0.75,42,mogb_minilm,201,tree_depth,oos_assignment,-0.33808148325059356
clinc150,0.75,42,mogb_minilm,201,tree_depth,oos_false_accept,-0.09077699678374289
clinc150,0.75,42,mogb_minilm,201,tree_depth,known_false_reject,-0.16831587607264492
clinc150,0.75,42,mogb_partition_ours_boundary,201,train_support,oos_assignment,0.2939809635004143
clinc150,0.75,42,mogb_partition_ours_boundary,201,train_support,oos_false_accept,0.15870198413544148
clinc150,0.75,42,mogb_partition_ours_boundary,201,train_support,known_false_reject,0.4655208987799882
clinc150,0.75,42,mogb_partition_ours_boundary,201,structural_radius,oos_assignment,0.6608206677690128
clinc150,0.75,42,mogb_partition_ours_boundary,201,structural_radius,oos_false_accept,0.2186722323871718
clinc150,0.75,42,mogb_partition_ours_boundary,201,structural_radius,known_false_reject,0.6428452620335106
clinc150,0.75,42,mogb_partition_ours_boundary,201,tree_depth,oos_assignment,-0.2666006443110059
clinc150,0.75,42,mogb_partition_ours_boundary,201,tree_depth,oos_false_accept,-0.10683714061971539
clinc150,0.75,42,mogb_partition_ours_boundary,201,tree_depth,known_false_reject,-0.2644632279473009
clinc150,0.75,87,mogb_minilm,209,train_support,oos_assignment,0.2863296324539944
clinc150,0.75,87,mogb_minilm,209,train_support,oos_false_accept,0.09499997019814443
clinc150,0.75,87,mogb_minilm,209,train_support,known_false_reject,0.5192402154643547
clinc150,0.75,87,mogb_minilm,209,structural_radius,oos_assignment,0.6447281563054356
clinc150,0.75,87,mogb_minilm,209,structural_radius,oos_false_accept,0.1674915835242962
clinc150,0.75,87,mogb_minilm,209,structural_radius,known_false_reject,0.49283748177644937
clinc150,0.75,87,mogb_minilm,209,tree_depth,oos_assignment,-0.27326159990203447
clinc150,0.75,87,mogb_minilm,209,tree_depth,oos_false_accept,0.05091307127759274
clinc150,0.75,87,mogb_minilm,209,tree_depth,known_false_reject,-0.25723563886939343
clinc150,0.75,87,mogb_partition_ours_boundary,209,train_support,oos_assignment,0.30776824805541775
clinc150,0.75,87,mogb_partition_ours_boundary,209,train_support,oos_false_accept,0.20279868474500506
clinc150,0.75,87,mogb_partition_ours_boundary,209,train_support,known_false_reject,0.4862985947513042
clinc150,0.75,87,mogb_partition_ours_boundary,209,structural_radius,oos_assignment,0.5747537150073683
clinc150,0.75,87,mogb_partition_ours_boundary,209,structural_radius,oos_false_accept,0.2522004427919805
clinc150,0.75,87,mogb_partition_ours_boundary,209,structural_radius,known_false_reject,0.650708424023461
clinc150,0.75,87,mogb_partition_ours_boundary,209,tree_depth,oos_assignment,-0.22053479114730035
clinc150,0.75,87,mogb_partition_ours_boundary,209,tree_depth,oos_false_accept,-0.0432217828185347
clinc150,0.75,87,mogb_partition_ours_boundary,209,tree_depth,known_false_reject,-0.348394498724953
clinc150,0.75,100,mogb_minilm,207,train_support,oos_assignment,0.2698597151244211
clinc150,0.75,100,mogb_minilm,207,train_support,oos_false_accept,0.11390452322077971
clinc150,0.75,100,mogb_minilm,207,train_support,known_false_reject,0.44700524455145907
clinc150,0.75,100,mogb_minilm,207,structural_radius,oos_assignment,0.5202679787821769
clinc150,0.75,100,mogb_minilm,207,structural_radius,oos_false_accept,0.12863642398467817
clinc150,0.75,100,mogb_minilm,207,structural_radius,known_false_reject,0.3332156440628171
clinc150,0.75,100,mogb_minilm,207,tree_depth,oos_assignment,-0.18452933641223687
clinc150,0.75,100,mogb_minilm,207,tree_depth,oos_false_accept,0.07821823014890307
clinc150,0.75,100,mogb_minilm,207,tree_depth,known_false_reject,-0.24779801379852695
clinc150,0.75,100,mogb_partition_ours_boundary,207,train_support,oos_assignment,0.30549853070944255
clinc150,0.75,100,mogb_partition_ours_boundary,207,train_support,oos_false_accept,0.1676485097624076
clinc150,0.75,100,mogb_partition_ours_boundary,207,train_support,known_false_reject,0.484115054671876
clinc150,0.75,100,mogb_partition_ours_boundary,207,structural_radius,oos_assignment,0.5229522571677211
clinc150,0.75,100,mogb_partition_ours_boundary,207,structural_radius,oos_false_accept,0.15380509407715695
clinc150,0.75,100,mogb_partition_ours_boundary,207,structural_radius,known_false_reject,0.5508654981603311
clinc150,0.75,100,mogb_partition_ours_boundary,207,tree_depth,oos_assignment,-0.2071465580736719
