dataset,kir,seed,method,method_label,selected_balls,selected_intents,minimum_ball_size,median_ball_size,maximum_ball_size,mean_structural_radius,median_structural_radius,tiny_support_lt20_ratio,zero_test_assignment_ratio,oos_assignment_gini,false_accept_gini,known_false_reject_gini,top1_false_accept_share,top10pct_false_accept_share,top10pct_known_false_reject_share,top10pct_oos_assignment_share,total_oos_assignments,total_oos_false_accepts,total_known_false_rejects,oos_f1,f1_all,f1_k,known_recall,false_accept_rate,false_reject_rate,accuracy,auroc,aupr_oos,trainable_oos_f1,trainable_f1_all,trainable_known_recall,trainable_false_accept_rate,trainable_false_reject_rate,trainable_minus_mogb_oos_f1,trainable_minus_mogb_f1_all,trainable_minus_mogb_known_recall,trainable_minus_mogb_false_accept_rate,trainable_minus_mogb_false_reject_rate
banking77,0.5,87,mogb_minilm,MOGB-Fair,87,38,10,19.0,118,0.4710502936394793,0.4659292285528152,0.5057471264367817,0.0,0.6088269967580311,0.9523809523809523,0.35079801612486183,0.2857142857142857,1.0,0.24028629856850717,0.4519230769230769,1560,7,978,0.7592275727206063,0.511439502557496,0.5049187638689931,0.3565789473684211,0.004487179487179487,0.6434210526315789,0.6795454545454546,0.8420888157894736,0.7785285142001181,0.8554480174836091,0.8324583407388371,0.8203947368421053,0.1217948717948717,0.1796052631578947,0.09622044476300284,0.321018838181341,0.4638157894736842,0.11730769230769221,-0.4638157894736842
banking77,0.5,87,mogb_partition_ours_boundary,MOGB partition + S2C boundary,87,38,10,19.0,118,0.4710502936394793,0.4659292285528152,0.5057471264367817,0.034482758620689655,0.8526967285587974,0.9139484311898105,0.6679327003165083,0.1891891891891892,0.9459459459459459,0.4797101449275362,0.7589743589743589,1560,37,690,0.807315133845746,0.6704466276399693,0.6668448248450803,0.5460526315789473,0.023717948717948717,0.45394736842105265,0.7613636363636364,0.8597313596491227,0.8123224158427194,0.8554480174836091,0.8324583407388371,0.8203947368421053,0.1217948717948717,0.1796052631578947,0.048132883637863055,0.16201171309886775,0.27434210526315794,0.09807692307692298,-0.27434210526315794
banking77,0.5,100,mogb_minilm,MOGB-Fair,105,38,10,18.0,127,0.4677376749968422,0.4688641162419689,0.580952380952381,0.0,0.6273015873015872,0.9747412008281573,0.36249538575119966,0.6086956521739131,1.0,0.27228682170542634,0.433974358974359,1560,23,1032,0.7444901913296198,0.4681933295043734,0.4609223594563406,0.32105263157894737,0.014743589743589743,0.6789473684210526,0.6561688311688312,0.8173414304993253,0.773111002756248,0.8259473346178549,0.8064088330915219,0.8236842105263158,0.1756410256410256,0.1763157894736842,0.08145714328823506,0.33821550358714847,0.5026315789473684,0.16089743589743585,-0.5026315789473684
banking77,0.5,100,mogb_partition_ours_boundary,MOGB partition + S2C boundary,105,38,10,18.0,127,0.4677376749968422,0.4688641162419689,0.580952380952381,0.009523809523809525,0.8534920634920635,0.9738095238095239,0.6256546826453617,0.625,1.0,0.45272969374167776,0.7589743589743589,1560,56,751,0.7884665792922674,0.6352506311074062,0.6312186324709624,0.5059210526315789,0.035897435897435895,0.49407894736842106,0.7353896103896104,0.8451142881241566,0.8080232594803448,0.8259473346178549,0.8064088330915219,0.8236842105263158,0.1756410256410256,0.1763157894736842,0.03748075532558748,0.1711582019841157,0.31776315789473686,0.1397435897435897,-0.31776315789473686
banking77,0.5,123,mogb_minilm,MOGB-Fair,87,38,10,19.0,93,0.48081478100995606,0.4713737972113994,0.5402298850574713,0.0,0.5807987032124962,0.9478337754199821,0.3536062925767258,0.3076923076923077,1.0,0.23116089613034624,0.3576923076923077,1560,26,982,0.7526987242394504,0.5095860938475171,0.5031883930477293,0.3539473684210527,0.016666666666666666,0.6460526315789473,0.672077922077922,0.8407211538461538,0.8025917980265235,0.809165302782324,0.8080381054482829,0.8296052631578947,0.2076923076923077,0.1703947368421052,0.056466578542873624,0.29845201160076584,0.47565789473684206,0.19102564102564104,-0.4756578947368421
banking77,0.5,123,mogb_partition_ours_boundary,MOGB partition + S2C boundary,87,38,10,19.0,93,0.48081478100995606,0.4713737972113994,0.5402298850574713,0.022988505747126436,0.8458443854995579,0.9342528735632183,0.630161314192689,0.24,0.9733333333333334,0.43776824034334766,0.7326923076923076,1560,75,699,0.7932692307692307,0.6661867764875642,0.6628425013748888,0.5401315789473684,0.04807692307692308,0.4598684210526316,0.7474025974025974,0.8543146929824561,0.8237952075554726,0.809165302782324,0.8080381054482829,0.8296052631578947,0.2076923076923077,0.1703947368421052,0.015896072013093288,0.14185132896071873,0.2894736842105263,0.15961538461538463,-0.2894736842105264
banking77,0.75,13,mogb_minilm,MOGB-Fair,133,57,10,16.0,117,0.4621483245784579,0.45849118970846187,0.6240601503759399,0.0,0.6840324495449148,0.9759398496240601,0.3923955633112173,0.5,1.0,0.2676056338028169,0.4723684210526316,760,10,1633,0.4772510340439071,0.433316973658012,0.4325594898582552,0.29612068965517246,0.013157894736842105,0.7038793103448275,0.4646103896103896,0.7663946234119781,0.4243313847832702,0.6601269474899019,0.8297927993746245,0.8271551724137931,0.2473684210526315,0.1728448275862069,0.18287591344599474,0.3964758257166125,0.5310344827586206,0.23421052631578937,-0.5310344827586206
banking77,0.75,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,133,57,10,16.0,117,0.4621483245784579,0.45849118970846187,0.6240601503759399,0.07518796992481203,0.885199841709537,0.9662728249194414,0.6874798331862044,0.2571428571428571,1.0,0.5465587044534413,0.8460526315789474,760,35,1235,0.5330882352941176,0.5925310479835579,0.5935559240644104,0.4676724137931034,0.046052631578947366,0.5323275862068966,0.5837662337662337,0.7908053539019964,0.4739618569298445,0.6601269474899019,0.8297927993746245,0.8271551724137931,0.2473684210526315,0.1728448275862069,0.12703871219578422,0.23726175139106653,0.3594827586206897,0.20131578947368411,-0.3594827586206897
banking77,0.75,42,mogb_minilm,MOGB-Fair,129,55,10,19.0,96,0.449548629816406,0.4451414335314103,0.5503875968992248,0.0,0.657547939616483,0.9844961240310077,0.31304476836912576,0.6666666666666666,1.0,0.21351674641148324,0.41842105263157897,760,6,1672,0.47332077840552417,0.40867184951580965,0.4075572128108146,0.2793103448275862,0.007894736842105263,0.7206896551724138,0.4525974025974026,0.7971069646098005,0.46492218526688206,0.7272727272727273,0.8465133935600306,0.8297413793103449,0.131578947368421,0.1702586206896551,0.2539519488672031,0.437841544044221,0.5504310344827587,0.12368421052631573,-0.5504310344827587
banking77,0.75,42,mogb_partition_ours_boundary,MOGB partition + S2C boundary,129,55,10,19.0,96,0.449548629816406,0.4451414335314103,0.5503875968992248,0.015503875968992248,0.8558955528355774,0.9702162382700938,0.6511627906976745,0.42105263157894735,1.0,0.47126436781609193,0.7105263157894737,760,19,1305,0.5281539558089807,0.5627444167962178,0.5633408040546184,0.4375,0.025,0.5625,0.5659090909090909,0.8111757032667877,0.49734355484913595,0.7272727272727273,0.8465133935600306,0.8297413793103449,0.131578947368421,0.1702586206896551,0.19911877146374657,0.28376897676381285,0.39224137931034486,0.106578947368421,-0.39224137931034486
