dataset,kir,seed,method,method_label,ball_id,depth,majority_label,parent_id,purity,radius,sample_count,selected,split_reason,stop_reason,test_known_false_reject_count,test_oos_assignment_count,test_oos_false_accept_count,test_assignment_count,test_known_assignment_count,test_oos_assignment_count_calc,test_known_correct_count,test_known_wrong_known_count,test_known_false_reject_count_calc,test_oos_false_accept_count_calc,scoring_radius,score_median,zero_test_assignment,tiny_support_lt_20,oos_assignment_per_train,known_assignment_per_train,oos_accept_rate_within_assignment,known_reject_rate_within_assignment,false_accept_share_cell,known_false_reject_share_cell,oos_assignment_share_cell,support_quartile,risk_type,risk_rank_within_cell
clinc150,0.25,100,mogb_partition_ours_boundary,MOGB partition + S2C boundary,222,3,calendar,44,1.0,0.6678377663189444,71,True,,purity_reached,14,70,4,99,29,70,15,0,14,4,22.310893955882108,1.119208647191862,False,False,0.9859154929577465,0.4084507042253521,0.05714285714285714,0.4827586206896552,0.07017543859649122,0.03125,0.015350877192982455,Q3,oos_false_accept,4.0
clinc150,0.25,100,mogb_partition_ours_boundary,MOGB partition + S2C boundary,307,3,shopping_list_update,157,1.0,0.7416569848632918,73,True,,purity_reached,14,247,32,279,32,247,18,0,14,32,21.53227874506921,1.201633152211644,False,False,3.3835616438356166,0.4383561643835616,0.12955465587044535,0.4375,0.5614035087719298,0.03125,0.05416666666666667,Q3,oos_false_accept,1.0
clinc150,0.25,123,mogb_minilm,MOGB-Fair,39,2,accept_reservations,1,1.0,0.7218314440645722,83,True,,purity_reached,12,149,3,179,30,149,18,0,12,3,0.7218314440645722,1.228171220750686,False,False,1.7951807228915662,0.3614457831325301,0.020134228187919462,0.4,0.08823529411764706,0.0169971671388102,0.032675438596491226,Q4-large,oos_false_accept,3.0
clinc150,0.25,123,mogb_minilm,MOGB-Fair,64,2,change_user_name,7,1.0,0.7448073522645775,76,True,,purity_reached,21,364,12,393,29,364,8,0,21,12,0.7448073522645775,1.3460491322204364,False,False,4.7894736842105265,0.3815789473684211,0.03296703296703297,0.7241379310344828,0.35294117647058826,0.029745042492917848,0.07982456140350877,Q3,oos_false_accept,1.0
clinc150,0.25,123,mogb_minilm,MOGB-Fair,122,2,calendar_update,22,1.0,0.6761617376996408,12,True,,purity_reached,7,102,2,112,10,102,3,0,7,2,0.6761617376996408,1.3564073537972328,False,True,8.5,0.8333333333333334,0.0196078431372549,0.7,0.058823529411764705,0.009915014164305949,0.02236842105263158,Q1-small,oos_false_accept,4.0
clinc150,0.25,123,mogb_minilm,MOGB-Fair,171,2,translate,33,1.0,0.7412063844600939,70,True,,purity_reached,27,112,2,142,30,112,3,0,27,2,0.7412063844600939,1.346909947676723,False,False,1.6,0.42857142857142855,0.017857142857142856,0.9,0.058823529411764705,0.03824362606232295,0.02456140350877193,Q3,oos_false_accept,5.0
clinc150,0.25,123,mogb_minilm,MOGB-Fair,275,3,todo_list_update,164,1.0,0.7065576132080438,71,True,,purity_reached,12,152,8,174,22,152,10,0,12,8,0.7065576132080438,1.4144945663326403,False,False,2.140845070422535,0.30985915492957744,0.05263157894736842,0.5454545454545454,0.23529411764705882,0.0169971671388102,0.03333333333333333,Q3,oos_false_accept,2.0
clinc150,0.25,123,mogb_partition_ours_boundary,MOGB partition + S2C boundary,39,2,accept_reservations,1,1.0,0.7218314440645722,83,True,,purity_reached,6,101,11,131,30,101,24,0,6,11,21.28732752535817,1.0764969358924086,False,False,1.216867469879518,0.3614457831325301,0.10891089108910891,0.2,0.08461538461538462,0.014388489208633094,0.022149122807017543,Q4-large,oos_false_accept,4.0
clinc150,0.25,123,mogb_partition_ours_boundary,MOGB partition + S2C boundary,64,2,change_user_name,7,1.0,0.7448073522645775,76,True,,purity_reached,14,205,27,238,33,205,19,0,14,27,21.08435633880335,1.1469229119217126,False,False,2.6973684210526314,0.4342105263157895,0.13170731707317074,0.42424242424242425,0.2076923076923077,0.03357314148681055,0.044956140350877194,Q3,oos_false_accept,1.0
clinc150,0.25,123,mogb_partition_ours_boundary,MOGB partition + S2C boundary,171,2,translate,33,1.0,0.7412063844600939,70,True,,purity_reached,14,58,11,85,27,58,13,0,14,11,22.396077668863438,1.092196461087109,False,False,0.8285714285714286,0.38571428571428573,0.1896551724137931,0.5185185185185185,0.08461538461538462,0.03357314148681055,0.012719298245614035,Q3,oos_false_accept,5.0
