dataset,kir,seed,method,method_label,ball_id,depth,majority_label,parent_id,purity,radius,sample_count,selected,split_reason,stop_reason,test_known_false_reject_count,test_oos_assignment_count,test_oos_false_accept_count,test_assignment_count,test_known_assignment_count,test_oos_assignment_count_calc,test_known_correct_count,test_known_wrong_known_count,test_known_false_reject_count_calc,test_oos_false_accept_count_calc,scoring_radius,score_median,zero_test_assignment,tiny_support_lt_20,oos_assignment_per_train,known_assignment_per_train,oos_accept_rate_within_assignment,known_reject_rate_within_assignment,false_accept_share_cell,known_false_reject_share_cell,oos_assignment_share_cell,support_quartile
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,108,2,pto_used,21,1.0,0.6251283955411353,80,True,,purity_reached,3,28,20,51,23,28,20,0,3,20,22.848834423648142,0.8765634369775072,False,False,0.35,0.2875,0.7142857142857143,0.13043478260869565,0.16666666666666666,0.007407407407407408,0.0061403508771929825,Q3
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,113,2,pto_request_status,21,1.0,0.45513104144861954,22,True,,purity_reached,0,0,0,7,7,0,7,0,0,0,24.606176855981094,0.7115406266332561,False,False,0.0,0.3181818181818182,0.0,0.0,0.0,0.0,0.0,Q2
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,120,2,restaurant_reservation,23,1.0,0.7172895353028064,89,True,,purity_reached,11,153,7,183,30,153,19,0,11,7,21.25461909464397,1.1319775565781975,False,False,1.7191011235955056,0.33707865168539325,0.0457516339869281,0.36666666666666664,0.058333333333333334,0.027160493827160494,0.03355263157894737,Q4-large
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,125,2,rewards_balance,24,1.0,0.6505811644789947,92,True,,purity_reached,6,39,8,69,30,39,24,0,6,8,21.72099577507205,1.0359723498874247,False,False,0.42391304347826086,0.32608695652173914,0.20512820512820512,0.2,0.06666666666666667,0.014814814814814815,0.008552631578947369,Q4-large
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,127,2,pto_used,24,1.0,0.41170087489677476,12,True,,purity_reached,2,0,0,7,7,0,5,0,2,0,22.905935928799725,0.949256640452338,False,True,0.0,0.5833333333333334,0.0,0.2857142857142857,0.0,0.0049382716049382715,0.0,Q1-small
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,134,2,spelling,26,1.0,0.8222062497904326,76,True,,purity_reached,86,2807,1,2910,103,2807,17,0,86,1,20.70213223064255,1.284400564448156,False,False,36.93421052631579,1.355263157894737,0.0003562522265764161,0.8349514563106796,0.008333333333333333,0.2123456790123457,0.6155701754385965,Q3
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,143,2,timezone,28,1.0,0.6970496156172129,100,True,,purity_reached,11,38,5,68,30,38,19,0,11,5,21.098880069433186,1.0595326651078876,False,False,0.38,0.3,0.13157894736842105,0.36666666666666664,0.041666666666666664,0.027160493827160494,0.008333333333333333,Q4-large
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,155,2,uber,33,1.0,0.637511106162583,93,True,,purity_reached,10,1,1,31,30,1,20,0,10,1,21.89985710375354,0.8823243007093577,False,False,0.010752688172043012,0.3225806451612903,1.0,0.3333333333333333,0.008333333333333333,0.024691358024691357,0.0002192982456140351,Q4-large
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,163,2,vaccines,35,1.0,0.6611395747872493,100,True,,purity_reached,16,2,0,32,30,2,14,0,16,0,21.66958379647677,1.0128468794295582,False,False,0.02,0.3,0.0,0.5333333333333333,0.0,0.03950617283950617,0.0004385964912280702,Q4-large
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,165,2,travel_alert,35,1.0,0.7047579304556594,15,True,,purity_reached,11,0,0,13,13,0,2,0,11,0,20.816433004848925,1.1093573203247025,False,True,0.0,0.8666666666666667,0.0,0.8461538461538461,0.0,0.027160493827160494,0.0,Q1-small
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,167,2,what_are_your_hobbies,36,1.0,0.5785163198089193,98,True,,purity_reached,1,0,0,21,21,0,20,0,1,0,23.437197601646584,0.7090619345540902,False,False,0.0,0.21428571428571427,0.0,0.047619047619047616,0.0,0.0024691358024691358,0.0,Q4-large
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,171,2,what_song,37,1.0,0.6653153415269394,96,True,,purity_reached,5,31,1,59,28,31,23,0,5,1,22.1198006339478,1.0797922508694746,False,False,0.3229166666666667,0.2916666666666667,0.03225806451612903,0.17857142857142858,0.008333333333333333,0.012345679012345678,0.006798245614035088,Q4-large
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,174,2,whisper_mode,38,1.0,0.5258130535555751,84,True,,purity_reached,3,0,0,27,27,0,24,0,3,0,23.75784014725772,0.7084209490204518,False,False,0.0,0.32142857142857145,0.0,0.1111111111111111,0.0,0.007407407407407408,0.0,Q3
