dataset,kir,method,oos_f1_mean,oos_f1_std,f1_all_mean,f1_all_std,f1_k_mean,f1_k_std,accuracy_mean,accuracy_std,id_recall_mean,id_recall_std,false_accept_rate_mean,false_accept_rate_std,false_reject_rate_mean,false_reject_rate_std,oos_precision_mean,oos_precision_std,oos_recall_mean,oos_recall_std,auroc_mean,auroc_std,aupr_oos_mean,aupr_oos_std
clinc150,0.25,mogb_partition_ours_boundary,0.9413139384002536,0.004982739043635983,0.7016229766010627,0.03478368488471803,0.6953153197116103,0.03557771068321163,0.9017192982456141,0.008586997980566419,0.6017543859649124,0.04404784186583784,0.02236842105263154,0.006138392544858933,0.39824561403508774,0.04404784186583788,0.907658269081324,0.009082685161925909,0.9776315789473685,0.00613839254485894,0.9274617189904586,0.01722009706747917,0.9735223875851311,0.006607934032877373
clinc150,0.25,trainable_k1,0.9516427437131567,0.006493831244298967,0.7968993956538231,0.019459710746000582,0.7928272022838406,0.019801353224410623,0.9208421052631579,0.01033406306064248,0.7363157894736843,0.008358687192681824,0.03236842105263154,0.011023527540387063,0.2636842105263158,0.008358687192681846,0.9362038008306387,0.0024687613409955776,0.9676315789473685,0.011023527540387087,0.9588536088027085,0.012065791586742352,0.9876229578269167,0.004416140820934228
clinc150,0.5,mogb_minilm,0.8131951016346013,0.0029937394053626406,0.44953800389890197,0.017795263450771055,0.44468924259575926,0.017993685362080927,0.7237894736842105,0.005768969538955549,0.3157333333333333,0.013693649965685421,0.00904347826086952,0.0015255301295003965,0.6842666666666666,0.013693649965685424,0.6895178408867403,0.004262640291582441,0.9909565217391304,0.0015255301295003772,0.8764096876006441,0.007663174447065316,0.8832486853189302,0.00819012602665888
clinc150,0.5,mogb_partition_ours_boundary,0.8555543863002324,0.004191319483426528,0.645981713026754,0.02172674348257144,0.6431874107164409,0.021964580350954194,0.7985263157894738,0.007281864206502728,0.5334222222222222,0.018977309387922688,0.02498550724637676,0.0032497394592867087,0.46657777777777776,0.018977309387922654,0.7622043261278452,0.007097769501470756,0.9750144927536233,0.003249739459286685,0.9052768824476651,0.008643313353790138,0.9196825244395654,0.009688153468954235
clinc150,0.5,trainable_k1,0.9043941395821135,0.004441963320551506,0.8181661694793956,0.00920341014264694,0.8170164632113595,0.00927877765171319,0.8734035087719298,0.006461048858704844,0.7444444444444445,0.0033847880470506474,0.036927536231884016,0.007571267501376492,0.25555555555555554,0.0033847880470506413,0.8524669219579881,0.0023342350815643387,0.9630724637681161,0.007571267501376501,0.9532673752012881,0.005488248090117022,0.9649131913639692,0.0067695009838479505
clinc150,0.75,mogb_minilm,0.6593154230507091,0.004187552090302015,0.4179709109786164,0.01552778390349888,0.41581604926368704,0.015630168685979436,0.5781754385964912,0.00747582540779645,0.29196428571428573,0.012156927538988137,0.00829059829059824,0.003359528890091204,0.7080357142857142,0.012156927538988144,0.4938153613422811,0.0044169112393450905,0.9917094017094017,0.00335952889009121,0.8643049450549449,0.01180926068657238,0.7520503201772899,0.01588424170491822
clinc150,0.75,mogb_partition_ours_boundary,0.7197434059711283,0.0059448223178597435,0.5960139307329898,0.023306568462890812,0.5949092032755063,0.023461770480190384,0.6826666666666668,0.010703479872400598,0.4808928571428572,0.020381364384464945,0.018888888888888837,0.004288435454462243,0.5191071428571428,0.02038136438446494,0.568400022201879,0.008669440036893638,0.9811111111111112,0.0042884354544622276,0.8967573768823769,0.010832451294774045,0.8257099119541585,0.020657768166605712
clinc150,0.75,trainable_k1,0.828493223497581,0.005076623944875152,0.8291245798894671,0.007668826723022182,0.8291302170001089,0.007697151327186658,0.8305964912280702,0.006342050665849344,0.7511904761904762,0.008669352180731848,0.040170940170940125,0.003974588726012444,0.24880952380952376,0.008669352180731879,0.7287965627175993,0.007024423170646097,0.95982905982906,0.003974588726012461,0.9500434472934473,0.004167084976489906,0.9244287014099977,0.009783406283360909
stackoverflow,0.25,mogb_minilm,0.8944000569448456,0.005949655171098938,0.540703865522772,0.04633819785305139,0.4699646272383573,0.05456022850638987,0.8243333333333334,0.011034667593040072,0.3261333333333333,0.048486882533091163,0.00937777777777774,0.005384935548750563,0.6738666666666667,0.04848688253309118,0.8152886198276486,0.01060528554013646,0.9906222222222223,0.005384935548750601,0.8672337777777779,0.02197997091655155,0.9256037956668599,0.016348535218525497
stackoverflow,0.25,mogb_partition_ours_boundary,0.9259960799998362,0.005335538584498705,0.7345093038010513,0.039075792620303265,0.6962119485612942,0.046368889207575426,0.8820333333333334,0.008784772178162701,0.5910666666666666,0.050757812753856456,0.02031111111111104,0.012352437656162561,0.4089333333333333,0.05075781275385648,0.8780774890339653,0.012348158854060492,0.9796888888888888,0.012352437656162537,0.9164517333333333,0.0075890878244445435,0.9603337045725686,0.008414893655214238
stackoverflow,0.25,trainable_k1,0.9547969095009252,0.0121014663289031,0.8763726851882936,0.023711704285174266,0.8606878403257671,0.026060341631193713,0.9304666666666666,0.017585663352730076,0.8429333333333332,0.005899152481501032,0.038488888888888836,0.0213913562790392,0.15706666666666663,0.005899152481501042,0.948315885952273,0.00295518125084719,0.9615111111111112,0.021391356279039184,0.9529569185185185,0.01608608413019217,0.9772978254353099,0.00912857914228885
stackoverflow,0.5,mogb_minilm,0.729199427573284,0.006249432392941407,0.43298039378929865,0.03399553971951928,0.4033584904109001,0.036784448480959665,0.6305666666666667,0.012082241329966738,0.2709333333333333,0.023698804470549447,0.00793333333333328,0.0025755258362775845,0.7290666666666666,0.023698804470549423,0.5764888048642725,0.0077582012997123185,0.9920666666666668,0.0025755258362775706,0.8476909333333333,0.03540406497216227,0.7865554428431313,0.04414474605820934
stackoverflow,0.5,mogb_partition_ours_boundary,0.7924706249591658,0.014867493644347045,0.63344181949998,0.05501643416641743,0.6175389389540615,0.05908697514945714,0.7407333333333334,0.023838169672467106,0.5038666666666667,0.049077376548557386,0.01859999999999998,0.0070134790859379655,0.4961333333333333,0.04907737654855736,0.6647856058483093,0.02095397213494393,0.9814,0.0070134790859379785,0.8663389555555556,0.039892501233569765,0.8165219640522269,0.056565983071973046
stackoverflow,0.5,trainable_k1,0.8767066651336372,0.016570048659295993,0.8655077750537566,0.012976894988666438,0.8643878860457684,0.01274134362521636,0.8681333333333333,0.015964109050547654,0.8389333333333333,0.0035699361961307454,0.09339999999999998,0.03261168842949139,0.16106666666666664,0.0035699361961307446,0.8490778511752038,0.0032367887568854584,0.9066000000000001,0.03261168842949139,0.9235181333333333,0.014917396867995557,0.8935448620562013,0.028480838411641715
stackoverflow,0.75,mogb_minilm,0.4558840331344417,0.004201451885150502,0.33093232311807846,0.020763371557782045,0.3226022091169876,0.021914733652955033,0.40553333333333336,0.010516785524949042,0.21173333333333327,0.014546986451317514,0.006666666666666619,0.004784233364802465,0.7882666666666667,0.014546986451317526,0.29583585611148505,0.0035829735307631805,0.9933333333333334,0.00478423336480245,0.8032848592592593,0.04412659084290659,0.4815859856491138,0.06763131222870251
stackoverflow,0.75,mogb_partition_ours_boundary,0.5156718868278516,0.009972097867131961,0.4958398225235195,0.03643851730775787,0.49451768490323067,0.03826677785625455,0.5346666666666666,0.02104789511777578,0.3906666666666666,0.029805956816186842,0.01799999999999996,0.010488088481701538,0.6093333333333334,0.02980595681618685,0.34972522615930474,0.009788449862392695,0.982,0.010488088481701538,0.7922923259259259,0.04256059459285867,0.46413433711130103,0.07706107149387181
stackoverflow,0.75,trainable_k1,0.7630378449085173,0.02911415051443791,0.87280021593395,0.006839113989012046,0.8801177073356452,0.006123217765311279,0.8443999999999999,0.01174769480933742,0.8411555555555555,0.006726399069669037,0.08799999999999997,0.05970855140690578,0.1588444444444444,0.00672639906966907,0.6564711434616148,0.014237016173457864,0.9120000000000001,0.059708551406905785,0.9290362370370371,0.01009602523621889,0.7729399457737551,0.026186619936618524
