dataset,kir,comparator,metric,n_seeds,mean_delta,std_delta,ci95_low,ci95_high,wins,ties,losses,bootstrap_seed,bootstrap_samples
clinc150,0.75,mogb_minilm,f1_all,5,0.4111536689108507,0.01071611663329772,0.40235550866682945,0.41923931728234126,5,0,0,20260725,10000
clinc150,0.75,mogb_minilm,f1_k,5,0.41331416773642193,0.010810834758934216,0.40443403314278525,0.4214800609878737,5,0,0,20260725,10000
clinc150,0.75,mogb_minilm,accuracy,5,0.25242105263157893,0.0038203743376827217,0.24922807017543863,0.2552280701754386,5,0,0,20260725,10000
clinc150,0.75,mogb_minilm,id_recall,5,0.4592261904761905,0.00583211843519804,0.45446428571428577,0.46375,5,0,0,20260725,10000
clinc150,0.75,mogb_minilm,false_accept_rate,5,0.03188034188034188,0.004374866287887089,0.02871794871794872,0.03564102564102562,5,0,0,20260725,10000
clinc150,0.75,mogb_minilm,false_reject_rate,5,-0.4592261904761905,0.005832118435198034,-0.4637500000000001,-0.45446428571428577,0,0,5,20260725,10000
clinc150,0.75,mogb_minilm,oos_precision,5,0.23498120137531817,0.0037832647695303476,0.2322031737987011,0.23841434539119222,5,0,0,20260725,10000
clinc150,0.75,mogb_minilm,oos_recall,5,-0.031880341880341875,0.0043748662878871,-0.0356410256410256,-0.02871794871794873,0,0,5,20260725,10000
clinc150,0.75,mogb_minilm,auroc,5,0.08573850223850232,0.011352187113983937,0.07695945258445269,0.09446100427350432,5,0,0,20260725,10000
clinc150,0.75,mogb_minilm,aupr_oos,5,0.1723783812327077,0.011185474343608805,0.1653271098904579,0.18237940677199066,5,0,0,20260725,10000
stackoverflow,0.25,mogb_minilm,oos_f1,5,0.06039685255607961,0.01309872016583242,0.050234303119067555,0.07055940199309166,5,0,0,20260725,10000
stackoverflow,0.25,mogb_minilm,f1_all,5,0.33566881966552153,0.05135451336573523,0.29573926253931193,0.375598376791731,5,0,0,20260725,10000
stackoverflow,0.25,mogb_minilm,f1_k,5,0.39072321308740987,0.059467529573246705,0.3443915593780981,0.4370548667967216,5,0,0,20260725,10000
stackoverflow,0.25,mogb_minilm,accuracy,5,0.10613333333333322,0.020138892720306088,0.0903666666666666,0.12189999999999983,5,0,0,20260725,10000
stackoverflow,0.25,mogb_minilm,id_recall,5,0.5168,0.050829562701684206,0.47519999999999996,0.5533333333333333,5,0,0,20260725,10000
stackoverflow,0.25,mogb_minilm,false_accept_rate,5,0.029111111111111098,0.0195018201113209,0.01386666666666666,0.04586666666666663,5,0,0,20260725,10000
stackoverflow,0.25,mogb_minilm,false_reject_rate,5,-0.5168,0.050829562701684206,-0.5533333333333333,-0.47519999999999996,0,0,5,20260725,10000
stackoverflow,0.25,mogb_minilm,oos_precision,5,0.1330272661246244,0.011611106419149033,0.12314795050622962,0.14147019628205576,5,0,0,20260725,10000
stackoverflow,0.25,mogb_minilm,oos_recall,5,-0.029111111111111088,0.01950182011132088,-0.04586666666666661,-0.013866666666666671,0,0,5,20260725,10000
stackoverflow,0.25,mogb_minilm,auroc,5,0.08572314074074076,0.028784441350142215,0.060893096296296335,0.10827890370370363,5,0,0,20260725,10000
stackoverflow,0.25,mogb_minilm,aupr_oos,5,0.051694029768449855,0.01972260576601509,0.03669710636908581,0.06807206886958514,5,0,0,20260725,10000
stackoverflow,0.5,mogb_minilm,oos_f1,5,0.1475072375603531,0.018587290515829465,0.1322499009338898,0.16178485494688588,5,0,0,20260725,10000
stackoverflow,0.5,mogb_minilm,f1_all,5,0.43252738126445783,0.04267434671428836,0.40388950554197417,0.46848621849235494,5,0,0,20260725,10000
stackoverflow,0.5,mogb_minilm,f1_k,5,0.46102939563486844,0.045460282765299787,0.430935725766191,0.4997180917755818,5,0,0,20260725,10000
stackoverflow,0.5,mogb_minilm,accuracy,5,0.23756666666666665,0.02272131891711689,0.22033333333333333,0.2554,5,0,0,20260725,10000
stackoverflow,0.5,mogb_minilm,id_recall,5,0.5680000000000001,0.024869660230891797,0.5546666666666668,0.5900666666666667,5,0,0,20260725,10000
stackoverflow,0.5,mogb_minilm,false_accept_rate,5,0.0854666666666667,0.030145572735570236,0.06026666666666669,0.10893333333333335,5,0,0,20260725,10000
stackoverflow,0.5,mogb_minilm,false_reject_rate,5,-0.5680000000000001,0.024869660230891762,-0.5900666666666667,-0.5546666666666666,0,0,5,20260725,10000
