method,seed,point,precision,recall,threshold
fixed_k2,42,102,0.8480108806528391,0.8313333333333334,0.9122407033637462
fixed_k2,42,103,0.850223290965304,0.825,0.9158005852252936
fixed_k2,42,104,0.8535230822631031,0.8196666666666667,0.9195024991864651
fixed_k2,42,105,0.8572430726061031,0.8146666666666667,0.9239456875518997
fixed_k2,42,106,0.8606876993973768,0.8093333333333333,0.9284058201689067
fixed_k2,42,107,0.861698316015765,0.8016666666666666,0.9322614842466366
fixed_k2,42,108,0.8638174574429555,0.795,0.9354279046402304
fixed_k2,42,109,0.866349322592457,0.7886666666666666,0.9402550378277735
fixed_k2,42,110,0.8689374305812662,0.7823333333333333,0.9427112321041985
fixed_k2,42,111,0.8727068513665294,0.777,0.9459641674136336
fixed_k2,42,112,0.8754259750094661,0.7706666666666667,0.9495581333648009
fixed_k2,42,113,0.8785905783224818,0.7646666666666667,0.9526929182683062
fixed_k2,42,114,0.8795040681906238,0.7566666666666667,0.9555489724636916
fixed_k2,42,115,0.8820070560564485,0.75,0.9583898715929678
fixed_k2,42,116,0.8837762792542642,0.7426666666666667,0.9607283272223964
fixed_k2,42,117,0.8847852268165396,0.7346666666666667,0.9637884001911976
fixed_k2,42,118,0.885412433969931,0.7263333333333334,0.967198482416638
fixed_k2,42,119,0.8881118881118881,0.7196666666666667,0.9707976854046059
fixed_k2,42,120,0.8908788004997917,0.713,0.9734789294133055
fixed_k2,42,121,0.8954027836355968,0.7076666666666667,0.9776401189674497
fixed_k2,42,122,0.898334045279795,0.701,0.9812232825445613
fixed_k2,42,123,0.8996105581999134,0.693,0.9849184003282061
fixed_k2,42,124,0.9009206488382289,0.685,0.9879402883013434
fixed_k2,42,125,0.9044868947134607,0.6786666666666666,0.9907249047045973
fixed_k2,42,126,0.9058982440342188,0.6706666666666666,0.9948162380209612
fixed_k2,42,127,0.9068918302145139,0.6623333333333333,0.9974831236331018
fixed_k2,42,128,0.9088385006941231,0.6546666666666666,1.0012709729353
fixed_k2,42,129,0.9094321914594087,0.646,1.0041383575999896
fixed_k2,42,130,0.9105188005711566,0.6376666666666667,1.007557615059688
fixed_k2,42,131,0.9130854659584742,0.6303333333333333,1.0102001531656077
fixed_k2,42,132,0.9152376286134248,0.6226666666666667,1.0123553886941496
fixed_k2,42,133,0.9159622078567876,0.614,1.015416877417304
fixed_k2,42,134,0.9187279151943463,0.6066666666666667,1.0183897962822313
fixed_k2,42,135,0.920041004613019,0.5983333333333334,1.0212175647092323
fixed_k2,42,136,0.9250390421655388,0.5923333333333334,1.0251098629107658
fixed_k2,42,137,0.9249074563722898,0.583,1.0278888075954749
fixed_k2,42,138,0.9263836646963998,0.5746666666666667,1.0300820376458717
fixed_k2,42,139,0.9300928454396504,0.5676666666666667,1.0337640376160282
fixed_k2,42,140,0.9317046085508051,0.5593333333333333,1.0371590779041544
fixed_k2,42,141,0.9333709768492378,0.551,1.0406585659934804
fixed_k2,42,142,0.9345203905801264,0.5423333333333333,1.0434461149257725
fixed_k2,42,143,0.9357101110461719,0.5336666666666666,1.0459930485978086
fixed_k2,42,144,0.9351576442593694,0.524,1.048896071808704
fixed_k2,42,145,0.9376135675348274,0.516,1.0533241487131084
fixed_k2,42,146,0.9376927822331894,0.5066666666666667,1.0558307272493952
fixed_k2,42,147,0.9396605908233815,0.49833333333333335,1.0591015555062107
fixed_k2,42,148,0.9404228058936579,0.48933333333333334,1.0625969902491916
fixed_k2,42,149,0.9418680600914435,0.4806666666666667,1.065780429566877
fixed_k2,42,150,0.9427048634243838,0.4716666666666667,1.069265897161478
fixed_k2,42,151,0.9435757987763427,0.46266666666666667,1.072724756982438
fixed_k2,42,152,0.945176960444136,0.454,1.075723716749275
fixed_k2,42,153,0.9447200566973778,0.44433333333333336,1.0785478236988344
fixed_k2,42,154,0.946415640839971,0.43566666666666665,1.0811341984196519
fixed_k2,42,155,0.9467061435973353,0.42633333333333334,1.0839406281979638
fixed_k2,42,156,0.9507948523845572,0.4186666666666667,1.0872799229310186
fixed_k2,42,157,0.9512006196746708,0.4093333333333333,1.0901647905803913
fixed_k2,42,158,0.950832672482157,0.39966666666666667,1.0934692118068927
fixed_k2,42,159,0.9553208773354996,0.392,1.0961575431385666
fixed_k2,42,160,0.9558701082431307,0.38266666666666665,1.0990873056873103
fixed_k2,42,161,0.955593509820666,0.373,1.1020575259682588
fixed_k2,42,162,0.9561787905346187,0.3636666666666667,1.1056547155904632
fixed_k2,42,163,0.9567956795679567,0.35433333333333333,1.1090428870828528
fixed_k2,42,164,0.9574468085106383,0.345,1.1127960701066895
fixed_k2,42,165,0.9600380589914367,0.3363333333333333,1.1173626898941291
fixed_k2,42,166,0.960822722820764,0.327,1.1209410295750377
fixed_k2,42,167,0.9616548940464178,0.31766666666666665,1.1242216684787771
fixed_k2,42,168,0.9625390218522373,0.30833333333333335,1.1276121362516733
fixed_k2,42,169,0.9645542427497314,0.29933333333333334,1.1320431934938524
fixed_k2,42,170,0.9667036625971143,0.29033333333333333,1.1348614014713154
fixed_k2,42,171,0.9667049368541906,0.2806666666666667,1.1382674075939372
fixed_k2,42,172,0.9667063020214031,0.271,1.1420277067334808
fixed_k2,42,173,0.9679012345679012,0.2613333333333333,1.1450256367276297
fixed_k2,42,174,0.9705128205128205,0.25233333333333335,1.1498561125153537
fixed_k2,42,175,0.972,0.243,1.1528393299614312
fixed_k2,42,176,0.9736111111111111,0.23366666666666666,1.1560989174177492
fixed_k2,42,177,0.9739130434782609,0.224,1.1602081690978034
fixed_k2,42,178,0.9757575757575757,0.21466666666666667,1.1644538865321499
fixed_k2,42,179,0.9777777777777777,0.20533333333333334,1.1678510735171694
fixed_k2,42,180,0.9783333333333334,0.19566666666666666,1.1718738622385805
fixed_k2,42,181,0.9789473684210527,0.186,1.175865422879695
fixed_k2,42,182,0.9814814814814815,0.17666666666666667,1.1793416343308143
fixed_k2,42,183,0.9823529411764705,0.167,1.184346111511197
fixed_k2,42,184,0.9833333333333333,0.15733333333333333,1.188310524879536
