method,seed,point,fpr,tpr,threshold
fixed_k2,42,17,0.019666666666666666,0.39466666666666667,1.0948934391597618
fixed_k2,42,18,0.020666666666666667,0.4056666666666667,1.0917688757728905
fixed_k2,42,19,0.022,0.419,1.0869899473059523
fixed_k2,42,20,0.023,0.4246666666666667,1.0846371010327778
fixed_k2,42,21,0.024666666666666667,0.43333333333333335,1.0818220058247254
fixed_k2,42,22,0.025666666666666667,0.44066666666666665,1.079512747795849
fixed_k2,42,23,0.027,0.457,1.074750318027657
fixed_k2,42,24,0.028,0.4673333333333333,1.0717263460516002
fixed_k2,42,25,0.029,0.4796666666666667,1.0663891974454385
fixed_k2,42,26,0.030333333333333334,0.48233333333333334,1.06509205671978
fixed_k2,42,27,0.03166666666666667,0.49333333333333335,1.061036721632635
fixed_k2,42,28,0.033666666666666664,0.504,1.05655612817068
fixed_k2,42,29,0.034666666666666665,0.5166666666666667,1.0532855910069259
fixed_k2,42,30,0.036,0.522,1.0500840792965902
fixed_k2,42,31,0.037,0.539,1.044668101158358
fixed_k2,42,32,0.03833333333333333,0.5466666666666666,1.0424372231477645
fixed_k2,42,33,0.03933333333333333,0.5506666666666666,1.040700404916189
fixed_k2,42,34,0.04066666666666666,0.555,1.0386816652891488
fixed_k2,42,35,0.042,0.5646666666666667,1.0349254210575545
fixed_k2,42,36,0.043,0.5706666666666667,1.0328855275586322
fixed_k2,42,37,0.04533333333333334,0.5723333333333334,1.0312205039315354
fixed_k2,42,38,0.04633333333333333,0.5813333333333334,1.0284605853648197
fixed_k2,42,39,0.04766666666666667,0.5913333333333334,1.025432412627436
fixed_k2,42,40,0.04933333333333333,0.5943333333333334,1.0242995203111203
fixed_k2,42,41,0.050333333333333334,0.5963333333333334,1.0231664483156715
fixed_k2,42,42,0.05266666666666667,0.599,1.0205649065596625
fixed_k2,42,43,0.05433333333333333,0.6076666666666667,1.01816011289506
fixed_k2,42,44,0.056666666666666664,0.6156666666666667,1.0150001450657389
fixed_k2,42,45,0.058333333333333334,0.6243333333333333,1.011825504551266
fixed_k2,42,46,0.06,0.63,1.0103076387164653
fixed_k2,42,47,0.06133333333333333,0.6336666666666667,1.0089073095726013
fixed_k2,42,48,0.06266666666666666,0.6366666666666667,1.0077608406402407
fixed_k2,42,49,0.06433333333333334,0.6436666666666667,1.0049286020989774
fixed_k2,42,50,0.06566666666666666,0.6556666666666666,1.0009098474908482
fixed_k2,42,51,0.067,0.6606666666666666,0.9988157967920712
fixed_k2,42,52,0.069,0.6686666666666666,0.995369181552794
fixed_k2,42,53,0.07033333333333333,0.6743333333333333,0.9934183328022986
fixed_k2,42,54,0.07166666666666667,0.6806666666666666,0.990445768439186
fixed_k2,42,55,0.07466666666666667,0.683,0.9884568858391353
fixed_k2,42,56,0.076,0.6866666666666666,0.9872971134018204
fixed_k2,42,57,0.07733333333333334,0.695,0.9840053661184163
fixed_k2,42,58,0.079,0.7003333333333334,0.9815743520108572
fixed_k2,42,59,0.08066666666666666,0.7056666666666667,0.9786687376667008
fixed_k2,42,60,0.083,0.708,0.9772366373003543
fixed_k2,42,61,0.085,0.711,0.9751415710646748
fixed_k2,42,62,0.08833333333333333,0.7153333333333334,0.9727988431155862
fixed_k2,42,63,0.09,0.7176666666666667,0.9716869949247162
fixed_k2,42,64,0.09333333333333334,0.7206666666666667,0.9688442664416802
fixed_k2,42,65,0.09433333333333334,0.7273333333333334,0.9670276796835112
fixed_k2,42,66,0.09566666666666666,0.737,0.9635424675141393
fixed_k2,42,67,0.097,0.742,0.9613064321383159
fixed_k2,42,68,0.098,0.744,0.960314989961222
fixed_k2,42,69,0.09933333333333333,0.7466666666666667,0.9595571585174155
fixed_k2,42,70,0.10066666666666667,0.7513333333333333,0.95796538205512
fixed_k2,42,71,0.10266666666666667,0.7536666666666667,0.9571299650572502
fixed_k2,42,72,0.104,0.7596666666666667,0.9543819699397404
fixed_k2,42,73,0.10533333333333333,0.7616666666666667,0.9537552455893116
fixed_k2,42,74,0.10766666666666666,0.767,0.9511469559003796
fixed_k2,42,75,0.10866666666666666,0.7693333333333333,0.9499569619637843
fixed_k2,42,76,0.111,0.7723333333333333,0.9484518134468044
fixed_k2,42,77,0.11233333333333333,0.7753333333333333,0.9466392586112699
fixed_k2,42,78,0.11466666666666667,0.7786666666666666,0.9452526555060375
fixed_k2,42,79,0.116,0.7813333333333333,0.9441510428488968
fixed_k2,42,80,0.119,0.784,0.9422395445113421
fixed_k2,42,81,0.12033333333333333,0.786,0.9412123443583381
fixed_k2,42,82,0.12166666666666667,0.791,0.9389660576993594
fixed_k2,42,83,0.12433333333333334,0.7933333333333333,0.9370495113963545
fixed_k2,42,84,0.12566666666666668,0.796,0.9348778637500587
fixed_k2,42,85,0.12766666666666668,0.798,0.9334440492463575
fixed_k2,42,86,0.129,0.802,0.9317050203989723
fixed_k2,42,87,0.13066666666666665,0.8076666666666666,0.92944573637257
fixed_k2,42,88,0.13233333333333333,0.8116666666666666,0.9270267875013051
fixed_k2,42,89,0.13466666666666666,0.8143333333333334,0.9246248102297736
fixed_k2,42,90,0.13766666666666666,0.8173333333333334,0.921822821473286
fixed_k2,42,91,0.141,0.8206666666666667,0.9190162982265623
fixed_k2,42,92,0.143,0.8223333333333334,0.917332739973422
fixed_k2,42,93,0.144,0.8246666666666667,0.9161160916115909
fixed_k2,42,94,0.14666666666666667,0.828,0.9145036168169812
fixed_k2,42,95,0.14866666666666667,0.8313333333333334,0.912249358016405
fixed_k2,42,96,0.151,0.8326666666666667,0.911066875250338
fixed_k2,42,97,0.153,0.834,0.9093815193147519
fixed_k2,42,98,0.15533333333333332,0.8356666666666667,0.9085082777446125
fixed_k2,42,99,0.15833333333333333,0.839,0.9061869015747948
fixed_k2,42,100,0.161,0.8413333333333334,0.9045669690640584
fixed_k2,42,101,0.16433333333333333,0.845,0.9015724419113826
fixed_k2,42,102,0.166,0.847,0.9001288963678421
fixed_k2,42,103,0.16766666666666666,0.848,0.8995584183826127
