known_recall,oos_recall,false_accept_rate,false_reject_rate,oos_f1,oos_precision,auroc,aupr_oos,f1_all,f1_k,accuracy,dataset,kir,seed,method,method_label,target_known_recall,diagnostic_threshold,source_prediction_path,diagnostic_only,threshold_source
0.75,0.8137931034482758,0.18620689655172415,0.25,0.8585720782173716,0.9085659287776708,,,,,,banking77,0.25,42,mogb_minilm,MOGB-MiniLM,0.75,1.3054059301061156,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_42/mogb_minilm/predictions.tsv,True,test_known_scores_posthoc
0.75,0.8952586206896552,0.10474137931034483,0.25,0.9056027904948768,0.9161887957653286,,,,,,banking77,0.25,42,mogb_partition_ours_boundary,MOGB partition + ours boundary,0.75,1.0930728214763763,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_42/mogb_partition_ours_boundary/predictions.tsv,True,test_known_scores_posthoc
0.75,0.8866379310344827,0.11336206896551725,0.25,0.9008101598423472,0.9154428126390743,,,,,,banking77,0.25,42,ours_partition_mogb_boundary,Ours partition + MOGB boundary,0.75,1.1114693743242312,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_42/ours_partition_mogb_boundary/predictions.tsv,True,test_known_scores_posthoc
0.75,0.8844827586206897,0.11551724137931034,0.25,0.8996054362121877,0.9152542372881356,,,,,,banking77,0.25,42,random_partition,Random partition,0.75,0.9289601183824564,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_42/random_partition/predictions.tsv,True,test_known_scores_posthoc
0.75,0.8793103448275862,0.1206896551724138,0.25,0.8967032967032967,0.9147982062780269,,,,,,banking77,0.25,42,single_centroid,Frozen single centroid,0.75,0.9390440624292052,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_42/single_centroid/predictions.tsv,True,test_known_scores_posthoc
0.75,0.9431034482758621,0.056896551724137934,0.25,0.9314601958280119,0.9201009251471826,,,,,,banking77,0.25,42,trainable_k1,Trainable MiniLM K=1,0.75,0.942885765998801,/home/bo/bo01/llmpy311/artifacts/s2c/runs/protocol_v2_textoir_v1/minilm_trainable_kir_sweep_v1/kir_0.25/runs/banking77/seed_42/predictions.jsonl,True,test_known_scores_posthoc
0.85,0.7982758620689655,0.20172413793103447,0.15,0.864209052729818,0.9420142421159715,,,,,,banking77,0.25,42,fixed_k2,Frozen fixed K=2,0.85,1.011813748701457,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_42/fixed_k2/predictions.tsv,True,test_known_scores_posthoc
0.85,0.6288793103448276,0.3711206896551724,0.15,0.7495504752119189,0.9275270184361093,,,,,,banking77,0.25,42,mogb_minilm,MOGB-MiniLM,0.85,1.4440879545079657,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_42/mogb_minilm/predictions.tsv,True,test_known_scores_posthoc
0.85,0.7310344827586207,0.2689655172413793,0.15,0.8213075060532687,0.9370165745856354,,,,,,banking77,0.25,42,mogb_partition_ours_boundary,MOGB partition + ours boundary,0.85,1.2113329683876224,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_42/mogb_partition_ours_boundary/predictions.tsv,True,test_known_scores_posthoc
0.85,0.7422413793103448,0.25775862068965516,0.15,0.8286814244465832,0.9379084967320261,,,,,,banking77,0.25,42,ours_partition_mogb_boundary,Ours partition + MOGB boundary,0.85,1.2202981955743826,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_42/ours_partition_mogb_boundary/predictions.tsv,True,test_known_scores_posthoc
