dataset,kir,target_known_recall,method,method_label,known_recall_mean,known_recall_std,oos_f1_mean,oos_f1_std,false_accept_rate_mean,false_accept_rate_std,n_seeds
banking77,0.75,0.85,single_centroid,Frozen single centroid,0.85,0.0,0.5513502208435966,0.034994160621975794,0.4442105263157895,0.04764720592738868,5
banking77,0.75,0.85,trainable_k1,Trainable MiniLM K=1,0.85,0.0,0.6887057806650531,0.029069626377806343,0.23342105263157897,0.049456884045614775,5
banking77,0.75,0.9,fixed_k2,Frozen fixed K=2,0.9,0.0,0.5221281429403971,0.026025508884427413,0.5384210526315789,0.030737135002209377,5
banking77,0.75,0.9,mogb_minilm,MOGB-MiniLM,0.9,0.0,0.3734382266607723,0.04229622165992272,0.6994736842105264,0.04107076185346919,5
banking77,0.75,0.9,mogb_partition_ours_boundary,MOGB partition + ours boundary,0.9,0.0,0.40896957221308705,0.05074437334092443,0.6631578947368422,0.0520776774399034,5
banking77,0.75,0.9,ours_partition_mogb_boundary,Ours partition + MOGB boundary,0.9,0.0,0.5143331461091241,0.027944479419787473,0.5476315789473685,0.03259601202601325,5
banking77,0.75,0.9,random_partition,Random partition,0.9,0.0,0.4847447714072121,0.04358691997833091,0.5813157894736842,0.048589880163400524,5
banking77,0.75,0.9,single_centroid,Frozen single centroid,0.9,0.0,0.49343087560889937,0.04469592788141659,0.5713157894736842,0.04993416718672274,5
banking77,0.75,0.9,trainable_k1,Trainable MiniLM K=1,0.9,0.0,0.6642467994659438,0.04770709083332301,0.3489473684210526,0.06889637527704771,5
banking77,0.75,0.95,fixed_k2,Frozen fixed K=2,0.95,0.0,0.4049689365368006,0.04134526685807262,0.7065789473684211,0.03736703110832351,5
banking77,0.75,0.95,mogb_minilm,MOGB-MiniLM,0.95,0.0,0.23720393021231762,0.05360696341503111,0.8439473684210526,0.03919418592758776,5
banking77,0.75,0.95,mogb_partition_ours_boundary,MOGB partition + ours boundary,0.95,0.0,0.2867434372605936,0.04570525933638484,0.8063157894736843,0.036147110166750575,5
banking77,0.75,0.95,ours_partition_mogb_boundary,Ours partition + MOGB boundary,0.95,0.0,0.3921166982546331,0.0328496754048451,0.718421052631579,0.029685563612311807,5
banking77,0.75,0.95,random_partition,Random partition,0.95,0.0,0.35875456843026476,0.04070217493977315,0.7473684210526316,0.03436201278210683,5
banking77,0.75,0.95,single_centroid,Frozen single centroid,0.95,0.0,0.34836339727800286,0.04537170881762567,0.7560526315789474,0.03797141365353215,5
banking77,0.75,0.95,trainable_k1,Trainable MiniLM K=1,0.95,0.0,0.5407842154249144,0.06732201139400414,0.5702631578947368,0.06972815238809255,5
clinc150,0.25,0.75,fixed_k2,Frozen fixed K=2,0.75,0.0,0.9446265027100772,0.007933414190617792,0.048903508771929824,0.015184721073440167,5
clinc150,0.25,0.75,mogb_minilm,MOGB-MiniLM,0.75,0.0,0.931317171042159,0.012309094445912485,0.07385964912280703,0.022930250737660213,5
clinc150,0.25,0.75,mogb_partition_ours_boundary,MOGB partition + ours boundary,0.75,0.0,0.9427331063897219,0.010004611738548282,0.05245614035087719,0.019094946911099385,5
clinc150,0.25,0.75,ours_partition_mogb_boundary,Ours partition + MOGB boundary,0.75,0.0,0.9274138245219861,0.014768790584573782,0.08100877192982456,0.02709358602726038,5
clinc150,0.25,0.75,random_partition,Random partition,0.75,0.0,0.9443094598160393,0.007507211050162589,0.04951754385964912,0.014409079632977892,5
clinc150,0.25,0.75,single_centroid,Frozen single centroid,0.75,0.0,0.9445475589035383,0.006761532202132895,0.049078947368421055,0.012971449518700277,5
clinc150,0.25,0.75,trainable_k1,Trainable MiniLM K=1,0.75,0.0,0.9518321281742125,0.006631631347343982,0.03508771929824561,0.012895781077183472,5
clinc150,0.25,0.85,fixed_k2,Frozen fixed K=2,0.85,0.0,0.9310002805529447,0.014672716178740972,0.09614035087719298,0.026660119377453426,5
clinc150,0.25,0.85,mogb_minilm,MOGB-MiniLM,0.85,0.0,0.8855355837973813,0.03546882898259747,0.17412280701754385,0.058772134393464355,5
clinc150,0.25,0.85,mogb_partition_ours_boundary,MOGB partition + ours boundary,0.85,0.0,0.9198506776633442,0.022755604824431477,0.11578947368421053,0.04033985118234025,5
clinc150,0.25,0.85,ours_partition_mogb_boundary,Ours partition + MOGB boundary,0.85,0.0,0.8742992280170278,0.025568828063550948,0.19346491228070178,0.04066117106729547,5
clinc150,0.25,0.85,random_partition,Random partition,0.85,0.0,0.9349440807800107,0.014655663860637554,0.08894736842105264,0.027082489865408274,5
clinc150,0.25,0.85,single_centroid,Frozen single centroid,0.85,0.0,0.9336931417074773,0.013703132395205458,0.0912719298245614,0.025208521724989132,5
