dataset,kir,seed,representation,k,distance,boundary,oos_f1,f1_all,f1_k,accuracy,known_recall,false_accept_rate,false_reject_rate,auroc,aupr_oos,method,supervision,protocol_version,metrics_path
clinc150,0.5,13,frozen_minilm,1,mahalanobis_diag,mean_std,0.8979082975481368,,,,0.7653333333333333,0.06057971014492754,0.23466666666666666,0.9260787117552334,0.9352457390277841,frozen_k1,none,protocol_v2_textoir_v1,artifacts/s2c/runs/protocol_v2_textoir_v1/e2_gate_core_dense/protocol_v2_textoir_v1__clinc150__kir_0.50__seed_13__repr_frozen_minilm__k_1__dist_mahalanobis_diag__boundary_mean_std/metrics.json
clinc150,0.5,42,frozen_minilm,1,mahalanobis_diag,mean_std,0.8840280643829963,,,,0.7306666666666667,0.06869565217391305,0.2693333333333333,0.9236139130434784,0.9379760800808493,frozen_k1,none,protocol_v2_textoir_v1,artifacts/s2c/runs/protocol_v2_textoir_v1/e2_gate_core_dense/protocol_v2_textoir_v1__clinc150__kir_0.50__seed_42__repr_frozen_minilm__k_1__dist_mahalanobis_diag__boundary_mean_std/metrics.json
clinc150,0.5,87,frozen_minilm,1,mahalanobis_diag,mean_std,0.8974822645708722,,,,0.772,0.06492753623188406,0.228,0.9257504669887279,0.9352960524514863,frozen_k1,none,protocol_v2_textoir_v1,artifacts/s2c/runs/protocol_v2_textoir_v1/e2_gate_core_dense/protocol_v2_textoir_v1__clinc150__kir_0.50__seed_87__repr_frozen_minilm__k_1__dist_mahalanobis_diag__boundary_mean_std/metrics.json
clinc150,0.5,100,frozen_minilm,1,mahalanobis_diag,mean_std,0.8904947192884936,,,,0.7591111111111111,0.07130434782608695,0.2408888888888889,0.9318787761674718,0.9460588978498146,frozen_k1,none,protocol_v2_textoir_v1,artifacts/s2c/runs/protocol_v2_textoir_v1/e2_gate_core_dense/protocol_v2_textoir_v1__clinc150__kir_0.50__seed_100__repr_frozen_minilm__k_1__dist_mahalanobis_diag__boundary_mean_std/metrics.json
clinc150,0.5,123,frozen_minilm,1,mahalanobis_diag,mean_std,0.8961884961884962,,,,0.7635555555555555,0.06289855072463768,0.23644444444444446,0.9316882447665056,0.9443073810761233,frozen_k1,none,protocol_v2_textoir_v1,artifacts/s2c/runs/protocol_v2_textoir_v1/e2_gate_core_dense/protocol_v2_textoir_v1__clinc150__kir_0.50__seed_123__repr_frozen_minilm__k_1__dist_mahalanobis_diag__boundary_mean_std/metrics.json
clinc150,0.75,13,frozen_minilm,1,mahalanobis_diag,mean_std,0.8084147257700977,,,,0.7523809523809524,0.08034188034188035,0.24761904761904763,0.9199736721611722,0.8716119757092934,frozen_k1,none,protocol_v2_textoir_v1,artifacts/s2c/runs/protocol_v2_textoir_v1/e2_gate_core_dense/protocol_v2_textoir_v1__clinc150__kir_0.75__seed_13__repr_frozen_minilm__k_1__dist_mahalanobis_diag__boundary_mean_std/metrics.json
clinc150,0.75,42,frozen_minilm,1,mahalanobis_diag,mean_std,0.8068605518269948,,,,0.7440476190476191,0.07521367521367521,0.25595238095238093,0.9132769892144892,0.8521280358513693,frozen_k1,none,protocol_v2_textoir_v1,artifacts/s2c/runs/protocol_v2_textoir_v1/e2_gate_core_dense/protocol_v2_textoir_v1__clinc150__kir_0.75__seed_42__repr_frozen_minilm__k_1__dist_mahalanobis_diag__boundary_mean_std/metrics.json
clinc150,0.75,87,frozen_minilm,1,mahalanobis_diag,mean_std,0.8188828286627797,,,,0.7619047619047619,0.06965811965811966,0.23809523809523808,0.9096610449735449,0.8501816196690191,frozen_k1,none,protocol_v2_textoir_v1,artifacts/s2c/runs/protocol_v2_textoir_v1/e2_gate_core_dense/protocol_v2_textoir_v1__clinc150__kir_0.75__seed_87__repr_frozen_minilm__k_1__dist_mahalanobis_diag__boundary_mean_std/metrics.json
clinc150,0.75,100,frozen_minilm,1,mahalanobis_diag,mean_std,0.8236857088631618,,,,0.7741071428571429,0.07264957264957266,0.22589285714285715,0.9292960164835166,0.8839986898176564,frozen_k1,none,protocol_v2_textoir_v1,artifacts/s2c/runs/protocol_v2_textoir_v1/e2_gate_core_dense/protocol_v2_textoir_v1__clinc150__kir_0.75__seed_100__repr_frozen_minilm__k_1__dist_mahalanobis_diag__boundary_mean_std/metrics.json
clinc150,0.75,123,frozen_minilm,1,mahalanobis_diag,mean_std,0.815858699736941,,,,0.7586309523809524,0.07222222222222222,0.24136904761904762,0.9119024725274726,0.8481640189656191,frozen_k1,none,protocol_v2_textoir_v1,artifacts/s2c/runs/protocol_v2_textoir_v1/e2_gate_core_dense/protocol_v2_textoir_v1__clinc150__kir_0.75__seed_123__repr_frozen_minilm__k_1__dist_mahalanobis_diag__boundary_mean_std/metrics.json
stackoverflow,0.25,13,frozen_minilm,1,mahalanobis_diag,mean_std,0.9337532336070183,,,,0.84,0.07755555555555556,0.16,0.9266305185185186,0.9605652845486137,frozen_k1,none,protocol_v2_textoir_v1,artifacts/s2c/runs/protocol_v2_textoir_v1/e2_gate_core_dense/protocol_v2_textoir_v1__stackoverflow__kir_0.25__seed_13__repr_frozen_minilm__k_1__dist_mahalanobis_diag__boundary_mean_std/metrics.json
stackoverflow,0.25,42,frozen_minilm,1,mahalanobis_diag,mean_std,0.8654145232683336,,,,0.8386666666666667,0.19622222222222221,0.16133333333333333,0.9127004444444445,0.9620396436704233,frozen_k1,none,protocol_v2_textoir_v1,artifacts/s2c/runs/protocol_v2_textoir_v1/e2_gate_core_dense/protocol_v2_textoir_v1__stackoverflow__kir_0.25__seed_42__repr_frozen_minilm__k_1__dist_mahalanobis_diag__boundary_mean_std/metrics.json
stackoverflow,0.25,87,frozen_minilm,1,mahalanobis_diag,mean_std,0.8998380754105945,,,,0.8293333333333334,0.13555555555555557,0.17066666666666666,0.92288,0.9657379183393192,frozen_k1,none,protocol_v2_textoir_v1,artifacts/s2c/runs/protocol_v2_textoir_v1/e2_gate_core_dense/protocol_v2_textoir_v1__stackoverflow__kir_0.25__seed_87__repr_frozen_minilm__k_1__dist_mahalanobis_diag__boundary_mean_std/metrics.json
stackoverflow,0.25,100,frozen_minilm,1,mahalanobis_diag,mean_std,0.9364811691961776,,,,0.8466666666666667,0.07444444444444444,0.15333333333333332,0.9399536296296296,0.9726697816818377,frozen_k1,none,protocol_v2_textoir_v1,artifacts/s2c/runs/protocol_v2_textoir_v1/e2_gate_core_dense/protocol_v2_textoir_v1__stackoverflow__kir_0.25__seed_100__repr_frozen_minilm__k_1__dist_mahalanobis_diag__boundary_mean_std/metrics.json
stackoverflow,0.25,123,frozen_minilm,1,mahalanobis_diag,mean_std,0.8854604955586722,,,,0.8213333333333334,0.1582222222222222,0.17866666666666667,0.8994108148148149,0.9423903995292702,frozen_k1,none,protocol_v2_textoir_v1,artifacts/s2c/runs/protocol_v2_textoir_v1/e2_gate_core_dense/protocol_v2_textoir_v1__stackoverflow__kir_0.25__seed_123__repr_frozen_minilm__k_1__dist_mahalanobis_diag__boundary_mean_std/metrics.json
stackoverflow,0.5,13,frozen_minilm,1,mahalanobis_diag,mean_std,0.7185035760132037,,,,0.8353333333333334,0.347,0.16466666666666666,0.8612272222222221,0.8156840094880962,frozen_k1,none,protocol_v2_textoir_v1,artifacts/s2c/runs/protocol_v2_textoir_v1/e2_gate_core_dense/protocol_v2_textoir_v1__stackoverflow__kir_0.50__seed_13__repr_frozen_minilm__k_1__dist_mahalanobis_diag__boundary_mean_std/metrics.json
stackoverflow,0.5,42,frozen_minilm,1,mahalanobis_diag,mean_std,0.8197054342305738,,,,0.838,0.193,0.162,0.9064862222222222,0.8927093484941884,frozen_k1,none,protocol_v2_textoir_v1,artifacts/s2c/runs/protocol_v2_textoir_v1/e2_gate_core_dense/protocol_v2_textoir_v1__stackoverflow__kir_0.50__seed_42__repr_frozen_minilm__k_1__dist_mahalanobis_diag__boundary_mean_std/metrics.json
stackoverflow,0.5,87,frozen_minilm,1,mahalanobis_diag,mean_std,0.7804792723456359,,,,0.838,0.25633333333333336,0.162,0.8780081111111111,0.8321384307538693,frozen_k1,none,protocol_v2_textoir_v1,artifacts/s2c/runs/protocol_v2_textoir_v1/e2_gate_core_dense/protocol_v2_textoir_v1__stackoverflow__kir_0.50__seed_87__repr_frozen_minilm__k_1__dist_mahalanobis_diag__boundary_mean_std/metrics.json
stackoverflow,0.5,100,frozen_minilm,1,mahalanobis_diag,mean_std,0.8400460299194477,,,,0.8240000000000001,0.14833333333333334,0.176,0.8989545555555557,0.8471439080420511,frozen_k1,none,protocol_v2_textoir_v1,artifacts/s2c/runs/protocol_v2_textoir_v1/e2_gate_core_dense/protocol_v2_textoir_v1__stackoverflow__kir_0.50__seed_100__repr_frozen_minilm__k_1__dist_mahalanobis_diag__boundary_mean_std/metrics.json
stackoverflow,0.5,123,frozen_minilm,1,mahalanobis_diag,mean_std,0.7473948975925261,,,,0.838,0.30666666666666664,0.162,0.8684983333333335,0.8487904383543085,frozen_k1,none,protocol_v2_textoir_v1,artifacts/s2c/runs/protocol_v2_textoir_v1/e2_gate_core_dense/protocol_v2_textoir_v1__stackoverflow__kir_0.50__seed_123__repr_frozen_minilm__k_1__dist_mahalanobis_diag__boundary_mean_std/metrics.json
stackoverflow,0.75,13,frozen_minilm,1,mahalanobis_diag,mean_std,0.6063091482649843,,,,0.8424444444444444,0.35933333333333334,0.15755555555555556,0.8635877037037037,0.6656253311345053,frozen_k1,none,protocol_v2_textoir_v1,artifacts/s2c/runs/protocol_v2_textoir_v1/e2_gate_core_dense/protocol_v2_textoir_v1__stackoverflow__kir_0.75__seed_13__repr_frozen_minilm__k_1__dist_mahalanobis_diag__boundary_mean_std/metrics.json
stackoverflow,0.75,42,frozen_minilm,1,mahalanobis_diag,mean_std,0.7502150845999427,,,,0.8491111111111111,0.128,0.15088888888888888,0.9216848888888889,0.8149527817246711,frozen_k1,none,protocol_v2_textoir_v1,artifacts/s2c/runs/protocol_v2_textoir_v1/e2_gate_core_dense/protocol_v2_textoir_v1__stackoverflow__kir_0.75__seed_42__repr_frozen_minilm__k_1__dist_mahalanobis_diag__boundary_mean_std/metrics.json
stackoverflow,0.75,87,frozen_minilm,1,mahalanobis_diag,mean_std,0.6668626874448692,,,,0.8295555555555556,0.244,0.17044444444444445,0.884526962962963,0.6847298164496229,frozen_k1,none,protocol_v2_textoir_v1,artifacts/s2c/runs/protocol_v2_textoir_v1/e2_gate_core_dense/protocol_v2_textoir_v1__stackoverflow__kir_0.75__seed_87__repr_frozen_minilm__k_1__dist_mahalanobis_diag__boundary_mean_std/metrics.json
stackoverflow,0.75,100,frozen_minilm,1,mahalanobis_diag,mean_std,0.6339530630905211,,,,0.8353333333333334,0.30666666666666664,0.16466666666666666,0.8551602962962963,0.5883554320916634,frozen_k1,none,protocol_v2_textoir_v1,artifacts/s2c/runs/protocol_v2_textoir_v1/e2_gate_core_dense/protocol_v2_textoir_v1__stackoverflow__kir_0.75__seed_100__repr_frozen_minilm__k_1__dist_mahalanobis_diag__boundary_mean_std/metrics.json
stackoverflow,0.75,123,frozen_minilm,1,mahalanobis_diag,mean_std,0.6328173374613003,,,,0.8426666666666667,0.31866666666666665,0.15733333333333333,0.8804038518518518,0.6897181087166492,frozen_k1,none,protocol_v2_textoir_v1,artifacts/s2c/runs/protocol_v2_textoir_v1/e2_gate_core_dense/protocol_v2_textoir_v1__stackoverflow__kir_0.75__seed_123__repr_frozen_minilm__k_1__dist_mahalanobis_diag__boundary_mean_std/metrics.json
