method,method_label,intent,known_count_mean,known_false_reject_mean,known_false_reject_rate_mean,oos_false_accept_mean,oos_false_accept_rate_mean
ours_partition_mogb_boundary,Ours partition + MOGB,linq,300.0,123.25,0.41083333333333333,0.0,0.0
ours_partition_mogb_boundary,Ours partition + MOGB,magento,300.0,170.0,0.5666666666666667,51.0,0.017
ours_partition_mogb_boundary,Ours partition + MOGB,oracle,300.0,119.5,0.3983333333333333,1.5,0.0005
ours_partition_mogb_boundary,Ours partition + MOGB,osx,300.0,140.0,0.4666666666666666,107.0,0.03566666666666667
ours_partition_mogb_boundary,Ours partition + MOGB,qt,300.0,127.0,0.42333333333333334,2.0,0.0006666666666666666
ours_partition_mogb_boundary,Ours partition + MOGB,scala,300.0,152.25,0.5075000000000001,137.0,0.04566666666666667
ours_partition_mogb_boundary,Ours partition + MOGB,sharepoint,300.0,155.0,0.5166666666666667,142.33333333333334,0.047444444444444435
ours_partition_mogb_boundary,Ours partition + MOGB,spring,300.0,158.0,0.5266666666666666,205.0,0.06833333333333333
ours_partition_mogb_boundary,Ours partition + MOGB,svn,300.0,115.0,0.3833333333333333,1.25,0.00041666666666666664
ours_partition_mogb_boundary,Ours partition + MOGB,visual-studio,300.0,118.5,0.395,1.5,0.0005
ours_partition_mogb_boundary,Ours partition + MOGB,wordpress,300.0,147.0,0.49,16.5,0.0055
random_partition,Random K=2,ajax,300.0,25.666666666666668,0.08555555555555555,19.666666666666668,0.006555555555555555
random_partition,Random K=2,apache,300.0,37.75,0.12583333333333332,48.5,0.016166666666666666
random_partition,Random K=2,bash,300.0,35.0,0.11666666666666667,16.0,0.005333333333333333
random_partition,Random K=2,cocoa,300.0,43.0,0.14333333333333334,162.0,0.054
random_partition,Random K=2,drupal,300.0,49.5,0.165,374.0,0.12466666666666666
random_partition,Random K=2,excel,300.0,37.75,0.12583333333333332,8.5,0.0028333333333333335
random_partition,Random K=2,haskell,300.0,52.0,0.17333333333333334,2.0,0.0006666666666666666
random_partition,Random K=2,hibernate,300.0,27.333333333333332,0.0911111111111111,28.0,0.009333333333333334
random_partition,Random K=2,linq,300.0,33.5,0.11166666666666666,0.0,0.0
random_partition,Random K=2,magento,300.0,40.0,0.13333333333333333,294.0,0.098
random_partition,Random K=2,oracle,300.0,42.5,0.14166666666666666,11.25,0.00375
random_partition,Random K=2,osx,300.0,37.333333333333336,0.12444444444444445,217.0,0.07233333333333333
random_partition,Random K=2,qt,300.0,20.5,0.06833333333333333,6.0,0.002
random_partition,Random K=2,scala,300.0,51.0,0.17,7.25,0.002416666666666667
random_partition,Random K=2,sharepoint,300.0,38.666666666666664,0.12888888888888891,619.6666666666666,0.20655555555555558
random_partition,Random K=2,spring,300.0,28.0,0.09333333333333334,91.5,0.0305
random_partition,Random K=2,svn,300.0,32.75,0.10916666666666668,2.5,0.0008333333333333333
random_partition,Random K=2,visual-studio,300.0,42.0,0.14,14.5,0.004833333333333334
random_partition,Random K=2,wordpress,300.0,38.0,0.12666666666666668,118.0,0.03933333333333333
single_centroid,Frozen K=1,ajax,300.0,27.333333333333332,0.0911111111111111,20.333333333333332,0.0067777777777777775
single_centroid,Frozen K=1,apache,300.0,38.75,0.12916666666666665,48.0,0.016
single_centroid,Frozen K=1,bash,300.0,36.0,0.12,15.0,0.005
single_centroid,Frozen K=1,cocoa,300.0,46.0,0.15333333333333332,153.0,0.051
single_centroid,Frozen K=1,drupal,300.0,53.5,0.17833333333333334,357.5,0.11916666666666666
single_centroid,Frozen K=1,excel,300.0,39.25,0.13083333333333336,8.75,0.002916666666666667
single_centroid,Frozen K=1,haskell,300.0,54.0,0.18,1.0,0.0003333333333333333
single_centroid,Frozen K=1,hibernate,300.0,29.333333333333332,0.09777777777777778,26.333333333333332,0.008777777777777778
single_centroid,Frozen K=1,linq,300.0,36.0,0.12,0.0,0.0
single_centroid,Frozen K=1,magento,300.0,43.0,0.14333333333333334,278.0,0.09266666666666666
single_centroid,Frozen K=1,oracle,300.0,42.0,0.14,11.5,0.003833333333333333
single_centroid,Frozen K=1,osx,300.0,38.333333333333336,0.1277777777777778,203.66666666666666,0.06788888888888889
single_centroid,Frozen K=1,qt,300.0,20.5,0.06833333333333333,6.5,0.0021666666666666666
single_centroid,Frozen K=1,scala,300.0,52.25,0.17416666666666666,7.75,0.0025833333333333333
single_centroid,Frozen K=1,sharepoint,300.0,44.0,0.14666666666666667,597.3333333333334,0.1991111111111111
single_centroid,Frozen K=1,spring,300.0,28.0,0.09333333333333332,87.0,0.029
single_centroid,Frozen K=1,svn,300.0,33.25,0.11083333333333334,2.25,0.00075
single_centroid,Frozen K=1,visual-studio,300.0,42.0,0.14,14.0,0.004666666666666667
single_centroid,Frozen K=1,wordpress,300.0,39.0,0.13,111.5,0.03716666666666667
trainable_k1,Trainable K=1,ajax,300.0,54.666666666666664,0.1822222222222222,17.0,0.005666666666666667
trainable_k1,Trainable K=1,apache,300.0,52.0,0.17333333333333334,24.25,0.008083333333333333
trainable_k1,Trainable K=1,bash,300.0,46.0,0.15333333333333332,9.0,0.003
trainable_k1,Trainable K=1,cocoa,300.0,65.0,0.21666666666666667,97.0,0.03233333333333333
trainable_k1,Trainable K=1,drupal,300.0,44.5,0.14833333333333332,22.0,0.007333333333333334
trainable_k1,Trainable K=1,excel,300.0,47.0,0.15666666666666668,7.25,0.002416666666666667
trainable_k1,Trainable K=1,haskell,300.0,60.0,0.2,0.0,0.0
trainable_k1,Trainable K=1,hibernate,300.0,37.333333333333336,0.12444444444444445,25.0,0.008333333333333333
trainable_k1,Trainable K=1,linq,300.0,45.75,0.1525,0.0,0.0
trainable_k1,Trainable K=1,magento,300.0,45.0,0.15,0.0,0.0
trainable_k1,Trainable K=1,oracle,300.0,55.0,0.18333333333333335,5.75,0.0019166666666666668
trainable_k1,Trainable K=1,osx,300.0,48.666666666666664,0.16222222222222224,216.33333333333334,0.07211111111111111
trainable_k1,Trainable K=1,qt,300.0,24.0,0.07999999999999999,5.0,0.0016666666666666668
trainable_k1,Trainable K=1,scala,300.0,58.25,0.19416666666666665,1.0,0.0003333333333333333
trainable_k1,Trainable K=1,sharepoint,300.0,47.0,0.15666666666666668,41.333333333333336,0.013777777777777778
trainable_k1,Trainable K=1,spring,300.0,38.0,0.12666666666666668,76.5,0.025500000000000002
trainable_k1,Trainable K=1,svn,300.0,45.75,0.1525,2.75,0.0009166666666666666
trainable_k1,Trainable K=1,visual-studio,300.0,60.5,0.20166666666666666,7.5,0.0025
trainable_k1,Trainable K=1,wordpress,300.0,44.0,0.14666666666666667,5.0,0.0016666666666666666
