dataset,kir,seed,method,method_label,intent,known_count,known_false_reject,known_false_reject_rate,oos_false_accept,oos_false_accept_rate_of_all_oos,mean_known_score,mean_oos_accepted_score
stackoverflow,0.5,13,random_partition,Random K=2,sharepoint,300,37,0.12333333333333334,895,0.29833333333333334,0.971671595323596,0.9798477442968176
stackoverflow,0.5,13,mogb_minilm,MOGB-MiniLM,ajax,300,202,0.6733333333333333,5,0.0016666666666666668,1.074918259463046,0.9316821741714572
stackoverflow,0.5,13,mogb_minilm,MOGB-MiniLM,apache,300,209,0.6966666666666667,6,0.002,1.0610362947156002,0.9555556017948651
stackoverflow,0.5,13,mogb_minilm,MOGB-MiniLM,excel,300,229,0.7633333333333333,1,0.0003333333333333333,1.0592087177453031,0.8795775888692018
stackoverflow,0.5,13,mogb_minilm,MOGB-MiniLM,hibernate,300,198,0.66,7,0.0023333333333333335,1.0573393896355423,0.9345116959219789
stackoverflow,0.5,13,mogb_minilm,MOGB-MiniLM,linq,300,194,0.6466666666666666,0,0.0,1.0629871655111613,
stackoverflow,0.5,13,mogb_minilm,MOGB-MiniLM,oracle,300,221,0.7366666666666667,0,0.0,1.0717815340108166,
stackoverflow,0.5,13,mogb_minilm,MOGB-MiniLM,osx,300,227,0.7566666666666667,11,0.0036666666666666666,1.0739890298381811,0.9642002860994542
stackoverflow,0.5,13,mogb_minilm,MOGB-MiniLM,qt,300,178,0.5933333333333334,1,0.0003333333333333333,1.0318688413637926,0.9969988813530976
stackoverflow,0.5,13,mogb_minilm,MOGB-MiniLM,scala,300,178,0.5933333333333334,0,0.0,1.0670407360009342,
stackoverflow,0.5,13,mogb_minilm,MOGB-MiniLM,sharepoint,300,295,0.9833333333333333,1,0.0003333333333333333,1.207742964197991,0.9977102484022502
stackoverflow,0.5,13,mogb_partition_ours_boundary,MOGB partition + ours,ajax,300,125,0.4166666666666667,9,0.003,0.9896853409632136,0.8959882956978659
stackoverflow,0.5,13,mogb_partition_ours_boundary,MOGB partition + ours,apache,300,157,0.5233333333333333,9,0.003,0.9958182367911699,0.8983380443728193
stackoverflow,0.5,13,mogb_partition_ours_boundary,MOGB partition + ours,excel,300,125,0.4166666666666667,4,0.0013333333333333333,0.9922661515162944,0.9438321892221683
stackoverflow,0.5,13,mogb_partition_ours_boundary,MOGB partition + ours,hibernate,300,96,0.32,14,0.004666666666666667,0.9649833472697054,0.9191114294482918
stackoverflow,0.5,13,mogb_partition_ours_boundary,MOGB partition + ours,linq,300,92,0.30666666666666664,0,0.0,0.9548499183525784,
stackoverflow,0.5,13,mogb_partition_ours_boundary,MOGB partition + ours,oracle,300,113,0.37666666666666665,1,0.0003333333333333333,0.9942473812774949,0.959615434938616
stackoverflow,0.5,13,mogb_partition_ours_boundary,MOGB partition + ours,osx,300,164,0.5466666666666666,39,0.013,1.0189687737340956,0.9655264042739916
stackoverflow,0.5,13,mogb_partition_ours_boundary,MOGB partition + ours,qt,300,80,0.26666666666666666,2,0.0006666666666666666,0.9574615309064843,0.9376323612357439
stackoverflow,0.5,13,mogb_partition_ours_boundary,MOGB partition + ours,scala,300,113,0.37666666666666665,0,0.0,0.9827366410995932,
stackoverflow,0.5,13,mogb_partition_ours_boundary,MOGB partition + ours,sharepoint,300,295,0.9833333333333333,0,0.0,1.1715371819227733,
stackoverflow,0.5,13,ours_partition_mogb_boundary,Ours partition + MOGB,ajax,300,142,0.47333333333333333,42,0.014,1.000431278961989,0.966330654711297
stackoverflow,0.5,13,ours_partition_mogb_boundary,Ours partition + MOGB,apache,300,123,0.41,11,0.0036666666666666666,0.9853857037621492,0.960174150635357
stackoverflow,0.5,13,ours_partition_mogb_boundary,Ours partition + MOGB,excel,300,143,0.4766666666666667,3,0.001,0.9982183272826094,0.9436520532173217
stackoverflow,0.5,13,ours_partition_mogb_boundary,Ours partition + MOGB,hibernate,300,106,0.35333333333333333,15,0.005,0.9782622583571026,0.9351330218734776
stackoverflow,0.5,13,ours_partition_mogb_boundary,Ours partition + MOGB,linq,300,121,0.4033333333333333,0,0.0,0.9751357027692992,
stackoverflow,0.5,13,ours_partition_mogb_boundary,Ours partition + MOGB,oracle,300,119,0.39666666666666667,1,0.0003333333333333333,0.9891463426919759,0.905703861241648
stackoverflow,0.5,13,ours_partition_mogb_boundary,Ours partition + MOGB,osx,300,139,0.4633333333333333,105,0.035,0.997576333764095,0.9675336828599325
stackoverflow,0.5,13,ours_partition_mogb_boundary,Ours partition + MOGB,qt,300,126,0.42,2,0.0006666666666666666,0.986314605857894,0.9816416393024094
stackoverflow,0.5,13,ours_partition_mogb_boundary,Ours partition + MOGB,scala,300,152,0.5066666666666667,173,0.057666666666666665,0.9989249015774431,0.9749366752210291
stackoverflow,0.5,13,ours_partition_mogb_boundary,Ours partition + MOGB,sharepoint,300,153,0.51,199,0.06633333333333333,1.004174092372344,0.9844127941872316
stackoverflow,0.5,42,trainable_k1,Trainable K=1,ajax,300,56,0.18666666666666668,23,0.007666666666666666,0.8211195426875953,0.8441922691373115
stackoverflow,0.5,42,trainable_k1,Trainable K=1,apache,300,50,0.16666666666666666,24,0.008,0.8187879004584103,0.861811320946237
stackoverflow,0.5,42,trainable_k1,Trainable K=1,cocoa,300,65,0.21666666666666667,97,0.03233333333333333,0.8451270586346616,0.8998528067452708
stackoverflow,0.5,42,trainable_k1,Trainable K=1,excel,300,43,0.14333333333333334,6,0.002,0.8185533747313438,0.837571177472283
stackoverflow,0.5,42,trainable_k1,Trainable K=1,linq,300,44,0.14666666666666667,0,0.0,0.7705019152859955,
stackoverflow,0.5,42,trainable_k1,Trainable K=1,oracle,300,57,0.19,7,0.0023333333333333335,0.8091541739430482,0.7754979961530596
stackoverflow,0.5,42,trainable_k1,Trainable K=1,sharepoint,300,43,0.14333333333333334,34,0.011333333333333334,0.8236258714082447,0.95738027127114
stackoverflow,0.5,42,trainable_k1,Trainable K=1,spring,300,38,0.12666666666666668,81,0.027,0.7722695346036849,0.9332288911425495
stackoverflow,0.5,42,trainable_k1,Trainable K=1,svn,300,43,0.14333333333333334,3,0.001,0.7876749798592982,0.7906920189639397
stackoverflow,0.5,42,trainable_k1,Trainable K=1,visual-studio,300,56,0.18666666666666668,4,0.0013333333333333333,0.8262964667093032,0.9716370339921039
stackoverflow,0.5,42,single_centroid,Frozen K=1,ajax,300,29,0.09666666666666666,26,0.008666666666666666,0.8777640896056869,0.9155307338484795
stackoverflow,0.5,42,single_centroid,Frozen K=1,apache,300,35,0.11666666666666667,51,0.017,0.9135004426194151,0.9549473268195542
stackoverflow,0.5,42,single_centroid,Frozen K=1,cocoa,300,46,0.15333333333333332,153,0.051,0.9084457248656751,0.9599595629702731
stackoverflow,0.5,42,single_centroid,Frozen K=1,excel,300,38,0.12666666666666668,7,0.0023333333333333335,0.9258284840355454,0.9056353548786408
stackoverflow,0.5,42,single_centroid,Frozen K=1,linq,300,35,0.11666666666666667,0,0.0,0.8496011260564036,
stackoverflow,0.5,42,single_centroid,Frozen K=1,oracle,300,42,0.14,13,0.004333333333333333,0.913316465697022,0.9527020654594014
stackoverflow,0.5,42,single_centroid,Frozen K=1,sharepoint,300,45,0.15,432,0.144,0.9735391475049431,0.9822107380226951
stackoverflow,0.5,42,single_centroid,Frozen K=1,spring,300,23,0.07666666666666666,87,0.029,0.8883079080736452,0.9613739252352741
stackoverflow,0.5,42,single_centroid,Frozen K=1,svn,300,29,0.09666666666666666,2,0.0006666666666666666,0.8717994194665456,0.8625261370350354
stackoverflow,0.5,42,single_centroid,Frozen K=1,visual-studio,300,33,0.11,8,0.0026666666666666666,0.9125243691753134,0.966148193846817
stackoverflow,0.5,42,fixed_k2,Frozen K=2,ajax,300,45,0.15,115,0.03833333333333333,0.9308135888438002,0.960948615840187
stackoverflow,0.5,42,fixed_k2,Frozen K=2,apache,300,38,0.12666666666666668,34,0.011333333333333334,0.9047176747878063,0.9465087963557176
stackoverflow,0.5,42,fixed_k2,Frozen K=2,cocoa,300,57,0.19,536,0.17866666666666667,0.9536078529194338,0.9785153173415142
stackoverflow,0.5,42,fixed_k2,Frozen K=2,excel,300,33,0.11,7,0.0023333333333333335,0.9215000602503399,0.9195856891340763
stackoverflow,0.5,42,fixed_k2,Frozen K=2,linq,300,21,0.07,0,0.0,0.8596763768481078,
stackoverflow,0.5,42,fixed_k2,Frozen K=2,oracle,300,37,0.12333333333333334,12,0.004,0.9090842119560798,0.9531549930314244
stackoverflow,0.5,42,fixed_k2,Frozen K=2,sharepoint,300,53,0.17666666666666667,368,0.12266666666666666,0.9697132975964341,0.9779836656546332
stackoverflow,0.5,42,fixed_k2,Frozen K=2,spring,300,43,0.14333333333333334,331,0.11033333333333334,0.9384391595217187,0.9370662502124483
stackoverflow,0.5,42,fixed_k2,Frozen K=2,svn,300,33,0.11,3,0.001,0.8811332071779475,0.8653933434100652
stackoverflow,0.5,42,fixed_k2,Frozen K=2,visual-studio,300,33,0.11,6,0.002,0.9179846654033568,0.9726560392731712
stackoverflow,0.5,42,random_partition,Random K=2,ajax,300,27,0.09,26,0.008666666666666666,0.8756301621444186,0.9114755469667936
stackoverflow,0.5,42,random_partition,Random K=2,apache,300,34,0.11333333333333333,53,0.017666666666666667,0.9116419618831606,0.9550455493208091
stackoverflow,0.5,42,random_partition,Random K=2,cocoa,300,43,0.14333333333333334,162,0.054,0.9072757306739817,0.9607943103794987
stackoverflow,0.5,42,random_partition,Random K=2,excel,300,36,0.12,7,0.0023333333333333335,0.9248861586906897,0.9034396021376515
stackoverflow,0.5,42,random_partition,Random K=2,linq,300,33,0.11,0,0.0,0.8511669440058295,
stackoverflow,0.5,42,random_partition,Random K=2,oracle,300,42,0.14,13,0.004333333333333333,0.9116836989372981,0.9506566936532035
stackoverflow,0.5,42,random_partition,Random K=2,sharepoint,300,37,0.12333333333333334,459,0.153,0.9714602943784625,0.9819208446029578
stackoverflow,0.5,42,random_partition,Random K=2,spring,300,24,0.08,87,0.029,0.8867236216222976,0.9605034140651952
stackoverflow,0.5,42,random_partition,Random K=2,svn,300,26,0.08666666666666667,3,0.001,0.8689814743333955,0.9054846628933445
stackoverflow,0.5,42,random_partition,Random K=2,visual-studio,300,33,0.11,8,0.0026666666666666666,0.9107084839160219,0.9613925375290346
stackoverflow,0.5,42,mogb_minilm,MOGB-MiniLM,ajax,300,213,0.71,4,0.0013333333333333333,1.082793527275326,0.8856575052455316
stackoverflow,0.5,42,mogb_minilm,MOGB-MiniLM,apache,300,223,0.7433333333333333,3,0.001,1.0810435762454866,0.9050090600987964
stackoverflow,0.5,42,mogb_minilm,MOGB-MiniLM,cocoa,300,210,0.7,11,0.0036666666666666666,1.0857027256885563,0.9658546445941908
stackoverflow,0.5,42,mogb_minilm,MOGB-MiniLM,excel,300,233,0.7766666666666666,1,0.0003333333333333333,1.0837825843383513,0.8332766076994418
stackoverflow,0.5,42,mogb_minilm,MOGB-MiniLM,linq,300,179,0.5966666666666667,0,0.0,1.0518823149631031,
stackoverflow,0.5,42,mogb_minilm,MOGB-MiniLM,oracle,300,222,0.74,0,0.0,1.0740606736325404,
stackoverflow,0.5,42,mogb_minilm,MOGB-MiniLM,sharepoint,300,296,0.9866666666666667,0,0.0,1.2744543001970434,
stackoverflow,0.5,42,mogb_minilm,MOGB-MiniLM,spring,300,180,0.6,6,0.002,1.034123999213249,0.9489738777057312
stackoverflow,0.5,42,mogb_minilm,MOGB-MiniLM,svn,300,176,0.5866666666666667,1,0.0003333333333333333,1.0506500304416144,0.8623979388241437
stackoverflow,0.5,42,mogb_minilm,MOGB-MiniLM,visual-studio,300,224,0.7466666666666667,0,0.0,1.0793675685326958,
stackoverflow,0.5,42,mogb_partition_ours_boundary,MOGB partition + ours,ajax,300,127,0.42333333333333334,7,0.0023333333333333335,0.9979706521963219,0.8662812704564491
stackoverflow,0.5,42,mogb_partition_ours_boundary,MOGB partition + ours,apache,300,150,0.5,10,0.0033333333333333335,0.9931730902325031,0.9128125635682733
stackoverflow,0.5,42,mogb_partition_ours_boundary,MOGB partition + ours,cocoa,300,137,0.45666666666666667,21,0.007,1.0169611215182446,0.9349061473295921
stackoverflow,0.5,42,mogb_partition_ours_boundary,MOGB partition + ours,excel,300,176,0.5866666666666667,1,0.0003333333333333333,1.0254126592192658,0.8140767965743815
stackoverflow,0.5,42,mogb_partition_ours_boundary,MOGB partition + ours,linq,300,86,0.2866666666666667,0,0.0,0.9508894866428457,
stackoverflow,0.5,42,mogb_partition_ours_boundary,MOGB partition + ours,oracle,300,145,0.48333333333333334,1,0.0003333333333333333,1.0162492413183373,0.962821095315998
stackoverflow,0.5,42,mogb_partition_ours_boundary,MOGB partition + ours,sharepoint,300,297,0.99,0,0.0,1.2125723777748636,
stackoverflow,0.5,42,mogb_partition_ours_boundary,MOGB partition + ours,spring,300,93,0.31,16,0.005333333333333333,0.9742313083117835,0.9443010415809437
stackoverflow,0.5,42,mogb_partition_ours_boundary,MOGB partition + ours,svn,300,94,0.31333333333333335,1,0.0003333333333333333,0.9651193864324062,0.7753419125738135
stackoverflow,0.5,42,mogb_partition_ours_boundary,MOGB partition + ours,visual-studio,300,139,0.4633333333333333,1,0.0003333333333333333,1.0080746347702485,0.9951487400214885
stackoverflow,0.5,42,ours_partition_mogb_boundary,Ours partition + MOGB,ajax,300,142,0.47333333333333333,38,0.012666666666666666,0.9999710680558377,0.9636000425085871
stackoverflow,0.5,42,ours_partition_mogb_boundary,Ours partition + MOGB,apache,300,123,0.41,10,0.0033333333333333335,0.985559407310602,0.9494222125513992
stackoverflow,0.5,42,ours_partition_mogb_boundary,Ours partition + MOGB,cocoa,300,149,0.49666666666666665,174,0.058,1.0026843652888602,0.9846083994078845
stackoverflow,0.5,42,ours_partition_mogb_boundary,Ours partition + MOGB,excel,300,144,0.48,3,0.001,0.9976837392333422,0.9436520532173217
stackoverflow,0.5,42,ours_partition_mogb_boundary,Ours partition + MOGB,linq,300,126,0.42,0,0.0,0.9789385156408786,
stackoverflow,0.5,42,ours_partition_mogb_boundary,Ours partition + MOGB,oracle,300,119,0.39666666666666667,2,0.0006666666666666666,0.9896283709096692,0.9847176611478881
stackoverflow,0.5,42,ours_partition_mogb_boundary,Ours partition + MOGB,sharepoint,300,156,0.52,117,0.039,1.0066773259877075,0.9841732936311455
stackoverflow,0.5,42,ours_partition_mogb_boundary,Ours partition + MOGB,spring,300,158,0.5266666666666666,204,0.068,0.9978308906937225,0.9681948468521923
stackoverflow,0.5,42,ours_partition_mogb_boundary,Ours partition + MOGB,svn,300,113,0.37666666666666665,1,0.0003333333333333333,0.9757392145701761,0.8984686134081104
stackoverflow,0.5,42,ours_partition_mogb_boundary,Ours partition + MOGB,visual-studio,300,111,0.37,0,0.0,0.9906170379360575,
stackoverflow,0.5,87,trainable_k1,Trainable K=1,apache,300,52,0.17333333333333334,29,0.009666666666666667,0.8166384649052957,0.9086704968359648
stackoverflow,0.5,87,trainable_k1,Trainable K=1,bash,300,46,0.15333333333333332,9,0.003,0.8168128952075125,0.924441698057653
stackoverflow,0.5,87,trainable_k1,Trainable K=1,drupal,300,46,0.15333333333333332,34,0.011333333333333334,0.8209922558018236,0.9571932664236542
stackoverflow,0.5,87,trainable_k1,Trainable K=1,excel,300,50,0.16666666666666666,8,0.0026666666666666666,0.8356427579543403,0.900042591413013
stackoverflow,0.5,87,trainable_k1,Trainable K=1,hibernate,300,36,0.12,25,0.008333333333333333,0.7397892580398294,0.7747909265034019
stackoverflow,0.5,87,trainable_k1,Trainable K=1,linq,300,45,0.15,0,0.0,0.7741329419729889,
stackoverflow,0.5,87,trainable_k1,Trainable K=1,oracle,300,54,0.18,3,0.001,0.7860340023993675,0.893453368053402
