dataset,kir,baseline,metric,n_seeds,mean_delta,median_delta,ci95_low,ci95_high,wins,ties,losses,effect_size_d
stackoverflow,0.5,mogb_partition_ours_boundary,oos_f1,5,0.0842360401744714,0.07884032924650308,0.06688512660582484,0.10321224644792026,5,0,0,3.664561961003761
stackoverflow,0.5,mogb_partition_ours_boundary,f1_all,5,0.23206595555377652,0.20581168513461479,0.193252479722903,0.2855303626959115,5,0,0,3.708836406207888
stackoverflow,0.5,mogb_partition_ours_boundary,id_recall,5,0.33506666666666673,0.31633333333333336,0.3056666666666667,0.3801333333333334,5,0,0,6.689495966079851
stackoverflow,0.5,mogb_partition_ours_boundary,false_accept_rate,5,0.0748,0.0736666666666667,0.05320000000000001,0.09399999999999997,5,0,0,2.91237063378442
stackoverflow,0.5,mogb_partition_ours_boundary,accuracy,5,0.1274,0.1166666666666667,0.10563333333333336,0.1529333333333333,5,0,0,4.070030205687518
stackoverflow,0.5,mogb_partition_ours_boundary,auroc,5,0.05717917777777772,0.04245633333333321,0.038539799999999944,0.08898933333333325,5,0,0,1.6248990186224648
stackoverflow,0.75,mogb_partition_ours_boundary,oos_f1,5,0.24736595808066575,0.2438703287884928,0.2208257531162879,0.2731773275056546,5,0,0,7.6136370057968445
stackoverflow,0.75,mogb_partition_ours_boundary,f1_all,5,0.3769603934104304,0.3911884218719566,0.34495606717655314,0.4089647196443078,5,0,0,8.889051012007222
stackoverflow,0.75,mogb_partition_ours_boundary,id_recall,5,0.4504888888888889,0.46155555555555555,0.4235111111111111,0.47746666666666676,5,0,0,13.035052288737226
stackoverflow,0.75,mogb_partition_ours_boundary,false_accept_rate,5,0.07,0.047999999999999994,0.03146666666666668,0.10986666666666664,5,0,0,1.3862065601673446
stackoverflow,0.75,mogb_partition_ours_boundary,accuracy,5,0.3097333333333333,0.31999999999999995,0.2865666666666667,0.3321333333333334,5,0,0,10.390996384250524
stackoverflow,0.75,mogb_partition_ours_boundary,auroc,5,0.1367439111111111,0.14557748148148153,0.10080826666666654,0.17146903703703703,5,0,0,3.0153409516091854
banking77,0.25,mogb_minilm,oos_f1,5,0.013546323975643194,0.017914197540567,-0.0013268531975006326,0.025287528778249514,4,0,1,0.789877666147047
banking77,0.25,mogb_minilm,f1_all,5,0.22634433973076148,0.24443921648790823,0.20274250545732678,0.24994617400419622,5,0,0,7.223005635686664
banking77,0.25,mogb_minilm,id_recall,5,0.41868421052631577,0.42499999999999993,0.39973684210526317,0.4376315789473685,5,0,0,16.685088892976
banking77,0.25,mogb_minilm,false_accept_rate,5,0.08827586206896551,0.08836206896551721,0.06560344827586209,0.11474137931034481,5,0,0,2.823632579628803
banking77,0.25,mogb_minilm,accuracy,5,0.03506493506493504,0.04123376623376618,0.016103896103896065,0.05058441558441558,4,0,1,1.5682672951090948
banking77,0.25,mogb_minilm,auroc,5,0.0539333030852994,0.05168216878402876,0.02886808076225047,0.08060719147005442,5,0,0,1.721424480067908
banking77,0.5,mogb_minilm,oos_f1,5,0.08570376379212186,0.09622044476300284,0.06947249699420391,0.09699394989919967,5,0,0,4.851784470362642
banking77,0.5,mogb_minilm,f1_all,5,0.33072742649414905,0.33353934674742824,0.31199210754911094,0.34835849639819105,5,0,0,14.090058171552426
banking77,0.5,mogb_minilm,id_recall,5,0.48802631578947375,0.48486842105263167,0.4727631578947368,0.5032894736842106,5,0,0,24.447122990780287
banking77,0.5,mogb_minilm,false_accept_rate,5,0.14653846153846156,0.1378205128205128,0.12474358974358975,0.17192307692307698,5,0,0,4.917209356480292
banking77,0.5,mogb_minilm,accuracy,5,0.15655844155844154,0.16038961038961042,0.1424025974025974,0.1671428571428571,5,0,0,9.791594647774714
banking77,0.5,mogb_minilm,auroc,5,0.06579579959514177,0.07026906207827277,0.05470352564102576,0.07500818151147104,5,0,0,4.86176983365077
banking77,0.75,mogb_minilm,oos_f1,5,0.21018989377259484,0.20787427246962198,0.1909396252324563,0.2320886161454847,5,0,0,7.570670405618696
banking77,0.75,mogb_minilm,f1_all,5,0.41738292213519407,0.4192764640020485,0.4028365988765635,0.4319292453938247,5,0,0,22.700948304165017
banking77,0.75,mogb_minilm,id_recall,5,0.5364655172413793,0.5387931034482758,0.5253448275862069,0.5460344827586207,5,0,0,40.73982543153573
banking77,0.75,mogb_minilm,false_accept_rate,5,0.18842105263157893,0.1960526315789474,0.15263157894736845,0.22236842105263155,5,0,0,4.17101139391739
banking77,0.75,mogb_minilm,accuracy,5,0.33694805194805194,0.3324675324675324,0.3258441558441558,0.3486363636363635,5,0,0,21.636333655764016
banking77,0.75,mogb_minilm,auroc,5,0.09130115698729584,0.09838078493647928,0.07384789019963703,0.10594158348457357,5,0,0,4.233894764932088
clinc150,0.25,mogb_minilm,oos_f1,5,0.027806639669319,0.026882173672822973,0.02427482255102793,0.03221747581658627,5,0,0,5.425746778624236
clinc150,0.25,mogb_minilm,f1_all,5,0.2744957991824698,0.26910152106056706,0.25466798813778296,0.2964531371142353,5,0,0,10.186095345828246
clinc150,0.25,mogb_minilm,id_recall,5,0.36526315789473685,0.368421052631579,0.34719298245614044,0.3828070175438597,5,0,0,15.837165034366553
clinc150,0.25,mogb_minilm,false_accept_rate,5,0.02578947368421054,0.029824561403508802,0.01710526315789474,0.03280701754385968,5,0,0,2.617667383349503
clinc150,0.25,mogb_minilm,accuracy,5,0.0519649122807017,0.04982456140350866,0.04610526315789469,0.058877192982456104,5,0,0,6.350902667566394
clinc150,0.25,mogb_minilm,auroc,5,0.05278781932902445,0.05478512619267495,0.0462796629732227,0.05929597568482621,5,0,0,6.416897959293244
clinc150,0.5,mogb_minilm,oos_f1,5,0.09119903794751208,0.0910004449298224,0.08905364659359657,0.09305626579360834,5,0,0,34.430219620264644
clinc150,0.5,mogb_minilm,f1_all,5,0.36862816558049366,0.37130124057926317,0.3591524288707181,0.3771021059978634,5,0,0,32.308332084166395
clinc150,0.5,mogb_minilm,id_recall,5,0.4287111111111111,0.428888888888889,0.4187555555555555,0.4381333333333333,5,0,0,33.92821161274041
clinc150,0.5,mogb_minilm,false_accept_rate,5,0.027884057971014498,0.026666666666666596,0.0222608695652174,0.03408695652173914,5,0,0,3.6710605549059703
clinc150,0.5,mogb_minilm,accuracy,5,0.1496140350877193,0.14912280701754388,0.1473684210526316,0.15263157894736845,5,0,0,41.97879395878429
clinc150,0.5,mogb_minilm,auroc,5,0.07685768760064411,0.0754585507246377,0.06848497262479884,0.08685060225442824,5,0,0,6.90841844329566
clinc150,0.75,mogb_minilm,oos_f1,5,0.169177800446872,0.1678670276169807,0.1675164026057816,0.17131080669183088,5,0,0,70.50644920787444
clinc150,0.75,mogb_minilm,f1_all,5,0.4111536689108507,0.41258335772980553,0.40235550866682945,0.41923931728234126,5,0,0,38.36778592286789
clinc150,0.75,mogb_minilm,id_recall,5,0.4592261904761905,0.4604166666666667,0.45446428571428577,0.46375,5,0,0,78.74088902321763
clinc150,0.75,mogb_minilm,false_accept_rate,5,0.03188034188034188,0.030769230769230802,0.02871794871794872,0.03564102564102562,5,0,0,7.287158002659551
clinc150,0.75,mogb_minilm,accuracy,5,0.25242105263157893,0.25245614035087716,0.24922807017543863,0.2552280701754386,5,0,0,66.07233488660876
clinc150,0.75,mogb_minilm,auroc,5,0.08573850223850232,0.08379566035816033,0.07695945258445269,0.09446100427350432,5,0,0,7.552597695723961
stackoverflow,0.25,mogb_minilm,oos_f1,5,0.06039685255607961,0.06250290094792432,0.050234303119067555,0.07055940199309166,5,0,0,4.610897232053465
stackoverflow,0.25,mogb_minilm,f1_all,5,0.33566881966552153,0.35271439533850335,0.29573926253931193,0.375598376791731,5,0,0,6.536306113446429
stackoverflow,0.25,mogb_minilm,id_recall,5,0.5168,0.5186666666666666,0.47519999999999996,0.5533333333333333,5,0,0,10.167311551214196
stackoverflow,0.25,mogb_minilm,false_accept_rate,5,0.029111111111111098,0.0268888888888889,0.01386666666666666,0.04586666666666663,5,0,0,1.492738162127337
stackoverflow,0.25,mogb_minilm,accuracy,5,0.10613333333333322,0.11083333333333323,0.0903666666666666,0.12189999999999983,5,0,0,5.270067962888484
stackoverflow,0.25,mogb_minilm,auroc,5,0.08572314074074076,0.08778696296296296,0.060893096296296335,0.10827890370370363,5,0,0,2.9781068077014194
stackoverflow,0.5,mogb_minilm,oos_f1,5,0.1475072375603531,0.14387130936946435,0.1322499009338898,0.16178485494688588,5,0,0,7.935919301133845
stackoverflow,0.5,mogb_minilm,f1_all,5,0.43252738126445783,0.4109591319838143,0.40388950554197417,0.46848621849235494,5,0,0,10.135536090576815
stackoverflow,0.5,mogb_minilm,id_recall,5,0.5680000000000001,0.5606666666666666,0.5546666666666668,0.5900666666666667,5,0,0,22.839073583098656
stackoverflow,0.5,mogb_minilm,false_accept_rate,5,0.0854666666666667,0.0843333333333334,0.06026666666666669,0.10893333333333335,5,0,0,2.835131626669027
stackoverflow,0.5,mogb_minilm,accuracy,5,0.23756666666666665,0.22966666666666669,0.22033333333333333,0.2554,5,0,0,10.455672381223348
stackoverflow,0.5,mogb_minilm,auroc,5,0.07582720000000001,0.06668311111111103,0.05441471111111111,0.1052687111111111,5,0,0,2.341224235641803
stackoverflow,0.75,mogb_minilm,oos_f1,5,0.3071538117740757,0.31118547726142515,0.2829774854075603,0.3275709418286498,5,0,0,10.794197500025886
stackoverflow,0.75,mogb_minilm,f1_all,5,0.5418678928158714,0.5527218610049904,0.5210963834301496,0.5615604874234101,5,0,0,20.90623921212465
stackoverflow,0.75,mogb_minilm,id_recall,5,0.6294222222222222,0.6335555555555556,0.6119555555555556,0.6446222222222223,5,0,0,30.33028019499199
stackoverflow,0.75,mogb_minilm,false_accept_rate,5,0.08133333333333334,0.059333333333333294,0.0390666666666667,0.1257333333333333,5,0,0,1.462941213703272
stackoverflow,0.75,mogb_minilm,accuracy,5,0.4388666666666666,0.44600000000000006,0.42486666666666667,0.45260000000000006,5,0,0,24.253214580813584
stackoverflow,0.75,mogb_minilm,auroc,5,0.1257513777777778,0.11343644444444456,0.09381173333333333,0.15812551111111123,5,0,0,2.8563340238076855
banking77,0.25,fixed_k2,oos_f1,5,0.05875987987903901,0.07033663952776192,0.04128819713503866,0.07384658457603906,5,0,0,2.8526862409560407
banking77,0.25,fixed_k2,f1_all,5,0.07410409057541474,0.06829979367188965,0.06508033761141067,0.08646468793210371,5,0,0,5.068351973117652
banking77,0.25,fixed_k2,id_recall,5,-0.0005263157894736858,0.001315789473684159,-0.013947368421052597,0.011842105263157876,3,0,2,-0.03159317187376965
banking77,0.25,fixed_k2,false_accept_rate,5,-0.10000000000000002,-0.10991379310344832,-0.1247413793103449,-0.07146551724137928,0,0,5,-2.9774192041685246
banking77,0.25,fixed_k2,accuracy,5,0.07766233766233765,0.0866883116883117,0.057402597402597386,0.09655844155844155,5,0,0,3.1124838072197036
banking77,0.25,fixed_k2,auroc,5,0.03494986388384762,0.03907270871143376,0.024797527223230587,0.045102200544464656,5,0,0,2.6836370450840943
banking77,0.5,fixed_k2,oos_f1,5,0.08102491487210714,0.07703483782743159,0.060347680529052795,0.10179958487106863,5,0,0,3.11437662842953
banking77,0.5,fixed_k2,f1_all,5,0.05509624355484759,0.05597822175125966,0.046722018611790615,0.06383667761097837,5,0,0,4.897142116393256
banking77,0.5,fixed_k2,id_recall,5,-0.003421052631578947,-0.003947368421052588,-0.011578947368421067,0.004736842105263173,2,0,3,-0.3264698728027618
banking77,0.5,fixed_k2,false_accept_rate,5,-0.1330769230769231,-0.1320512820512821,-0.1696153846153846,-0.09461538461538466,0,0,5,-2.7966603627573194
banking77,0.5,fixed_k2,accuracy,5,0.07376623376623374,0.06818181818181812,0.05772727272727272,0.0916233766233766,5,0,0,3.4077103569289644
banking77,0.5,fixed_k2,auroc,5,0.04165511133603241,0.04294450067476385,0.031189102564102587,0.052461369770580316,5,0,0,3.0491433768565654
banking77,0.75,fixed_k2,oos_f1,5,0.093424711070215,0.09260847751145063,0.07692303579707097,0.10869372663621486,5,0,0,4.47275242471398
banking77,0.75,fixed_k2,f1_all,5,0.03868197538699889,0.03625739558700758,0.03410386051094556,0.04509938827996278,5,0,0,5.321217827012988
banking77,0.75,fixed_k2,id_recall,5,-0.007241379310344809,-0.006896551724137945,-0.011724137931034485,-0.002586206896551668,1,0,4,-1.2009194229416675
banking77,0.75,fixed_k2,false_accept_rate,5,-0.1647368421052632,-0.17368421052631589,-0.1857894736842106,-0.13999999999999996,0,0,5,-5.716358657924159
banking77,0.75,fixed_k2,accuracy,5,0.051883116883116864,0.05129870129870129,0.043441558441558434,0.060129870129870124,5,0,0,4.971467174702501
banking77,0.75,fixed_k2,auroc,5,0.05682112068965519,0.05505955081669689,0.04789938747731395,0.06603312159709626,5,0,0,5.042887981368548
clinc150,0.25,fixed_k2,oos_f1,5,0.006924353219263324,0.006451323865418024,0.004609119539143602,0.009621405838230457,5,0,0,2.141099120490245
clinc150,0.25,fixed_k2,f1_all,5,0.01676471645574078,0.01923773814290719,0.010074530505483592,0.021909924869061424,5,0,0,2.140650349507418
clinc150,0.25,fixed_k2,id_recall,5,-0.007192982456140329,-0.00877192982456143,-0.012280701754385915,-0.0019298245614035147,1,0,4,-1.0748611354408044
clinc150,0.25,fixed_k2,false_accept_rate,5,-0.01491228070175438,-0.0160087719298245,-0.01969298245614032,-0.010657894736842099,0,0,5,-2.436352837260069
clinc150,0.25,fixed_k2,accuracy,5,0.011192982456140288,0.010701754385964768,0.007578947368421041,0.015087719298245528,5,0,0,2.279007504891051
clinc150,0.25,fixed_k2,auroc,5,0.024365958756540594,0.027346298861188223,0.019592913204062957,0.028294052016005034,5,0,0,4.269544238906624
clinc150,0.5,fixed_k2,oos_f1,5,0.01238834108552742,0.013538491229166838,0.009165320718347924,0.014532074816888563,5,0,0,3.364957286523015
clinc150,0.5,fixed_k2,f1_all,5,0.01722303047500564,0.01618810348109856,0.014850598798411375,0.020065217917011702,5,0,0,5.107525138509755
clinc150,0.5,fixed_k2,id_recall,5,-0.006933333333333324,-0.007555555555555538,-0.015555555555555545,0.0016888888888888954,1,1,3,-0.6203874552684279
clinc150,0.5,fixed_k2,false_accept_rate,5,-0.02747826086956522,-0.03275362318840581,-0.034376811594202916,-0.017101449275362314,0,0,5,-2.3504694128903627
clinc150,0.5,fixed_k2,accuracy,5,0.01684210526315788,0.018596491228070167,0.013017543859649084,0.019052631578947366,5,0,0,3.970808796436969
clinc150,0.5,fixed_k2,auroc,5,0.028291916264090132,0.026383510466988946,0.0223060611916265,0.03427777133655376,5,0,0,3.5235694584730015
clinc150,0.75,fixed_k2,oos_f1,5,0.013454772794569636,0.011128135128638084,0.008695128846192612,0.01973156803138374,5,0,0,1.876892374996965
clinc150,0.75,fixed_k2,f1_all,5,0.014778695780525842,0.015490436611982794,0.008681630550272445,0.02021131486361285,5,0,0,2.1494218504169416
clinc150,0.75,fixed_k2,id_recall,5,-0.006845238095238071,-0.008928571428571397,-0.01124999999999996,-0.00011904761904761863,1,0,4,-0.9304804031721451
clinc150,0.75,fixed_k2,false_accept_rate,5,-0.03307692307692308,-0.031623931623931706,-0.038803418803418845,-0.028119658119658098,0,0,5,-4.916887930890776
clinc150,0.75,fixed_k2,accuracy,5,0.015403508771929864,0.01473684210526316,0.009578947368421109,0.02147368421052631,5,0,0,2.142929930371881
clinc150,0.75,fixed_k2,auroc,5,0.03181300875050876,0.03187868844118835,0.027584274521774522,0.03604174297924301,5,0,0,5.779117090706295
stackoverflow,0.25,fixed_k2,oos_f1,5,0.08818224835352187,0.06970045064326291,0.05564394580410055,0.1253694142800017,5,0,0,1.9719698925633058
stackoverflow,0.25,fixed_k2,f1_all,5,0.10838199178446455,0.096551674768944,0.08037579902700001,0.13924611564119652,5,0,0,2.899838012072952
