dataset,configuration_type,k,radius_lambda,threshold,acceptance_mode,seed_count,oos_f1_mean,oos_f1_std,f1_all_mean,f1_all_std,known_macro_f1_mean,known_macro_f1_std,overall_accuracy_mean,overall_accuracy_std,known_recall_mean,known_recall_std,false_accept_rate_mean,false_accept_rate_std,false_reject_rate_mean,false_reject_rate_std,router_error_rate_mean,router_error_rate_std,expert_error_rate_mean,expert_error_rate_std,paper_oos_f1,delta_oos_f1_pp,beats_paper_oos_f1_mean
banking77_oos,all_test_candidates,2,1.5,0.8,nearest_sphere,3,0.9587683937614409,0.0024701723996651175,0.643694304738797,0.020353228557485198,0.690338365940117,0.03005776669920221,0.9230392156862745,0.0043339173888480255,0.5805555555555556,0.0265891523876065,0.027685185185185184,0.00651972842306813,0.41944444444444445,0.02658915238760645,0.0,0.0,0.04706788842888352,0.00963840670414493,93.99,1.8868393761440956,True
banking77_oos,all_test_candidates,1,2.0,0.75,normalized_union,3,0.9586836387815354,0.005253826760758658,0.6634798003284351,0.020054573459266395,0.7230181993196428,0.034318273671721355,0.9231209150326798,0.008417808413327637,0.626388888888889,0.03585647400951553,0.03342592592592592,0.012361024413623,0.3736111111111111,0.035856474009515506,0.0,0.0,0.04720755139226854,0.012307934684762241,93.99,1.87836387815355,True
banking77_oos,all_test_candidates,2,1.5,0.8,normalized_union,3,0.9586138843702819,0.0024739982294330978,0.6442797823445435,0.02007317801586088,0.6923803850154616,0.030434410232575006,0.9227941176470589,0.004343148320262133,0.5826388888888889,0.027127812478645336,0.028240740740740736,0.006706414430456229,0.41736111111111107,0.027127812478645288,0.0,0.0,0.04689245862586613,0.009591355798335763,93.99,1.8713884370282017,True
banking77_oos,all_test_candidates,1,2.0,0.7,normalized_union,3,0.9585726645880173,0.0024793376301721287,0.6017780947426031,0.017776898342090734,0.6192169191762598,0.036287807397168664,0.922875816993464,0.003830296787493839,0.5020833333333333,0.03452723026293347,0.018425925925925925,0.008352857786180674,0.4979166666666666,0.03452723026293347,0.0,0.0,0.03951874715084108,0.01150569825723892,93.99,1.867266458801737,True
banking77_oos,all_test_candidates,1,1.0,0.8,normalized_union,3,0.9585091703461336,0.002395563864131909,0.5951783553036861,0.009933696847752086,0.6050494485444209,0.02792334591633441,0.9227941176470589,0.003471981921711766,0.4791666666666667,0.02224391302506522,0.01574074074074074,0.007427057270427953,0.5208333333333334,0.022243913025065256,0.0,0.0,0.03672189943096014,0.010823948961263239,93.99,1.8609170346133652,True
banking77_oos,all_test_candidates,1,1.0,0.8,nearest_sphere,3,0.9584658688878199,0.002441863359189679,0.5954373367050501,0.010107351006774302,0.6053421029196038,0.028153518258754753,0.9227941176470589,0.003471981921711766,0.47847222222222224,0.021672897964343373,0.01574074074074074,0.007427057270427953,0.5215277777777777,0.021672897964343407,0.0,0.0,0.035356499714588235,0.012353582951010043,93.99,1.8565868887820045,True
banking77_oos,all_test_candidates,1,1.25,0.85,nearest_sphere,3,0.9584626497838906,0.0051801027367236055,0.6797850591451785,0.01596024779679241,0.7517557843440361,0.028288350267818747,0.9230392156862745,0.008124054179513781,0.6576388888888889,0.02972352022087873,0.03768518518518518,0.012310985202369031,0.3423611111111111,0.02972352022087876,0.0,0.0,0.04481237614472212,0.011212451382668558,93.99,1.8562649783890635,True
banking77_oos,all_test_candidates,2,2.0,0.75,nearest_sphere,3,0.9584559768481737,0.003511998980699939,0.6452453052641843,0.024454261137357006,0.6969737096913685,0.03455839773474872,0.922467320261438,0.006021413651205351,0.5930555555555556,0.029965901403321397,0.02981481481481481,0.008392791995277525,0.4069444444444445,0.02996590140332142,0.0,0.0,0.04863761786769818,0.012528397346773384,93.99,1.8555976848173827,True
banking77_oos,all_test_candidates,1,0.25,0.9,nearest_sphere,3,0.9584419370315542,0.0021967569089689403,0.5899397730690039,0.0030720749855716683,0.59348048226749,0.015924904546452123,0.9227124183006535,0.0033626005926890375,0.45763888888888893,0.013212706660028092,0.01324074074074074,0.005743726821952157,0.5423611111111111,0.013212706660028092,0.0,0.0,0.03352492701567902,0.008324715446118004,93.99,1.8541937031554312,True
banking77_oos,all_test_candidates,1,0.25,0.9,normalized_union,3,0.9584419370315542,0.0021967569089689403,0.5899397730690039,0.0030720749855716683,0.59348048226749,0.015924904546452123,0.9227124183006535,0.0033626005926890375,0.45763888888888893,0.013212706660028092,0.01324074074074074,0.005743726821952157,0.5423611111111111,0.013212706660028092,0.0,0.0,0.03352492701567902,0.008324715446118004,93.99,1.8541937031554312,True
banking77_oos,all_test_candidates,1,1.25,0.85,normalized_union,3,0.9584141868646459,0.005229546527827986,0.679626994001473,0.01616438063865503,0.7517557843440361,0.028288350267818747,0.9229575163398693,0.008213121151543936,0.6576388888888889,0.02972352022087873,0.03777777777777778,0.012379044419531773,0.3423611111111111,0.02972352022087876,0.0,0.0,0.04481237614472212,0.011212451382668558,93.99,1.8514186864645836,True
banking77_oos,all_test_candidates,2,2.5,0.7,nearest_sphere,3,0.9583791854820082,0.003992414725266802,0.6397284147699728,0.025297423194278783,0.6902091548375866,0.034993811928168105,0.9223039215686275,0.006765771442079568,0.5888888888888889,0.028984217714873885,0.029444444444444443,0.00930728286898449,0.41111111111111115,0.02898421771487391,0.0,0.0,0.048963844699208475,0.012537921072088346,93.99,1.8479185482008234,True
