dataset,method,method_label,metric,metric_label,n_seeds,kir_025,kir_050,kir_075,endpoint_delta,endpoint_delta_pp,slope_per_kir,slope_pp_per_kir,worst_value,best_value
banking77,single_centroid,Frozen K=1,f1_all,F1-All,5,0.6928544335841691,0.7451394438761987,0.7821185401081376,0.08926410652396854,8.926410652396854,0.1785282130479371,17.852821304793707,0.6928544335841691,0.7821185401081376
banking77,single_centroid,Frozen K=1,f1_k,F1-K,5,0.6844928927544645,0.7456883726374406,0.786351494741074,0.10185860198660956,10.185860198660956,0.20371720397321913,20.371720397321912,0.6844928927544645,0.786351494741074
banking77,single_centroid,Frozen K=1,known_recall,Known Recall,5,0.8389473684210526,0.8501315789473685,0.8641379310344828,0.025190562613430223,2.5190562613430223,0.050381125226860446,5.038112522686045,0.8389473684210526,0.8641379310344828
banking77,single_centroid,Frozen K=1,false_accept_rate,False acceptance,5,0.2183620689655172,0.3484615384615384,0.48,0.2616379310344828,26.16379310344828,0.5232758620689656,52.32758620689656,0.2183620689655172,0.48
banking77,single_centroid,Frozen K=1,false_reject_rate,False rejection,5,0.1610526315789473,0.1498684210526315,0.1358620689655172,-0.025190562613430112,-2.519056261343011,-0.050381125226860224,-5.038112522686022,0.1358620689655172,0.1610526315789473
banking77,trainable_k1,Trainable K=1,oos_f1,OOS F1,5,0.9165382964914104,0.8356406184886493,0.6865343253584566,-0.2300039711329538,-23.000397113295378,-0.4600079422659076,-46.000794226590756,0.6865343253584566,0.9165382964914104
banking77,trainable_k1,Trainable K=1,f1_all,F1-All,5,0.7851015718978599,0.8167355797722488,0.8413111725848881,0.05620960068702818,5.620960068702818,0.11241920137405637,11.241920137405636,0.7851015718978599,0.8413111725848881
banking77,trainable_k1,Trainable K=1,f1_k,F1-K,5,0.7781838495508309,0.816238078753396,0.8439797389163782,0.06579588936554737,6.579588936554737,0.13159177873109473,13.159177873109474,0.7781838495508309,0.8439797389163782
banking77,trainable_k1,Trainable K=1,known_recall,Known Recall,5,0.8184210526315789,0.8221052631578948,0.8241379310344827,0.005716878402903802,0.5716878402903802,0.011433756805807604,1.1433756805807604,0.8184210526315789,0.8241379310344827
banking77,trainable_k1,Trainable K=1,false_accept_rate,False acceptance,5,0.1032758620689654,0.1574358974358974,0.1960526315789473,0.09277676950998191,9.277676950998192,0.18555353901996383,18.555353901996384,0.1032758620689654,0.1960526315789473
banking77,trainable_k1,Trainable K=1,false_reject_rate,False rejection,5,0.181578947368421,0.1778947368421052,0.1758620689655172,-0.005716878402903802,-0.5716878402903802,-0.011433756805807604,-1.1433756805807604,0.1758620689655172,0.181578947368421
clinc150,fixed_k2,Frozen K=2,oos_f1,OOS F1,5,0.9447183904938934,0.892005798496586,0.8150384507030115,-0.12967993979088188,-12.967993979088188,-0.25935987958176376,-25.935987958176376,0.8150384507030115,0.9447183904938934
clinc150,fixed_k2,Frozen K=2,f1_all,F1-All,5,0.7801346791980823,0.8009431390043901,0.8143458841089413,0.03421120491085894,3.421120491085894,0.06842240982171788,6.842240982171788,0.7801346791980823,0.8143458841089413
clinc150,fixed_k2,Frozen K=2,f1_k,F1-K,5,0.775803528900824,0.7997289702111607,0.814339700478637,0.03853617157781297,3.853617157781297,0.07707234315562594,7.707234315562594,0.775803528900824,0.814339700478637
