dataset,kir,method,method_label,oos_f1,f1_all,f1_k,known_recall,false_accept_rate,false_reject_rate,accuracy,auroc,aupr_oos,oos_f1_std,f1_all_std,f1_k_std,known_recall_std,false_accept_rate_std,false_reject_rate_std,accuracy_std,auroc_std,aupr_oos_std,n_seeds
clinc150,0.75,mogb_partition_ours_boundary,MOGB partition + s2c boundary,0.7197434059711283,0.5960139307329898,0.5949092032755063,0.4808928571428572,0.0188888888888888,0.5191071428571428,0.6826666666666668,0.8967573768823769,0.8257099119541585,0.0059448223178597,0.0233065684628908,0.0234617704801903,0.0203813643844649,0.0042884354544622,0.0203813643844649,0.0107034798724005,0.010832451294774,0.0206577681666057,5
clinc150,0.75,ours_partition_mogb_boundary,s2c partition + MOGB boundary,0.7004044722488025,0.5692900146575266,0.5681193498576044,0.4284523809523809,0.0188034188034187,0.571547619047619,0.6508771929824562,0.8802616758241758,0.7930407784196932,0.0038559130111527,0.0121637965734143,0.0122385822864216,0.0124833363986445,0.0028507829196851,0.0124833363986445,0.0068105434890462,0.0083418039810558,0.0102165383367286,5
clinc150,0.75,random_partition,Random K=2,0.8220513451445486,0.823453472957717,0.8234659919560489,0.8004761904761905,0.1022222222222221,0.1995238095238095,0.8222105263157895,0.9227625152625152,0.8812826362736683,0.0093849976785896,0.0087689904398034,0.008780939354811,0.0094739206721659,0.0093987951971443,0.009473920672166,0.0089753604100677,0.0044377797096929,0.0089948496870236,5
clinc150,0.75,single_centroid,Frozen K=1,0.8174656812211403,0.8174095805265577,0.8174090796274989,0.7907142857142857,0.101025641025641,0.2092857142857142,0.8170877192982455,0.9199905118030118,0.8747476986909115,0.0079549703815199,0.007305773913153,0.0073148585814602,0.0100452490998709,0.0056581583906542,0.0100452490998709,0.0076215905596719,0.0043580247521388,0.0091665153348464,5
clinc150,0.75,trainable_k1,Trainable K=1,0.828493223497581,0.8291245798894671,0.8291302170001089,0.7511904761904762,0.0401709401709401,0.2488095238095237,0.8305964912280702,0.9500434472934473,0.9244287014099976,0.0050766239448751,0.0076688267230221,0.0076971513271866,0.0086693521807318,0.0039745887260124,0.0086693521807318,0.0063420506658493,0.0041670849764899,0.0097834062833609,5
stackoverflow,0.25,fixed_k2,Frozen K=2,0.8666146611474034,0.767990693403829,0.748265899855114,0.8521333333333333,0.194711111111111,0.1478666666666666,0.8107666666666666,0.9027892444444444,0.9442456955268907,0.0479814268953338,0.0444941057534056,0.0441041504984691,0.0154804536252799,0.0830995832765769,0.0154804536252799,0.0614332971604161,0.0214742091645744,0.0143648795452538,5
stackoverflow,0.25,mogb_minilm,MOGB-MiniLM,0.8944000569448456,0.540703865522772,0.4699646272383573,0.3261333333333333,0.0093777777777777,0.6738666666666667,0.8243333333333334,0.8672337777777779,0.92560379566686,0.0059496551710989,0.0463381978530513,0.0545602285063898,0.0484868825330911,0.0053849355487505,0.0484868825330911,0.01103466759304,0.0219799709165515,0.0163485352185254,5
stackoverflow,0.25,mogb_partition_ours_boundary,MOGB partition + s2c boundary,0.9259960799998362,0.7345093038010513,0.6962119485612942,0.5910666666666666,0.020311111111111,0.4089333333333333,0.8820333333333334,0.9164517333333332,0.9603337045725686,0.0053355385844987,0.0390757926203032,0.0463688892075754,0.0507578127538564,0.0123524376561625,0.0507578127538564,0.0087847721781627,0.0075890878244445,0.0084148936552142,5
stackoverflow,0.25,ours_partition_mogb_boundary,s2c partition + MOGB boundary,0.9063585472441908,0.6905304844967872,0.6473648719473064,0.5414666666666667,0.0443555555555555,0.4585333333333333,0.8501,0.8315969481481481,0.8999522662047736,0.0150888582827615,0.0350031808970065,0.0390286753736642,0.0226391990435468,0.025441581595374,0.0226391990435468,0.0234042375080525,0.0481939879547285,0.0366396131871287,5
stackoverflow,0.25,random_partition,Random K=2,0.8911014170392451,0.8086454974094963,0.7921543134835465,0.8609333333333333,0.1568444444444444,0.1390666666666666,0.842,0.9205399703703704,0.9557569260950344,0.0411703671523575,0.0305804733397344,0.0288757768891133,0.0189185388207205,0.073286415967982,0.0189185388207205,0.0555642770931908,0.0149602218510137,0.0120168989380287,5
stackoverflow,0.25,single_centroid,Frozen K=1,0.8948207530022316,0.8101159547533475,0.7931749951035708,0.8561333333333334,0.1495555555555555,0.1438666666666666,0.8465666666666667,0.9199174814814814,0.9547420553298818,0.0376559780719465,0.0289571260440996,0.0276464193520867,0.0182415886247759,0.067646138101151,0.0182415886247759,0.0514332901274391,0.0142006486449351,0.0119383629137043,5
stackoverflow,0.25,trainable_k1,Trainable K=1,0.9547969095009252,0.8763726851882936,0.8606878403257671,0.8429333333333332,0.0384888888888888,0.1570666666666666,0.9304666666666666,0.9529569185185184,0.97729782543531,0.0121014663289031,0.0237117042851742,0.0260603416311937,0.005899152481501,0.0213913562790392,0.005899152481501,0.01758566335273,0.0160860841301921,0.0091285791422888,5
stackoverflow,0.5,fixed_k2,Frozen K=2,0.6352945072329976,0.7275883031957765,0.7368176827920545,0.8688666666666667,0.4716666666666667,0.1311333333333333,0.6692666666666667,0.8259930444444444,0.7638740861715021,0.043018765630415,0.0233592333048186,0.0244035947787261,0.0128010416242845,0.05844940832321,0.0128010416242845,0.0274576947320783,0.0101332637740058,0.0093717697995502,5
stackoverflow,0.5,mogb_minilm,MOGB-MiniLM,0.729199427573284,0.4329803937892986,0.4033584904109001,0.2709333333333333,0.0079333333333332,0.7290666666666666,0.6305666666666667,0.8476909333333333,0.7865554428431313,0.0062494323929414,0.0339955397195192,0.0367844484809596,0.0236988044705494,0.0025755258362775,0.0236988044705494,0.0120822413299667,0.0354040649721622,0.0441447460582093,5
stackoverflow,0.5,mogb_partition_ours_boundary,MOGB partition + s2c boundary,0.7924706249591658,0.63344181949998,0.6175389389540615,0.5038666666666667,0.0185999999999999,0.4961333333333333,0.7407333333333334,0.8663389555555556,0.8165219640522269,0.014867493644347,0.0550164341664174,0.0590869751494571,0.0490773765485573,0.0070134790859379,0.0490773765485573,0.0238381696724671,0.0398925012335697,0.056565983071973,5
stackoverflow,0.5,ours_partition_mogb_boundary,s2c partition + MOGB boundary,0.7335218198140271,0.6358695194997168,0.6261042894682859,0.5449333333333334,0.1569333333333333,0.4550666666666666,0.6835333333333333,0.732959,0.6619594619282418,0.0130121757961406,0.0158231793394901,0.0168830801116011,0.0117364579172953,0.0295281410033058,0.0117364579172953,0.0135991217036656,0.0264902624480751,0.0318403856017682,5
stackoverflow,0.5,random_partition,Random K=2,0.7587996754762378,0.7980409512231381,0.8019650787978282,0.8764,0.3097999999999999,0.1235999999999999,0.7609999999999999,0.8881375111111112,0.8423902188868467,0.0549134144241642,0.0223511010034228,0.0212606245884595,0.0134627056881016,0.0855802417487691,0.0134627056881016,0.0414412234375385,0.0167665436974726,0.0194764531322358,5
stackoverflow,0.5,single_centroid,Frozen K=1,0.7654959559609912,0.7997964624589458,0.8032265131087414,0.8714666666666666,0.2970666666666666,0.1285333333333333,0.7657666666666667,0.8876673111111112,0.8402327675198755,0.0534487697454966,0.0220096349222799,0.020946499502751,0.0118241748596302,0.0840477377579089,0.0118241748596301,0.0407258108165653,0.0166171320881734,0.0192680955550442,5
stackoverflow,0.5,trainable_k1,Trainable K=1,0.8767066651336372,0.8655077750537566,0.8643878860457684,0.8389333333333333,0.0933999999999999,0.1610666666666666,0.8681333333333333,0.9235181333333332,0.8935448620562013,0.0165700486592959,0.0129768949886664,0.0127413436252163,0.0035699361961307,0.0326116884294913,0.0035699361961307,0.0159641090505476,0.0149173968679955,0.0284808384116417,5
stackoverflow,0.75,fixed_k2,Frozen K=2,0.436346976786457,0.7446586353568032,0.7652127459281596,0.8802222222222221,0.6166666666666667,0.1197777777777777,0.6810333333333334,0.7757786962962963,0.4698138180586214,0.0785810984503946,0.0190226131646246,0.0165654236399461,0.0082177164831558,0.0937052115235148,0.0082177164831558,0.0235729953784221,0.0264853439892068,0.060964948054977,5
stackoverflow,0.75,mogb_minilm,MOGB-MiniLM,0.4558840331344417,0.3309323231180784,0.3226022091169876,0.2117333333333332,0.0066666666666666,0.7882666666666667,0.4055333333333333,0.8032848592592593,0.4815859856491138,0.0042014518851505,0.020763371557782,0.021914733652955,0.0145469864513175,0.0047842333648024,0.0145469864513175,0.010516785524949,0.0441265908429065,0.0676313122287025,5
stackoverflow,0.75,mogb_partition_ours_boundary,MOGB partition + s2c boundary,0.5156718868278516,0.4958398225235195,0.4945176849032306,0.3906666666666666,0.0179999999999999,0.6093333333333334,0.5346666666666666,0.7922923259259259,0.464134337111301,0.0099720978671319,0.0364385173077578,0.0382667778562545,0.0298059568161868,0.0104880884817015,0.0298059568161868,0.0210478951177757,0.0425605945928586,0.0770610714938718,5
stackoverflow,0.75,ours_partition_mogb_boundary,s2c partition + MOGB boundary,0.4847941610402536,0.6121983148732834,0.6206919251288187,0.5349777777777778,0.2337333333333333,0.4650222222222222,0.5649666666666666,0.6866778074074074,0.3700422816432617,0.0126150743002193,0.0117263581752823,0.0121710037241625,0.0103286727841229,0.0194913086043782,0.0103286727841228,0.0104817301370845,0.0219538687299731,0.0467476859872461,5
