dataset,kir_seed,gate,oos_f1,known_macro_f1,overall_accuracy,id_recall,oos_false_accept_rate,known_false_reject_rate,router_error_rate,expert_error_rate,result_path,result_sha256,kir,scope,protocol,source
stackoverflow,kir50_seed13,frozen_k1,0.7662360644133782,0.8258463219213736,0.7409015025041736,0.835781041388518,0.2768871075484302,0.1642189586114819,0.0,0.0922523961661341,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/evaluations/stackoverflow/kir50_seed13/frozen_k1/eval_results.json,bb97de51111edc1dc2240dba43fadd0fe62e38c9f9c1623002957ecaac0064e2,0.5,current_protocol_cascade_kir50,protocol_v2_textoir_v1,artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/cascade_summary.csv
stackoverflow,kir50_seed13,frozen_selected_k,0.735515425131678,0.829868195667709,0.7161936560934892,0.8775033377837116,0.3470273881095524,0.1224966622162883,0.0,0.1118295930011411,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/evaluations/stackoverflow/kir50_seed13/frozen_selected_k/eval_results.json,7d148e6440bb5fe67baa709df4b2d3f919a16cf156d10d23ed8f7ae9bc057edc,0.5,current_protocol_cascade_kir50,protocol_v2_textoir_v1,artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/cascade_summary.csv
stackoverflow,kir50_seed42,best_controlled_baseline,0.8609687551661431,0.8523173311289733,0.8293823038397329,0.8503174072836619,0.1311311311311311,0.1496825927163381,0.0,0.0711198428290766,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/evaluations/stackoverflow/kir50_seed42/best_controlled_baseline/eval_results.json,43a4752f5203ecc48d6b467272bb4650a7df2034b637a882035497d3378ff119,0.5,current_protocol_cascade_kir50,protocol_v2_textoir_v1,artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/cascade_summary.csv
stackoverflow,kir50_seed42,ce_recon_selected_k,0.905428796223446,0.8625387463359235,0.8771285475792988,0.8392916805880387,0.04004004004004,0.1607083194119612,0.0,0.0537420382165605,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/evaluations/stackoverflow/kir50_seed42/ce_recon_selected_k/eval_results.json,3f8fde6da0a59f89f210127dde64a32a963b4295d8780ab53f24241d5d4f700b,0.5,current_protocol_cascade_kir50,protocol_v2_textoir_v1,artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/cascade_summary.csv
stackoverflow,kir50_seed42,frozen_k1,0.8435800230756552,0.8384207068794064,0.8106844741235393,0.8292682926829268,0.1461461461461461,0.1707317073170731,0.0,0.0745366639806607,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/evaluations/stackoverflow/kir50_seed42/frozen_k1/eval_results.json,40bff2e1a9ab89f807c8d5a017b4f407838820bd34f75e9a6562d618d446bf5f,0.5,current_protocol_cascade_kir50,protocol_v2_textoir_v1,artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/cascade_summary.csv
stackoverflow,kir50_seed42,frozen_selected_k,0.8435800230756552,0.8384207068794064,0.8106844741235393,0.8292682926829268,0.1461461461461461,0.1707317073170731,0.0,0.0745366639806607,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/evaluations/stackoverflow/kir50_seed42/frozen_selected_k/eval_results.json,297d1824e3dce8aef33570a670af6c36662debdf2b5aac2941957c916624aec9,0.5,current_protocol_cascade_kir50,protocol_v2_textoir_v1,artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/cascade_summary.csv
stackoverflow,kir50_seed87,best_controlled_baseline,0.7777777777777778,0.8738762749177876,0.7707846410684475,0.85437541750167,0.2710280373831775,0.14562458249833,0.0,0.0488663017982799,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/evaluations/stackoverflow/kir50_seed87/best_controlled_baseline/eval_results.json,064bc13066ca1ca55961dffeb9af49e3da80532f772ac4798331b3a0db25710c,0.5,current_protocol_cascade_kir50,protocol_v2_textoir_v1,artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/cascade_summary.csv
stackoverflow,kir50_seed87,ce_recon_selected_k,0.8730082085948817,0.8768492030883168,0.8545909849749582,0.8313293253173013,0.0947930574098798,0.1686706746826987,0.0,0.0329449578143832,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/evaluations/stackoverflow/kir50_seed87/ce_recon_selected_k/eval_results.json,339cd1a2c27cb695813d3ef3ee459664a3434b4219e0f833266d9335ecaa3f5d,0.5,current_protocol_cascade_kir50,protocol_v2_textoir_v1,artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/cascade_summary.csv
stackoverflow,kir50_seed87,frozen_k1,0.7608426270136307,0.8550691114852593,0.7502504173622705,0.8316633266533067,0.2827102803738318,0.1683366733466934,0.0,0.0582329317269076,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/evaluations/stackoverflow/kir50_seed87/frozen_k1/eval_results.json,007d6df2a703d2a11ad0664b52334b59f8ef17e20fc8f4879010e02634915294,0.5,current_protocol_cascade_kir50,protocol_v2_textoir_v1,artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/cascade_summary.csv
stackoverflow,kir50_seed87,frozen_selected_k,0.7608426270136307,0.8550691114852593,0.7502504173622705,0.8316633266533067,0.2827102803738318,0.1683366733466934,0.0,0.0582329317269076,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/evaluations/stackoverflow/kir50_seed87/frozen_selected_k/eval_results.json,a7871c2d0e23e6e5329005a776810392227796f27f13622744cda6034dfb0012,0.5,current_protocol_cascade_kir50,protocol_v2_textoir_v1,artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/cascade_summary.csv
