dataset,kir,seed,structure,workpoint,threshold,calibration_known_recall,selected_using_test_known,selected_using_test_oos,selection_split,registered_known_classes,missing_class_count,missing_classes,original_ball_count,fallback_ball_count,final_ball_count,elapsed_seconds,oos_precision,oos_recall,oos_f1,id_recall,oos_rejection,auroc,aupr_oos,fpr95,false_accept_rate,false_reject_rate,accuracy,f1_all,f1_k,f1_u
clinc150,0.5,13,selected_balls,default_radius,1.0,0.3126666666666666,False,False,paper_default_radius,75,1,what_is_your_name,126,1,126,1.6017858569975942,0.6894184168012925,0.9895652173913044,0.8126636515115448,0.3164444444444444,0.9895652173913044,0.8834571336553945,0.8932833326886456,0.3391111111111111,0.0104347826086956,0.6835555555555556,0.7228070175438597,0.4490273375575833,0.4441788533715305,0.8126636515115448
clinc150,0.5,13,selected_balls_plus_missing_class_fallback,default_radius,1.0,0.32,False,False,paper_default_radius,75,1,what_is_your_name,126,1,127,1.6224640510044992,0.6921516933684851,0.9892753623188406,0.8144612814699916,0.3253333333333333,0.9892753623188406,0.8922912721417069,0.9043039632034232,0.3275555555555555,0.0107246376811594,0.6746666666666666,0.7249122807017544,0.4557589369197816,0.4509762389924455,0.8144612814699916
clinc150,0.5,13,selected_balls,calibration_coverage_0.80,1.2828163613532373,0.8,False,False,calibration_known,75,1,what_is_your_name,126,1,126,1.6453251669881863,0.8734681372549019,0.826376811594203,0.84927018170986,0.8164444444444444,0.826376811594203,0.8834571336553945,0.8932833326886456,0.3391111111111111,0.1736231884057971,0.1835555555555555,0.8166666666666667,0.7805674219285226,0.7796513851314381,0.84927018170986
clinc150,0.5,13,selected_balls_plus_missing_class_fallback,calibration_coverage_0.80,1.2738669741547295,0.8,False,False,calibration_known,75,1,what_is_your_name,126,1,127,1.665342963009607,0.8830570902394107,0.8339130434782609,0.8577817531305904,0.8306666666666667,0.8339130434782609,0.8922912721417069,0.9043039632034232,0.3275555555555555,0.1660869565217391,0.1693333333333333,0.822280701754386,0.7876566419372435,0.7867216404546656,0.8577817531305904
clinc150,0.5,42,selected_balls,default_radius,1.0,0.278,False,False,paper_default_radius,75,1,what_is_your_name,129,1,129,1.6115550809772683,0.6847586621269778,0.9910144927536232,0.8099016937107664,0.3004444444444444,0.9910144927536232,0.8825811272141706,0.8902825110259178,0.3631111111111111,0.0089855072463768,0.6995555555555556,0.7175438596491228,0.4275814690032287,0.4224838660071282,0.8099016937107664
clinc150,0.5,42,selected_balls_plus_missing_class_fallback,default_radius,1.0,0.2913333333333333,False,False,paper_default_radius,75,1,what_is_your_name,129,1,130,1.6322084600105882,0.6884816753926701,0.9910144927536232,0.8125,0.3124444444444444,0.9910144927536232,0.8858472141706925,0.8921479130858456,0.3493333333333333,0.0089855072463768,0.6875555555555556,0.7201754385964912,0.4340528169534953,0.4290068545128753,0.8125
clinc150,0.5,42,selected_balls,calibration_coverage_0.80,1.2809894388912226,0.8,False,False,calibration_known,75,1,what_is_your_name,129,1,129,1.65534341201419,0.8651258045640725,0.8571014492753624,0.861094933022714,0.7951111111111111,0.8571014492753624,0.8825811272141706,0.8902825110259178,0.3631111111111111,0.1428985507246376,0.2048888888888889,0.8217543859649122,0.7636005143150641,0.7623005887322956,0.861094933022714
clinc150,0.5,42,selected_balls_plus_missing_class_fallback,calibration_coverage_0.80,1.2704189957046368,0.8,False,False,calibration_known,75,1,what_is_your_name,129,1,130,1.675673351972364,0.8672875436554133,0.863768115942029,0.8655242521057217,0.7973333333333333,0.863768115942029,0.8858472141706925,0.8921479130858456,0.3493333333333333,0.136231884057971,0.2026666666666666,0.8257894736842105,0.7696619737475183,0.7683838100360757,0.8655242521057217
clinc150,0.5,87,selected_balls,default_radius,1.0,0.2986666666666667,False,False,paper_default_radius,75,0,,138,0,138,1.7426679650088772,0.6952284263959391,0.992463768115942,0.8176716417910448,0.3328888888888889,0.992463768115942,0.8735846698872786,0.8785612625227123,0.3795555555555555,0.0075362318840579,0.6671111111111111,0.7321052631578947,0.4714741018932011,0.4668581346945632,0.8176716417910448
clinc150,0.5,87,selected_balls_plus_missing_class_fallback,default_radius,1.0,0.2986666666666667,False,False,paper_default_radius,75,0,,138,0,138,1.7636367399827575,0.6952284263959391,0.992463768115942,0.8176716417910448,0.3328888888888889,0.992463768115942,0.8735846698872786,0.8785612625227123,0.3795555555555555,0.0075362318840579,0.6671111111111111,0.7321052631578947,0.4714741018932011,0.4668581346945632,0.8176716417910448
