method,dataset,kir,seed,threshold,oos_f1,known_recall,false_accept_rate,false_reject_rate,oos_precision,oos_recall
mogb_minilm_fair,banking77,0.25,13,1.7486589606001155,0.4149432955303536,0.9263157894736842,0.7318965517241379,0.0736842105263158,0.9174041297935103,0.2681034482758621
mogb_minilm_fair,banking77,0.25,13,1.758553461402953,0.40040444893832156,0.9302631578947368,0.7439655172413793,0.06973684210526321,0.9180834621329211,0.2560344827586207
mogb_minilm_fair,banking77,0.25,13,1.7712200094879638,0.3848773841961853,0.9328947368421052,0.7564655172413793,0.06710526315789478,0.9172077922077922,0.2435344827586207
mogb_minilm_fair,banking77,0.25,13,1.783607430988562,0.36889194769442535,0.9342105263157895,0.7689655172413793,0.06578947368421051,0.9146757679180887,0.23103448275862068
mogb_minilm_fair,banking77,0.25,13,1.796682024472524,0.35478260869565215,0.9407894736842105,0.7801724137931034,0.05921052631578949,0.918918918918919,0.21982758620689655
mogb_minilm_fair,banking77,0.25,13,1.8121468823145208,0.340365682137834,0.9473684210526315,0.7913793103448276,0.052631578947368474,0.9236641221374046,0.20862068965517241
mogb_minilm_fair,banking77,0.25,13,1.823390585013453,0.32278706007820834,0.9486842105263158,0.8043103448275862,0.051315789473684204,0.920892494929006,0.1956896551724138
mogb_minilm_fair,banking77,0.25,13,1.8377844671096417,0.3055355859094177,0.9513157894736842,0.8168103448275862,0.048684210526315774,0.9199134199134199,0.18318965517241378
mogb_minilm_fair,banking77,0.25,13,1.851780180963146,0.28851744186046513,0.9539473684210527,0.8288793103448275,0.046052631578947345,0.9189814814814815,0.1711206896551724
mogb_minilm_fair,banking77,0.25,13,1.8690079110000821,0.27048879088570377,0.9565789473684211,0.8413793103448276,0.043421052631578916,0.9177057356608479,0.15862068965517243
mogb_minilm_fair,banking77,0.25,13,1.8919425771998188,0.25353159851301116,0.9618421052631579,0.8530172413793103,0.03815789473684206,0.9216216216216216,0.14698275862068966
mogb_minilm_fair,banking77,0.25,13,1.9145059342526578,0.23392252726588944,0.9631578947368421,0.865948275862069,0.0368421052631579,0.9174041297935103,0.13405172413793104
mogb_minilm_fair,banking77,0.25,13,1.938960539615728,0.21537290715372906,0.9671052631578947,0.8780172413793104,0.03289473684210531,0.9188311688311688,0.12198275862068965
mogb_minilm_fair,banking77,0.25,13,1.9602388472693852,0.19707467282525018,0.9710526315789474,0.8896551724137931,0.02894736842105261,0.920863309352518,0.1103448275862069
mogb_minilm_fair,banking77,0.25,13,1.9929629368227828,0.176860148032723,0.9736842105263158,0.9021551724137931,0.02631578947368418,0.9190283400809717,0.0978448275862069
mogb_minilm_fair,banking77,0.25,13,2.0419099214166843,0.1553627760252366,0.975,0.9150862068965517,0.025000000000000022,0.9120370370370371,0.08491379310344828
