method,dataset,kir,seed,threshold,oos_f1,known_recall,false_accept_rate,false_reject_rate,oos_precision,oos_recall,auroc,aupr_oos,oracle_oos_f1,oracle_threshold,default_to_oracle_gap,score_separation_d,known_score_median,oos_score_median,median_score_gap,n_known,n_oos
mogb_minilm_fair,banking77,0.5,87,1.0,0.7592275727206063,0.35657894736842105,0.004487179487179487,0.6434210526315789,0.6135914658237851,0.9955128205128205,0.8420888157894736,0.7785285142001181,0.8218554354012522,1.2787768235695764,0.06262786268064591,1.3307799935134896,1.1275326027204033,1.5810084830300815,0.4534758803096781,1520,1560
s2c_trainable_k1,banking77,0.5,87,1.0,0.8554480174836091,0.8203947368421053,0.12179487179487179,0.1796052631578947,0.8338405356055996,0.8782051282051282,0.9123578778677464,0.8918112259260201,0.8597842835130972,0.9888581793068834,0.004336266029488112,1.9833003100260775,0.8198426880653478,1.1920693077609525,0.3722266196956048,1520,1560
mogb_minilm_fair,banking77,0.5,100,1.0,0.7444901913296198,0.32105263157894737,0.014743589743589743,0.6789473684210526,0.5982872713117945,0.9852564102564103,0.8173414304993253,0.773111002756248,0.7932837875034408,1.2103995820161495,0.04879359617382095,1.2399977864976635,1.1450832971605456,1.5688388966898872,0.4237555995293416,1520,1560
s2c_trainable_k1,banking77,0.5,100,1.0,0.8259473346178549,0.8236842105263158,0.17564102564102563,0.1763157894736842,0.8275418275418276,0.8243589743589743,0.8979318488529016,0.8847468854188911,0.8327907664989641,0.9355331628284762,0.006843431881109252,1.8344286308828215,0.8385968390049666,1.1461066124086976,0.307509773403731,1520,1560
mogb_minilm_fair,banking77,0.5,123,1.0,0.7526987242394504,0.3539473684210526,0.016666666666666666,0.6460526315789474,0.609697933227345,0.9833333333333333,0.8407211538461538,0.8025917980265235,0.8012618296529969,1.2514288619910965,0.04856310541354647,1.3864564996972537,1.123824440264171,1.5784112599233615,0.45458681965919046,1520,1560
s2c_trainable_k1,banking77,0.5,123,1.0,0.809165302782324,0.8296052631578947,0.2076923076923077,0.17039473684210527,0.8267558528428094,0.7923076923076923,0.8850476551956815,0.8700534389761899,0.830245976313392,0.9490708546388734,0.021080673531068017,1.7196825180965742,0.8229866216019153,1.13276521927403,0.3097785976721148,1520,1560
mogb_minilm_fair,banking77,0.75,13,1.0,0.4772510340439071,0.2961206896551724,0.013157894736842105,0.7038793103448275,0.31472933277381454,0.9868421052631579,0.7663946234119781,0.4243313847832702,0.5573770491803279,1.3261852076720757,0.08012601513642081,0.9142820803173669,1.1701159512528836,1.5472014478427734,0.37708549658988977,2320,760
s2c_trainable_k1,banking77,0.75,13,1.0,0.6601269474899019,0.8271551724137931,0.24736842105263157,0.1728448275862069,0.5878725590955807,0.7526315789473684,0.8678890653357532,0.6486885732336582,0.6685052399338115,0.9833765358413966,0.00837829244390964,1.5626382313431215,0.8366692765389325,1.072392003186243,0.23572272664731053,2320,760
mogb_minilm_fair,banking77,0.75,42,1.0,0.47332077840552417,0.2793103448275862,0.007894736842105263,0.7206896551724138,0.3107996702390767,0.9921052631578947,0.7971069646098005,0.46492218526688206,0.582010582010582,1.4608855047856393,0.10868980360505781,1.1353408296066438,1.2145032586347337,1.701093706296973,0.48659044766223936,2320,760
s2c_trainable_k1,banking77,0.75,42,1.0,0.7272727272727273,0.8297413793103449,0.13157894736842105,0.17025862068965514,0.6255924170616114,0.868421052631579,0.9112760889292197,0.7352194854120246,0.7305825242718446,1.04116715312573,0.003309796999117265,1.9408112904432933,0.8300991233614459,1.143340923210606,0.3132417998491601,2320,760
mogb_minilm_fair,banking77,0.75,87,1.0,0.4827365728900256,0.30474137931034484,0.006578947368421052,0.6952586206896552,0.3188344594594595,0.993421052631579,0.8110821234119783,0.5009173276365309,0.5791348600508905,1.4044162913489413,0.09639828716086496,1.1646049348785255,1.1600283418458714,1.597205276824282,0.4371769349784105,2320,760
s2c_trainable_k1,banking77,0.75,87,1.0,0.6984478935698448,0.821551724137931,0.17105263157894737,0.17844827586206902,0.603448275862069,0.8289473684210527,0.8960509301270417,0.7163102904007737,0.7162162162162163,1.0496901265462555,0.017768322646371515,1.818756344362488,0.8250749328638782,1.153303601541542,0.32822866867766387,2320,760
mogb_minilm_fair,banking77,0.75,100,1.0,0.4722831193235202,0.27629310344827585,0.007894736842105263,0.7237068965517242,0.3099054665022606,0.9921052631578947,0.7946920372050815,0.5009837538229381,0.5741670470104976,1.3475359699474772,0.1018839276869774,1.1187662216886323,1.1876322592715036,1.6118540076699825,0.4242217483984789,2320,760
s2c_trainable_k1,banking77,0.75,100,1.0,0.6801573917931422,0.821551724137931,0.20394736842105263,0.17844827586206902,0.5937193326790972,0.7960526315789473,0.8930728221415608,0.7076481398306274,0.6887816646562123,1.0287013666959082,0.008624272863070104,1.7819569772815673,0.8258646625568555,1.1420371741232516,0.31617251156639603,2320,760
mogb_minilm_fair,banking77,0.75,123,1.0,0.47613065326633164,0.2818965517241379,0.002631578947368421,0.7181034482758621,0.3127062706270627,0.9973684210526316,0.8194243421052633,0.49228640796684,0.6010978956999085,1.402096869911049,0.12496724243357682,1.2430643518751896,1.21269257829393,1.6761041528330392,0.4634115745391092,2320,760
s2c_trainable_k1,banking77,0.75,123,1.0,0.6666666666666666,0.8206896551724138,0.22631578947368422,0.17931034482758623,0.5856573705179283,0.7736842105263158,0.8769169691470055,0.6846870603739995,0.6712564543889844,1.005379512205161,0.004589787722317773,1.6551007065329597,0.8279232367132541,1.1150744414920057,0.28715120477875167,2320,760
mogb_minilm_fair,clinc150,0.25,13,1.0,0.9259297203155414,0.4017543859649123,0.008991228070175439,0.5982456140350877,0.8688713708902134,0.9910087719298246,0.9204505232379193,0.9722469613557536,0.9478540772532189,1.125695700771425,0.02192435693767747,1.9441363253484762,1.038918818989249,1.3944411405145045,0.3555223215252554,1140,4560
s2c_trainable_k1,clinc150,0.25,13,1.0,0.9528118939883645,0.7368421052631579,0.030263157894736843,0.26315789473684215,0.9364675984752223,0.9697368421052631,0.9641397353031703,0.9897681447868008,0.9569916188795766,1.0857904084051024,0.0041797248912121,2.801129400562363,0.8701887965688415,1.4593760875024522,0.5891872909336107,1140,4560
mogb_minilm_fair,clinc150,0.25,42,1.0,0.9190780789927911,0.3307017543859649,0.007456140350877193,0.6692982456140351,0.8557383248251087,0.9925438596491228,0.8889312096029547,0.9588469948527139,0.9343143527404563,1.132696041794226,0.015236273747665119,1.624012148476866,1.0843249149172225,1.3954918438795265,0.311166928962304,1140,4560
s2c_trainable_k1,clinc150,0.25,42,1.0,0.9479594040164111,0.7263157894736842,0.03728070175438596,0.27368421052631575,0.9336452573373033,0.9627192982456141,0.9437163357956295,0.9808865225779669,0.9486463257412978,0.9886738580808084,0.0006869217248867132,2.3518593638981025,0.9021919033122703,1.2621756678345681,0.35998376452229786,1140,4560
mogb_minilm_fair,clinc150,0.25,87,1.0,0.9232335573203013,0.36140350877192984,0.005701754385964913,0.6385964912280702,0.8616495629038389,0.9942982456140351,0.8917978608802708,0.9544528036783011,0.9382558879694463,1.1288571356295372,0.015022330649144933,1.6845243050398504,1.0741675691020727,1.4415724887242654,0.3674049196221927,1140,4560
s2c_trainable_k1,clinc150,0.25,87,1.0,0.9473684210526315,0.7368421052631579,0.04078947368421053,0.26315789473684215,0.9358151476251605,0.9592105263157895,0.9516970606340412,0.985925089762027,0.9491815555793303,0.9715775212262381,0.0018131345266987342,2.460655150903524,0.8778521360394542,1.2695116086064826,0.3916594725670284,1140,4560
mogb_minilm_fair,clinc150,0.25,100,1.0,0.9265110590153909,0.38070175438596493,0.003289473684210526,0.619298245614035,0.8655494191582556,0.9967105263157895,0.9144531009541398,0.962490211104767,0.9490036425969575,1.1629223135788938,0.022492583581566583,1.8182233166618673,1.0530558239884713,1.4190777192948594,0.36602189530638807,1140,4560
s2c_trainable_k1,clinc150,0.25,100,1.0,0.9625347891243845,0.7491228070175439,0.014035087719298246,0.25087719298245614,0.9401923881221247,0.9859649122807017,0.9754012773160974,0.992405893833116,0.9667864532287923,1.0616617885894957,0.004251664104407804,2.9471551648131773,0.8605680862736926,1.400022042104914,0.5394539558312215,1140,4560
mogb_minilm_fair,clinc150,0.25,123,1.0,0.9244281045751634,0.38070175438596493,0.007456140350877193,0.619298245614035,0.8650611620795107,0.9925438596491228,0.9146962526931363,0.9693113007148543,0.9378093393587261,1.1284410949518513,0.013381234783562679,1.8366255667110454,1.0562413020301542,1.397492464600251,0.3412511625700967,1140,4560
s2c_trainable_k1,clinc150,0.25,123,1.0,0.9475392103839914,0.7324561403508771,0.039473684210526314,0.26754385964912286,0.9348986125933831,0.9605263157894737,0.9593136349646045,0.9891291381746725,0.9484290357529794,1.0057143867942662,0.0008898253689880731,2.645491163212116,0.8769077525851297,1.4194254769828591,0.5425177243977295,1140,4560
mogb_minilm_fair,clinc150,0.5,13,1.0,0.8126636515115448,0.3164444444444444,0.010434782608695653,0.6835555555555556,0.6894184168012925,0.9895652173913043,0.8834571336553945,0.8932833326886456,0.8778950253528848,1.2021517971817794,0.06523137384133992,1.6144531454788273,1.0879279067738412,1.4087392890127384,0.32081138223889716,2250,3450
s2c_trainable_k1,clinc150,0.5,13,1.0,0.9070904645476773,0.7453333333333333,0.03217391304347826,0.2546666666666667,0.8535276073619632,0.9678260869565217,0.9580215136876005,0.969613073854642,0.9234525348269423,1.0851633867249262,0.016362070279265062,2.622659309076264,0.8627434273082425,1.3676458640738778,0.5049024367656353,2250,3450
mogb_minilm_fair,clinc150,0.5,42,1.0,0.8099016937107664,0.30044444444444446,0.008985507246376812,0.6995555555555555,0.6847586621269778,0.9910144927536232,0.8825811272141706,0.8902825110259178,0.8714131023280997,1.1951030622993857,0.061511408617333285,1.5932116907296543,1.1007948165648624,1.4489444455712894,0.348149629006427,2250,3450
s2c_trainable_k1,clinc150,0.5,42,1.0,0.8971451987433411,0.7391111111111112,0.04811594202898551,0.26088888888888884,0.8483595970033583,0.9518840579710145,0.9461893719806764,0.9595486046293606,0.9054228072685648,1.065758493807873,0.008277608525223745,2.425370487249969,0.8897143995803668,1.28766414941698,0.39794974983661324,2250,3450
