method,dataset,kir,seed,target_known_recall,threshold,oos_f1,known_recall,false_accept_rate,false_reject_rate,oos_precision,oos_recall
mogb_minilm_fair,banking77,0.5,13,0.8,1.456907941278479,0.7584138620459847,0.8006578947368421,0.2705128205128205,0.19934210526315788,0.7897293546148508,0.7294871794871794
mogb_minilm_fair,banking77,0.5,13,0.9,1.6422137358656248,0.6162555600485241,0.9006578947368421,0.5115384615384615,0.0993421052631579,0.8346111719605696,0.48846153846153845
mogb_minilm_fair,banking77,0.5,13,0.95,1.8055189898372888,0.4421152929966651,0.9506578947368421,0.7025641025641025,0.049342105263157854,0.8608534322820037,0.29743589743589743
s2c_trainable_k1,banking77,0.5,13,0.5,0.8226872708336762,0.7937581274382315,0.5006578947368421,0.021794871794871794,0.4993421052631579,0.6678336980306345,0.9782051282051282
s2c_trainable_k1,banking77,0.5,13,0.6,0.8716825608286449,0.8197167755991286,0.6006578947368421,0.035256410256410256,0.39934210526315794,0.712594696969697,0.9647435897435898
s2c_trainable_k1,banking77,0.5,13,0.7,0.927562181232897,0.8402877697841726,0.7006578947368421,0.0641025641025641,0.29934210526315785,0.762402088772846,0.9358974358974359
s2c_trainable_k1,banking77,0.5,13,0.8,0.9861485140625017,0.8514180024660912,0.8006578947368421,0.11474358974358974,0.19934210526315788,0.8200712589073634,0.8852564102564102
s2c_trainable_k1,banking77,0.5,13,0.9,1.0713715908766244,0.8109798471160529,0.9006578947368421,0.2519230769230769,0.0993421052631579,0.8854324734446131,0.7480769230769231
s2c_trainable_k1,banking77,0.5,13,0.95,1.1600246981272222,0.6803874092009685,0.9506578947368421,0.4596153846153846,0.049342105263157854,0.9183006535947712,0.5403846153846154
mogb_minilm_fair,banking77,0.5,42,0.5,1.1611657439775296,0.7864992150706437,0.5006578947368421,0.03653846153846154,0.4993421052631579,0.6644562334217506,0.9634615384615385
mogb_minilm_fair,banking77,0.5,42,0.6,1.2503458797683351,0.7971135165140161,0.6006578947368421,0.07948717948717948,0.39934210526315794,0.7028879099363681,0.9205128205128205
mogb_minilm_fair,banking77,0.5,42,0.7,1.3676166718413552,0.786144578313253,0.7006578947368421,0.16346153846153846,0.29934210526315785,0.7414772727272727,0.8365384615384616
mogb_minilm_fair,banking77,0.5,42,0.8,1.5029710356436696,0.7261538461538461,0.8006578947368421,0.3192307692307692,0.19934210526315788,0.778021978021978,0.6807692307692308
mogb_minilm_fair,banking77,0.5,42,0.9,1.6919846697372989,0.5469214437367304,0.9006578947368421,0.5871794871794872,0.0993421052631579,0.810062893081761,0.4128205128205128
mogb_minilm_fair,banking77,0.5,42,0.95,1.870260643862248,0.3039419087136929,0.9506578947368421,0.8121794871794872,0.049342105263157854,0.7961956521739131,0.18782051282051282
s2c_trainable_k1,banking77,0.5,42,0.5,0.8300961169674129,0.7912431587177482,0.5006578947368421,0.026923076923076925,0.4993421052631579,0.6666666666666666,0.9730769230769231
s2c_trainable_k1,banking77,0.5,42,0.6,0.8761043297232094,0.8164937192790824,0.6006578947368421,0.041666666666666664,0.39934210526315794,0.7112274024738344,0.9583333333333334
