dataset,kir,seed,method,method_label,n_samples,n_known,n_oos,oos_f1,known_recall,false_accept_rate,false_reject_rate,source_oos_f1,source_known_recall,metric_recompute_delta,source_prediction_path,oos_false_accept_count,known_false_reject_count,oos_true_reject_count,oos_recall,oos_precision,oos_f1_reconstructed
clinc150,0.25,100,single_centroid,Frozen K=1,5700,1140,4560,0.9540204837655264,0.7894736842105263,0.0399122807017543,0.2105263157894736,0.9540204837655264,0.7894736842105263,-1.1102230246251563e-16,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.25/seed_100/single_centroid/predictions.tsv,181.99999999999963,239.9999999999999,4378.0,0.9600877192982457,0.9480294499783456,0.9540204837655263
clinc150,0.25,100,fixed_k2,Frozen K=2,5700,1140,4560,0.9567555938037866,0.7464912280701754,0.0247807017543859,0.2535087719298246,0.9567555938037866,0.7464912280701754,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.25/seed_100/fixed_k2/predictions.tsv,112.9999999999997,289.0,4447.0,0.975219298245614,0.9389780405405406,0.9567555938037866
clinc150,0.25,100,random_partition,Random K=2,5700,1140,4560,0.9580106881884612,0.8096491228070175,0.0368421052631578,0.1903508771929824,0.9580106881884612,0.8096491228070175,-1.1102230246251563e-16,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.25/seed_100/random_partition/predictions.tsv,167.99999999999957,216.99999999999994,4392.0,0.9631578947368421,0.9529182035148622,0.9580106881884611
clinc150,0.25,100,mogb_minilm,MOGB MiniLM,5700,1140,4560,0.9265110590153908,0.3807017543859649,0.0032894736842105,0.6192982456140351,0.9265110590153908,0.3807017543859649,1.1102230246251563e-16,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.25/seed_100/mogb_minilm/predictions.tsv,14.999999999999881,706.0,4545.0,0.9967105263157895,0.8655494191582556,0.9265110590153909
clinc150,0.25,100,mogb_partition_ours_boundary,MOGB partition + ours,5700,1140,4560,0.9469035853222584,0.6070175438596491,0.0125,0.3929824561403509,0.9469035853222584,0.6070175438596491,1.1102230246251563e-16,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.25/seed_100/mogb_partition_ours_boundary/predictions.tsv,57.0,448.0,4503.0,0.9875,0.9095132296505757,0.9469035853222585
clinc150,0.25,100,ours_partition_mogb_boundary,Ours partition + MOGB,5700,1140,4560,0.9313916521382424,0.4298245614035088,0.0041666666666666,0.5701754385964912,0.9313916521382424,0.4298245614035088,-1.1102230246251563e-16,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.25/seed_100/ours_partition_mogb_boundary/predictions.tsv,18.999999999999694,650.0,4541.0,0.9958333333333333,0.8747832787516856,0.9313916521382423
clinc150,0.25,123,trainable_k1,Trainable K=1,5700,1140,4560,0.9475392103839914,0.7324561403508771,0.0394736842105263,0.2675438596491228,0.9475392103839914,0.7324561403508771,0.0,/home/bo/bo01/llmpy311/artifacts/s2c/runs/protocol_v2_textoir_v1/minilm_trainable_kir_sweep_extension_v1/kir_0.25/runs/clinc150/seed_123/predictions.jsonl,179.99999999999991,305.0,4380.0,0.9605263157894737,0.9348986125933831,0.9475392103839914
clinc150,0.25,123,single_centroid,Frozen K=1,5700,1140,4560,0.9384157761374904,0.7736842105263158,0.0660087719298245,0.2263157894736842,0.9384157761374904,0.7736842105263158,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.25/seed_123/single_centroid/predictions.tsv,300.9999999999997,258.0,4259.0,0.9339912280701754,0.9428824441000664,0.9384157761374903
clinc150,0.25,123,fixed_k2,Frozen K=2,5700,1140,4560,0.9401877319362584,0.7412280701754386,0.0554824561403508,0.2587719298245614,0.9401877319362584,0.7412280701754386,1.1102230246251563e-16,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.25/seed_123/fixed_k2/predictions.tsv,252.99999999999966,294.99999999999994,4307.0,0.9445175438596491,0.9358974358974359,0.9401877319362585
clinc150,0.25,123,random_partition,Random K=2,5700,1140,4560,0.940579869915114,0.7850877192982456,0.0644736842105263,0.2149122807017544,0.940579869915114,0.7850877192982456,1.1102230246251563e-16,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.25/seed_123/random_partition/predictions.tsv,293.9999999999999,245.0,4266.0,0.9355263157894737,0.9456883174462425,0.940579869915114
