dataset,kir,comparison_method,comparison_label,trainable_minus_oos_f1,trainable_minus_oos_f1_pp,trainable_minus_f1_all,trainable_minus_f1_all_pp,trainable_minus_f1_k,trainable_minus_f1_k_pp,trainable_minus_known_recall,trainable_minus_known_recall_pp,trainable_minus_false_accept_rate,trainable_minus_false_accept_rate_pp,trainable_minus_false_reject_rate,trainable_minus_false_reject_rate_pp
banking77,0.5,random_partition,Random K=2,0.11941976656247255,11.941976656247256,0.06953501225510961,6.95350122551096,0.06822225556281047,6.822225556281047,-0.03749999999999998,-3.749999999999998,-0.2075641025641026,-20.75641025641026,0.03750000000000009,3.750000000000009
banking77,0.5,single_centroid,Frozen K=1,0.11136046753964357,11.136046753964358,0.07159613589605007,7.159613589605007,0.07054970611595546,7.054970611595546,-0.028026315789473677,-2.8026315789473677,-0.19102564102564099,-19.1025641025641,0.028026315789473677,2.8026315789473677
banking77,0.75,fixed_k2,Frozen K=2,0.0934247110702151,9.34247110702151,0.038681975386999023,3.8681975386999023,0.037738135116598626,3.7738135116598626,-0.007241379310344853,-0.7241379310344853,-0.16473684210526318,-16.47368421052632,0.007241379310344909,0.7241379310344909
banking77,0.75,mogb_minilm,MOGB-MiniLM,0.2101898937725949,21.01898937725949,0.4173829221351943,41.73829221351943,0.4209552157276527,42.09552157276527,0.5364655172413794,53.646551724137936,0.18842105263157902,18.8421052631579,-0.5364655172413793,-53.64655172413792
banking77,0.75,mogb_partition_ours_boundary,MOGB partition + S2C boundary,0.15520265696899072,15.520265696899072,0.2552398236456419,25.52398236456419,0.25696460238144614,25.696460238144613,0.36551724137931035,36.55172413793103,0.1555263157894737,15.55263157894737,-0.36551724137931035,-36.55172413793103
banking77,0.75,ours_partition_mogb_boundary,S2C partition + MOGB boundary,0.13582420934583295,13.582420934583295,0.18456714201557856,18.456714201557855,0.18540753740643623,18.540753740643623,0.2885344827586207,28.85344827586207,0.1147368421052632,11.47368421052632,-0.2885344827586207,-28.85344827586207
banking77,0.75,random_partition,Random K=2,0.1527460737318238,15.27460737318238,0.052377210066167246,5.237721006616725,0.05064671241675933,5.064671241675933,-0.04862068965517241,-4.862068965517241,-0.2971052631578947,-29.71052631578947,0.04862068965517241,4.862068965517241
banking77,0.75,single_centroid,Frozen K=1,0.14992715396062783,14.992715396062783,0.05919263247675044,5.919263247675044,0.05762824417530421,5.762824417530421,-0.040000000000000036,-4.0000000000000036,-0.28394736842105267,-28.394736842105267,0.04000000000000001,4.000000000000001
clinc150,0.25,fixed_k2,Frozen K=2,0.006924353219263435,0.6924353219263435,0.016764716455740736,1.6764716455740736,0.01702367338301658,1.702367338301658,-0.007192982456140307,-0.7192982456140307,-0.014912280701754405,-1.4912280701754406,0.007192982456140418,0.7192982456140418
clinc150,0.25,mogb_minilm,MOGB-MiniLM,0.027806639669319178,2.7806639669319178,0.2744957991824698,27.44957991824698,0.280987619169658,28.0987619169658,0.36526315789473696,36.5263157894737,0.025789473684210598,2.5789473684210598,-0.3652631578947369,-36.52631578947369
