dataset,kir,method,layer,representation,partition,distance,oos_f1,oos_f1_std,known_macro_f1,known_recall,f1_all,accuracy,scope
clinc150,0.75,Trainable MiniLM K=1,current_protocol,last2_minilm_plus_projection,single_centroid,mahalanobis_diag,0.8254718838737372,0.0041515747190649,0.8242530375443193,0.745734126984127,0.8242638237950222,0.8266666666666667,protocol_v2_textoir_v1 / 3 seeds / Known-only
clinc150,0.75,s2c partition + MOGB boundary,current_protocol,frozen_minilm,fixed_kmeans,mixed_by_method,0.7004044722488025,0.003855913011152742,0.5681193498576044,0.4284523809523809,0.5692900146575266,0.6508771929824562,protocol_v2_textoir_v1 / frozen MiniLM / 5 seeds
oos,0.75,DCLOOS-official (reduced-budget recovered),external_compatibility,end-to-end-BERT,method_specific,method_specific,0.870527,,0.902916,0.921429,0.902629,0.886842,official_external_negative_single_cell_recovered
stackoverflow,0.25,Frozen MiniLM K=1,current_protocol,frozen_minilm,fixed_kmeans,mahalanobis_diag,0.9385207147185748,0.0244656346068138,,0.8307401143942981,,,protocol_v2_textoir_v1 / 3 seeds / Gate-only
stackoverflow,0.25,Frozen MiniLM K=2,current_protocol,frozen_minilm,fixed_kmeans,mahalanobis_diag,0.8990379386207786,0.0292540066900295,,0.8603495567157146,,,protocol_v2_textoir_v1 / 3 seeds / Gate-only
stackoverflow,0.25,Frozen fixed K=2,current_protocol,frozen_minilm,fixed_kmeans,mixed_by_method,0.8666146611474034,0.04798142689533388,0.748265899855114,0.8521333333333333,0.767990693403829,0.8107666666666666,protocol_v2_textoir_v1 / frozen MiniLM / 5 seeds
stackoverflow,0.25,Frozen random partition K=2,current_protocol,frozen_minilm,random_balanced,mixed_by_method,0.8911014170392451,0.04117036715235756,0.7921543134835465,0.8609333333333333,0.8086454974094963,0.842,protocol_v2_textoir_v1 / frozen MiniLM / 5 seeds
stackoverflow,0.25,Frozen single centroid,current_protocol,frozen_minilm,single,mixed_by_method,0.8948207530022316,0.0376559780719465,0.7931749951035708,0.8561333333333334,0.8101159547533475,0.8465666666666667,protocol_v2_textoir_v1 / frozen MiniLM / 5 seeds
stackoverflow,0.25,MOGB partition + s2c boundary,current_protocol,frozen_minilm,mogb_adaptive,mixed_by_method,0.9259960799998362,0.005335538584498705,0.6962119485612942,0.5910666666666666,0.7345093038010513,0.8820333333333334,protocol_v2_textoir_v1 / frozen MiniLM / 5 seeds
stackoverflow,0.25,MOGB-MiniLM,current_protocol,frozen_minilm,mogb_adaptive,mixed_by_method,0.8944000569448456,0.005949655171098938,0.4699646272383573,0.3261333333333333,0.540703865522772,0.8243333333333334,protocol_v2_textoir_v1 / frozen MiniLM / 5 seeds
