dataset,seed,method,method_label,representation,oos_f1,full_macro_f1,known_macro_f1,overall_accuracy,known_recall,false_accept_rate,false_reject_rate,router_error_rate,expert_error_rate,gate_oos_f1,source,source_path
stackoverflow,13,ce_recon_selected_k,Trainable CE-Recon selected-K,CE-Recon MiniLM,0.8500707213578501,0.7890775863744524,0.8608664252390756,0.8136894824707847,0.9138851802403204,0.1970607882431529,0.0861148197596795,0.0,0.097881665449233,0.8500707213578501,cached_cascade_full,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/evaluations/stackoverflow/kir50_seed13/ce_recon_selected_k/eval_results.json
stackoverflow,13,frozen_k1,Frozen K=1,frozen MiniLM,0.7662360644133782,0.7260296305439313,0.8258463219213736,0.7409015025041736,0.835781041388518,0.2768871075484302,0.1642189586114819,0.0,0.0922523961661341,0.7662360644133781,cached_cascade_full,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/evaluations/stackoverflow/kir50_seed13/frozen_k1/eval_results.json
stackoverflow,13,frozen_selected_k,Frozen selected-K,frozen MiniLM,0.735515425131678,0.7066000541559564,0.829868195667709,0.7161936560934892,0.8775033377837116,0.3470273881095524,0.1224966622162883,0.0,0.1118295930011411,0.735515425131678,cached_cascade_full,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/evaluations/stackoverflow/kir50_seed13/frozen_selected_k/eval_results.json
stackoverflow,42,best_controlled_baseline,Best controlled,linear baseline,0.8609687551661431,0.8061537265033185,0.8523173311289733,0.8293823038397329,0.8503174072836619,0.1311311311311311,0.1496825927163381,0.0,0.0711198428290766,0.8609687551661431,cached_cascade_full,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/evaluations/stackoverflow/kir50_seed42/best_controlled_baseline/eval_results.json
stackoverflow,42,ce_recon_selected_k,Trainable CE-Recon selected-K,CE-Recon MiniLM,0.905428796223446,0.852280245202773,0.8625387463359235,0.8771285475792988,0.8392916805880387,0.04004004004004,0.1607083194119612,0.0,0.0537420382165605,0.9054287962234461,cached_cascade_full,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/evaluations/stackoverflow/kir50_seed42/ce_recon_selected_k/eval_results.json
stackoverflow,42,frozen_k1,Frozen K=1,frozen MiniLM,0.8435800230756552,0.7844080802549501,0.8384207068794064,0.8106844741235393,0.8292682926829268,0.1461461461461461,0.1707317073170731,0.0,0.0745366639806607,0.8435800230756552,cached_cascade_full,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/evaluations/stackoverflow/kir50_seed42/frozen_k1/eval_results.json
stackoverflow,42,frozen_selected_k,Frozen selected-K,frozen MiniLM,0.8435800230756552,0.7844080802549501,0.8384207068794064,0.8106844741235393,0.8292682926829268,0.1461461461461461,0.1707317073170731,0.0,0.0745366639806607,0.8435800230756552,cached_cascade_full,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/evaluations/stackoverflow/kir50_seed42/frozen_selected_k/eval_results.json
stackoverflow,87,best_controlled_baseline,Best controlled,linear baseline,0.7777777777777778,0.7747251223771877,0.8738762749177876,0.7707846410684475,0.85437541750167,0.2710280373831775,0.14562458249833,0.0,0.0488663017982799,0.7777777777777778,cached_cascade_full,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/evaluations/stackoverflow/kir50_seed87/best_controlled_baseline/eval_results.json
stackoverflow,87,ce_recon_selected_k,Trainable CE-Recon selected-K,CE-Recon MiniLM,0.8730082085948817,0.8420742162920427,0.8768492030883168,0.8545909849749582,0.8313293253173013,0.0947930574098798,0.1686706746826987,0.0,0.0329449578143832,0.8730082085948817,cached_cascade_full,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/evaluations/stackoverflow/kir50_seed87/ce_recon_selected_k/eval_results.json
stackoverflow,87,frozen_k1,Frozen K=1,frozen MiniLM,0.7608426270136307,0.7541914379356623,0.8550691114852593,0.7502504173622705,0.8316633266533067,0.2827102803738318,0.1683366733466934,0.0,0.0582329317269076,0.7608426270136307,cached_cascade_full,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/evaluations/stackoverflow/kir50_seed87/frozen_k1/eval_results.json
