dataset,stage,count,rate,method,method_label,seed
banking77_oos,known_rejected_by_gate,125,0.0306372549019607,trainable_k1_current_h1,Trainable H1 K=1,13
banking77_oos,known_wrong_domain,0,0.0,trainable_k1_current_h1,Trainable H1 K=1,13
banking77_oos,known_wrong_expert,92,0.0225490196078431,trainable_k1_current_h1,Trainable H1 K=1,13
banking77_oos,correct_known_prediction,783,0.1919117647058823,trainable_k1_current_h1,Trainable H1 K=1,13
banking77_oos,correct_oos_rejection,2531,0.620343137254902,trainable_k1_current_h1,Trainable H1 K=1,42
banking77_oos,oos_accepted_by_gate,549,0.1345588235294117,trainable_k1_current_h1,Trainable H1 K=1,42
banking77_oos,known_rejected_by_gate,162,0.0397058823529411,trainable_k1_current_h1,Trainable H1 K=1,42
banking77_oos,known_wrong_domain,0,0.0,trainable_k1_current_h1,Trainable H1 K=1,42
banking77_oos,known_wrong_expert,93,0.0227941176470588,trainable_k1_current_h1,Trainable H1 K=1,42
banking77_oos,correct_known_prediction,745,0.1825980392156862,trainable_k1_current_h1,Trainable H1 K=1,42
banking77_oos,correct_oos_rejection,2606,0.6387254901960784,trainable_k1_current_h1,Trainable H1 K=1,87
banking77_oos,oos_accepted_by_gate,474,0.1161764705882353,trainable_k1_current_h1,Trainable H1 K=1,87
banking77_oos,known_rejected_by_gate,149,0.0365196078431372,trainable_k1_current_h1,Trainable H1 K=1,87
banking77_oos,known_wrong_domain,0,0.0,trainable_k1_current_h1,Trainable H1 K=1,87
banking77_oos,known_wrong_expert,110,0.0269607843137254,trainable_k1_current_h1,Trainable H1 K=1,87
banking77_oos,correct_known_prediction,741,0.1816176470588235,trainable_k1_current_h1,Trainable H1 K=1,87
