method,dataset,kir,seed,target_known_recall,threshold,oos_f1,known_recall,false_accept_rate,false_reject_rate,oos_precision,oos_recall,method_label,kir_label
s2c_trainable_k1,banking77,0.5,123,0.95,1.1677981079707604,0.577023498694517,0.950657894736842,0.575,0.0493421052631578,0.8983739837398373,0.425,S2C Trainable K=1,0.50
mogb_minilm_fair,banking77,0.75,13,0.8,1.5565805126485142,0.4645323289391086,0.8004310344827587,0.5131578947368421,0.1995689655172413,0.4441776710684273,0.4868421052631579,MOGB-MiniLM-Fair,0.75
s2c_trainable_k1,banking77,0.75,13,0.8,0.97954679113134,0.6655755591925805,0.8004310344827587,0.1973684210526315,0.1995689655172413,0.5684995340167754,0.8026315789473685,S2C Trainable K=1,0.75
mogb_minilm_fair,banking77,0.75,13,0.9,1.7899167639610547,0.3016281062553556,0.9004310344827586,0.7684210526315789,0.0995689655172413,0.4324324324324324,0.231578947368421,MOGB-MiniLM-Fair,0.75
s2c_trainable_k1,banking77,0.75,13,0.9,1.0633921127288757,0.5913290689410092,0.9004310344827586,0.4526315789473684,0.0995689655172413,0.642967542503864,0.5473684210526316,S2C Trainable K=1,0.75
mogb_minilm_fair,banking77,0.75,13,0.95,2.041178973022851,0.1540084388185654,0.9504310344827588,0.9039473684210526,0.0495689655172413,0.3882978723404255,0.0960526315789473,MOGB-MiniLM-Fair,0.75
s2c_trainable_k1,banking77,0.75,13,0.95,1.1331478858311508,0.4262589928057554,0.9504310344827588,0.6881578947368421,0.0495689655172413,0.6732954545454546,0.3118421052631579,S2C Trainable K=1,0.75
mogb_minilm_fair,banking77,0.75,42,0.8,1.6448139761991258,0.5247285886610374,0.8004310344827587,0.4276315789473684,0.1995689655172413,0.4844097995545657,0.5723684210526315,MOGB-MiniLM-Fair,0.75
s2c_trainable_k1,banking77,0.75,42,0.8,0.982092390282475,0.7133087848500789,0.8004310344827587,0.1078947368421052,0.1995689655172413,0.5942156003505696,0.8921052631578947,S2C Trainable K=1,0.75
mogb_minilm_fair,banking77,0.75,42,0.9,1.8749261555694736,0.3606286186931348,0.9004310344827586,0.7131578947368421,0.0995689655172413,0.4855233853006681,0.2868421052631579,MOGB-MiniLM-Fair,0.75
s2c_trainable_k1,banking77,0.75,42,0.9,1.0726407139389715,0.7121507472384665,0.9004310344827586,0.2789473684210526,0.0995689655172413,0.7034659820282413,0.7210526315789474,S2C Trainable K=1,0.75
mogb_minilm_fair,banking77,0.75,42,0.95,2.086495421638236,0.2215447154471544,0.9504310344827588,0.8565789473684211,0.0495689655172413,0.4866071428571428,0.1434210526315789,MOGB-MiniLM-Fair,0.75
s2c_trainable_k1,banking77,0.75,42,0.95,1.1478230151549424,0.5988791032826261,0.9504310344827588,0.5078947368421053,0.0495689655172413,0.7648261758691206,0.4921052631578947,S2C Trainable K=1,0.75
mogb_minilm_fair,banking77,0.75,87,0.8,1.505715695968693,0.5611764705882353,0.8004310344827587,0.3723684210526315,0.1995689655172413,0.5074468085106383,0.6276315789473684,MOGB-MiniLM-Fair,0.75
s2c_trainable_k1,banking77,0.75,87,0.8,0.9864874733512726,0.6905781584582441,0.8004310344827587,0.1513157894736842,0.1995689655172413,0.5821299638989169,0.8486842105263158,S2C Trainable K=1,0.75
mogb_minilm_fair,banking77,0.75,87,0.9,1.7273174721550446,0.4118589743589743,0.9004310344827586,0.6618421052631579,0.0995689655172413,0.5266393442622951,0.3381578947368421,MOGB-MiniLM-Fair,0.75
s2c_trainable_k1,banking77,0.75,87,0.9,1.080787661320985,0.7011795543905636,0.9004310344827586,0.2960526315789473,0.0995689655172413,0.6984334203655352,0.7039473684210527,S2C Trainable K=1,0.75
mogb_minilm_fair,banking77,0.75,87,0.95,1.904588899065135,0.2993197278911564,0.9504310344827588,0.7973684210526316,0.0495689655172413,0.5724907063197026,0.2026315789473684,MOGB-MiniLM-Fair,0.75
s2c_trainable_k1,banking77,0.75,87,0.95,1.1736456642521154,0.5584843492586491,0.9504310344827588,0.5539473684210526,0.0495689655172413,0.7466960352422908,0.4460526315789473,S2C Trainable K=1,0.75
mogb_minilm_fair,banking77,0.75,100,0.8,1.5541010775925612,0.5335731414868106,0.8004310344827587,0.4144736842105263,0.1995689655172413,0.4900881057268722,0.5855263157894737,MOGB-MiniLM-Fair,0.75
s2c_trainable_k1,banking77,0.75,100,0.8,0.9792143103032136,0.6835306781485468,0.8004310344827587,0.1644736842105263,0.1995689655172413,0.5783242258652095,0.8355263157894737,S2C Trainable K=1,0.75
mogb_minilm_fair,banking77,0.75,100,0.9,1.7451840827655247,0.3833605220228385,0.9004310344827586,0.6907894736842105,0.0995689655172413,0.5042918454935622,0.3092105263157895,MOGB-MiniLM-Fair,0.75
s2c_trainable_k1,banking77,0.75,100,0.9,1.0729862809046948,0.6751336898395722,0.9004310344827586,0.3355263157894737,0.0995689655172413,0.686141304347826,0.6644736842105263,S2C Trainable K=1,0.75
mogb_minilm_fair,banking77,0.75,100,0.95,1.8887540498139448,0.2552342971086739,0.9504310344827588,0.8315789473684211,0.0495689655172413,0.5267489711934157,0.1684210526315789,MOGB-MiniLM-Fair,0.75
s2c_trainable_k1,banking77,0.75,100,0.95,1.1566569354971667,0.5760781122864117,0.9504310344827588,0.5342105263157895,0.0495689655172413,0.7547974413646056,0.4657894736842105,S2C Trainable K=1,0.75
mogb_minilm_fair,banking77,0.75,123,0.8,1.5752778678203094,0.5687536571094207,0.8004310344827587,0.3605263157894737,0.1995689655172413,0.512118018967334,0.6394736842105263,MOGB-MiniLM-Fair,0.75
s2c_trainable_k1,banking77,0.75,123,0.8,0.984553455109462,0.6626571897211591,0.8004310344827587,0.2026315789473684,0.1995689655172413,0.5668849391955099,0.7973684210526316,S2C Trainable K=1,0.75
mogb_minilm_fair,banking77,0.75,123,0.9,1.7908577733070237,0.40290088638195,0.9004310344827586,0.6710526315789473,0.0995689655172413,0.5197505197505198,0.3289473684210526,MOGB-MiniLM-Fair,0.75
s2c_trainable_k1,banking77,0.75,123,0.9,1.0724540289085107,0.6378006872852233,0.9004310344827586,0.3894736842105263,0.0995689655172413,0.6676258992805756,0.6105263157894737,S2C Trainable K=1,0.75
