method,dataset,kir,seed,target_known_recall,threshold,oos_f1,known_recall,false_accept_rate,false_reject_rate,oos_precision,oos_recall,method_label,kir_label
mogb_minilm_fair,clinc150,0.5,42,0.95,1.5251889915483154,0.4774524471040821,0.9502222222222222,0.676231884057971,0.0497777777777778,0.9088689991863304,0.323768115942029,MOGB-MiniLM-Fair,0.50
s2c_trainable_k1,clinc150,0.5,42,0.95,1.2040231522336642,0.8332787422207665,0.9502222222222222,0.2626086956521739,0.0497777777777778,0.9578313253012049,0.7373913043478261,S2C Trainable K=1,0.50
mogb_minilm_fair,clinc150,0.5,87,0.8,1.2899623484927103,0.8321102291448256,0.8004444444444444,0.1947826086956521,0.1995555555555556,0.8608614812519367,0.8052173913043478,MOGB-MiniLM-Fair,0.50
s2c_trainable_k1,clinc150,0.5,87,0.8,1.034407811785916,0.9172452096639824,0.8004444444444444,0.0426086956521739,0.1995555555555556,0.8803304904051172,0.957391304347826,S2C Trainable K=1,0.50
mogb_minilm_fair,clinc150,0.5,87,0.9,1.4269669185558602,0.676036036036036,0.9004444444444445,0.456231884057971,0.0995555555555555,0.8933333333333333,0.543768115942029,MOGB-MiniLM-Fair,0.50
s2c_trainable_k1,clinc150,0.5,87,0.9,1.1410277875645058,0.901644245142003,0.9004444444444445,0.1257971014492753,0.0995555555555555,0.9308641975308642,0.8742028985507246,S2C Trainable K=1,0.50
mogb_minilm_fair,clinc150,0.5,87,0.95,1.5391199007308851,0.4751712328767123,0.9502222222222222,0.6782608695652174,0.0497777777777778,0.9083469721767594,0.3217391304347826,MOGB-MiniLM-Fair,0.50
s2c_trainable_k1,clinc150,0.5,87,0.95,1.2367703441895532,0.8096908939014202,0.9502222222222222,0.2976811594202898,0.0497777777777778,0.955818540433925,0.7023188405797102,S2C Trainable K=1,0.50
mogb_minilm_fair,clinc150,0.5,100,0.8,1.2891249739100017,0.8165123691000151,0.8004444444444444,0.2202898550724637,0.1995555555555556,0.8569608155463524,0.7797101449275362,MOGB-MiniLM-Fair,0.50
s2c_trainable_k1,clinc150,0.5,100,0.8,1.0339134154575649,0.9146833681280444,0.8004444444444444,0.0475362318840579,0.1995555555555556,0.8797858099062918,0.952463768115942,S2C Trainable K=1,0.50
mogb_minilm_fair,clinc150,0.5,100,0.9,1.409749648848877,0.6472754050073638,0.9004444444444445,0.4904347826086956,0.0995555555555555,0.8869828456104945,0.5095652173913043,MOGB-MiniLM-Fair,0.50
s2c_trainable_k1,clinc150,0.5,100,0.9,1.1189886638507769,0.9122131754256106,0.9004444444444445,0.1069565217391304,0.0995555555555555,0.9322239031770044,0.8930434782608696,S2C Trainable K=1,0.50
mogb_minilm_fair,clinc150,0.5,100,0.95,1.5503853198550173,0.4414788886458105,0.9502222222222222,0.707536231884058,0.0497777777777778,0.9000892060660125,0.292463768115942,MOGB-MiniLM-Fair,0.50
s2c_trainable_k1,clinc150,0.5,100,0.95,1.202915273463978,0.8692063492063492,0.9502222222222222,0.2063768115942029,0.0497777777777778,0.960701754385965,0.7936231884057972,S2C Trainable K=1,0.50
mogb_minilm_fair,clinc150,0.5,123,0.8,1.276991051150938,0.84061849539102,0.8004444444444444,0.1805797101449275,0.1995555555555556,0.862942612942613,0.8194202898550724,MOGB-MiniLM-Fair,0.50
s2c_trainable_k1,clinc150,0.5,123,0.8,1.0282280557390824,0.9118057493720346,0.8004444444444444,0.0530434782608695,0.1995555555555556,0.8791711517761034,0.9469565217391304,S2C Trainable K=1,0.50
mogb_minilm_fair,clinc150,0.5,123,0.9,1.3911914082310477,0.6922940024915465,0.9004444444444445,0.436231884057971,0.0995555555555555,0.896726602120793,0.563768115942029,MOGB-MiniLM-Fair,0.50
s2c_trainable_k1,clinc150,0.5,123,0.9,1.1078746852502492,0.907360594795539,0.9004444444444445,0.1156521739130434,0.0995555555555555,0.9316030534351144,0.8843478260869565,S2C Trainable K=1,0.50
mogb_minilm_fair,clinc150,0.5,123,0.95,1.507870744998708,0.4973634254376713,0.9502222222222222,0.6582608695652173,0.0497777777777778,0.9132455460883036,0.3417391304347826,MOGB-MiniLM-Fair,0.50
s2c_trainable_k1,clinc150,0.5,123,0.95,1.1747133706848685,0.852263573384888,0.9502222222222222,0.2333333333333333,0.0497777777777778,0.9593761334784184,0.7666666666666667,S2C Trainable K=1,0.50
mogb_minilm_fair,clinc150,0.75,13,0.8,1.3040636929761524,0.7951180472188876,0.8002976190476191,0.1508547008547008,0.1997023809523809,0.7475545522949586,0.8491452991452991,MOGB-MiniLM-Fair,0.75
s2c_trainable_k1,clinc150,0.75,13,0.8,1.0291686639846844,0.8421457412036147,0.8002976190476191,0.0641025641025641,0.1997023809523809,0.7654666200629151,0.935897435897436,S2C Trainable K=1,0.75
mogb_minilm_fair,clinc150,0.75,13,0.9,1.4446950266523628,0.6005754642950563,0.9002976190476191,0.5094017094017094,0.0997023809523809,0.7741065407956844,0.4905982905982906,MOGB-MiniLM-Fair,0.75
s2c_trainable_k1,clinc150,0.75,13,0.9,1.1062768437272923,0.8563488670371954,0.9002976190476191,0.144017094017094,0.0997023809523809,0.8567151411462789,0.8559829059829059,S2C Trainable K=1,0.75
mogb_minilm_fair,clinc150,0.75,13,0.95,1.5587354318628843,0.4097684744687599,0.950297619047619,0.7239316239316239,0.049702380952381,0.7945879458794588,0.2760683760683761,MOGB-MiniLM-Fair,0.75
s2c_trainable_k1,clinc150,0.75,13,0.95,1.1818421754407766,0.8121298270552002,0.950297619047619,0.2675213675213675,0.049702380952381,0.911217437533227,0.7324786324786324,S2C Trainable K=1,0.75
mogb_minilm_fair,clinc150,0.75,42,0.8,1.338746554614857,0.7717723842545381,0.8002976190476191,0.1914529914529914,0.1997023809523809,0.7381974248927039,0.8085470085470086,MOGB-MiniLM-Fair,0.75
s2c_trainable_k1,clinc150,0.75,42,0.8,1.042666208212115,0.8459179762361058,0.8002976190476191,0.0568376068376068,0.1997023809523809,0.7668519805420431,0.9431623931623933,S2C Trainable K=1,0.75
mogb_minilm_fair,clinc150,0.75,42,0.9,1.4664019712132608,0.6465975208702252,0.9002976190476191,0.4538461538461538,0.0997023809523809,0.7923124612523249,0.5461538461538461,MOGB-MiniLM-Fair,0.75
s2c_trainable_k1,clinc150,0.75,42,0.9,1.1506384213294745,0.854389721627409,0.9002976190476191,0.1474358974358974,0.0997023809523809,0.8562231759656652,0.8525641025641025,S2C Trainable K=1,0.75
mogb_minilm_fair,clinc150,0.75,42,0.95,1.5856627417525917,0.432145090681676,0.950297619047619,0.7047008547008548,0.049702380952381,0.8053613053613053,0.2952991452991453,MOGB-MiniLM-Fair,0.75
s2c_trainable_k1,clinc150,0.75,42,0.95,1.2227488612749082,0.8227283399859122,0.950297619047619,0.2512820512820513,0.049702380952381,0.9129755080771236,0.7487179487179487,S2C Trainable K=1,0.75
mogb_minilm_fair,clinc150,0.75,87,0.8,1.3381409454917066,0.7071704594246457,0.8002976190476191,0.2961538461538461,0.1997023809523809,0.7105263157894737,0.7038461538461539,MOGB-MiniLM-Fair,0.75
s2c_trainable_k1,clinc150,0.75,87,0.8,1.029991863718977,0.850105021959137,0.8002976190476191,0.0487179487179487,0.1997023809523809,0.7683810838798757,0.9512820512820512,S2C Trainable K=1,0.75
mogb_minilm_fair,clinc150,0.75,87,0.9,1.4567801685819404,0.559504577275175,0.9002976190476191,0.555982905982906,0.0997023809523809,0.7561863173216885,0.444017094017094,MOGB-MiniLM-Fair,0.75
s2c_trainable_k1,clinc150,0.75,87,0.9,1.1132661576406344,0.8734470414824174,0.9002976190476191,0.1136752136752136,0.0997023809523809,0.8609381486093814,0.8863247863247863,S2C Trainable K=1,0.75
mogb_minilm_fair,clinc150,0.75,87,0.95,1.5714755419022166,0.3872627854615632,0.950297619047619,0.7427350427350428,0.049702380952381,0.7828348504551366,0.2572649572649572,MOGB-MiniLM-Fair,0.75
s2c_trainable_k1,clinc150,0.75,87,0.95,1.1960340788937358,0.7976019184652278,0.950297619047619,0.2893162393162393,0.049702380952381,0.9087431693989072,0.7106837606837607,S2C Trainable K=1,0.75
mogb_minilm_fair,clinc150,0.75,100,0.8,1.3198210687298284,0.778498985801217,0.8002976190476191,0.1799145299145299,0.1997023809523809,0.740926640926641,0.8200854700854701,MOGB-MiniLM-Fair,0.75
s2c_trainable_k1,clinc150,0.75,100,0.8,1.0284682745662272,0.8487860829669279,0.8002976190476191,0.0512820512820512,0.1997023809523809,0.7679003804911795,0.9487179487179488,S2C Trainable K=1,0.75
mogb_minilm_fair,clinc150,0.75,100,0.9,1.4697279221435335,0.6082206035379812,0.9002976190476191,0.5004273504273504,0.0997023809523809,0.7772606382978723,0.4995726495726496,MOGB-MiniLM-Fair,0.75
s2c_trainable_k1,clinc150,0.75,100,0.9,1.1343652623635134,0.870116156282999,0.9002976190476191,0.1196581196581196,0.0997023809523809,0.860125260960334,0.8803418803418803,S2C Trainable K=1,0.75
mogb_minilm_fair,clinc150,0.75,100,0.95,1.5866495236543126,0.4355694227769111,0.950297619047619,0.7017094017094017,0.049702380952381,0.8069364161849711,0.2982905982905983,MOGB-MiniLM-Fair,0.75
s2c_trainable_k1,clinc150,0.75,100,0.95,1.225616723411602,0.837737598516458,0.950297619047619,0.2277777777777777,0.049702380952381,0.9154002026342452,0.7722222222222223,S2C Trainable K=1,0.75
mogb_minilm_fair,clinc150,0.75,123,0.8,1.300097420325623,0.7427974947807933,0.8002976190476191,0.2397435897435897,0.1997023809523809,0.7261224489795919,0.7602564102564102,MOGB-MiniLM-Fair,0.75
s2c_trainable_k1,clinc150,0.75,123,0.8,1.0283869589500805,0.8452540747842762,0.8002976190476191,0.0581196581196581,0.1997023809523809,0.7666086956521739,0.941880341880342,S2C Trainable K=1,0.75
mogb_minilm_fair,clinc150,0.75,123,0.9,1.4346115851330026,0.5679871520342612,0.9002976190476191,0.5465811965811965,0.0997023809523809,0.7600286532951289,0.4534188034188034,MOGB-MiniLM-Fair,0.75
s2c_trainable_k1,clinc150,0.75,123,0.9,1.1101221661222138,0.8609750904832872,0.9002976190476191,0.1358974358974359,0.0997023809523809,0.8578701739499364,0.8641025641025641,S2C Trainable K=1,0.75
mogb_minilm_fair,clinc150,0.75,123,0.95,1.5668702919135906,0.3512002630713581,0.950297619047619,0.7717948717948718,0.049702380952381,0.7617689015691869,0.2282051282051282,MOGB-MiniLM-Fair,0.75
s2c_trainable_k1,clinc150,0.75,123,0.95,1.188528545635743,0.8274087932647334,0.950297619047619,0.244017094017094,0.049702380952381,0.9137396694214877,0.755982905982906,S2C Trainable K=1,0.75
mogb_minilm_fair,stackoverflow,0.25,13,0.8,1.1587671276896525,0.8984276368644554,0.8006666666666666,0.1302222222222222,0.1993333333333333,0.9290291953477332,0.8697777777777778,MOGB-MiniLM-Fair,0.25
s2c_trainable_k1,stackoverflow,0.25,13,0.8,0.9820980204917442,0.9428351139993392,0.8006666666666666,0.0488888888888888,0.1993333333333333,0.9347018999781612,0.9511111111111112,S2C Trainable K=1,0.25
mogb_minilm_fair,stackoverflow,0.25,13,0.9,1.2190499025435724,0.7514435343091178,0.9006666666666666,0.3782222222222222,0.0993333333333333,0.9494401085850016,0.6217777777777778,MOGB-MiniLM-Fair,0.25
s2c_trainable_k1,stackoverflow,0.25,13,0.9,1.0392694497528332,0.8553490089868275,0.9006666666666666,0.228,0.0993333333333333,0.9588738614407948,0.772,S2C Trainable K=1,0.25
mogb_minilm_fair,stackoverflow,0.25,13,0.95,1.268160806259382,0.4948996380388286,0.9506666666666668,0.6657777777777778,0.0493333333333333,0.953105196451204,0.3342222222222222,MOGB-MiniLM-Fair,0.25
s2c_trainable_k1,stackoverflow,0.25,13,0.95,1.0648290147423711,0.7080920773901991,0.9506666666666668,0.4428888888888889,0.0493333333333333,0.971328942270438,0.5571111111111111,S2C Trainable K=1,0.25
mogb_minilm_fair,stackoverflow,0.25,42,0.8,1.179739837187043,0.7701178882624296,0.8006666666666666,0.3322222222222222,0.1993333333333333,0.909503631961259,0.6677777777777778,MOGB-MiniLM-Fair,0.25
s2c_trainable_k1,stackoverflow,0.25,42,0.8,0.9179541962538924,0.9602426606001516,0.8006666666666666,0.0151111111111111,0.1993333333333333,0.9367998309025576,0.9848888888888888,S2C Trainable K=1,0.25
mogb_minilm_fair,stackoverflow,0.25,42,0.9,1.2463633151100884,0.4111414900888585,0.9006666666666666,0.7326666666666667,0.0993333333333333,0.889792899408284,0.2673333333333333,MOGB-MiniLM-Fair,0.25
s2c_trainable_k1,stackoverflow,0.25,42,0.9,1.114039575986305,0.9158115671641792,0.9006666666666666,0.1273333333333333,0.0993333333333333,0.9634445534838076,0.8726666666666667,S2C Trainable K=1,0.25
mogb_minilm_fair,stackoverflow,0.25,42,0.95,1.3246789653090747,0.2216174183514774,0.9506666666666668,0.8733333333333333,0.0493333333333333,0.8850931677018633,0.1266666666666666,MOGB-MiniLM-Fair,0.25
s2c_trainable_k1,stackoverflow,0.25,42,0.95,1.2654400223990352,0.7852874784225202,0.9506666666666668,0.3428888888888889,0.0493333333333333,0.9755856153084792,0.6571111111111111,S2C Trainable K=1,0.25
mogb_minilm_fair,stackoverflow,0.25,87,0.8,1.1558877415991111,0.8609067173035841,0.8006666666666666,0.194,0.1993333333333333,0.9238410596026492,0.806,MOGB-MiniLM-Fair,0.25
s2c_trainable_k1,stackoverflow,0.25,87,0.8,0.9348468382597196,0.961367817335786,0.8006666666666666,0.0128888888888888,0.1993333333333333,0.9369331364690994,0.9871111111111112,S2C Trainable K=1,0.25
mogb_minilm_fair,stackoverflow,0.25,87,0.9,1.2063478175351177,0.7259523157029323,0.9006666666666666,0.4113333333333333,0.0993333333333333,0.94674767691208,0.5886666666666667,MOGB-MiniLM-Fair,0.25
s2c_trainable_k1,stackoverflow,0.25,87,0.9,1.111596400999427,0.9394319607619482,0.9006666666666666,0.0848888888888888,0.0993333333333333,0.9650808530583548,0.9151111111111112,S2C Trainable K=1,0.25
mogb_minilm_fair,stackoverflow,0.25,87,0.95,1.2524281154798529,0.5197411003236246,0.9506666666666668,0.6431111111111111,0.0493333333333333,0.955952380952381,0.3568888888888888,MOGB-MiniLM-Fair,0.25
s2c_trainable_k1,stackoverflow,0.25,87,0.95,1.263359723816868,0.8474234597454958,0.9506666666666668,0.2526666666666666,0.0493333333333333,0.9784695955775384,0.7473333333333333,S2C Trainable K=1,0.25
mogb_minilm_fair,stackoverflow,0.25,100,0.8,1.1339602760028902,0.8874463892430741,0.8006666666666666,0.1493333333333333,0.1993333333333333,0.9275502786527744,0.8506666666666667,MOGB-MiniLM-Fair,0.25
s2c_trainable_k1,stackoverflow,0.25,100,0.8,0.8786562686801764,0.9646170442286948,0.8006666666666666,0.0064444444444444,0.1993333333333333,0.9373165618448638,0.9935555555555556,S2C Trainable K=1,0.25
mogb_minilm_fair,stackoverflow,0.25,100,0.9,1.1970778969975548,0.7421536796536796,0.9006666666666666,0.3904444444444444,0.0993333333333333,0.9484785615491008,0.6095555555555555,MOGB-MiniLM-Fair,0.25
s2c_trainable_k1,stackoverflow,0.25,100,0.9,1.1154801456705776,0.9596061318115698,0.9006666666666666,0.0471111111111111,0.0993333333333333,0.9664187514086094,0.9528888888888888,S2C Trainable K=1,0.25
mogb_minilm_fair,stackoverflow,0.25,100,0.95,1.2665172964979043,0.4118055555555555,0.9506666666666668,0.7364444444444445,0.0493333333333333,0.9412698412698411,0.2635555555555555,MOGB-MiniLM-Fair,0.25
s2c_trainable_k1,stackoverflow,0.25,100,0.95,1.3213578566843711,0.8845262772832582,0.9506666666666668,0.194,0.0493333333333333,0.9800054039448798,0.806,S2C Trainable K=1,0.25
mogb_minilm_fair,stackoverflow,0.25,123,0.8,1.113942903091277,0.861447212336892,0.8006666666666666,0.1931111111111111,0.1993333333333333,0.9239185750636132,0.8068888888888889,MOGB-MiniLM-Fair,0.25
s2c_trainable_k1,stackoverflow,0.25,123,0.8,0.9361503912111344,0.9597919150319714,0.8006666666666666,0.016,0.1993333333333333,0.9367463507510048,0.984,S2C Trainable K=1,0.25
mogb_minilm_fair,stackoverflow,0.25,123,0.9,1.1732577104835962,0.6650394831299354,0.9006666666666666,0.4853333333333333,0.0993333333333333,0.939553752535497,0.5146666666666667,MOGB-MiniLM-Fair,0.25
s2c_trainable_k1,stackoverflow,0.25,123,0.9,1.2059458715983675,0.880703021548092,0.9006666666666666,0.1871111111111111,0.0993333333333333,0.9608615707906488,0.8128888888888889,S2C Trainable K=1,0.25
mogb_minilm_fair,stackoverflow,0.25,123,0.95,1.2512506588372043,0.3084319526627219,0.9506666666666668,0.8146666666666667,0.0493333333333333,0.9185022026431718,0.1853333333333333,MOGB-MiniLM-Fair,0.25
s2c_trainable_k1,stackoverflow,0.25,123,0.95,1.35243785881382,0.7490769861889786,0.9506666666666668,0.3913333333333333,0.0493333333333333,0.97369356558834,0.6086666666666667,S2C Trainable K=1,0.25
mogb_minilm_fair,stackoverflow,0.5,13,0.8,1.1824394559310143,0.7977284115583765,0.8003333333333333,0.204,0.1996666666666666,0.7994643454971543,0.796,MOGB-MiniLM-Fair,0.50
s2c_trainable_k1,stackoverflow,0.5,13,0.8,0.9316222111469428,0.8707248195795418,0.8003333333333333,0.075,0.1996666666666666,0.8224659158269116,0.925,S2C Trainable K=1,0.50
mogb_minilm_fair,stackoverflow,0.5,13,0.9,1.2541498919019556,0.6112397390023153,0.9003333333333333,0.516,0.0996666666666666,0.8292404340376928,0.484,MOGB-MiniLM-Fair,0.50
s2c_trainable_k1,stackoverflow,0.5,13,0.9,1.1177509189181103,0.7299326275264677,0.9003333333333333,0.368,0.0996666666666666,0.8637813211845102,0.632,S2C Trainable K=1,0.50
mogb_minilm_fair,stackoverflow,0.5,13,0.95,1.3193204494411517,0.3637308391790075,0.9503333333333334,0.7666666666666667,0.0496666666666666,0.8244994110718492,0.2333333333333333,MOGB-MiniLM-Fair,0.50
s2c_trainable_k1,stackoverflow,0.5,13,0.95,1.2220133900141172,0.4827752348831607,0.9503333333333334,0.666,0.0496666666666666,0.8705473501303215,0.334,S2C Trainable K=1,0.50
mogb_minilm_fair,stackoverflow,0.5,42,0.8,1.2232546536888929,0.7841216216216216,0.8003333333333333,0.2263333333333333,0.1996666666666666,0.7948630136986301,0.7736666666666666,MOGB-MiniLM-Fair,0.50
s2c_trainable_k1,stackoverflow,0.5,42,0.8,0.9519281613740248,0.8835117108732744,0.8003333333333333,0.0506666666666666,0.1996666666666666,0.8262257035102988,0.9493333333333334,S2C Trainable K=1,0.50
mogb_minilm_fair,stackoverflow,0.5,42,0.9,1.2882033704060112,0.6006362672322375,0.9003333333333333,0.528,0.0996666666666666,0.8256559766763848,0.472,MOGB-MiniLM-Fair,0.50
s2c_trainable_k1,stackoverflow,0.5,42,0.9,1.106442650990968,0.795325908343984,0.9003333333333333,0.274,0.0996666666666666,0.8792894630601534,0.726,S2C Trainable K=1,0.50
mogb_minilm_fair,stackoverflow,0.5,42,0.95,1.338116355237657,0.3598958333333333,0.9503333333333334,0.7696666666666667,0.0496666666666666,0.8226190476190476,0.2303333333333333,MOGB-MiniLM-Fair,0.50
s2c_trainable_k1,stackoverflow,0.5,42,0.95,1.1883515611375313,0.6631288473784759,0.9503333333333334,0.4793333333333333,0.0496666666666666,0.91291642314436,0.5206666666666667,S2C Trainable K=1,0.50
mogb_minilm_fair,stackoverflow,0.5,87,0.8,1.1707662982456537,0.7642918454935622,0.8003333333333333,0.258,0.1996666666666666,0.7879646017699115,0.742,MOGB-MiniLM-Fair,0.50
s2c_trainable_k1,stackoverflow,0.5,87,0.8,0.9315331440568246,0.8774173424828446,0.8003333333333333,0.0623333333333333,0.1996666666666666,0.8244431418522861,0.9376666666666666,S2C Trainable K=1,0.50
mogb_minilm_fair,stackoverflow,0.5,87,0.9,1.2277911373726371,0.5913748932536294,0.9003333333333333,0.5383333333333333,0.0996666666666666,0.8224465558194775,0.4616666666666666,MOGB-MiniLM-Fair,0.50
s2c_trainable_k1,stackoverflow,0.5,87,0.9,1.1404124057614715,0.774744661095636,0.9003333333333333,0.3046666666666666,0.0996666666666666,0.8746331236897275,0.6953333333333334,S2C Trainable K=1,0.50
mogb_minilm_fair,stackoverflow,0.5,87,0.95,1.2839155524796662,0.3594686116176087,0.9503333333333334,0.77,0.0496666666666666,0.8224076281287247,0.23,MOGB-MiniLM-Fair,0.50
s2c_trainable_k1,stackoverflow,0.5,87,0.95,1.2424976960716776,0.5808922938260478,0.9503333333333334,0.5703333333333334,0.0496666666666666,0.8963838664812239,0.4296666666666666,S2C Trainable K=1,0.50
mogb_minilm_fair,stackoverflow,0.5,100,0.8,1.2223583686883457,0.8137771918259723,0.8003333333333333,0.177,0.1996666666666666,0.8047588005215124,0.823,MOGB-MiniLM-Fair,0.50
s2c_trainable_k1,stackoverflow,0.5,100,0.8,0.9607299558152632,0.8995566427151812,0.8003333333333333,0.0193333333333333,0.1996666666666666,0.8308387461169161,0.9806666666666668,S2C Trainable K=1,0.50
mogb_minilm_fair,stackoverflow,0.5,100,0.9,1.288672647827411,0.6727016696841682,0.9003333333333333,0.4426666666666666,0.0996666666666666,0.8483003551496702,0.5573333333333333,MOGB-MiniLM-Fair,0.50
s2c_trainable_k1,stackoverflow,0.5,100,0.9,1.0831266424323016,0.8535186794092093,0.9003333333333333,0.1813333333333333,0.0996666666666666,0.891470054446461,0.8186666666666667,S2C Trainable K=1,0.50
mogb_minilm_fair,stackoverflow,0.5,100,0.95,1.3388740437387732,0.4410891089108911,0.9503333333333334,0.703,0.0496666666666666,0.8567307692307692,0.297,MOGB-MiniLM-Fair,0.50
s2c_trainable_k1,stackoverflow,0.5,100,0.95,1.1419978027359288,0.7386340877228119,0.9503333333333334,0.3853333333333333,0.0496666666666666,0.9252383341695936,0.6146666666666667,S2C Trainable K=1,0.50
mogb_minilm_fair,stackoverflow,0.5,123,0.8,1.273296342194785,0.6001555814858032,0.8003333333333333,0.4856666666666667,0.1996666666666666,0.7203548085901027,0.5143333333333333,MOGB-MiniLM-Fair,0.50
s2c_trainable_k1,stackoverflow,0.5,123,0.8,0.912205497887134,0.883338504498914,0.8003333333333333,0.051,0.1996666666666666,0.82617527568195,0.949,S2C Trainable K=1,0.50
mogb_minilm_fair,stackoverflow,0.5,123,0.9,1.348295254451349,0.3768757687576876,0.9003333333333333,0.7446666666666667,0.0996666666666666,0.7192488262910798,0.2553333333333333,MOGB-MiniLM-Fair,0.50
s2c_trainable_k1,stackoverflow,0.5,123,0.9,1.136827237503222,0.8001454809965448,0.9003333333333333,0.2666666666666666,0.0996666666666666,0.8803521408563425,0.7333333333333333,S2C Trainable K=1,0.50
mogb_minilm_fair,stackoverflow,0.5,123,0.95,1.403240934831814,0.2123190462673857,0.9503333333333334,0.8753333333333333,0.0496666666666666,0.7151051625239006,0.1246666666666666,MOGB-MiniLM-Fair,0.50
s2c_trainable_k1,stackoverflow,0.5,123,0.95,1.2508763301825037,0.570261066969353,0.9503333333333334,0.5813333333333334,0.0496666666666666,0.8939501779359431,0.4186666666666667,S2C Trainable K=1,0.50
mogb_minilm_fair,stackoverflow,0.75,13,0.8,1.3042474158225543,0.5766834767131415,0.8002222222222222,0.352,0.1997777777777778,0.5195082843399251,0.648,MOGB-MiniLM-Fair,0.75
s2c_trainable_k1,stackoverflow,0.75,13,0.8,0.9296318865675238,0.755059678256357,0.8002222222222222,0.03,0.1997777777777778,0.6180968564146134,0.97,S2C Trainable K=1,0.75
mogb_minilm_fair,stackoverflow,0.75,13,0.9,1.3739797013764965,0.4070290151205558,0.9002222222222223,0.668,0.0997777777777777,0.5258711721224921,0.332,MOGB-MiniLM-Fair,0.75
s2c_trainable_k1,stackoverflow,0.75,13,0.9,1.1215754303845191,0.7510413329061199,0.9002222222222223,0.2186666666666666,0.0997777777777777,0.7230104873534855,0.7813333333333333,S2C Trainable K=1,0.75
mogb_minilm_fair,stackoverflow,0.75,13,0.95,1.423352417696399,0.2443991853360488,0.9502222222222222,0.84,0.0497777777777778,0.5172413793103449,0.16,MOGB-MiniLM-Fair,0.75
s2c_trainable_k1,stackoverflow,0.75,13,0.95,1.2127999525074162,0.6671820641669888,0.9502222222222222,0.4246666666666667,0.0497777777777778,0.7939282428702852,0.5753333333333334,S2C Trainable K=1,0.75
mogb_minilm_fair,stackoverflow,0.75,42,0.8,1.3212941192940175,0.3893924135615978,0.8002222222222222,0.6133333333333333,0.1997777777777778,0.392156862745098,0.3866666666666666,MOGB-MiniLM-Fair,0.75
s2c_trainable_k1,stackoverflow,0.75,42,0.8,0.9443490908914784,0.7420031463030938,0.8002222222222222,0.0566666666666666,0.1997777777777778,0.611495246326707,0.9433333333333334,S2C Trainable K=1,0.75
mogb_minilm_fair,stackoverflow,0.75,42,0.9,1.3764346451945757,0.2241457858769931,0.9002222222222223,0.836,0.0997777777777777,0.3539568345323741,0.164,MOGB-MiniLM-Fair,0.75
s2c_trainable_k1,stackoverflow,0.75,42,0.9,1.0649887676796237,0.7139557901682613,0.9002222222222223,0.2786666666666667,0.0997777777777777,0.7067276290006531,0.7213333333333334,S2C Trainable K=1,0.75
mogb_minilm_fair,stackoverflow,0.75,42,0.95,1.424137964219981,0.1392336751214247,0.9502222222222222,0.914,0.0497777777777778,0.3654390934844193,0.086,MOGB-MiniLM-Fair,0.75
s2c_trainable_k1,stackoverflow,0.75,42,0.95,1.131090025676218,0.6567978184651344,0.9502222222222222,0.438,0.0497777777777778,0.7900656044985942,0.562,S2C Trainable K=1,0.75
mogb_minilm_fair,stackoverflow,0.75,87,0.8,1.2415376244298355,0.6571508536244053,0.8002222222222222,0.2173333333333333,0.1997777777777778,0.5663289917993246,0.7826666666666666,MOGB-MiniLM-Fair,0.75
s2c_trainable_k1,stackoverflow,0.75,87,0.8,0.9693149440859476,0.7511712649661635,0.8002222222222222,0.038,0.1997777777777778,0.6161400512382579,0.962,S2C Trainable K=1,0.75
mogb_minilm_fair,stackoverflow,0.75,87,0.9,1.3104935114557144,0.5455223880597015,0.9002222222222223,0.5126666666666667,0.0997777777777777,0.6194915254237288,0.4873333333333333,MOGB-MiniLM-Fair,0.75
s2c_trainable_k1,stackoverflow,0.75,87,0.9,1.0709058560126277,0.7490372272143774,0.9002222222222223,0.222,0.0997777777777777,0.7221534653465347,0.778,S2C Trainable K=1,0.75
mogb_minilm_fair,stackoverflow,0.75,87,0.95,1.3698854264606637,0.3415103415103415,0.9502222222222222,0.7633333333333333,0.0497777777777778,0.613126079447323,0.2366666666666666,MOGB-MiniLM-Fair,0.75
s2c_trainable_k1,stackoverflow,0.75,87,0.95,1.1141114055037686,0.6241021548284118,0.9502222222222222,0.4786666666666667,0.0497777777777778,0.7773359840954275,0.5213333333333333,S2C Trainable K=1,0.75
mogb_minilm_fair,stackoverflow,0.75,100,0.8,1.2276302845790166,0.5385318306427048,0.8002222222222222,0.4106666666666667,0.1997777777777778,0.4957936062815479,0.5893333333333334,MOGB-MiniLM-Fair,0.75
s2c_trainable_k1,stackoverflow,0.75,100,0.8,0.919316034108392,0.7310235387463634,0.8002222222222222,0.0786666666666666,0.1997777777777778,0.6058746163963175,0.9213333333333332,S2C Trainable K=1,0.75
mogb_minilm_fair,stackoverflow,0.75,100,0.9,1.2927237777795173,0.4096287229702162,0.9002222222222223,0.6653333333333333,0.0997777777777777,0.5278654048370137,0.3346666666666666,MOGB-MiniLM-Fair,0.75
s2c_trainable_k1,stackoverflow,0.75,100,0.9,1.1517100764463677,0.6394415357766143,0.9002222222222223,0.3893333333333333,0.0997777777777777,0.671062271062271,0.6106666666666667,S2C Trainable K=1,0.75
mogb_minilm_fair,stackoverflow,0.75,100,0.95,1.3414987262272065,0.2854301342615614,0.9502222222222222,0.8086666666666666,0.0497777777777778,0.5616438356164384,0.1913333333333333,MOGB-MiniLM-Fair,0.75
