dataset,method,seed,dataset_label,method_label,gate_minus_native_oos_f1,gate_minus_native_oos_f1_pp,gate_minus_native_f1_all,gate_minus_native_f1_all_pp,gate_minus_native_known_recall,gate_minus_native_known_recall_pp,gate_minus_native_false_accept_rate,gate_minus_native_false_accept_rate_pp,gate_minus_native_false_reject_rate,gate_minus_native_false_reject_rate_pp,gate_minus_native_auroc,gate_minus_native_auroc_pp,gate_minus_native_aupr_oos,gate_minus_native_aupr_oos_pp
clinc150,lof,42,CLINC150,LOF,0.09330293382928645,9.330293382928645,0.017439342903139088,1.7439342903139088,-0.2168888888888889,-21.68888888888889,-0.2605797101449275,-26.057971014492747,0.21688888888888896,21.688888888888897,0.003666215780998461,0.3666215780998461,0.006562097578929893,0.6562097578929893
clinc150,msp,42,CLINC150,MSP,0.01446889907316673,1.446889907316673,-0.05485207942722503,-5.485207942722504,-0.21333333333333337,-21.333333333333336,-0.1373913043478261,-13.73913043478261,0.21333333333333346,21.333333333333346,-0.015909049919484386,-1.5909049919484386,-0.014515161574890967,-1.4515161574890967
clinc150,energy,87,CLINC150,Energy,0.014081669410202613,1.4081669410202613,-0.03686240565836818,-3.686240565836818,-0.20044444444444443,-20.044444444444444,-0.13304347826086949,-13.304347826086948,0.20044444444444448,20.044444444444448,-0.01227117552334922,-1.227117552334922,-0.013691927530890435,-1.3691927530890435
clinc150,knn,87,CLINC150,kNN,0.027273834536098107,2.7273834536098107,-0.018868519159681907,-1.8868519159681907,-0.1968888888888889,-19.68888888888889,-0.15333333333333332,-15.333333333333332,0.19688888888888897,19.688888888888897,-0.012044959742351202,-1.2044959742351202,-0.014704053332891598,-1.4704053332891598
clinc150,lof,87,CLINC150,LOF,0.10645210690250195,10.645210690250195,0.033713448246217914,3.3713448246217914,-0.20711111111111125,-20.711111111111123,-0.2805797101449275,-28.05797101449275,0.2071111111111112,20.71111111111112,0.007910595813204524,0.7910595813204524,0.003387975378402408,0.3387975378402408
clinc150,msp,87,CLINC150,MSP,0.0027126293210804064,0.27126293210804064,-0.04904206266112565,-4.904206266112565,-0.19466666666666665,-19.466666666666665,-0.11043478260869559,-11.04347826086956,0.19466666666666677,19.466666666666676,-0.013209790660225651,-1.320979066022565,-0.014031797105929944,-1.4031797105929944
stackoverflow,energy,13,StackOverflow,Energy,0.4548405002952198,45.484050029521974,0.1581996213917325,15.81996213917325,-0.1150000000000001,-11.50000000000001,-0.605,-60.5,0.11500000000000002,11.500000000000002,0.025971888888888794,2.5971888888888794,0.023894844179881747,2.3894844179881747
stackoverflow,knn,13,StackOverflow,kNN,0.2606526201935846,26.06526201935846,0.10815024245857185,10.815024245857185,-0.1120000000000001,-11.20000000000001,-0.42333333333333334,-42.333333333333336,0.11200000000000002,11.200000000000001,-0.017418333333333424,-1.7418333333333424,-0.02664221697446112,-2.664221697446112
stackoverflow,lof,13,StackOverflow,LOF,0.3136946627040609,31.369466270406086,0.11129614412924282,11.129614412924283,-0.10966666666666669,-10.966666666666669,-0.4766666666666667,-47.66666666666667,0.10966666666666672,10.966666666666672,0.029968888888888823,2.9968888888888823,0.004414937917335493,0.4414937917335493
stackoverflow,msp,13,StackOverflow,MSP,0.44496342219081997,44.496342219081995,0.151547188360996,15.154718836099601,-0.1180000000000001,-11.800000000000011,-0.5976666666666667,-59.766666666666666,0.11800000000000002,11.800000000000002,0.023778888888888794,2.3778888888888794,0.016242437612653315,1.6242437612653315
stackoverflow,energy,42,StackOverflow,Energy,0.41227809680923144,41.227809680923144,0.15773319067952363,15.773319067952363,-0.1243333333333334,-12.43333333333334,-0.5933333333333334,-59.333333333333336,0.12433333333333343,12.433333333333344,0.025401555555555455,2.5401555555555455,0.05255124232919228,5.255124232919228
stackoverflow,knn,42,StackOverflow,kNN,0.13666004810046883,13.666004810046884,0.07224853100314266,7.224853100314266,-0.126,-12.6,-0.29833333333333334,-29.833333333333336,0.12600000000000003,12.600000000000003,-0.005949444444444341,-0.5949444444444341,-0.016725096022713215,-1.6725096022713215
stackoverflow,lof,42,StackOverflow,LOF,0.21236054977016272,21.236054977016273,0.09767423959707,9.767423959707,-0.1173333333333334,-11.73333333333334,-0.3873333333333333,-38.733333333333334,0.11733333333333343,11.733333333333343,0.017808388888888804,1.7808388888888804,0.014443695532209366,1.4443695532209366
stackoverflow,msp,42,StackOverflow,MSP,0.36376664915126455,36.376664915126455,0.1401045546397448,14.01045546397448,-0.11699999999999999,-11.7,-0.5466666666666667,-54.66666666666667,0.11700000000000003,11.700000000000003,0.028524333333333374,2.8524333333333374,0.05642314869368992,5.642314869368992
stackoverflow,energy,87,StackOverflow,Energy,0.4457298350889364,44.572983508893635,0.1595817031645952,15.958170316459519,-0.1126666666666668,-11.26666666666668,-0.6103333333333334,-61.03333333333334,0.11266666666666673,11.266666666666673,0.05233455555555555,5.233455555555555,0.06516717160849783,6.516717160849783
stackoverflow,knn,87,StackOverflow,kNN,0.13896461652067527,13.896461652067526,0.07262319869518652,7.262319869518652,-0.09933333333333338,-9.933333333333339,-0.28166666666666673,-28.16666666666667,0.09933333333333344,9.933333333333344,-0.01285444444444439,-1.285444444444439,-0.01483866500830966,-1.483866500830966
stackoverflow,lof,87,StackOverflow,LOF,0.1691915183372874,16.91915183372874,0.07874921285585301,7.874921285585302,-0.10333333333333339,-10.33333333333334,-0.3226666666666667,-32.26666666666667,0.10333333333333343,10.333333333333343,0.020960999999999896,2.0960999999999896,0.010682597734580912,1.0682597734580912
stackoverflow,msp,87,StackOverflow,MSP,0.42416116687870464,42.41611668787046,0.1493297661385673,14.93297661385673,-0.1153333333333334,-11.53333333333334,-0.5926666666666667,-59.266666666666666,0.11533333333333343,11.533333333333342,0.05223500000000003,5.223500000000003,0.061170104110481516,6.117010411048152
