dataset,kir,seed,intent,train_sample_count,k1_radius,k1_distance_variance,k2_cluster_count,k2_cluster_1_sample_count,k2_cluster_2_sample_count,k2_cluster_1_radius,k2_cluster_2_radius,k2_cluster_1_distance_variance,k2_cluster_2_distance_variance,bootstrap_ari_mean,silhouette,silhouette_reason,known_reject_count_k1,known_reject_count_k2,known_recall_delta,newly_accepted_oos_count,recovered_known_count,net_benefit_recovered_known_minus_new_oos
stackoverflow,0.5,87,apache,600,23.3838146495731,18.25781929046614,2,192,408,23.68844400489546,23.266401930321,21.903752476081397,16.98560526474508,0.9420542877394578,0.04679132210404513,defined,52,39,0.043333333333333335,1,14,13
stackoverflow,0.5,87,bash,600,23.475772125410664,19.28391967968391,2,171,429,22.206729125481974,22.412700124540017,7.978062575460022,9.470780813403055,0.9638861817506703,0.14465381032950717,defined,46,17,0.09666666666666666,20,29,9
stackoverflow,0.5,87,drupal,600,23.62856595934436,21.103169147064758,2,512,88,22.16871629171643,21.746849284528246,7.790082328762442,5.263241987557115,0.9893098192324873,0.22475838728628778,defined,46,14,0.10666666666666667,539,32,-507
stackoverflow,0.5,87,excel,600,23.28235517291721,17.195917987412184,2,345,255,23.10108545631157,23.442268527264567,15.367601922142413,18.945060048687886,0.4381901338574214,0.05902968656055459,defined,50,30,0.06666666666666667,0,21,21
stackoverflow,0.5,87,hibernate,600,24.609807864645784,35.62500036580011,2,511,89,22.54971009448122,22.394822434917153,10.612950166392778,9.298363231863123,0.9796100707362371,0.2974966076912459,defined,36,10,0.08666666666666667,28,26,-2
stackoverflow,0.5,87,linq,600,24.301213197858065,30.469338935328494,2,522,78,22.46872631988957,21.803879628719443,9.964793778419212,5.572067809627616,0.9506647442355097,0.2929777611381087,defined,45,3,0.14,21,42,21
stackoverflow,0.5,87,oracle,600,24.137586651536147,27.91923389715533,2,460,140,22.154819000733568,22.465162151642435,7.728996469533857,9.802192950047782,0.9934823071612747,0.22399731819914004,defined,54,12,0.14,20,42,22
stackoverflow,0.5,87,osx,600,22.944397158977544,13.799450207783869,2,180,420,21.996720381213777,22.115888134036105,6.65518473255609,7.420623038991398,0.9262756839033486,0.10975116617798913,defined,48,19,0.09666666666666666,259,29,-230
stackoverflow,0.5,87,scala,600,24.628936920002158,35.8592133196546,2,482,118,22.367272258202668,21.69123025897402,9.201908349520727,4.98175554994061,0.9907437614810632,0.2795348010063756,defined,56,17,0.13,266,39,-227
stackoverflow,0.5,87,svn,600,24.08024661656135,27.103650923411188,2,239,361,24.984155627398934,22.603476261764854,42.51290045958801,10.9706009687443,0.703632676417902,0.09543611878156824,defined,47,36,0.03666666666666667,0,11,11
