dataset,kir,seed,oos_f1_trainable,f1_all_trainable,f1_k_trainable,accuracy_trainable,known_recall_trainable,false_accept_rate_trainable,false_reject_rate_trainable,auroc_trainable,aupr_oos_trainable,oos_f1_frozen,f1_all_frozen,f1_k_frozen,accuracy_frozen,known_recall_frozen,false_accept_rate_frozen,false_reject_rate_frozen,auroc_frozen,aupr_oos_frozen,oos_f1_delta,f1_all_delta,f1_k_delta,accuracy_delta,known_recall_delta,false_accept_rate_delta,false_reject_rate_delta,auroc_delta,aupr_oos_delta,method,oos_f1_delta_pp,known_recall_delta_pp,false_accept_delta_pp
banking77,0.75,87,0.6984478935698448,0.8495955076276699,0.8522015009734945,0.8058441558441558,0.8215517241379311,0.17105263157894737,0.17844827586206896,0.8960509301270417,0.7163102904007737,0.6253101736972705,,,,0.85,0.3368421052631579,0.15,0.8446580081669692,0.6007758461881284,0.07313771987257434,,,,-0.028448275862068884,-0.16578947368421051,0.028448275862068967,0.0513929219600725,0.11553444421264525,frozen_k1,7.313771987257434,-2.8448275862068884,-16.57894736842105
banking77,0.75,100,0.6801573917931422,0.8422789425569616,0.8450741417080618,0.7951298701298701,0.8215517241379311,0.20394736842105263,0.17844827586206896,0.8930728221415608,0.7076481398306274,0.6064434617814277,,,,0.8521551724137931,0.3684210526315789,0.1478448275862069,0.8365970961887478,0.5848990167763781,0.07371393001171445,,,,-0.030603448275862033,-0.1644736842105263,0.03060344827586206,0.05647572595281303,0.12274912305424923,frozen_k1,7.371393001171445,-3.0603448275862033,-16.44736842105263
banking77,0.75,123,0.6666666666666666,0.8383752198051533,0.8413357121006444,0.788961038961039,0.8206896551724138,0.22631578947368422,0.1793103448275862,0.8769169691470055,0.6846870603739995,0.6227848101265823,,,,0.8586206896551725,0.3526315789473684,0.1413793103448276,0.8487420598911072,0.6201264074004333,0.04388185654008436,,,,-0.037931034482758696,-0.1263157894736842,0.03793103448275861,0.028174909255898273,0.06456065297356617,frozen_k1,4.388185654008437,-3.7931034482758696,-12.63157894736842
clinc150,0.25,13,0.9528118939883645,0.8010298070270482,0.7970355415806978,0.9229824561403509,0.736842105263158,0.030263157894736843,0.2631578947368421,0.9641397353031703,0.9897681447868008,0.9484446378072656,,,,0.7596491228070176,0.043859649122807015,0.24035087719298245,0.9380728685749461,0.977102528370105,0.0043672561810989,,,,-0.02280701754385961,-0.013596491228070173,0.022807017543859637,0.026066866728224225,0.012665616416695724,frozen_k1,0.43672561810988997,-2.280701754385961,-1.3596491228070173
clinc150,0.25,42,0.9479594040164111,0.7837064085470472,0.7793839612978534,0.9150877192982456,0.7263157894736842,0.03728070175438596,0.2736842105263158,0.9437163357956295,0.9808865225779669,0.9436910057502441,,,,0.7298245614035088,0.0462719298245614,0.27017543859649124,0.9305178516466606,0.9748044838736667,0.004268398266166984,,,,-0.0035087719298245723,-0.008991228070175439,0.0035087719298245723,0.013198484148968959,0.006082038704300241,frozen_k1,0.4268398266166984,-0.35087719298245723,-0.8991228070175439
clinc150,0.25,87,0.9473684210526315,0.7856815672130488,0.781426650006744,0.9140350877192982,0.736842105263158,0.04078947368421053,0.2631578947368421,0.9516970606340412,0.985925089762027,0.9414463622460126,,,,0.75,0.055043859649122805,0.25,0.9325144275161589,0.9773204783573202,0.005922058806618891,,,,-0.013157894736842035,-0.014254385964912276,0.01315789473684209,0.019182633117882375,0.008604611404706808,frozen_k1,0.5922058806618891,-1.3157894736842035,-1.4254385964912277
clinc150,0.25,100,0.9625347891243845,0.8293119919847214,0.8258061289020987,0.9380701754385965,0.7491228070175439,0.014035087719298246,0.25087719298245614,0.9754012773160974,0.992405893833116,0.9568027577291823,,,,0.7526315789473684,0.026096491228070177,0.24736842105263157,0.9561803631886734,0.9835749856344475,0.005732031395202175,,,,-0.0035087719298245723,-0.012061403508771931,0.0035087719298245723,0.019220914127423994,0.008830908198668497,frozen_k1,0.5732031395202175,-0.35087719298245723,-1.206140350877193
clinc150,0.25,123,0.9475392103839914,0.7847672034972499,0.7804837296318093,0.9140350877192982,0.7324561403508771,0.039473684210526314,0.2675438596491228,0.9593136349646045,0.9891291381746725,0.9452801395247439,,,,0.756140350877193,0.04912280701754386,0.24385964912280703,0.9478322176054171,0.9845994441682989,0.0022590708592474806,,,,-0.023684210526315863,-0.009649122807017546,0.02368421052631578,0.011481417359187396,0.004529694006373597,frozen_k1,0.22590708592474806,-2.3684210526315863,-0.9649122807017546
clinc150,0.5,13,0.9070904645476773,0.8261993158424226,0.8251207671930192,0.878421052631579,0.7453333333333334,0.03217391304347826,0.25466666666666665,0.9580215136876005,0.969613073854642,0.8979082975481368,,,,0.7653333333333333,0.06057971014492754,0.23466666666666666,0.9260787117552334,0.9352457390277841,0.009182166999540442,,,,-0.019999999999999907,-0.028405797101449276,0.01999999999999999,0.03194280193236709,0.03436733482685794,frozen_k1,0.9182166999540442,-1.9999999999999907,-2.8405797101449277
clinc150,0.5,42,0.8971451987433411,0.8075141354234163,0.8063190545791508,0.8642105263157894,0.739111111111111,0.04811594202898551,0.2608888888888889,0.9461893719806764,0.9595486046293606,0.8840280643829963,,,,0.7306666666666667,0.06869565217391305,0.2693333333333333,0.9236139130434784,0.9379760800808493,0.013117134360344784,,,,0.008444444444444366,-0.020579710144927536,-0.008444444444444421,0.022575458937198034,0.02157252454851133,frozen_k1,1.3117134360344784,0.8444444444444366,-2.0579710144927534
clinc150,0.5,87,0.9086720867208672,0.8234017136184874,0.8222647753104556,0.8792982456140351,0.7435555555555555,0.028115942028985506,0.2564444444444444,0.9497262479871176,0.9565369353120585,0.8974822645708722,,,,0.772,0.06492753623188406,0.228,0.9257504669887279,0.9352960524514863,0.011189822149994977,,,,-0.028444444444444494,-0.036811594202898555,0.02844444444444441,0.023975780998389706,0.02124088286057224,frozen_k1,1.1189822149994977,-2.8444444444444494,-3.6811594202898554
clinc150,0.5,100,0.9051512673753066,0.8249194600480021,0.8238497026169713,0.8757894736842106,0.748,0.03739130434782609,0.252,0.959203607085346,0.9727051957009589,0.8904947192884936,,,,0.7591111111111111,0.07130434782608695,0.2408888888888889,0.9318787761674718,0.9460588978498146,0.014656548086813048,,,,-0.011111111111111072,-0.033913043478260865,0.0111111111111111,0.027324830917874188,0.026646297851144363,frozen_k1,1.4656548086813048,-1.1111111111111072,-3.3913043478260865
clinc150,0.5,123,0.9039116805233747,0.8087962224646499,0.8075280163572003,0.8692982456140351,0.7462222222222222,0.03884057971014493,0.25377777777777777,0.9531961352657006,0.9661621473228265,0.8961884961884962,,,,0.7635555555555555,0.06289855072463768,0.23644444444444446,0.9316882447665056,0.9443073810761233,0.007723184334878508,,,,-0.01733333333333331,-0.02405797101449275,0.01733333333333331,0.021507890499194993,0.021854766246703128,frozen_k1,0.7723184334878508,-1.7333333333333312,-2.4057971014492754
clinc150,0.75,13,0.8230088495575221,0.8206112737544194,0.820589866827606,0.8228070175438597,0.7464285714285714,0.046153846153846156,0.25357142857142856,0.9450418447293447,0.9211589379942506,0.8084147257700977,,,,0.7523809523809524,0.08034188034188035,0.24761904761904763,0.9199736721611722,0.8716119757092934,0.014594123787424418,,,,-0.005952380952380931,-0.03418803418803419,0.005952380952380931,0.02506817256817251,0.04954696228495725,frozen_k1,1.4594123787424418,-0.5952380952380931,-3.418803418803419
