dataset,kir,method,method_label,metric,n_pairs,mean_delta,median_delta,ci95_low,ci95_high,wins,ties,losses,reference,seed
banking77,0.5,mogb_minilm,MOGB-MiniLM,oos_f1,5,0.025656703747521582,0.014036781833011491,0.004083934782669618,0.047229472712373544,4,0,1,single_centroid,paired same split/seed
banking77,0.5,mogb_minilm,MOGB-MiniLM,f1_all,5,-0.2591312905980991,-0.2534755096562309,-0.2800558754806134,-0.23820670571558486,0,0,5,single_centroid,paired same split/seed
banking77,0.5,mogb_minilm,MOGB-MiniLM,id_recall,5,-0.5160526315789473,-0.5203947368421054,-0.5325000000000001,-0.49697368421052623,0,0,5,single_centroid,paired same split/seed
banking77,0.5,mogb_minilm,MOGB-MiniLM,false_accept_rate,5,-0.3375641025641026,-0.3294871794871795,-0.3692307692307692,-0.3058974358974359,5,0,0,single_centroid,paired same split/seed
banking77,0.75,mogb_minilm,MOGB-MiniLM,oos_f1,5,-0.06026273981196713,-0.06576035893734933,-0.08775214336805423,-0.02365214922370502,1,0,4,single_centroid,paired same split/seed
banking77,0.75,mogb_minilm,MOGB-MiniLM,f1_all,5,-0.3581902896584438,-0.3583803468026269,-0.3688056050017702,-0.34757497431511747,0,0,5,single_centroid,paired same split/seed
banking77,0.75,mogb_minilm,MOGB-MiniLM,id_recall,5,-0.5764655172413795,-0.584051724137931,-0.5881896551724138,-0.5632758620689655,0,0,5,single_centroid,paired same split/seed
banking77,0.75,mogb_minilm,MOGB-MiniLM,false_accept_rate,5,-0.4723684210526316,-0.47105263157894744,-0.5142105263157895,-0.4347368421052632,5,0,0,single_centroid,paired same split/seed
clinc150,0.25,mogb_minilm,MOGB-MiniLM,oos_f1,5,-0.018236147090829546,-0.018331855282439746,-0.02312777569519593,-0.013959431562714309,0,0,5,single_centroid,paired same split/seed
clinc150,0.25,mogb_minilm,MOGB-MiniLM,f1_all,5,-0.261986331741643,-0.25900399192785406,-0.2845532013652835,-0.24157986985846955,0,0,5,single_centroid,paired same split/seed
clinc150,0.25,mogb_minilm,MOGB-MiniLM,id_recall,5,-0.4084210526315789,-0.40877192982456145,-0.42666666666666664,-0.3901754385964912,0,0,5,single_centroid,paired same split/seed
clinc150,0.25,mogb_minilm,MOGB-MiniLM,false_accept_rate,5,-0.053771929824561415,-0.057017543859649196,-0.06276315789473685,-0.04315789473684208,5,0,0,single_centroid,paired same split/seed
clinc150,0.5,mogb_minilm,MOGB-MiniLM,oos_f1,5,-0.07623820404803802,-0.07589095590683781,-0.0793468677818163,-0.07312954031425975,0,0,5,single_centroid,paired same split/seed
clinc150,0.5,mogb_minilm,MOGB-MiniLM,f1_all,5,-0.3531553874957094,-0.3497698914071451,-0.3626015257761751,-0.34370924921524376,0,0,5,single_centroid,paired same split/seed
clinc150,0.5,mogb_minilm,MOGB-MiniLM,id_recall,5,-0.4718222222222222,-0.4702222222222222,-0.4779555555555556,-0.4663111111111111,0,0,5,single_centroid,paired same split/seed
clinc150,0.5,mogb_minilm,MOGB-MiniLM,false_accept_rate,5,-0.07913043478260869,-0.0811594202898551,-0.08208695652173911,-0.07553623188405797,5,0,0,single_centroid,paired same split/seed
