dataset,gate,stage,seed_count,count_mean,count_std,rate_mean,rate_std,count_total
banking77_oos,frozen_selected_k,correct_oos_rejection,3,2584.6666666666665,202.3272926061468,0.6334967320261439,0.0495900226975849,7754
banking77_oos,frozen_selected_k,known_rejected_by_gate,3,196.33333333333331,74.03602726600971,0.0481209150326797,0.018146085114218,589
banking77_oos,frozen_selected_k,known_wrong_domain,3,0.0,0.0,0.0,0.0,0
banking77_oos,frozen_selected_k,known_wrong_expert,3,91.66666666666669,25.38372181799457,0.0224673202614379,0.0062215004455869,275
banking77_oos,frozen_selected_k,oos_accepted_by_gate,3,495.3333333333333,202.3272926061468,0.1214052287581699,0.0495900226975849,1486
clinc150,best_controlled_baseline,correct_known_prediction,3,1785.3333333333333,66.65083145267832,0.3246060606060606,0.012118332991396,5356
clinc150,best_controlled_baseline,correct_oos_rejection,3,2987.0,10.583005244258365,0.5430909090909091,0.0019241827716833,8961
clinc150,best_controlled_baseline,known_rejected_by_gate,3,339.6666666666667,75.40778032360674,0.0617575757575757,0.013710505513383,1019
clinc150,best_controlled_baseline,known_wrong_domain,3,54.333333333333336,3.055050463303893,0.0098787878787878,0.0005554637206007,163
clinc150,best_controlled_baseline,known_wrong_expert,3,70.66666666666667,8.962886439832502,0.0128484848484848,0.0016296157163331,212
clinc150,best_controlled_baseline,oos_accepted_by_gate,3,263.0,10.583005244258365,0.0478181818181818,0.0019241827716833,789
clinc150,ce_recon_selected_k,correct_known_prediction,3,1568.0,27.2213151776324,0.285090909090909,0.0049493300322968,4704
clinc150,ce_recon_selected_k,correct_oos_rejection,3,3150.333333333333,30.02221399786054,0.5727878787878788,0.0054585843632474,9451
clinc150,ce_recon_selected_k,known_rejected_by_gate,3,600.6666666666666,30.0055550412475,0.1092121212121212,0.005455555462045,1802
clinc150,ce_recon_selected_k,known_wrong_domain,3,35.333333333333336,2.8867513459481287,0.0064242424242424,0.0005248638810814,106
clinc150,ce_recon_selected_k,known_wrong_expert,3,46.0,4.358898943540674,0.0083636363636363,0.0007925270806437,138
clinc150,ce_recon_selected_k,oos_accepted_by_gate,3,99.66666666666669,30.02221399786054,0.0181212121212121,0.0054585843632473,299
clinc150,frozen_k1,correct_known_prediction,3,1547.6666666666667,15.534906930308058,0.2813939393939394,0.0028245285327832,4643
clinc150,frozen_k1,correct_oos_rejection,3,3020.6666666666665,50.083264004389065,0.5492121212121213,0.009106048000798,9062
clinc150,frozen_k1,known_rejected_by_gate,3,592.3333333333334,20.23198787399136,0.1076969696969697,0.0036785432498166,1777
clinc150,frozen_k1,known_wrong_domain,3,45.0,3.4641016151377544,0.0081818181818181,0.0006298366572977,135
clinc150,frozen_k1,known_wrong_expert,3,65.0,10.0,0.0118181818181818,0.0018181818181818,195
clinc150,frozen_k1,oos_accepted_by_gate,3,229.33333333333331,50.083264004389065,0.0416969696969697,0.009106048000798,688
clinc150,frozen_selected_k,correct_known_prediction,3,1547.6666666666667,15.534906930308058,0.2813939393939394,0.0028245285327832,4643
clinc150,frozen_selected_k,correct_oos_rejection,3,3020.6666666666665,50.083264004389065,0.5492121212121213,0.009106048000798,9062
clinc150,frozen_selected_k,known_rejected_by_gate,3,592.3333333333334,20.23198787399136,0.1076969696969697,0.0036785432498166,1777
clinc150,frozen_selected_k,known_wrong_domain,3,45.0,3.4641016151377544,0.0081818181818181,0.0006298366572977,135
clinc150,frozen_selected_k,known_wrong_expert,3,65.0,10.0,0.0118181818181818,0.0018181818181818,195
clinc150,frozen_selected_k,oos_accepted_by_gate,3,229.33333333333331,50.083264004389065,0.0416969696969697,0.009106048000798,688
stackoverflow,best_controlled_baseline,correct_known_prediction,3,2383.6666666666665,43.01550108197432,0.3979410127991096,0.0071812188784598,7151
stackoverflow,best_controlled_baseline,correct_oos_rejection,3,2451.6666666666665,232.5431859533479,0.40929326655537,0.0388219008269362,7355
stackoverflow,best_controlled_baseline,known_rejected_by_gate,3,434.3333333333333,14.571661996262929,0.0725097384529771,0.0024326647740004,1303
