dataset,kir,method,method_label,n_seeds,oos_f1_mean,oos_f1_std,known_recall_mean,known_recall_std,f1_all_mean,f1_all_std,accuracy_mean,accuracy_std,false_accept_mean,false_accept_std,auroc_mean,auroc_std
stackoverflow,0.25,fixed_k2,Fixed K=2,5,0.8666146611474034,0.04798142689533388,0.8521333333333333,0.015480453625279975,0.767990693403829,0.0444941057534056,0.8107666666666666,0.06143329716041616,0.19471111111111106,0.0830995832765769,0.9027892444444443,0.021474209164574484
stackoverflow,0.25,mogb_minilm,MOGB-MiniLM,5,0.8944000569448456,0.005949655171098938,0.3261333333333333,0.048486882533091163,0.540703865522772,0.04633819785305139,0.8243333333333334,0.011034667593040072,0.00937777777777774,0.005384935548750563,0.8672337777777779,0.02197997091655155
stackoverflow,0.25,mogb_partition_ours_boundary,MOGB partition + s2c boundary,5,0.9259960799998362,0.005335538584498705,0.5910666666666666,0.050757812753856456,0.7345093038010513,0.039075792620303265,0.8820333333333334,0.008784772178162701,0.02031111111111104,0.012352437656162561,0.9164517333333333,0.0075890878244445435
stackoverflow,0.25,ours_partition_mogb_boundary,s2c partition + MOGB boundary,5,0.9063585472441907,0.015088858282761509,0.5414666666666667,0.02263919904354689,0.6905304844967872,0.035003180897006526,0.8501,0.023404237508052542,0.04435555555555554,0.02544158159537403,0.8315969481481481,0.04819398795472852
stackoverflow,0.25,random_partition,Random partition,5,0.8911014170392451,0.04117036715235756,0.8609333333333333,0.01891853882072059,0.8086454974094963,0.03058047333973445,0.842,0.05556427709319084,0.1568444444444444,0.07328641596798209,0.9205399703703705,0.01496022185101372
stackoverflow,0.25,single_centroid,Single centroid,5,0.8948207530022316,0.0376559780719465,0.8561333333333334,0.01824158862477595,0.8101159547533475,0.028957126044099602,0.8465666666666667,0.05143329012743919,0.14955555555555552,0.06764613810115103,0.9199174814814814,0.01420064864493515
stackoverflow,0.5,fixed_k2,Fixed K=2,5,0.6352945072329976,0.04301876563041502,0.8688666666666667,0.012801041624284559,0.7275883031957765,0.023359233304818608,0.6692666666666667,0.027457694732078305,0.4716666666666667,0.05844940832321008,0.8259930444444444,0.010133263774005858
stackoverflow,0.5,mogb_minilm,MOGB-MiniLM,5,0.729199427573284,0.006249432392941407,0.2709333333333333,0.023698804470549447,0.43298039378929865,0.03399553971951928,0.6305666666666667,0.012082241329966738,0.00793333333333328,0.0025755258362775845,0.8476909333333333,0.03540406497216227
stackoverflow,0.5,mogb_partition_ours_boundary,MOGB partition + s2c boundary,5,0.7924706249591658,0.014867493644347045,0.5038666666666667,0.049077376548557386,0.63344181949998,0.05501643416641743,0.7407333333333334,0.023838169672467106,0.01859999999999998,0.0070134790859379655,0.8663389555555556,0.039892501233569765
stackoverflow,0.5,ours_partition_mogb_boundary,s2c partition + MOGB boundary,5,0.7335218198140271,0.013012175796140623,0.5449333333333334,0.011736457917295356,0.6358695194997168,0.01582317933949017,0.6835333333333333,0.013599121703665666,0.1569333333333333,0.029528141003305836,0.732959,0.02649026244807518
stackoverflow,0.5,random_partition,Random partition,5,0.7587996754762378,0.0549134144241642,0.8764,0.013462705688101626,0.7980409512231381,0.022351101003422826,0.7609999999999999,0.04144122343753859,0.30979999999999996,0.08558024174876919,0.8881375111111112,0.016766543697472682
stackoverflow,0.5,single_centroid,Single centroid,5,0.7654959559609912,0.05344876974549661,0.8714666666666666,0.011824174859630228,0.7997964624589458,0.022009634922279985,0.7657666666666667,0.04072581081656532,0.29706666666666665,0.0840477377579089,0.8876673111111112,0.016617132088173447
stackoverflow,0.75,fixed_k2,Fixed K=2,5,0.43634697678645706,0.07858109845039463,0.8802222222222221,0.008217716483155838,0.7446586353568032,0.019022613164624624,0.6810333333333334,0.02357299537842213,0.6166666666666667,0.09370521152351488,0.7757786962962963,0.026485343989206805
stackoverflow,0.75,mogb_minilm,MOGB-MiniLM,5,0.4558840331344417,0.004201451885150502,0.21173333333333327,0.014546986451317514,0.33093232311807846,0.020763371557782045,0.40553333333333336,0.010516785524949042,0.006666666666666619,0.004784233364802465,0.8032848592592593,0.04412659084290659
stackoverflow,0.75,mogb_partition_ours_boundary,MOGB partition + s2c boundary,5,0.5156718868278516,0.009972097867131961,0.3906666666666666,0.029805956816186842,0.4958398225235195,0.03643851730775787,0.5346666666666666,0.02104789511777578,0.01799999999999996,0.010488088481701538,0.7922923259259259,0.04256059459285867
stackoverflow,0.75,ours_partition_mogb_boundary,s2c partition + MOGB boundary,5,0.48479416104025363,0.012615074300219385,0.5349777777777778,0.01032867278412293,0.6121983148732834,0.011726358175282392,0.5649666666666666,0.010481730137084531,0.2337333333333333,0.019491308604378286,0.6866778074074074,0.021953868729973198
stackoverflow,0.75,random_partition,Random partition,5,0.6500992335498492,0.05461173977739191,0.8819555555555556,0.010707560499565248,0.8107916989356445,0.009135782015050711,0.77,0.018539372517249183,0.34559999999999996,0.07930615781051725,0.8821197037037036,0.019524610572511564
stackoverflow,0.75,single_centroid,Single centroid,5,0.6560530143222347,0.05338730220621315,0.8762222222222222,0.011677772491805526,0.8123797132114893,0.009843875658030734,0.7722333333333333,0.01909137385196668,0.32826666666666665,0.08026566998273782,0.8816990518518519,0.018980269052255954
