dataset,kir,method,scope,protocol,n,source,oos_f1,oos_f1_std,known_recall,known_recall_std,auroc,auroc_std,aupr_oos,aupr_oos_std,distance,k_gate,f1_all,f1_all_std,f1_k,f1_k_std,accuracy,accuracy_std,false_accept_rate,false_accept_rate_std,false_reject_rate,false_reject_rate_std
banking77,0.75,fixed_k1,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.8003324083054046,0.0225500879312276,0.9094298245614034,0.0128640433123354,0.9054832271107456,0.0120536145091697,0.9429472043512862,0.0084430352258808,euclidean,1.0,,,,,,,,,,
banking77,0.75,fixed_k2,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.8030879507285748,0.0098695958573559,0.856578947368421,0.011470786693528,0.8835810718201754,0.0052635294151519,0.9257556821598328,0.0028282458555534,euclidean,2.0,,,,,,,,,,
banking77,0.75,fixed_k3,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.8022031414951251,0.0099736237985916,0.831359649122807,0.0136951710491192,0.864820620888158,0.0140774430415574,0.9149723614594186,0.0062997299906616,euclidean,3.0,,,,,,,,,,
banking77,0.75,fixed_k4,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.8102369116669985,0.0091575962974609,0.8105263157894737,0.0063445070796006,0.8656990131578947,0.0120551852184326,0.9215191350508352,0.0070433798904367,euclidean,4.0,,,,,,,,,,
banking77,0.75,fixed_k5,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.8125327884352321,0.0080417375419044,0.7975877192982456,0.0059695866617614,0.8629064727247807,0.011896686268652,0.9209433118505898,0.006782587871863,euclidean,5.0,,,,,,,,,,
banking77,0.75,fixed_k1,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.8355006510944841,0.0216376764371247,0.8989035087719298,0.0125230627502361,0.9153300609923244,0.0107138901135626,0.9503767942246064,0.0065226754976175,mahalanobis_diag,1.0,,,,,,,,,,
banking77,0.75,fixed_k2,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.8336849827985767,0.0027624342460819,0.8701754385964913,0.0150071158867768,0.9076432291666668,0.0054416712453425,0.9446968951187434,0.0036259441734415,mahalanobis_diag,2.0,,,,,,,,,,
banking77,0.75,fixed_k3,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.8410575354724035,0.0125501806766581,0.8146929824561404,0.0135841058473233,0.8909302186129385,0.0104163965516013,0.9368398549688376,0.0051832227590403,mahalanobis_diag,3.0,,,,,,,,,,
banking77,0.75,fixed_k4,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.8530368454780413,0.0103708406321308,0.7743421052631579,0.007587212233336,0.8923748458059211,0.0104073156513878,0.9383591430309364,0.005494931279288,mahalanobis_diag,4.0,,,,,,,,,,
banking77,0.75,fixed_k5,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.853239175720191,0.0075604985306509,0.7475877192982456,0.0063898255633041,0.894656832510965,0.0095679597654207,0.940377095386044,0.0048605882275065,mahalanobis_diag,5.0,,,,,,,,,,
