dataset,kir,seed,variant,selection,checkpoint,gate_config,threshold,known_f1,oos_f1,overall_accuracy,f1_all,known_recall,false_accept_rate
stackoverflow,0.5,13,Cascade-MiniLM,Known validation 90% coverage quantile for frozen MiniLM Gate,Known-only MiniLM logistic heads,"{'k': 1, 'distance': 'euclidean', 'boundary': 'mean_std_1.5', 'rule': 'normalized_union', 'fusion_weight': 0.0, 'threshold': 0.9803455939333959}",0.9803455939333959,78.94381916890326,77.62289068231841,76.67779632721202,78.8237347610319,88.58477970627503,29.325317301269205
stackoverflow,0.5,13,Cascade-SmolLM,Known validation 90% coverage quantile,pretrained/fixed SmolLM prototype Gate,SmolLM prototype cosine support,0.2716718316078186,56.62107761187841,15.224719101123597,43.58931552587646,52.857772292718884,90.15353805073431,90.94856379425518
stackoverflow,0.5,42,Ours,locked Known-only Gate config,/home/bo/bo01/llmpy311/artifacts/s2c/runs/historical_protocol_v2/minilm_k1/stackoverflow/kir50_seed42/trainable_k1/checkpoint.pt,"{'k': 1, 'distance': 'euclidean', 'boundary': 'mean_std_1.5', 'rule': 'normalized_union', 'fusion_weight': 0.0, 'threshold': 0.9}",0.9,84.92454938209022,91.5846994535519,88.51419031719533,85.53001757040491,84.12963581690612,2.135468802135469
stackoverflow,0.5,42,Frozen MiniLM,Known validation 90% coverage quantile,pretrained all-MiniLM-L6-v2,"{'k': 1, 'distance': 'euclidean', 'boundary': 'mean_std_1.5', 'rule': 'normalized_union', 'fusion_weight': 0.0, 'threshold': 0.9}",0.9825669163590627,77.45256011964672,83.1413612565445,80.0,77.9697238593647,88.27263615101904,20.52052052052052
stackoverflow,0.5,42,Without Gate,Known validation 90% coverage quantile,fixed Router/Expert,intent confidence rejection,0.472368061542511,70.51286206457377,58.480296102765074,64.62437395659433,69.41899243168207,91.54694286668894,55.18852185518852
stackoverflow,0.5,42,Cascade-MiniLM,Known validation 90% coverage quantile for frozen MiniLM Gate,Known-only MiniLM logistic heads,"{'k': 1, 'distance': 'euclidean', 'boundary': 'mean_std_1.5', 'rule': 'normalized_union', 'fusion_weight': 0.0, 'threshold': 0.9825669163590627}",0.9825669163590627,80.6877396273929,83.1413612565445,81.13522537562604,80.91079613913395,88.27263615101904,20.52052052052052
stackoverflow,0.5,42,Cascade-SmolLM,Known validation 90% coverage quantile,pretrained/fixed SmolLM prototype Gate,SmolLM prototype cosine support,0.2806933522224426,59.48376608279325,18.307905686546462,45.42570951585977,55.74050604677082,90.71166054126294,88.988988988989
stackoverflow,0.5,87,Ours,locked Known-only Gate config,/home/bo/bo01/llmpy311/artifacts/s2c/runs/historical_protocol_v2/minilm_k1/stackoverflow/kir50_seed87/trainable_k1/checkpoint.pt,"{'k': 1, 'distance': 'euclidean', 'boundary': 'mean_std_1.5', 'rule': 'normalized_union', 'fusion_weight': 0.0, 'threshold': 0.9}",0.9,83.21229884747422,86.60496833901607,84.7746243739566,83.52072334670528,83.43353373413494,10.981308411214954
stackoverflow,0.5,87,Frozen MiniLM,Known validation 90% coverage quantile,pretrained all-MiniLM-L6-v2,"{'k': 1, 'distance': 'euclidean', 'boundary': 'mean_std_1.5', 'rule': 'normalized_union', 'fusion_weight': 0.0, 'threshold': 0.9}",0.9859530788463257,74.45208225107926,69.7172034564022,71.40233722871453,74.02163872429045,89.27855711422845,40.7543391188251
stackoverflow,0.5,87,Without Gate,Known validation 90% coverage quantile,fixed Router/Expert,intent confidence rejection,0.4389501214027405,71.87779363162164,57.28491137051448,64.72454090150251,70.55116797152098,89.81295925183701,55.7743658210948
stackoverflow,0.5,87,Cascade-MiniLM,Known validation 90% coverage quantile for frozen MiniLM Gate,Known-only MiniLM logistic heads,"{'k': 1, 'distance': 'euclidean', 'boundary': 'mean_std_1.5', 'rule': 'normalized_union', 'fusion_weight': 0.0, 'threshold': 0.9859530788463257}",0.9859530788463257,77.70987271683695,69.7172034564022,72.52086811352254,76.9832664204338,89.27855711422845,40.7543391188251
stackoverflow,0.5,87,Cascade-SmolLM,Known validation 90% coverage quantile,pretrained/fixed SmolLM prototype Gate,SmolLM prototype cosine support,0.26640987396240234,62.49528668993509,20.891441071916873,47.31218697829716,58.71311890647889,90.6813627254509,87.24966622162884
