dataset,kir,variant,seed_count,known_f1_mean,known_f1_std,oos_f1_mean,oos_f1_std,overall_accuracy_mean,overall_accuracy_std,known_recall_mean,known_recall_std,false_accept_rate_mean,false_accept_rate_std
clinc150,0.75,Ours,3,84.71458379358957,0.6421257628117697,86.80479018143325,1.5532179176632102,85.58181818181818,1.0652538853345628,89.71230158730158,0.15623031496055356,10.887850467289718,2.844204344807829
clinc150,0.75,Frozen MiniLM,3,78.33651815785443,0.2724199387584664,72.7220168585789,0.7962862680920824,76.07878787878788,0.49422746758484815,90.51587301587301,0.238508239685938,34.345794392523366,1.288793744139413
clinc150,0.75,Without Gate,3,77.71821841444854,0.7166625818396088,60.932168246093404,3.5036657694005373,71.5151515151515,1.6352409167553987,89.375,0.5912565248314023,48.73831775700935,4.571485240613861
clinc150,0.75,Cascade-MiniLM,3,82.47215913373412,0.21447567913401885,72.7220168585789,0.7962862680920824,78.52727272727272,0.1860122333723975,90.51587301587301,0.238508239685938,34.345794392523366,1.288793744139413
clinc150,0.75,Cascade-SmolLM,3,75.97571964398595,0.8548357247501962,60.847746119702784,3.404771550600062,70.42424242424242,1.5154181583556423,90.70436507936508,0.4456562985161897,49.797507788161994,3.957060800549955
stackoverflow,0.25,Ours,3,80.271064049014,0.36641228192632386,95.50115620357987,0.9583375687367838,91.7640511964385,0.8702867935342645,83.22965504884809,0.3822803808170953,3.4861315799700585,1.9555206709748454
stackoverflow,0.25,Frozen MiniLM,3,72.84296636159951,4.779834596483079,91.59886335379495,2.2139166119115723,86.0823594880356,3.050552451787593,87.70660058889503,1.0848852830338649,11.96538694908916,3.819526913180958
stackoverflow,0.25,Without Gate,3,51.72543012877738,2.2890264547402492,56.21772838316264,7.936066665212582,51.41346688925987,6.515848336241647,91.02425908108789,0.9222424286276765,59.267294840437984,8.155938038752877
stackoverflow,0.25,Cascade-MiniLM,3,75.5064392700303,5.211691974109183,91.59886335379495,2.2139166119115723,86.69449081803005,3.1848724981671523,87.70660058889503,1.0848852830338649,11.96538694908916,3.819526913180958
stackoverflow,0.25,Cascade-SmolLM,3,40.38562246799224,1.9078281799364822,21.410489698196756,2.0259614081943647,29.376739009460213,1.631871652080001,90.78050071990003,1.316814958679441,87.63379822178217,1.2515325964979205
stackoverflow,0.5,Ours,3,83.13343133765811,1.4956793223918694,89.23178645219286,2.0421718016169295,86.33277685030606,1.589009976411776,83.079578991424,1.0326586690430015,5.752797926605563,3.786744303385615
stackoverflow,0.5,Frozen MiniLM,3,75.10072729287727,1.7178190306505348,76.82715179842171,5.509198576882679,75.5147468002226,3.519868421834622,88.7119909905075,0.42040161685630373,30.200058980204943,8.283547288487968
stackoverflow,0.5,Without Gate,3,70.35034097442458,1.3185264491647666,58.09780676771479,0.5751366204512246,64.49638286032275,0.2551339651941594,90.415472490777,0.8006337213769649,55.135035148384794,0.545160666907411
stackoverflow,0.5,Cascade-MiniLM,3,79.1138105043777,1.2216370505318652,76.82715179842171,5.509198576882679,76.7779632721202,3.5175098031067367,88.7119909905075,0.42040161685630373,30.200058980204943,8.283547288487968
stackoverflow,0.5,Cascade-SmolLM,3,59.53337679486892,2.3983923768843396,18.141355286528977,2.3164252272812225,45.442404006677805,1.5199017495285712,90.51552043914938,0.2562588880445648,89.06240633495766,1.510960708338035
stackoverflow,0.75,Ours,3,85.03587350639732,1.0602600762329462,75.94409777791485,1.92518509320921,82.27601558152476,0.9647560571071477,82.67152302973778,0.7552136158263101,6.942890302137148,3.557552193623346
stackoverflow,0.75,Frozen MiniLM,3,81.1548686146353,0.6049881351906823,63.50652228431334,3.7796825327122723,76.63327768503062,0.9166611664290187,88.9647369356844,0.34165860605351805,37.8879915341765,5.990233620073703
stackoverflow,0.75,Without Gate,3,81.75013426342241,0.6413632864714833,54.00535105896938,4.0629042762499425,74.99721758486366,0.8596537125131929,90.00372004653435,0.21389216418316068,51.77083096591226,5.172284115695974
stackoverflow,0.75,Cascade-MiniLM,3,83.7100163313237,0.1994344174436395,63.50652228431334,3.7796825327122723,78.11908736783528,0.9669683252764381,88.9647369356844,0.34165860605351805,37.8879915341765,5.990233620073703
