dataset,kir,baseline,metric,n_seeds,mean_delta,median_delta,std_delta,ci95_low,ci95_high,wins,ties,losses,effect_size_d,bootstrap_seed,bootstrap_samples
banking77,0.75,mogb_minilm,known_recall,5,0.5364655172413793,0.5387931034482758,0.013168085811828592,0.5255969827586207,0.5460344827586207,5,0,0,40.73982543153573,20260806,10000
banking77,0.75,mogb_minilm,false_accept_rate,5,0.188421052631579,0.19605263157894742,0.0451739481954795,0.15184210526315794,0.2223684210526316,5,0,0,4.171011393917392,20260806,10000
banking77,0.75,mogb_minilm,auroc,5,0.09130115698729586,0.09838078493647928,0.021564342539524703,0.07397507372958251,0.10594158348457361,5,0,0,4.233894764932083,20260806,10000
banking77,0.75,mogb_minilm,aupr_oos,5,0.22182249795492445,0.2153929627642428,0.029550733405865916,0.2016447063359112,0.2483355651927827,5,0,0,7.506497213057052,20260806,10000
banking77,0.75,mogb_partition_ours_boundary,oos_f1,5,0.15520265696899074,0.1551941025126723,0.027705375581473998,0.13654789376200294,0.17840360261279806,5,0,0,5.6018968778308675,20260806,10000
banking77,0.75,mogb_partition_ours_boundary,f1_all,5,0.25523982364564174,0.2547110866636074,0.02340309025324332,0.23697984466095418,0.2734998026303293,5,0,0,10.90624446958535,20260806,10000
banking77,0.75,mogb_partition_ours_boundary,known_recall,5,0.36551724137931035,0.3599137931034483,0.0256872684612204,0.34654956896551725,0.3847413793103448,5,0,0,14.229509919714705,20260806,10000
banking77,0.75,mogb_partition_ours_boundary,false_accept_rate,5,0.15552631578947373,0.14473684210526322,0.04826813668861253,0.11736842105263161,0.19368421052631585,5,0,0,3.2221321654242696,20260806,10000
banking77,0.75,mogb_partition_ours_boundary,auroc,5,0.07858541288566248,0.08633847549909257,0.02390550594724127,0.05762375226860261,0.09367740471869332,5,0,0,3.2873352715938378,20260806,10000
banking77,0.75,mogb_partition_ours_boundary,aupr_oos,5,0.1939707088525714,0.21230535182965027,0.048484700845894735,0.15220184871442224,0.22822384188555325,5,0,0,4.000658052301774,20260806,10000
banking77,0.75,ours_partition_mogb_boundary,oos_f1,5,0.13582420934583295,0.13150557467708124,0.0262862298287338,0.11751027075643408,0.1581224740334184,5,0,0,5.167124012488159,20260806,10000
banking77,0.75,ours_partition_mogb_boundary,f1_all,5,0.18456714201557847,0.18481397325454485,0.008460501483369522,0.17864840046603425,0.1914123032746869,5,0,0,21.815153910010526,20260806,10000
banking77,0.75,ours_partition_mogb_boundary,known_recall,5,0.28853448275862076,0.28663793103448276,0.006484168500393752,0.2835344827586207,0.29353448275862076,5,0,0,44.49830116862316,20260806,10000
banking77,0.75,ours_partition_mogb_boundary,false_accept_rate,5,0.1147368421052632,0.12763157894736843,0.042057950391522096,0.07868421052631583,0.14500000000000002,5,0,0,2.7280654676979097,20260806,10000
banking77,0.75,ours_partition_mogb_boundary,auroc,5,0.06804128856624317,0.06519112976406527,0.013131489384753822,0.05883110254083477,0.07945372050816694,5,0,0,5.1815362730477315,20260806,10000
banking77,0.75,ours_partition_mogb_boundary,aupr_oos,5,0.13743442300515635,0.14145337739909247,0.028785351676699468,0.11409746961279463,0.1588951598979042,5,0,0,4.774456972030109,20260806,10000
clinc150,0.25,single_centroid,oos_f1,5,0.009570492578489454,0.009123434246500972,0.001400545230499365,0.008650536348996773,0.010798147065644881,5,0,0,6.833404855534077,20260806,10000
clinc150,0.25,single_centroid,f1_all,5,0.012509467440826861,0.012187715866409654,0.0022466436574742794,0.010775371889434827,0.014245944547209222,5,0,0,5.568069239289264,20260806,10000
clinc150,0.25,single_centroid,known_recall,5,-0.04315789473684206,-0.041228070175438614,0.005527011930534507,-0.04789473684210523,-0.03982456140350869,0,0,5,-7.808540180348108,20260806,10000
clinc150,0.25,single_centroid,false_accept_rate,5,-0.02798245614035084,-0.02653508771929819,0.003517669639436474,-0.031140350877192958,-0.026096491228070125,0,0,5,-7.954827771954616,20260806,10000
clinc150,0.25,single_centroid,auroc,5,0.015368613419513765,0.01622672360726396,0.005109732348217366,0.011421244998461155,0.019315981840566376,5,0,0,3.0077139803370363,20260806,10000
clinc150,0.25,single_centroid,aupr_oos,5,0.005118919602397254,0.006283555231185178,0.0026701617379567104,0.0028385448598874596,0.007068238489960898,5,0,0,1.9170822237586282,20260806,10000
clinc150,0.25,fixed_k2,oos_f1,5,0.006924353219263324,0.006451323865418135,0.003234018057827146,0.00447469383017951,0.009621405838230434,5,0,0,2.141099120490261,20260806,10000
clinc150,0.25,fixed_k2,f1_all,5,0.01676471645574078,0.01923773814290719,0.0078315996162561,0.010074530505483592,0.021909924869061424,5,0,0,2.140650349507418,20260806,10000
clinc150,0.25,fixed_k2,known_recall,5,-0.007192982456140329,-0.00877192982456143,0.006692010920266888,-0.012280701754385915,-0.0019298245614035147,1,0,4,-1.0748611354408044,20260806,10000
clinc150,0.25,fixed_k2,false_accept_rate,5,-0.014912280701754344,-0.016008771929824486,0.006120739358312656,-0.019692982456140293,-0.010175438596491171,0,0,5,-2.4363528372600576,20260806,10000
clinc150,0.25,fixed_k2,auroc,5,0.024365958756540573,0.027346298861188223,0.005706922658044745,0.019353570329332225,0.02829405201600499,5,0,0,4.269544238906616,20260806,10000
clinc150,0.25,fixed_k2,aupr_oos,5,0.010853979276691383,0.011047705714912537,0.0014812463799370019,0.009761963242443805,0.011954819036920038,5,0,0,7.327598854387079,20260806,10000
clinc150,0.25,random_partition,oos_f1,5,0.009242994189446874,0.009432294957740894,0.003563184494041404,0.006479835553468427,0.012006152825425321,5,0,0,2.5940262719776728,20260806,10000
clinc150,0.25,random_partition,f1_all,5,0.009095768638449875,0.010659288850810356,0.006893999125192934,0.0031422042519179127,0.013957631824981132,4,0,1,1.3193747886057823,20260806,10000
clinc150,0.25,random_partition,known_recall,5,-0.052105263157894724,-0.052631578947368474,0.007860549760428,-0.05789473684210522,-0.045263157894736825,0,0,5,-6.628704702081504,20260806,10000
clinc150,0.25,random_partition,false_accept_rate,5,-0.029342105263157843,-0.03070175438596486,0.00525950165400747,-0.03342105263157889,-0.025263157894736786,0,0,5,-5.578875565292515,20260806,10000
clinc150,0.25,random_partition,auroc,5,0.01513523391812872,0.013819444444444606,0.005570137516162619,0.011030432440751126,0.019692828562634636,5,0,0,2.7172101001477054,20260806,10000
clinc150,0.25,random_partition,aupr_oos,5,0.0050591123824359485,0.005599263680121203,0.0025937939046481577,0.0029017241837435924,0.006983912571654027,5,0,0,1.9504681437371971,20260806,10000
clinc150,0.25,mogb_minilm,oos_f1,5,0.027806639669319,0.026882173672823084,0.00512494239113201,0.02427482255102791,0.032217475816586294,5,0,0,5.425746778624179,20260806,10000
clinc150,0.25,mogb_minilm,f1_all,5,0.2744957991824698,0.26910152106056706,0.026948088532755644,0.25579967564526723,0.2969044368693535,5,0,0,10.186095345828246,20260806,10000
clinc150,0.25,mogb_minilm,known_recall,5,0.36526315789473685,0.368421052631579,0.02306367061921234,0.3484210526315789,0.3828070175438597,5,0,0,15.837165034366553,20260806,10000
clinc150,0.25,mogb_minilm,false_accept_rate,5,0.025789473684210577,0.029824561403508865,0.009852081990344755,0.01710526315789478,0.03280701754385971,5,0,0,2.617667383349509,20260806,10000
clinc150,0.25,mogb_minilm,auroc,5,0.05278781932902443,0.05478512619267484,0.008226376617470551,0.04646529701446609,0.05929597568482618,5,0,0,6.416897959293244,20260806,10000
clinc150,0.25,mogb_minilm,aupr_oos,5,0.0241533034856386,0.022039527725252972,0.006205277005353467,0.019343513901396703,0.028963093069880496,5,0,0,3.8923811885917203,20260806,10000
clinc150,0.25,mogb_partition_ours_boundary,oos_f1,5,0.01032880531290301,0.008633265599209738,0.004360051195755468,0.006984401322324696,0.013717154133126842,5,0,0,2.368964227520575,20260806,10000
clinc150,0.25,mogb_partition_ours_boundary,f1_all,5,0.09527641905276044,0.09207783788078783,0.030111278140090705,0.07297891546949724,0.11901151747053444,5,0,0,3.1641439665727003,20260806,10000
clinc150,0.25,mogb_partition_ours_boundary,known_recall,5,0.13456140350877194,0.14210526315789473,0.04109534440160603,0.10455701754385967,0.1649122807017544,5,0,0,3.2743709894182853,20260806,10000
clinc150,0.25,mogb_partition_ours_boundary,false_accept_rate,5,0.010000000000000037,0.010964912280701813,0.007184486317350646,0.004385964912280718,0.015614035087719358,5,0,0,1.3918879594564584,20260806,10000
clinc150,0.25,mogb_partition_ours_boundary,auroc,5,0.03139188981224998,0.033011311172668534,0.008011793325523243,0.024634464450600226,0.037251308094798416,5,0,0,3.9182101355815746,20260806,10000
clinc150,0.25,mogb_partition_ours_boundary,aupr_oos,5,0.01410057024178546,0.014689227342178368,0.003164132903601051,0.011342035684482665,0.01620333885576115,5,0,0,4.456377361942609,20260806,10000
clinc150,0.25,ours_partition_mogb_boundary,oos_f1,5,0.025265198958437086,0.025078493530750978,0.004335193289107958,0.02191669352643011,0.02875884471105792,5,0,0,5.827929061874849,20260806,10000
clinc150,0.25,ours_partition_mogb_boundary,f1_all,5,0.23020441458042348,0.237133295055306,0.014446235634209622,0.21834290122707306,0.2410415427840665,5,0,0,15.93525264362188,20260806,10000
clinc150,0.25,ours_partition_mogb_boundary,known_recall,5,0.31736842105263163,0.31666666666666676,0.01073262731170718,0.3096491228070176,0.32649122807017544,5,0,0,29.570431529514238,20260806,10000
clinc150,0.25,ours_partition_mogb_boundary,false_accept_rate,5,0.02057017543859654,0.02258771929824563,0.0077026460140079776,0.014035087719298298,0.026184210526315838,5,0,0,2.6705336583282895,20260806,10000
clinc150,0.25,ours_partition_mogb_boundary,auroc,5,0.05707067559249004,0.05444656048014773,0.009042541025719322,0.05073157125269316,0.06467528470298564,5,0,0,6.311353792055385,20260806,10000
clinc150,0.25,ours_partition_mogb_boundary,aupr_oos,5,0.0245805029400471,0.024796096386065503,0.0022355632293062093,0.022760909261358563,0.02637756870129133,5,0,0,10.995217052158923,20260806,10000
clinc150,0.5,single_centroid,oos_f1,5,0.014960833899474047,0.01510948902298459,0.0018216584726809956,0.013638855594775645,0.016395128430076844,5,0,0,8.212754544190542,20260806,10000
clinc150,0.5,single_centroid,f1_all,5,0.015472778084784245,0.0137014471553345,0.0040930124718648484,0.012488649925910523,0.018988162559999133,5,0,0,3.7802909693394056,20260806,10000
clinc150,0.5,single_centroid,known_recall,5,-0.0431111111111111,-0.04266666666666663,0.011942247860039465,-0.052453333333333324,-0.03315555555555556,0,0,5,-3.6099661986892166,20260806,10000
clinc150,0.5,single_centroid,false_accept_rate,5,-0.05124637681159414,-0.051014492753623145,0.007092274463657128,-0.056695652173912994,-0.0457971014492753,0,0,5,-7.225661820364602,20260806,10000
