dataset,kir,distance,intent,seed,best_k,best_k_intent_oos_f1,delta_oos_f1_vs_k1,delta_intent_class_f1_vs_k1,delta_known_recall_vs_k1,best_k_intent_known_recall,best_k_false_reject_rate,best_k_false_accept_count,best_k_false_accept_rate,selection_metric_definition,kir_pct,multi_center_oracle,safe_gain_oracle
clinc150,0.75,euclidean,reset_settings,42,1,0.8679245283018869,0.0,0.0,0.0,0.7666666666666667,0.2333333333333333,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,False,False
clinc150,0.75,euclidean,reset_settings,123,1,0.8679245283018869,0.0,0.0,0.0,0.7666666666666667,0.2333333333333333,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,False,False
clinc150,0.75,euclidean,restaurant_reservation,13,1,0.7599999999999999,0.0,0.0,0.0,0.6333333333333333,0.3,1,0.0004273504273504,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,False,False
clinc150,0.75,euclidean,restaurant_reservation,42,2,0.7692307692307692,0.0092307692307692,0.0092307692307692,0.0333333333333333,0.6666666666666666,0.3,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,True,True
clinc150,0.75,euclidean,restaurant_reservation,87,2,0.7692307692307692,0.0092307692307692,0.0092307692307692,0.0333333333333333,0.6666666666666666,0.3,1,0.0004273504273504,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,True,True
clinc150,0.75,euclidean,restaurant_reservation,100,2,0.7692307692307692,0.0092307692307692,0.0092307692307692,0.0333333333333333,0.6666666666666666,0.3,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,True,True
clinc150,0.75,euclidean,restaurant_reservation,123,2,0.7692307692307692,0.0092307692307692,0.0092307692307692,0.0333333333333333,0.6666666666666666,0.3,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,True,True
clinc150,0.75,euclidean,restaurant_reviews,13,1,0.7499999999999999,0.0,0.0,0.0,0.6,0.4,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,False,False
clinc150,0.75,euclidean,restaurant_reviews,87,1,0.7200000000000001,0.0,0.0,0.0,0.6,0.4,2,0.0008547008547008,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,False,False
clinc150,0.75,euclidean,restaurant_reviews,100,1,0.7200000000000001,0.0,0.0,0.0,0.6,0.4,2,0.0008547008547008,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,False,False
clinc150,0.75,euclidean,restaurant_suggestion,13,1,0.7499999999999999,0.0,0.0,0.0,0.6,0.3666666666666666,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,False,False
clinc150,0.75,euclidean,restaurant_suggestion,123,1,0.7599999999999999,0.0,0.0,0.0,0.6333333333333333,0.3666666666666666,1,0.0004273504273504,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,False,False
clinc150,0.75,euclidean,rewards_balance,13,3,0.8620689655172413,0.0344827586206895,0.0344827586206895,0.0333333333333333,0.8333333333333334,0.1666666666666666,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,True,True
clinc150,0.75,euclidean,rewards_balance,42,3,0.8620689655172413,0.0344827586206895,0.0344827586206895,0.0333333333333333,0.8333333333333334,0.1666666666666666,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,True,True
clinc150,0.75,euclidean,rewards_balance,100,3,0.847457627118644,0.1201848998459168,0.1201848998459168,0.0333333333333333,0.8333333333333334,0.1666666666666666,4,0.0017094017094017,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,True,True
clinc150,0.75,euclidean,rewards_balance,123,3,0.8620689655172413,0.0344827586206895,0.0344827586206895,0.0333333333333333,0.8333333333333334,0.1666666666666666,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,True,True
clinc150,0.75,euclidean,roll_dice,13,1,0.8235294117647058,0.0,0.0,0.0,0.7,0.3,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,False,False
clinc150,0.75,euclidean,roll_dice,42,1,0.8235294117647058,0.0,0.0,0.0,0.7,0.3,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,False,False
clinc150,0.75,euclidean,roll_dice,87,1,0.8235294117647058,0.0,0.0,0.0,0.7,0.3,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,False,False
clinc150,0.75,euclidean,rollover_401k,13,2,0.9090909090909092,0.0202020202020201,0.0202020202020201,0.0333333333333333,0.8333333333333334,0.1666666666666666,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,True,True
clinc150,0.75,euclidean,rollover_401k,87,2,0.9090909090909092,0.0202020202020201,0.0202020202020201,0.0333333333333333,0.8333333333333334,0.1666666666666666,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,True,True
clinc150,0.75,euclidean,rollover_401k,100,2,0.9090909090909092,0.0202020202020201,0.0202020202020201,0.0333333333333333,0.8333333333333334,0.1666666666666666,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,True,True
clinc150,0.75,euclidean,routing,13,4,0.8235294117647058,0.0480192076830732,0.0480192076830732,0.0666666666666666,0.7,0.3,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,True,True
clinc150,0.75,euclidean,routing,123,4,0.8235294117647058,0.0480192076830732,0.0480192076830732,0.0666666666666666,0.7,0.3,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,True,True
clinc150,0.75,euclidean,schedule_maintenance,13,4,0.8,0.12,0.12,0.0999999999999999,0.6666666666666666,0.3333333333333333,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,True,True
clinc150,0.75,euclidean,schedule_maintenance,42,4,0.8,0.12,0.12,0.0999999999999999,0.6666666666666666,0.3333333333333333,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,True,True
clinc150,0.75,euclidean,schedule_maintenance,123,4,0.8,0.1333333333333334,0.1333333333333334,0.1666666666666666,0.6666666666666666,0.3333333333333333,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,True,True
clinc150,0.75,euclidean,schedule_meeting,13,1,0.888888888888889,0.0,0.0,0.0,0.9333333333333332,0.0666666666666666,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,False,False
clinc150,0.75,euclidean,schedule_meeting,42,1,0.888888888888889,0.0,0.0,0.0,0.9333333333333332,0.0666666666666666,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,False,False
clinc150,0.75,euclidean,schedule_meeting,87,1,0.888888888888889,0.0,0.0,0.0,0.9333333333333332,0.0666666666666666,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,False,False
clinc150,0.75,euclidean,schedule_meeting,100,1,0.888888888888889,0.0,0.0,0.0,0.9333333333333332,0.0666666666666666,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,False,False
clinc150,0.75,euclidean,share_location,13,1,0.888888888888889,0.0,0.0,0.0,0.8,0.1666666666666666,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,False,False
clinc150,0.75,euclidean,share_location,42,1,0.888888888888889,0.0,0.0,0.0,0.8,0.1666666666666666,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,False,False
clinc150,0.75,euclidean,share_location,100,1,0.888888888888889,0.0,0.0,0.0,0.8,0.1666666666666666,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,False,False
clinc150,0.75,euclidean,share_location,123,1,0.888888888888889,0.0,0.0,0.0,0.8,0.1666666666666666,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,False,False
clinc150,0.75,euclidean,shopping_list,13,3,0.7777777777777777,0.1256038647342994,0.1256038647342994,0.1999999999999999,0.7,0.2,2,0.0008547008547008,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,True,True
clinc150,0.75,euclidean,shopping_list,42,3,0.7924528301886793,0.140278917145201,0.140278917145201,0.1999999999999999,0.7,0.2,1,0.0004273504273504,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,True,True
clinc150,0.75,euclidean,shopping_list,87,3,0.7924528301886793,0.140278917145201,0.140278917145201,0.1999999999999999,0.7,0.2,1,0.0004273504273504,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,True,True
clinc150,0.75,euclidean,shopping_list,100,3,0.7924528301886793,0.1924528301886793,0.1924528301886793,0.1999999999999999,0.7,0.2,1,0.0004273504273504,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,True,True
clinc150,0.75,euclidean,shopping_list_update,13,2,0.6666666666666665,0.0909090909090907,0.0909090909090907,-0.0333333333333333,0.6,0.3333333333333333,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,True,False
clinc150,0.75,euclidean,shopping_list_update,42,2,0.6666666666666665,0.0820512820512818,0.0820512820512818,-0.0333333333333333,0.6,0.3333333333333333,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,True,False
clinc150,0.75,euclidean,shopping_list_update,87,2,0.6545454545454547,0.0787878787878788,0.0787878787878788,-0.0333333333333333,0.6,0.3666666666666666,4,0.0017094017094017,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,True,False
clinc150,0.75,euclidean,shopping_list_update,100,2,0.6545454545454547,0.0575305291723203,0.0575305291723203,-0.0666666666666666,0.6,0.3333333333333333,1,0.0004273504273504,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,True,False
