dataset,kir,distance,rows,intents,oracle_multi_center_rate,oracle_safe_gain_rate,mean_best_k,median_best_k,mean_delta_oos_f1,mean_delta_known_recall,mean_false_accept_rate
banking77,0.75,mahalanobis_diag,290,77,0.5482758620689655,0.3137931034482759,2.1379310344827585,2.0,0.03586274350852893,0.0028448275862068967,0.002386569872958244
banking77,0.8,euclidean,310,77,0.7193548387096774,0.5225806451612903,2.606451612903226,2.0,0.06117048307493394,0.029112903225806442,0.003301075268817185
banking77,0.8,mahalanobis_diag,310,77,0.5032258064516129,0.3032258064516129,2.0451612903225804,2.0,0.030844321847863333,0.004274193548387095,0.002413978494623639
banking77,0.9,euclidean,345,77,0.7188405797101449,0.5623188405797102,2.553623188405797,2.0,0.057812544575969974,0.037608695652173896,0.003088768115942029
banking77,0.9,mahalanobis_diag,345,77,0.4782608695652174,0.3217391304347826,1.9275362318840579,1.0,0.0265456129072888,0.010434782608695648,0.002318840579710145
clinc150,0.1,euclidean,75,57,0.52,0.3333333333333333,2.1866666666666665,2.0,0.03438214069421283,0.010222222222222216,0.0008761904761904414
clinc150,0.1,mahalanobis_diag,75,57,0.30666666666666664,0.24,1.5066666666666666,1.0,0.02096486807776017,0.009777777777777769,0.0007339682539682213
clinc150,0.2,euclidean,150,90,0.5733333333333334,0.41333333333333333,2.1866666666666665,2.0,0.04164411248621492,0.01688888888888888,0.0010097222222222033
clinc150,0.2,mahalanobis_diag,150,90,0.42,0.3333333333333333,1.7266666666666666,1.0,0.029469806434503566,0.011333333333333324,0.000777777777777764
clinc150,0.25,euclidean,190,104,0.5631578947368421,0.37894736842105264,2.1526315789473682,2.0,0.03914460526238495,0.014210526315789467,0.0009626038781163179
clinc150,0.25,mahalanobis_diag,190,104,0.4,0.30526315789473685,1.6736842105263159,1.0,0.027020503276738283,0.011228070175438589,0.0007640812557709889
clinc150,0.3,euclidean,225,118,0.5466666666666666,0.36444444444444446,2.1066666666666665,2.0,0.03832290324891656,0.014518518518518514,0.0009072796934865649
clinc150,0.3,mahalanobis_diag,225,118,0.4,0.29777777777777775,1.6355555555555557,1.0,0.02392501306023635,0.010074074074074069,0.0007489144316730257
clinc150,0.4,euclidean,300,134,0.5133333333333333,0.36,2.013333333333333,2.0,0.03854941122614815,0.020999999999999994,0.000806837606837586
clinc150,0.4,mahalanobis_diag,300,134,0.4066666666666667,0.2966666666666667,1.6033333333333333,1.0,0.024444938225517895,0.011888888888888883,0.0006529914529914333
clinc150,0.5,euclidean,375,146,0.5173333333333333,0.38133333333333336,1.96,2.0,0.039793968616536717,0.02586666666666666,0.0006925603864734078
clinc150,0.5,mahalanobis_diag,375,146,0.4026666666666667,0.304,1.6053333333333333,1.0,0.024346667863232273,0.013422222222222216,0.0005696618357487738
