dataset,kir,seed,method,method_label,intent,known_count,known_false_reject,known_false_reject_rate,oos_false_accept,oos_false_accept_rate
clinc150,0.25,13,random_partition,Random K=2,shopping_list_update,30,8,0.26666666666666666,30,0.006578947368421052
clinc150,0.25,13,random_partition,Random K=2,spelling,30,2,0.06666666666666667,12,0.002631578947368421
clinc150,0.25,13,random_partition,Random K=2,tell_joke,30,8,0.26666666666666666,0,0.0
clinc150,0.25,13,random_partition,Random K=2,timezone,30,9,0.3,7,0.0015350877192982456
clinc150,0.25,13,random_partition,Random K=2,todo_list_update,30,3,0.1,29,0.006359649122807017
clinc150,0.25,13,random_partition,Random K=2,transfer,30,4,0.13333333333333333,1,0.0002192982456140351
clinc150,0.25,13,random_partition,Random K=2,travel_alert,30,15,0.5,0,0.0
clinc150,0.25,13,random_partition,Random K=2,travel_notification,30,4,0.13333333333333333,0,0.0
clinc150,0.25,13,random_partition,Random K=2,uber,30,5,0.16666666666666666,1,0.0002192982456140351
clinc150,0.25,13,random_partition,Random K=2,user_name,30,6,0.2,16,0.0035087719298245615
clinc150,0.25,13,random_partition,Random K=2,vaccines,30,15,0.5,0,0.0
clinc150,0.25,13,random_partition,Random K=2,what_are_your_hobbies,30,9,0.3,0,0.0
clinc150,0.25,13,random_partition,Random K=2,what_song,30,4,0.13333333333333333,5,0.0010964912280701754
clinc150,0.25,13,random_partition,Random K=2,whisper_mode,30,0,0.0,0,0.0
clinc150,0.25,13,mogb_minilm,MOGB-MiniLM,bill_due,30,18,0.6,0,0.0
clinc150,0.25,13,mogb_minilm,MOGB-MiniLM,calories,30,25,0.8333333333333334,0,0.0
clinc150,0.25,13,mogb_minilm,MOGB-MiniLM,cancel,30,23,0.7666666666666667,0,0.0
clinc150,0.25,13,mogb_minilm,MOGB-MiniLM,car_rental,30,22,0.7333333333333333,0,0.0
clinc150,0.25,13,mogb_minilm,MOGB-MiniLM,change_ai_name,30,26,0.8666666666666667,8,0.0017543859649122807
clinc150,0.25,13,mogb_minilm,MOGB-MiniLM,change_speed,30,17,0.5666666666666667,0,0.0
clinc150,0.25,13,mogb_minilm,MOGB-MiniLM,credit_score,30,21,0.7,0,0.0
clinc150,0.25,13,mogb_minilm,MOGB-MiniLM,current_location,30,14,0.4666666666666667,1,0.0002192982456140351
