dataset,kir,method,method_label,oos_f1_mean,oos_f1_std,known_recall_mean,false_accept_rate_mean,false_reject_rate_mean,n_seeds
clinc150,0.25,trainable_k1,Trainable K=1,0.9516427437131567,0.006493831244299081,0.7363157894736843,0.03236842105263158,0.2636842105263158,5
clinc150,0.5,fixed_k2,Frozen K=2,0.892005798496586,0.00264522648221667,0.7513777777777777,0.06440579710144928,0.24862222222222222,5
clinc150,0.5,mogb_minilm,MOGB-MiniLM,0.8131951016346013,0.0029937394053626406,0.3157333333333333,0.009043478260869566,0.6842666666666666,5
clinc150,0.5,mogb_partition_ours_boundary,MOGB partition + ours,0.8555543863002324,0.004191319483426528,0.5334222222222222,0.024985507246376812,0.46657777777777776,5
clinc150,0.5,ours_partition_mogb_boundary,Ours partition + MOGB,0.8332324302971947,0.002951150958467956,0.4224,0.016869565217391306,0.5776,5
clinc150,0.5,random_partition,Random K=2,0.8906911053121688,0.005027811945926702,0.7947555555555555,0.08962318840579711,0.20524444444444442,5
clinc150,0.5,single_centroid,Frozen K=1,0.8894333056826393,0.005027522658010518,0.7875555555555556,0.08817391304347826,0.21244444444444444,5
clinc150,0.5,trainable_k1,Trainable K=1,0.9043941395821135,0.004441963320551523,0.7444444444444445,0.036927536231884064,0.25555555555555554,5
clinc150,0.75,fixed_k2,Frozen K=2,0.8150384507030115,0.00630494099801557,0.7580357142857143,0.07324786324786325,0.24196428571428572,5
clinc150,0.75,mogb_minilm,MOGB-MiniLM,0.6593154230507091,0.004187552090302015,0.29196428571428573,0.00829059829059829,0.7080357142857142,5
clinc150,0.75,mogb_partition_ours_boundary,MOGB partition + ours,0.7197434059711283,0.0059448223178597435,0.4808928571428572,0.01888888888888889,0.5191071428571428,5
clinc150,0.75,ours_partition_mogb_boundary,Ours partition + MOGB,0.7004044722488025,0.003855913011152742,0.428452380952381,0.018803418803418803,0.571547619047619,5
clinc150,0.75,random_partition,Random K=2,0.8220513451445486,0.009384997678589673,0.8004761904761905,0.10222222222222221,0.19952380952380952,5
clinc150,0.75,single_centroid,Frozen K=1,0.8174656812211403,0.007954970381519962,0.7907142857142857,0.10102564102564102,0.2092857142857143,5
clinc150,0.75,trainable_k1,Trainable K=1,0.828493223497581,0.005076623944875152,0.7511904761904762,0.040170940170940174,0.2488095238095238,5
stackoverflow,0.25,fixed_k2,Frozen K=2,0.8666146611474034,0.04798142689533392,0.8521333333333333,0.1947111111111111,0.14786666666666665,5
stackoverflow,0.25,mogb_minilm,MOGB-MiniLM,0.8944000569448456,0.005949655171098938,0.32613333333333333,0.009377777777777778,0.6738666666666667,5
stackoverflow,0.25,mogb_partition_ours_boundary,MOGB partition + ours,0.9259960799998362,0.005335538584498685,0.5910666666666666,0.02031111111111111,0.4089333333333333,5
stackoverflow,0.25,ours_partition_mogb_boundary,Ours partition + MOGB,0.9063585472441907,0.01508885828276152,0.5414666666666668,0.04435555555555556,0.45853333333333335,5
stackoverflow,0.25,random_partition,Random K=2,0.8911014170392451,0.04117036715235753,0.8609333333333333,0.15684444444444443,0.13906666666666667,5
stackoverflow,0.25,single_centroid,Frozen K=1,0.8948207530022316,0.037655978071946546,0.8561333333333334,0.14955555555555555,0.14386666666666667,5
stackoverflow,0.25,trainable_k1,Trainable K=1,0.9547969095009252,0.01210146632890305,0.8429333333333334,0.03848888888888889,0.15706666666666666,5
stackoverflow,0.5,fixed_k2,Frozen K=2,0.6352945072329976,0.04301876563041502,0.8688666666666667,0.4716666666666667,0.13113333333333332,5
stackoverflow,0.5,mogb_minilm,MOGB-MiniLM,0.729199427573284,0.006249432392941407,0.27093333333333336,0.007933333333333334,0.7290666666666666,5
stackoverflow,0.5,mogb_partition_ours_boundary,MOGB partition + ours,0.7924706249591658,0.014867493644347045,0.5038666666666667,0.0186,0.4961333333333333,5
stackoverflow,0.5,ours_partition_mogb_boundary,Ours partition + MOGB,0.7335218198140271,0.013012175796140623,0.5449333333333334,0.1569333333333333,0.4550666666666666,5
stackoverflow,0.5,random_partition,Random K=2,0.7587996754762378,0.0549134144241642,0.8764,0.30979999999999996,0.1236,5
stackoverflow,0.5,single_centroid,Frozen K=1,0.7654959559609912,0.05344876974549661,0.8714666666666666,0.2970666666666667,0.12853333333333333,5
stackoverflow,0.5,trainable_k1,Trainable K=1,0.8767066651336372,0.016570048659296042,0.8389333333333333,0.09340000000000001,0.16106666666666666,5
stackoverflow,0.75,fixed_k2,Frozen K=2,0.43634697678645706,0.07858109845039463,0.8802222222222221,0.6166666666666667,0.11977777777777779,5
stackoverflow,0.75,mogb_minilm,MOGB-MiniLM,0.4558840331344417,0.004201451885150529,0.21173333333333333,0.006666666666666666,0.7882666666666667,5
stackoverflow,0.75,mogb_partition_ours_boundary,MOGB partition + ours,0.5156718868278516,0.009972097867131961,0.39066666666666666,0.018,0.6093333333333334,5
stackoverflow,0.75,ours_partition_mogb_boundary,Ours partition + MOGB,0.48479416104025363,0.012615074300219385,0.5349777777777778,0.23373333333333335,0.4650222222222222,5
stackoverflow,0.75,random_partition,Random K=2,0.6500992335498492,0.05461173977739191,0.8819555555555555,0.3456,0.11804444444444444,5
stackoverflow,0.75,single_centroid,Frozen K=1,0.6560530143222347,0.05338730220621315,0.8762222222222222,0.32826666666666665,0.12377777777777776,5
stackoverflow,0.75,trainable_k1,Trainable K=1,0.7630378449085173,0.02911415051443791,0.8411555555555555,0.088,0.15884444444444445,5
