dataset,kir,seed,method,method_label,n_samples,n_known,n_oos,oos_f1,known_recall,false_accept_rate,false_reject_rate,source_oos_f1,source_known_recall,metric_recompute_delta,source_prediction_path
clinc150,0.5,42,trainable_k1,Trainable K=1,5700,2250,3450,0.8971451987433411,0.7391111111111112,0.04811594202898551,0.2608888888888889,0.8971451987433411,0.739111111111111,0.0,/home/bo/bo01/llmpy311/artifacts/s2c/runs/protocol_v2_textoir_v1/minilm_trainable_kir_sweep_v1/kir_0.50/runs/clinc150/seed_42/predictions.jsonl
clinc150,0.5,42,single_centroid,Frozen K=1,5700,2250,3450,0.8814846056516238,0.7653333333333333,0.09130434782608696,0.23466666666666666,0.8814846056516238,0.7653333333333333,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.50/seed_42/single_centroid/predictions.tsv
clinc150,0.5,42,fixed_k2,Frozen K=2,5700,2250,3450,0.8911676237353021,0.7311111111111112,0.05536231884057971,0.2688888888888889,0.8911676237353021,0.731111111111111,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.50/seed_42/fixed_k2/predictions.tsv
clinc150,0.5,42,random_partition,Random K=2,5700,2250,3450,0.8829412593323003,0.7711111111111111,0.09159420289855072,0.2288888888888889,0.8829412593323003,0.7711111111111111,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.50/seed_42/random_partition/predictions.tsv
clinc150,0.5,42,mogb_minilm,MOGB-MiniLM,5700,2250,3450,0.8099016937107664,0.30044444444444446,0.008985507246376812,0.6995555555555556,0.8099016937107664,0.3004444444444444,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.50/seed_42/mogb_minilm/predictions.tsv
clinc150,0.5,42,mogb_partition_ours_boundary,MOGB partition + ours,5700,2250,3450,0.8500063075564527,0.5075555555555555,0.023478260869565216,0.49244444444444446,0.8500063075564527,0.5075555555555555,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.50/seed_42/mogb_partition_ours_boundary/predictions.tsv
clinc150,0.5,42,ours_partition_mogb_boundary,Ours partition + MOGB,5700,2250,3450,0.8313400048816207,0.4053333333333333,0.012753623188405797,0.5946666666666667,0.8313400048816207,0.4053333333333333,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.50/seed_42/ours_partition_mogb_boundary/predictions.tsv
clinc150,0.5,87,trainable_k1,Trainable K=1,5700,2250,3450,0.9086720867208672,0.7435555555555555,0.028115942028985506,0.2564444444444444,0.9086720867208672,0.7435555555555555,0.0,/home/bo/bo01/llmpy311/artifacts/s2c/runs/protocol_v2_textoir_v1/minilm_trainable_kir_sweep_v1/kir_0.50/runs/clinc150/seed_87/predictions.jsonl
clinc150,0.5,87,single_centroid,Frozen K=1,5700,2250,3450,0.8935625976978826,0.8031111111111111,0.08869565217391304,0.1968888888888889,0.8935625976978826,0.8031111111111111,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.50/seed_87/single_centroid/predictions.tsv
clinc150,0.5,87,fixed_k2,Frozen K=2,5700,2250,3450,0.8958073889580739,0.76,0.06173913043478261,0.24,0.8958073889580739,0.76,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.50/seed_87/fixed_k2/predictions.tsv
