dataset,mode,ball_id,center_l2,majority_label,purity,radius,sample_count,kir
banking77,official_fixed,33,18.923615322810253,50,1.0,4.901084899902344,53,0.75
banking77,official_fixed,34,17.56522047566045,52,1.0,5.267519950866699,110,0.75
banking77,official_fixed,35,16.904655188392983,53,1.0,4.362537384033203,97,0.75
banking77,official_fixed,36,17.08415113852998,55,1.0,6.326056003570557,61,0.75
banking77,official_fixed,37,17.987616298727982,15,1.0,4.433358192443848,10,0.75
banking77,official_fixed,38,18.298829688028405,15,1.0,4.967875480651856,15,0.75
banking77,official_fixed,39,19.554984321421266,20,1.0,4.114109992980957,10,0.75
banking77,official_fixed,40,19.86840295556196,20,1.0,4.284578323364258,25,0.75
banking77,official_fixed,41,18.91787127759271,4,1.0,4.346139907836914,22,0.75
banking77,official_fixed,42,18.18537921256711,8,1.0,4.315484046936035,20,0.75
banking77,official_fixed,43,18.96907532011479,9,1.0,4.203719139099121,60,0.75
banking77,official_fixed,44,20.505446931495392,10,1.0,3.9139370918273926,21,0.75
banking77,official_fixed,45,17.519997562062596,18,1.0,3.87486720085144,63,0.75
banking77,official_fixed,46,18.26587065668496,19,1.0,3.1024420261383057,45,0.75
banking77,official_fixed,47,18.403156970267915,19,1.0,2.492475986480713,16,0.75
banking77,official_fixed,48,20.393034797416835,2,1.0,4.236072540283203,32,0.75
banking77,official_fixed,49,20.294400713127065,21,1.0,5.428274154663086,90,0.75
banking77,official_fixed,50,20.20064068571391,21,1.0,5.3537445068359375,12,0.75
banking77,official_fixed,51,20.27971135105989,22,1.0,5.16267728805542,19,0.75
banking77,official_fixed,52,19.26732255578211,25,1.0,5.21932315826416,65,0.75
banking77,official_fixed,53,19.761276537144397,30,1.0,4.147111892700195,79,0.75
banking77,official_fixed,54,19.970100564734192,25,1.0,4.985056877136231,19,0.75
banking77,official_fixed,55,19.207363535839,37,1.0,5.932057857513428,102,0.75
banking77,official_fixed,56,19.357630687792813,38,1.0,4.769464492797852,77,0.75
banking77,official_fixed,57,20.327500123135003,23,1.0,4.618531227111816,12,0.75
banking77,official_fixed,58,18.3475114133648,39,1.0,4.291330337524414,130,0.75
banking77,official_fixed,59,19.50677872596123,41,1.0,5.7860918045043945,88,0.75
banking77,official_fixed,60,20.0804840197328,41,1.0,5.11006498336792,14,0.75
banking77,official_fixed,61,18.96007273876321,44,1.0,4.722038745880127,48,0.75
banking77,official_fixed,62,19.02681428391102,50,1.0,3.771539449691773,27,0.75
banking77,official_fixed,63,20.35238076805032,51,1.0,4.575519561767578,65,0.75
banking77,official_fixed,64,20.03017358245465,54,1.0,4.526866436004639,78,0.75
banking77,official_fixed,65,20.43831251371116,54,1.0,4.74163818359375,12,0.75
banking77,official_fixed,66,19.901338906290302,56,1.0,4.498481273651123,113,0.75
banking77,official_fixed,67,19.56154866871277,0,1.0,4.695131778717041,79,0.75
banking77,official_fixed,68,19.644946227149656,1,1.0,5.178097248077393,59,0.75
banking77,official_fixed,69,20.992257234993605,20,1.0,4.182041645050049,14,0.75
banking77,official_fixed,70,20.54822702145174,20,1.0,4.481565952301025,19,0.75
banking77,official_fixed,71,18.83224653743244,4,1.0,3.775933265686035,39,0.75
banking77,official_fixed,72,20.194578592026016,5,1.0,3.964822292327881,42,0.75
banking77,official_fixed,73,18.975576808588123,6,1.0,3.6983156204223633,18,0.75
banking77,official_fixed,74,19.416306208410944,9,1.0,2.391939401626587,13,0.75
banking77,official_fixed,75,21.025136132807752,10,1.0,3.7501471042633057,11,0.75
banking77,official_fixed,76,19.01258837680172,13,1.0,4.052123546600342,35,0.75
banking77,official_fixed,77,18.648781775752624,17,1.0,2.7817087173461914,12,0.75
banking77,official_fixed,78,17.89753001155305,18,1.0,3.5180439949035645,14,0.75
banking77,official_fixed,79,20.617207601155616,2,1.0,3.912438154220581,19,0.75
banking77,official_fixed,80,20.463345291845435,25,1.0,4.438685894012451,12,0.75
banking77,official_fixed,81,19.31681159269466,21,1.0,5.307112216949463,19,0.75
banking77,official_fixed,82,18.1484421312719,46,1.0,4.601374626159668,141,0.75
banking77,official_fixed,83,19.129819795741152,48,1.0,3.606253862380981,25,0.75
banking77,official_fixed,84,18.82499399966932,49,1.0,4.154693603515625,137,0.75
banking77,official_fixed,85,19.71315424810859,50,1.0,4.024079322814941,68,0.75
banking77,official_fixed,86,20.31925660580966,54,1.0,4.576497554779053,17,0.75
banking77,official_fixed,87,20.23489104536295,56,1.0,3.4277384281158447,25,0.75
banking77,official_fixed,88,19.897066471539464,1,1.0,3.395111322402954,11,0.75
banking77,official_fixed,89,20.727412593593915,2,1.0,4.738998889923096,11,0.75
banking77,official_fixed,90,19.503360921215545,4,1.0,3.972389459609986,12,0.75
banking77,official_fixed,91,20.504672479901853,10,1.0,3.672415256500244,13,0.75
banking77,official_fixed,92,21.12689508894813,10,1.0,3.936678171157837,14,0.75
banking77,official_fixed,93,19.344771902820927,48,1.0,3.6943106651306152,53,0.75
banking77,official_fixed,94,19.305344726033443,48,1.0,4.096915721893311,33,0.75
banking77,official_fixed,95,20.183912776297404,54,1.0,4.156615734100342,11,0.75
banking77,official_fixed,96,18.562508451128565,6,1.0,3.318265438079834,19,0.75
banking77,official_fixed,97,20.82038989583813,54,1.0,3.489555597305298,14,0.75
banking77,official_fixed,98,20.82219313917417,5,1.0,2.870356321334839,12,0.75
