run_id,dataset,kir,seed,representation,k_gate,distance,boundary,oos_precision,oos_recall,oos_f1,id_recall,auroc,aupr_oos,fpr95,false_accept_rate,false_reject_rate,scoring_seconds,samples_per_second,peak_rss_kib,effective_cluster_count,minimum_cluster_size,run_relative_path,manifest_sha256
protocol_v2__banking77__kir_0.30__seed_2__repr_frozen_minilm__k_1__dist_mahalanobis_diag__boundary_mean_std,banking77,0.30,2,frozen_minilm,1,mahalanobis_diag,mean_std,0.9218997361477572,0.8087962962962963,0.861652281134402,0.8391304347826087,0.9045586755233495,0.9509076562555723,0.4076086956521739,0.1912037037037037,0.1608695652173913,0.21603535499889404,14256.925677816798,1702608,23,32,artifacts/s2c/runs/protocol_v2/gate_core_dense/protocol_v2__banking77__kir_0.30__seed_2__repr_frozen_minilm__k_1__dist_mahalanobis_diag__boundary_mean_std,03f98b139eefb5ce0994671022fbb24e392bdb993e2481d33aebe7384a154d34
protocol_v2__banking77__kir_0.30__seed_2__repr_frozen_minilm__k_2__dist_euclidean__boundary_mean_std,banking77,0.30,2,frozen_minilm,2,euclidean,mean_std,0.9028720626631854,0.8004629629629629,0.8485889570552148,0.7978260869565217,0.8912288647342995,0.9417738179208825,0.41956521739130437,0.19953703703703704,0.20217391304347826,0.2935720249079168,10491.462873433147,1702608,46,7,artifacts/s2c/runs/protocol_v2/gate_core_dense/protocol_v2__banking77__kir_0.30__seed_2__repr_frozen_minilm__k_2__dist_euclidean__boundary_mean_std,02cf91dbe2aae31cb303210c27b505e567a616c110f46a7e11e83067d56101f9
protocol_v2__banking77__kir_0.30__seed_2__repr_frozen_minilm__k_2__dist_mahalanobis_diag__boundary_mean_std,banking77,0.30,2,frozen_minilm,2,mahalanobis_diag,mean_std,0.9023073146784487,0.850925925925926,0.8758637121753634,0.783695652173913,0.904068035426731,0.9494987409347765,0.3826086956521739,0.14907407407407408,0.21630434782608696,0.5995370619930327,5137.297083455022,1702608,46,7,artifacts/s2c/runs/protocol_v2/gate_core_dense/protocol_v2__banking77__kir_0.30__seed_2__repr_frozen_minilm__k_2__dist_mahalanobis_diag__boundary_mean_std,150df5aa63e03f37c7d602aaa0d7a8517430b8d2e3da9afbcb2c5b340bdf3049
protocol_v2__banking77__kir_0.30__seed_2__repr_frozen_minilm__k_3__dist_euclidean__boundary_mean_std,banking77,0.30,2,frozen_minilm,3,euclidean,mean_std,0.8990408884401817,0.8245370370370371,0.860178700796909,0.782608695652174,0.8875206320450885,0.9408719847142923,0.4391304347826087,0.17546296296296296,0.21739130434782608,0.3625519009074196,8495.335405196238,1702608,69,7,artifacts/s2c/runs/protocol_v2/gate_core_dense/protocol_v2__banking77__kir_0.30__seed_2__repr_frozen_minilm__k_3__dist_euclidean__boundary_mean_std,6f8af280421443db1c5bba1ce901f6db390548c55ad2772bf2c47fb854608fa0
protocol_v2__banking77__kir_0.30__seed_2__repr_frozen_minilm__k_3__dist_mahalanobis_diag__boundary_mean_std,banking77,0.30,2,frozen_minilm,3,mahalanobis_diag,mean_std,0.8936170212765957,0.875,0.8842105263157894,0.7554347826086957,0.8908439009661836,0.9402277404337632,0.38913043478260867,0.125,0.24456521739130435,0.8902446640422568,3459.723067605832,1702608,69,7,artifacts/s2c/runs/protocol_v2/gate_core_dense/protocol_v2__banking77__kir_0.30__seed_2__repr_frozen_minilm__k_3__dist_mahalanobis_diag__boundary_mean_std,b5136aa1b6a0d338b52c1522813231ec275fd642834c460e154bd45e24eabdb4
protocol_v2__banking77__kir_0.30__seed_2__repr_frozen_minilm__k_4__dist_euclidean__boundary_mean_std,banking77,0.30,2,frozen_minilm,4,euclidean,mean_std,0.8962635201573255,0.8439814814814814,0.8693371483071054,0.7706521739130434,0.8767577495974236,0.9312709917252942,0.44130434782608696,0.15601851851851853,0.22934782608695653,0.5850782400229946,5264.253204629436,1702608,92,2,artifacts/s2c/runs/protocol_v2/gate_core_dense/protocol_v2__banking77__kir_0.30__seed_2__repr_frozen_minilm__k_4__dist_euclidean__boundary_mean_std,0069d1983c8e3641272d26f0b623e9d634aa8851a8ec4ffea9283d413d04e9ac
protocol_v2__banking77__kir_0.30__seed_2__repr_frozen_minilm__k_4__dist_mahalanobis_diag__boundary_mean_std,banking77,0.30,2,frozen_minilm,4,mahalanobis_diag,mean_std,0.8795289855072463,0.899074074074074,0.8891941391941391,0.7108695652173913,0.8854695048309178,0.9340681660498116,0.4043478260869565,0.10092592592592593,0.2891304347826087,1.0176528410520405,3026.5723985164955,1702608,92,2,artifacts/s2c/runs/protocol_v2/gate_core_dense/protocol_v2__banking77__kir_0.30__seed_2__repr_frozen_minilm__k_4__dist_mahalanobis_diag__boundary_mean_std,ca5a805a7c6a9634b23a8c21e3052dbce62b421c3d0baf1fe2b66110ed51b79f
protocol_v2__banking77__kir_0.30__seed_2__repr_frozen_minilm__k_5__dist_euclidean__boundary_mean_std,banking77,0.30,2,frozen_minilm,5,euclidean,mean_std,0.8916627414036741,0.8763888888888889,0.8839598412327807,0.75,0.8792250402576489,0.9256066359531347,0.4108695652173913,0.12361111111111112,0.25,0.5729076260467991,5376.084834570528,1702608,115,2,artifacts/s2c/runs/protocol_v2/gate_core_dense/protocol_v2__banking77__kir_0.30__seed_2__repr_frozen_minilm__k_5__dist_euclidean__boundary_mean_std,137d5746d0ff484cf51fd8c3e0b0a13d254aa4a4f9dbb480fca604279182b947
protocol_v2__banking77__kir_0.30__seed_2__repr_frozen_minilm__k_5__dist_mahalanobis_diag__boundary_mean_std,banking77,0.30,2,frozen_minilm,5,mahalanobis_diag,mean_std,0.8702026735661923,0.9342592592592592,0.9010939941951328,0.6728260869565217,0.8815187198067633,0.9289756533933549,0.37282608695652175,0.06574074074074074,0.32717391304347826,1.2288377090590075,2506.4334999603284,1702608,115,2,artifacts/s2c/runs/protocol_v2/gate_core_dense/protocol_v2__banking77__kir_0.30__seed_2__repr_frozen_minilm__k_5__dist_mahalanobis_diag__boundary_mean_std,94e16512a8b32bed396958c831b97d3067cb1f84748aa76e30faeab2e11b4f7a
protocol_v2__banking77__kir_0.30__seed_3__repr_frozen_minilm__k_1__dist_euclidean__boundary_mean_std,banking77,0.30,3,frozen_minilm,1,euclidean,mean_std,0.925624636839047,0.7375,0.820922442669415,0.8608695652173913,0.887434078099839,0.9388508027711029,0.4076086956521739,0.2625,0.1391304347826087,0.1682164480444044,18309.74340384935,1702608,23,37,artifacts/s2c/runs/protocol_v2/gate_core_dense/protocol_v2__banking77__kir_0.30__seed_3__repr_frozen_minilm__k_1__dist_euclidean__boundary_mean_std,17a7331fa618f42ee9f983589179a87d23890f27e29c4c275b703f07f7d939d4
