dataset,kir,representation,k_gate,distance,boundary,seed_count,oos_precision_mean,oos_precision_std,oos_recall_mean,oos_recall_std,oos_f1_mean,oos_f1_std,id_recall_mean,id_recall_std,auroc_mean,auroc_std,aupr_oos_mean,aupr_oos_std,fpr95_mean,fpr95_std,false_accept_rate_mean,false_accept_rate_std,false_reject_rate_mean,false_reject_rate_std,scoring_seconds_mean,scoring_seconds_std,samples_per_second_mean,samples_per_second_std,peak_rss_kib_mean,peak_rss_kib_std,effective_cluster_count_mean,effective_cluster_count_std,minimum_cluster_size_mean,minimum_cluster_size_std
banking77,0.30,frozen_minilm,3,euclidean,mean_std,10,0.9086767885925453,0.009811520219347725,0.8229166666666666,0.03432332598171668,0.8633683350925536,0.020638398904607343,0.8058695652173913,0.021643509509451948,0.8924450986312399,0.01600376989400653,0.9399978121112282,0.008602972592344512,0.38706521739130434,0.05376120604843606,0.17708333333333334,0.03432332598171669,0.1941304347826087,0.021643509509451982,0.4150831865728833,0.07419515768787587,7618.017945334764,1241.4918534347444,1702608.0,0.0,69.0,0.0,8.2,1.0327955589886446
banking77,0.30,frozen_minilm,3,mahalanobis_diag,mean_std,10,0.9039901483040061,0.007900244899682165,0.8723611111111111,0.034010924271793516,0.8876097988340329,0.019065690034646622,0.7825,0.01942684563800757,0.8955563607085346,0.016401031318303512,0.9376706002927199,0.010019459848355785,0.35043478260869565,0.04858640263817698,0.12763888888888889,0.034010924271793516,0.2175,0.019426845638007582,0.7851647137082182,0.13916236320232359,4014.872511958885,586.6339307514926,1702608.0,0.0,69.0,0.0,8.2,1.0327955589886446
banking77,0.30,frozen_minilm,4,euclidean,mean_std,10,0.9035255837265596,0.007041951503636059,0.8531944444444445,0.03225157270947286,0.8774069091805536,0.019047511280494547,0.7863043478260869,0.014638757314437074,0.8927112016908213,0.01478370935849832,0.9371983625644651,0.008306345699634963,0.36641304347826087,0.04125807858491739,0.14680555555555555,0.032251572709472875,0.21369565217391304,0.01463875731443708,0.5000064361840486,0.08944886899642716,6313.551172662817,962.149671385758,1702608.0,0.0,92.0,0.0,2.8,1.3165611772087666
banking77,0.30,frozen_minilm,4,mahalanobis_diag,mean_std,10,0.8932400876606551,0.00824602605800362,0.9021296296296296,0.023794674969986423,0.8975387163523891,0.013774391476552655,0.7468478260869565,0.02053711912415578,0.8970856481481482,0.018305079931818118,0.937464325674012,0.011914508063490368,0.3341304347826087,0.04768093916516681,0.09787037037037037,0.023794674969986405,0.25315217391304345,0.020537119124155772,0.9779616906889714,0.12144078219911518,3189.0114472643077,358.2838267164772,1702608.0,0.0,92.0,0.0,2.8,1.3165611772087666
banking77,0.30,frozen_minilm,5,euclidean,mean_std,10,0.9003171968361858,0.005975167530231249,0.882962962962963,0.036922920904179916,0.8912231126183079,0.020051465524888585,0.7705434782608696,0.015494797251366457,0.8967902576489533,0.01811832604781943,0.9371697991773003,0.009919463315137178,0.35304347826086957,0.06062710509925257,0.11703703703703704,0.03692292090417992,0.22945652173913045,0.015494797251366463,0.6617961213341914,0.10414496807457838,4760.025769358784,752.3017783468357,1702608.0,0.0,115.0,0.0,2.1,0.7378647873726218
banking77,0.30,frozen_minilm,5,mahalanobis_diag,mean_std,10,0.8834461177044082,0.009580894400757245,0.9366203703703704,0.01915750710541775,0.909176379411267,0.01176681846344216,0.7097826086956521,0.025532554967315744,0.9019581823671498,0.019533793247598064,0.9407275181525188,0.011075917070138558,0.32663043478260867,0.06583095040074864,0.06337962962962963,0.019157507105417762,0.2902173913043478,0.025532554967315744,1.1819252177956514,0.06479322415816127,2613.2630443714265,148.99985335473835,1702608.0,0.0,115.0,0.0,2.1,0.7378647873726218
banking77,0.40,frozen_minilm,1,euclidean,mean_std,10,0.8756360033241202,0.012249419774400899,0.7216304347826087,0.04587291353944454,0.7907170294680823,0.03235704261944378,0.8485483870967742,0.009578345909975333,0.8734043215287518,0.015200137278916656,0.891996028305674,0.013092235971351956,0.43338709677419357,0.04156891064597137,0.2783695652173913,0.04587291353944454,0.1514516129032258,0.009578345909975331,0.1582879206747748,0.03438849210623792,20117.0155842998,3398.8608304145723,1702608.0,0.0,31.0,0.0,47.2,19.112532246902525
banking77,0.40,frozen_minilm,1,mahalanobis_diag,mean_std,10,0.8823248275300888,0.008980190626268255,0.8058152173913044,0.0388476513814335,0.8419955382877862,0.024408600899208842,0.8408064516129032,0.010059655567427517,0.893382626227209,0.01374605662685446,0.9085089058515518,0.012118425043855319,0.3926612903225807,0.04622006770161642,0.19418478260869565,0.0388476513814335,0.15919354838709676,0.010059655567427534,0.3014312420622446,0.04695682882515901,10419.52197751628,1441.506591038161,1702608.0,0.0,31.0,0.0,47.2,19.112532246902525
banking77,0.40,frozen_minilm,2,euclidean,mean_std,10,0.8637601349637538,0.010112933179482708,0.7673369565217392,0.036001486658024294,0.8123951926583105,0.023275026832350297,0.8206451612903226,0.012207971595255919,0.8753953366058906,0.01672522275765883,0.8949243501008285,0.013691044009376398,0.4432258064516129,0.06292413033764542,0.2326630434782609,0.036001486658024294,0.17935483870967742,0.012207971595255891,0.3601762144942768,0.056414762924599286,8721.085879006836,1211.2012438724687,1702608.0,0.0,62.0,0.0,11.2,4.661902329879224
banking77,0.40,frozen_minilm,2,mahalanobis_diag,mean_std,10,0.8646728815467779,0.008264943839204099,0.8119565217391305,0.045446107272753174,0.8369568933181387,0.026462535443618134,0.8116129032258065,0.012893141220458934,0.888211562061711,0.017503192704441554,0.9020104496693802,0.015639490386621165,0.39233870967741935,0.058094687999257454,0.18804347826086956,0.045446107272753146,0.18838709677419355,0.012893141220458931,0.7408950170967727,0.13557859205734185,4284.889718879393,778.0581003696523,1702608.0,0.0,62.0,0.0,11.2,4.661902329879224
