dataset,representation,k_gate,distance,boundary,seed_count,oos_precision_mean,oos_precision_std,oos_recall_mean,oos_recall_std,oos_f1_mean,oos_f1_std,id_recall_mean,id_recall_std,auroc_mean,auroc_std,aupr_oos_mean,aupr_oos_std,fpr95_mean,fpr95_std,false_accept_rate_mean,false_accept_rate_std,false_reject_rate_mean,false_reject_rate_std,scoring_seconds_mean,scoring_seconds_std,samples_per_second_mean,samples_per_second_std,peak_rss_kib_mean,peak_rss_kib_std,effective_cluster_count_mean,effective_cluster_count_std,minimum_cluster_size_mean,minimum_cluster_size_std
clinc150,frozen_minilm,1,euclidean,mean_std,110,0.8434505063647454,0.10820342062385507,0.9196923583971075,0.029279710396553575,0.8772180115725562,0.07078632713167748,0.7844145342312009,0.014072421695582626,0.9306296019233687,0.016646671380101966,0.9247635764884788,0.05787853632649076,0.2888680702176316,0.07859249430958186,0.08030764160289251,0.029279710396553575,0.2155854657687991,0.014072421695582628,0.6296409685175274,0.339235243103253,13669.68715345404,10294.44924001318,1507651.7818181817,276515.41210995323,75.0,38.596952867321036,100.0,0.0
clinc150,frozen_minilm,1,mahalanobis_diag,mean_std,110,0.8293659760971624,0.11632339991825857,0.9422523408788204,0.021568851667106433,0.8786079547532657,0.07494989299529262,0.7525118357763094,0.015875056426731933,0.9268701430179821,0.0177419121564795,0.9160550375632677,0.062862764253385,0.2682848683155701,0.07776736180454556,0.057747659121179684,0.02156885166710643,0.24748816422369055,0.015875056426731936,1.2975172446553849,0.7051981111190769,6837.625951216334,5537.216202162755,1507699.5272727273,276548.37547772867,75.0,38.596952867321036,100.0,0.0
clinc150,frozen_minilm,2,euclidean,mean_std,110,0.8312773135109902,0.11595652504875097,0.9428870916524349,0.02062871915094748,0.8799189401164415,0.07406382610672455,0.7574457089693932,0.012588440678386657,0.9292531150473428,0.014921447980710692,0.9180422425390624,0.06367909646142737,0.25660408175320454,0.06383840375854075,0.05711290834756508,0.020628719150947487,0.24255429103060683,0.01258844067838666,1.3045489575682123,0.6866426454864736,6464.600422945176,4745.708484000801,1507734.4363636363,276568.66046055447,150.0,77.19390573464207,12.972727272727273,2.8557332993875715
clinc150,frozen_minilm,2,mahalanobis_diag,mean_std,110,0.8119766616952753,0.1265249147372754,0.9593957798970554,0.015260489942534552,0.8746783564334456,0.08120264802924393,0.7138435729475203,0.0164815113866822,0.9264554420409042,0.017397856257930142,0.9177409873774314,0.06072979193407579,0.2498904816755694,0.06357833968175305,0.04060422010294463,0.015260489942534546,0.2861564270524797,0.016481511386682204,2.656235619172962,1.4492104500467906,3326.400914323331,2630.5683822195374,1507754.2545454546,276580.4379979972,150.0,77.19390573464207,12.972727272727273,2.8557332993875715
clinc150,frozen_minilm,3,euclidean,mean_std,110,0.8224586228906854,0.12113153189728304,0.9467382371582826,0.019494853849309313,0.8760994471332648,0.0777425235435163,0.7393214281494983,0.013332711296423085,0.9206134883964529,0.016198271763291226,0.8999043517576296,0.07879407328635515,0.2657496343974414,0.06309743713336084,0.05326176284171734,0.019494853849309313,0.2606785718505017,0.013332711296423086,1.9476017081570303,1.0593856295604926,4500.058971623125,3511.4985333231657,1507754.9090909092,276580.12005689944,225.0,115.79085860196312,3.672727272727273,2.623496829235904
clinc150,frozen_minilm,3,mahalanobis_diag,mean_std,110,0.7925445888341263,0.1369565889072972,0.9668397248233797,0.013370659156084331,0.8649432586136399,0.08933146702226698,0.6695749820679645,0.017266686537877184,0.9176977744023161,0.01932637714207532,0.9071681489636738,0.06769536015712739,0.2643407991780799,0.06389670887249181,0.033160275176620305,0.013370659156084331,0.3304250179320355,0.01726668653787718,3.93590276904764,2.1515590394168282,2279.1240217595155,1869.5917311986466,1507754.981818182,276580.16499396955,225.0,115.79085860196312,3.672727272727273,2.623496829235904
clinc150,frozen_minilm,4,euclidean,mean_std,110,0.8014444762356797,0.13257267903786282,0.9566950410301635,0.016238170590139295,0.8668369942746053,0.08624629722870242,0.6936106168198274,0.015683337709181948,0.9153178288034989,0.0167453175893497,0.8987686241868226,0.07918666927554739,0.28175348366708014,0.0667121618554686,0.04330495896983659,0.016238170590139295,0.30638938318017267,0.015683337709181948,2.529509826718872,1.3611937475310814,3465.9702672016906,2737.550033404964,1507755.6,276580.54290243465,300.0,154.38781146928415,3.609090909090909,0.7050987899481334
clinc150,frozen_minilm,4,mahalanobis_diag,mean_std,110,0.7686914239422729,0.14847616099685493,0.9721434181193073,0.011616338033093473,0.8509604694302655,0.09954581068988766,0.6104074489675367,0.019314194393706706,0.9086117767368289,0.024725004969769242,0.8929598417198322,0.08267369582349357,0.285656104064876,0.06869512835311517,0.027856581880692715,0.01161633803309348,0.3895925510324633,0.019314194393706706,5.261872792906466,2.918121517315139,1726.6598396754923,1433.4570035748375,1502279.8545454545,277153.6358747331,300.0,154.38781146928415,3.609090909090909,0.7050987899481334
clinc150,frozen_minilm,5,euclidean,mean_std,110,0.7923849700634785,0.13701165612403787,0.9630848621470982,0.01382584508572965,0.8634435701697153,0.08967538100016108,0.6700147449853591,0.015734696264261838,0.9089696407323414,0.017480118472988374,0.887137420530501,0.08757529760039383,0.2794078403078403,0.0573716508062793,0.03691513785290181,0.013825845085729656,0.329985255014641,0.015734696264261838,3.1477005000734195,1.708622910008325,2822.0063877156276,2260.3869776086513,1502495.5272727273,276910.90203551593,375.0,192.9847643366052,1.8,0.9167153170298096
clinc150,frozen_minilm,5,mahalanobis_diag,mean_std,110,0.7558694215218876,0.15369885885467244,0.978736340286743,0.008704021635384676,0.8444751738294849,0.10410712420578991,0.5736889306599833,0.018947374282468087,0.8999507728548469,0.02646968067899584,0.879039761647943,0.09212160779723559,0.28779671885943814,0.06291043746870033,0.021263659713257003,0.008704021635384673,0.4263110693400167,0.018947374282468087,6.544431438221893,3.6203580285236585,1391.3880876124294,1160.6244182698465,1502531.8181818181,276873.83587495843,375.0,192.9847643366052,1.8,0.9167153170298096
