dataset,kir,method,oos_f1_mean,oos_f1_std,f1_all_mean,f1_all_std,known_recall_mean,known_recall_std,false_accept_rate_mean,false_accept_rate_std,n_seeds,method_label,pareto_frontier,dominated_by
stackoverflow,0.25,random_partition,0.8911014170392451,0.04117036715235756,0.8086454974094963,0.03058047333973445,0.8609333333333333,0.01891853882072059,0.1568444444444444,0.07328641596798209,5,Random K=2,True,
stackoverflow,0.25,single_centroid,0.8948207530022316,0.0376559780719465,0.8101159547533475,0.028957126044099602,0.8561333333333334,0.01824158862477595,0.14955555555555552,0.06764613810115103,5,Frozen K=1,True,
stackoverflow,0.25,trainable_k1,0.9547969095009252,0.0121014663289031,0.8763726851882936,0.023711704285174266,0.8429333333333332,0.005899152481501032,0.038488888888888836,0.0213913562790392,5,Trainable K=1,True,
stackoverflow,0.5,fixed_k2,0.6352945072329976,0.04301876563041502,0.7275883031957765,0.023359233304818608,0.8688666666666667,0.012801041624284559,0.4716666666666667,0.05844940832321008,5,Frozen K=2,False,random_partition|single_centroid
stackoverflow,0.5,mogb_minilm,0.729199427573284,0.006249432392941407,0.43298039378929865,0.03399553971951928,0.2709333333333333,0.023698804470549447,0.00793333333333328,0.0025755258362775845,5,MOGB-MiniLM,True,
stackoverflow,0.5,mogb_partition_ours_boundary,0.7924706249591658,0.014867493644347045,0.63344181949998,0.05501643416641743,0.5038666666666667,0.049077376548557386,0.01859999999999998,0.0070134790859379655,5,MOGB part. + S2C bound.,True,
stackoverflow,0.5,ours_partition_mogb_boundary,0.7335218198140271,0.013012175796140623,0.6358695194997168,0.01582317933949017,0.5449333333333334,0.011736457917295356,0.1569333333333333,0.029528141003305836,5,S2C part. + MOGB bound.,False,trainable_k1
stackoverflow,0.5,random_partition,0.7587996754762378,0.0549134144241642,0.7980409512231381,0.022351101003422826,0.8764,0.013462705688101626,0.30979999999999996,0.08558024174876919,5,Random K=2,True,
stackoverflow,0.5,single_centroid,0.7654959559609912,0.05344876974549661,0.7997964624589458,0.022009634922279985,0.8714666666666666,0.011824174859630228,0.29706666666666665,0.0840477377579089,5,Frozen K=1,True,
stackoverflow,0.5,trainable_k1,0.8767066651336372,0.016570048659295993,0.8655077750537566,0.012976894988666438,0.8389333333333333,0.0035699361961307454,0.09339999999999998,0.03261168842949139,5,Trainable K=1,True,
stackoverflow,0.75,fixed_k2,0.43634697678645706,0.07858109845039463,0.7446586353568032,0.019022613164624624,0.8802222222222221,0.008217716483155838,0.6166666666666667,0.09370521152351488,5,Frozen K=2,False,random_partition
stackoverflow,0.75,mogb_minilm,0.4558840331344417,0.004201451885150502,0.33093232311807846,0.020763371557782045,0.21173333333333327,0.014546986451317514,0.006666666666666619,0.004784233364802465,5,MOGB-MiniLM,True,
stackoverflow,0.75,mogb_partition_ours_boundary,0.5156718868278516,0.009972097867131961,0.4958398225235195,0.03643851730775787,0.3906666666666666,0.029805956816186842,0.01799999999999996,0.010488088481701538,5,MOGB part. + S2C bound.,True,
stackoverflow,0.75,ours_partition_mogb_boundary,0.48479416104025363,0.012615074300219385,0.6121983148732834,0.011726358175282392,0.5349777777777778,0.01032867278412293,0.2337333333333333,0.019491308604378286,5,S2C part. + MOGB bound.,False,trainable_k1
stackoverflow,0.75,random_partition,0.6500992335498492,0.05461173977739191,0.8107916989356445,0.009135782015050711,0.8819555555555556,0.010707560499565248,0.34559999999999996,0.07930615781051725,5,Random K=2,True,
stackoverflow,0.75,single_centroid,0.6560530143222347,0.05338730220621315,0.8123797132114893,0.009843875658030734,0.8762222222222222,0.011677772491805526,0.32826666666666665,0.08026566998273782,5,Frozen K=1,True,
stackoverflow,0.75,trainable_k1,0.7630378449085173,0.02911415051443791,0.87280021593395,0.006839113989012046,0.8411555555555555,0.006726399069669037,0.08799999999999997,0.05970855140690578,5,Trainable K=1,True,
