dataset,dataset_label,kir,method,method_label,oos_f1_delta_vs_frozen_k1_pp,f1_all_delta_vs_frozen_k1_pp,known_recall_delta_vs_frozen_k1_pp,false_accept_delta_vs_frozen_k1_pp,false_reject_delta_vs_frozen_k1_pp,absolute_oos_f1,absolute_false_accept_rate
clinc150,CLINC150,0.25,random_partition,Random K=2,0.03274983890425576,0.3413698802376963,0.8947368421052593,0.1359649122807005,-0.8947368421052593,0.9423997495237098,0.0617105263157894
clinc150,CLINC150,0.25,trainable_k1,Trainable K=1,0.9570492578489631,1.2509467440826816,-4.315789473684206,-2.79824561403509,4.31578947368422,0.9516427437131568,0.0323684210526315
clinc150,CLINC150,0.25,mogb_partition_ours_boundary,MOGB partition + S2C boundary,-0.07583127344136242,-8.27669516119336,-17.771929824561393,-3.7982456140350895,17.771929824561408,0.9413139384002536,0.0223684210526315
clinc150,CLINC150,0.25,ours_partition_mogb_boundary,S2C partition + MOGB boundary,-1.5694706379947632,-21.76949471395966,-36.05263157894737,-4.85526315789474,36.052631578947384,0.9263775447547196,0.011798245614035
clinc150,CLINC150,0.25,mogb_minilm,MOGB-MiniLM,-1.8236147090829546,-26.1986331741643,-40.842105263157904,-5.37719298245615,40.84210526315791,0.9238361040438376,0.0065789473684209
clinc150,CLINC150,0.5,fixed_k2,Frozen K=2,0.25724928139466696,-0.17502523902211964,-3.6177777777777864,-2.3768115942029002,3.617777777777789,0.892005798496586,0.0644057971014492
clinc150,CLINC150,0.5,random_partition,Random K=2,0.12577996295294325,0.4813702115465279,0.7199999999999984,0.14492753623187998,-0.7199999999999901,0.8906911053121688,0.089623188405797
clinc150,CLINC150,0.5,trainable_k1,Trainable K=1,1.4960833899474224,1.547277808478431,-4.31111111111111,-5.124637681159419,4.311111111111118,0.9043941395821136,0.036927536231884
clinc150,CLINC150,0.5,mogb_partition_ours_boundary,MOGB partition + S2C boundary,-3.3878919382406947,-15.671167836785727,-25.413333333333334,-6.31884057971015,25.413333333333345,0.8555543863002324,0.0249855072463767
clinc150,CLINC150,0.5,ours_partition_mogb_boundary,S2C partition + MOGB boundary,-5.62008753854446,-23.860029039299558,-36.515555555555565,-7.1304347826087,36.515555555555565,0.8332324302971947,0.0168695652173912
clinc150,CLINC150,0.5,mogb_minilm,MOGB-MiniLM,-7.623820404803805,-35.31553874957093,-47.18222222222222,-7.91304347826087,47.18222222222222,0.8131951016346013,0.0090434782608695
clinc150,CLINC150,0.75,fixed_k2,Frozen K=2,-0.24272305181287646,-0.30636964176163906,-3.2678571428571446,-2.7777777777777803,3.2678571428571472,0.8150384507030115,0.0732478632478632
clinc150,CLINC150,0.75,random_partition,Random K=2,0.4585663923408312,0.6043892431159326,0.9761904761904749,0.11965811965811007,-0.9761904761904722,0.8220513451445486,0.1022222222222221
clinc150,CLINC150,0.75,trainable_k1,Trainable K=1,1.102754227644076,1.1714999362909428,-3.9523809523809517,-6.0854700854700905,3.952380952380949,0.828493223497581,0.0401709401709401
clinc150,CLINC150,0.75,mogb_partition_ours_boundary,MOGB partition + S2C boundary,-9.772227525001199,-22.139564979356784,-30.982142857142854,-8.21367521367522,30.982142857142858,0.7197434059711283,0.0188888888888888
clinc150,CLINC150,0.75,ours_partition_mogb_boundary,S2C partition + MOGB boundary,-11.706120897233774,-24.811956586903104,-36.22619047619048,-8.22222222222223,36.22619047619048,0.7004044722488025,0.0188034188034187
clinc150,CLINC150,0.75,mogb_minilm,MOGB-MiniLM,-15.815025817043116,-39.943866954794125,-49.875,-9.273504273504281,49.875,0.6593154230507091,0.0082905982905982
stackoverflow,StackOverflow,0.25,fixed_k2,Frozen K=2,-2.8206091854828252,-4.212526134951855,-0.40000000000001146,4.515555555555551,0.40000000000000036,0.8666146611474034,0.194711111111111
stackoverflow,StackOverflow,0.25,random_partition,Random K=2,-0.37193359629865697,-0.14704573438512059,0.47999999999999154,0.72888888888889,-0.47999999999999987,0.8911014170392451,0.1568444444444444
stackoverflow,StackOverflow,0.25,trainable_k1,Trainable K=1,5.997615649869359,6.625673043494606,-1.3200000000000212,-11.106666666666671,1.3200000000000016,0.9547969095009252,0.0384888888888888
stackoverflow,StackOverflow,0.25,mogb_partition_ours_boundary,MOGB partition + S2C boundary,3.1175326997604613,-7.5606650952296235,-26.50666666666668,-12.92444444444445,26.50666666666667,0.9259960799998362,0.020311111111111
stackoverflow,StackOverflow,0.25,ours_partition_mogb_boundary,S2C partition + MOGB boundary,1.153779424195922,-11.95854702565603,-31.466666666666676,-10.52,31.466666666666672,0.9063585472441908,0.0443555555555555
stackoverflow,StackOverflow,0.25,mogb_minilm,MOGB-MiniLM,-0.042069605738603855,-26.941208923057548,-53.000000000000014,-14.017777777777779,53.000000000000014,0.8944000569448456,0.0093777777777777
