dataset,seed,method,bin_center,density,n_oos,display_max,overflow_in_last_bin
clinc150,13,trainable_k1,0.10561503984334739,0.0,3250,1.572490593223172,0
clinc150,13,trainable_k1,0.12908504869742457,0.0,3250,1.572490593223172,0
clinc150,13,trainable_k1,0.15255505755150178,0.0,3250,1.572490593223172,0
clinc150,13,trainable_k1,0.17602506640557897,0.0,3250,1.572490593223172,0
clinc150,13,trainable_k1,0.19949507525965615,0.0,3250,1.572490593223172,0
clinc150,13,trainable_k1,0.22296508411373334,0.0,3250,1.572490593223172,0
clinc150,13,trainable_k1,0.24643509296781055,0.0,3250,1.572490593223172,0
clinc150,13,trainable_k1,0.26990510182188776,0.0,3250,1.572490593223172,0
clinc150,13,trainable_k1,0.2933751106759649,0.0,3250,1.572490593223172,0
clinc150,13,trainable_k1,0.31684511953004213,0.0,3250,1.572490593223172,0
clinc150,13,trainable_k1,0.34031512838411937,0.0,3250,1.572490593223172,0
clinc150,13,trainable_k1,0.3637851372381965,0.0,3250,1.572490593223172,0
clinc150,13,trainable_k1,0.38725514609227374,0.0,3250,1.572490593223172,0
clinc150,13,trainable_k1,0.41072515494635087,0.0,3250,1.572490593223172,0
clinc150,13,trainable_k1,0.4341951638004281,0.0,3250,1.572490593223172,0
clinc150,13,trainable_k1,0.45766517265450535,0.0,3250,1.572490593223172,0
clinc150,13,trainable_k1,0.4811351815085825,0.0,3250,1.572490593223172,0
clinc150,13,trainable_k1,0.5046051903626597,0.0,3250,1.572490593223172,0
clinc150,13,trainable_k1,0.528075199216737,0.0,3250,1.572490593223172,0
clinc150,13,trainable_k1,0.5515452080708141,0.0,3250,1.572490593223172,0
clinc150,13,trainable_k1,0.5750152169248912,0.0,3250,1.572490593223172,0
clinc150,13,trainable_k1,0.5984852257789685,0.0,3250,1.572490593223172,0
clinc150,13,trainable_k1,0.6219552346330457,0.0,3250,1.572490593223172,0
clinc150,13,trainable_k1,0.6454252434871228,0.004370006982178236,3250,1.572490593223172,0
clinc150,13,trainable_k1,0.6688952523412001,0.008740013964356473,3250,1.572490593223172,0
clinc150,13,trainable_k1,0.6923652611952773,0.01311002094653471,3250,1.572490593223172,0
clinc150,13,trainable_k1,0.7158352700493544,0.01311002094653471,3250,1.572490593223172,0
clinc150,13,trainable_k1,0.7393052789034316,0.016023358934653547,3250,1.572490593223172,0
clinc150,13,trainable_k1,0.7627752877575089,0.02476337289901004,3250,1.572490593223172,0
clinc150,13,trainable_k1,0.786245296611586,0.03933006283960422,3250,1.572490593223172,0
clinc150,13,trainable_k1,0.8097153054656632,0.056810090768317195,3250,1.572490593223172,0
clinc150,13,trainable_k1,0.8331853143197404,0.09322681561980253,3250,1.572490593223172,0
clinc150,13,trainable_k1,0.8566553231738177,0.1340135474534661,3250,1.572490593223172,0
clinc150,13,trainable_k1,0.8801253320278948,0.20393365916831796,3250,1.572490593223172,0
clinc150,13,trainable_k1,0.903595340881972,0.2636570879247541,3250,1.572490593223172,0
clinc150,13,trainable_k1,0.9270653497360493,0.33649053762772485,3250,1.572490593223172,0
clinc150,13,trainable_k1,0.9505353585901264,0.38893062141386386,3250,1.572490593223172,0
clinc150,13,trainable_k1,0.9740053674442035,0.4646774091049533,3250,1.572490593223172,0
clinc150,13,trainable_k1,0.9974753762982809,0.6016042945465389,3250,1.572490593223172,0
clinc150,13,trainable_k1,1.020945385152358,0.788057925786144,3250,1.572490593223172,0
clinc150,13,trainable_k1,1.0444153940064351,1.024038302823769,3250,1.572490593223172,0
clinc150,13,trainable_k1,1.0678854028605125,1.2192319480277303,3250,1.572490593223172,0
clinc150,13,trainable_k1,1.0913554117145896,1.4391889661307016,3250,1.572490593223172,0
clinc150,13,trainable_k1,1.1148254205686667,1.6416659563049603,3250,1.572490593223172,0
clinc150,13,trainable_k1,1.1382954294227439,1.8805596713307042,3250,1.572490593223172,0
clinc150,13,trainable_k1,1.1617654382768212,2.1325634073029858,3250,1.572490593223172,0
clinc150,13,trainable_k1,1.1852354471308983,2.473423951912888,3250,1.572490593223172,0
clinc150,13,trainable_k1,1.2087054559849755,2.970148078887148,3250,1.572490593223172,0
clinc150,13,trainable_k1,1.2321754648390528,3.618365781243586,3250,1.572490593223172,0
clinc150,13,trainable_k1,1.25564547369313,4.195206702891116,3250,1.572490593223172,0
clinc150,13,trainable_k1,1.279115482547207,4.474887149750522,3250,1.572490593223172,0
clinc150,13,trainable_k1,1.3025854914012842,4.158789978039628,3250,1.572490593223172,0
clinc150,13,trainable_k1,1.3260555002553616,3.412975453081209,3250,1.572490593223172,0
clinc150,13,trainable_k1,1.3495255091094387,2.3248437145188254,3250,1.572490593223172,0
clinc150,13,trainable_k1,1.372995517963516,1.3576155024633745,3250,1.572490593223172,0
clinc150,13,trainable_k1,1.3964655268175932,0.589950942594062,3250,1.572490593223172,0
clinc150,13,trainable_k1,1.4199355356716703,0.20247699017425788,3250,1.572490593223172,0
clinc150,13,trainable_k1,1.4434055445257474,0.033503386863366645,3250,1.572490593223172,0
clinc150,13,trainable_k1,1.4668755533798246,0.0058266759762376765,3250,1.572490593223172,0
clinc150,13,trainable_k1,1.490345562233902,0.0014566689940594191,3250,1.572490593223172,0
clinc150,13,trainable_k1,1.513815571087979,0.0,3250,1.572490593223172,0
clinc150,13,trainable_k1,1.5372855799420564,0.0,3250,1.572490593223172,0
clinc150,13,trainable_k1,1.5607555887961335,0.0,3250,1.572490593223172,0
clinc150,42,trainable_k1,0.011735004427038597,0.0,3250,1.572490593223172,24
clinc150,42,trainable_k1,0.03520501328111579,0.0,3250,1.572490593223172,24
clinc150,42,trainable_k1,0.05867502213519299,0.0,3250,1.572490593223172,24
clinc150,42,trainable_k1,0.08214503098927017,0.0,3250,1.572490593223172,24
clinc150,42,trainable_k1,0.10561503984334739,0.0,3250,1.572490593223172,24
clinc150,42,trainable_k1,0.12908504869742457,0.0,3250,1.572490593223172,24
clinc150,42,trainable_k1,0.15255505755150178,0.0,3250,1.572490593223172,24
clinc150,42,trainable_k1,0.17602506640557897,0.0,3250,1.572490593223172,24
clinc150,42,trainable_k1,0.19949507525965615,0.0,3250,1.572490593223172,24
clinc150,42,trainable_k1,0.22296508411373334,0.0,3250,1.572490593223172,24
clinc150,42,trainable_k1,0.24643509296781055,0.0,3250,1.572490593223172,24
clinc150,42,trainable_k1,0.26990510182188776,0.0,3250,1.572490593223172,24
clinc150,42,trainable_k1,0.2933751106759649,0.0,3250,1.572490593223172,24
clinc150,42,trainable_k1,0.31684511953004213,0.0,3250,1.572490593223172,24
clinc150,42,trainable_k1,0.34031512838411937,0.0,3250,1.572490593223172,24
clinc150,42,trainable_k1,0.3637851372381965,0.0,3250,1.572490593223172,24
clinc150,42,trainable_k1,0.38725514609227374,0.0,3250,1.572490593223172,24
clinc150,42,trainable_k1,0.41072515494635087,0.0,3250,1.572490593223172,24
clinc150,42,trainable_k1,0.4341951638004281,0.0,3250,1.572490593223172,24
clinc150,42,trainable_k1,0.45766517265450535,0.0,3250,1.572490593223172,24
clinc150,42,trainable_k1,0.4811351815085825,0.0,3250,1.572490593223172,24
clinc150,42,trainable_k1,0.5046051903626597,0.0,3250,1.572490593223172,24
clinc150,42,trainable_k1,0.528075199216737,0.0,3250,1.572490593223172,24
clinc150,42,trainable_k1,0.5515452080708141,0.0,3250,1.572490593223172,24
clinc150,42,trainable_k1,0.5750152169248912,0.0014657894618218595,3250,1.572490593223172,24
clinc150,42,trainable_k1,0.5984852257789685,0.002931578923643719,3250,1.572490593223172,24
clinc150,42,trainable_k1,0.6219552346330457,0.008794736770931177,3250,1.572490593223172,24
clinc150,42,trainable_k1,0.6454252434871228,0.011726315694574918,3250,1.572490593223172,24
clinc150,42,trainable_k1,0.6688952523412001,0.016123684080040526,3250,1.572490593223172,24
clinc150,42,trainable_k1,0.6923652611952773,0.014657894618218651,3250,1.572490593223172,24
clinc150,42,trainable_k1,0.7158352700493544,0.020521052465506073,3250,1.572490593223172,24
clinc150,42,trainable_k1,0.7393052789034316,0.030781578698259097,3250,1.572490593223172,24
clinc150,42,trainable_k1,0.7627752877575089,0.042507894392834,3250,1.572490593223172,24
clinc150,42,trainable_k1,0.786245296611586,0.046905262778299636,3250,1.572490593223172,24
clinc150,42,trainable_k1,0.8097153054656632,0.046905262778299615,3250,1.572490593223172,24
clinc150,42,trainable_k1,0.8331853143197404,0.05569999954923076,3250,1.572490593223172,24
clinc150,42,trainable_k1,0.8566553231738177,0.08061842040020241,3250,1.572490593223172,24
clinc150,42,trainable_k1,0.8801253320278948,0.11726315694574896,3250,1.572490593223172,24
clinc150,42,trainable_k1,0.903595340881972,0.15683947241493937,3250,1.572490593223172,24
clinc150,42,trainable_k1,0.9270653497360493,0.19788157734595144,3250,1.572490593223172,24
clinc150,42,trainable_k1,0.9505353585901264,0.24478684012425095,3250,1.572490593223172,24
clinc150,42,trainable_k1,0.9740053674442035,0.3107473659062347,3250,1.572490593223172,24
clinc150,42,trainable_k1,0.9974753762982809,0.3752421022263969,3250,1.572490593223172,24
clinc150,42,trainable_k1,1.020945385152358,0.467586838321174,3250,1.572490593223172,24
clinc150,42,trainable_k1,1.0444153940064351,0.5760552584959916,3250,1.572490593223172,24
clinc150,42,trainable_k1,1.0678854028605125,0.7094420995217808,3250,1.572490593223172,24
clinc150,42,trainable_k1,1.0913554117145896,0.8135131513111331,3250,1.572490593223172,24
clinc150,42,trainable_k1,1.1148254205686667,0.8926657822495138,3250,1.572490593223172,24
clinc150,42,trainable_k1,1.1382954294227439,1.0128605181189068,3250,1.572490593223172,24
clinc150,42,trainable_k1,1.1617654382768212,1.1990157797702847,3250,1.572490593223172,24
clinc150,42,trainable_k1,1.1852354471308983,1.5009684089055877,3250,1.572490593223172,24
clinc150,42,trainable_k1,1.2087054559849755,1.8087841958881783,3250,1.572490593223172,24
clinc150,42,trainable_k1,1.2321754648390528,2.119531561794411,3250,1.572490593223172,24
clinc150,42,trainable_k1,1.25564547369313,2.3393999810676913,3250,1.572490593223172,24
clinc150,42,trainable_k1,1.279115482547207,2.529952611104533,3250,1.572490593223172,24
clinc150,42,trainable_k1,1.3025854914012842,2.66920260997761,3250,1.572490593223172,24
clinc150,42,trainable_k1,1.3260555002553616,2.789397345847003,3250,1.572490593223172,24
clinc150,42,trainable_k1,1.3495255091094387,2.8993315554836427,3250,1.572490593223172,24
clinc150,42,trainable_k1,1.372995517963516,2.9975394494257075,3250,1.572490593223172,24
