dataset,dataset_label,kir,seed,method,method_label,oos_f1,false_accept_rate,known_recall,auroc,aupr_oos
banking77_oos,BANKING77-OOS,0.25,13,trainable_k1,Trainable,0.9271873165002936,0.12277777777777778,0.8875,0.9405005787037037,0.990990846143067
banking77_oos,BANKING77-OOS,0.25,42,frozen_k1,Frozen,0.9113322441705035,0.14777777777777779,0.8645833333333334,0.9363616898148148,0.9899570194630314
banking77_oos,BANKING77-OOS,0.25,42,trainable_k1,Trainable,0.9359492210040392,0.09888888888888889,0.8166666666666667,0.9394247685185185,0.9907151655924009
banking77_oos,BANKING77-OOS,0.25,87,frozen_k1,Frozen,0.911025716819391,0.1438888888888889,0.825,0.9174050925925927,0.9868392948605708
banking77_oos,BANKING77-OOS,0.25,87,trainable_k1,Trainable,0.9142099056603774,0.1386111111111111,0.8270833333333334,0.9186035879629629,0.9870485724829907
banking77_oos,BANKING77-OOS,0.5,13,frozen_k1,Frozen,0.8329039381670961,0.26525974025974025,0.909,0.9120743506493507,0.9686352987206025
banking77_oos,BANKING77-OOS,0.5,13,trainable_k1,Trainable,0.8840529247910863,0.17564935064935064,0.875,0.9194792207792208,0.9719525200048673
banking77_oos,BANKING77-OOS,0.5,42,frozen_k1,Frozen,0.8615603341034299,0.21298701298701297,0.877,0.9132051948051949,0.968195046791366
banking77_oos,BANKING77-OOS,0.5,42,trainable_k1,Trainable,0.8768404642300364,0.17824675324675324,0.838,0.9113032467532468,0.9681171537302224
banking77_oos,BANKING77-OOS,0.5,87,frozen_k1,Frozen,0.8502155172413793,0.2314935064935065,0.879,0.9088487012987013,0.9670200006811454
banking77_oos,BANKING77-OOS,0.5,87,trainable_k1,Trainable,0.8932305055698372,0.1538961038961039,0.851,0.9154564935064935,0.9699967957956219
banking77_oos,BANKING77-OOS,0.75,13,frozen_k1,Frozen,0.828695652173913,0.25546875,0.9118421052631579,0.9177796052631578,0.952064977261191
banking77_oos,BANKING77-OOS,0.75,13,trainable_k1,Trainable,0.8698334361505243,0.173828125,0.8763157894736842,0.9218929893092105,0.9550321678233844
banking77_oos,BANKING77-OOS,0.75,42,frozen_k1,Frozen,0.8597228055438891,0.200390625,0.8980263157894737,0.9246070620888157,0.955889417594797
banking77_oos,BANKING77-OOS,0.75,42,trainable_k1,Trainable,0.8681790312691601,0.1703125,0.8625,0.9181566097861842,0.9525944055654714
banking77_oos,BANKING77-OOS,0.75,87,frozen_k1,Frozen,0.81808349556565,0.261328125,0.8868421052631579,0.9036037726151317,0.943176175943202
banking77_oos,BANKING77-OOS,0.75,87,trainable_k1,Trainable,0.860135551447936,0.18203125,0.8585526315789473,0.9091280324835527,0.947154035802699
