dataset,k,radius_lambda,test_oos_f1_mean,test_oos_f1_std,test_f1_all_mean,test_f1_all_std,test_f1_k_mean,test_f1_k_std,test_accuracy_mean,test_accuracy_std,test_known_recall_mean,test_known_recall_std,test_false_accept_rate_mean,test_false_accept_rate_std,test_false_reject_rate_mean,test_false_reject_rate_std,test_auroc_mean,test_auroc_std,test_aupr_oos_mean,test_aupr_oos_std
clinc150,1,0.5,0.8819562824283316,0.00600655953372585,0.7462557251082093,0.01653281109924352,0.744446384343941,0.0166745144729017,0.8394152046783626,0.009369691308412314,0.6216296296296296,0.014635207562980574,0.016521739130434733,0.004841534228547875,0.3783703703703704,0.014635207562980519,0.9468943424584003,0.007157855607130702,0.9582690319231396,0.0077792825329645885
clinc150,1,0.75,0.8951233676947382,0.006323003491746784,0.7898589142467717,0.013481877930437957,0.7884553882007989,0.01357934823111069,0.8600584795321637,0.009200635179093877,0.6877037037037037,0.009389601112587173,0.024830917874396067,0.007719800717077587,0.3122962962962963,0.009389601112587173,0.9494906280193237,0.006512973855148481,0.9604370100727943,0.0072003955465305735
clinc150,1,1.0,0.9043025833372952,0.0062487196963865975,0.8190383882947754,0.010077844399131845,0.8179015323608753,0.010131856497277403,0.8739766081871346,0.008469039687029412,0.7426666666666666,0.0032049344670791553,0.03613526570048307,0.010572097055687188,0.2573333333333333,0.0032049344670791245,0.9513123778851315,0.006073446334924897,0.9618995379320204,0.0068477379725991145
clinc150,1,1.25,0.9122332923166487,0.008124736143031485,0.8440171367285352,0.013108955410074086,0.8431075879873604,0.013176489266995429,0.8859649122807017,0.010787690624311038,0.7952592592592592,0.009760928242980195,0.04937198067632844,0.010212336434182652,0.2047407407407407,0.009760928242980254,0.9525791948470209,0.005797401898816447,0.9628862663292557,0.006684405541996392
clinc150,1,1.5,0.9185348500845311,0.008246392644087271,0.8632290460968512,0.012130586142885702,0.8624916353770157,0.012190180678347125,0.8949122807017544,0.010687364498609202,0.8465185185185184,0.009679642206767154,0.06560386473429951,0.012305477264471896,0.15348148148148144,0.009679642206767198,0.9534394417606014,0.005587338100614811,0.9635266712652543,0.006596640736713967
clinc150,1,2.0,0.9081615216902903,0.009176020098111767,0.868168412686369,0.013676057134569371,0.8676351712329834,0.013745511885079269,0.8852631578947369,0.012410343286896493,0.9081481481481483,0.010273622783754481,0.11835748792270527,0.013067074737829401,0.09185185185185184,0.010273622783754535,0.9544278260869564,0.00527507892726613,0.9642748917682796,0.0064674763616058605
clinc150,2,0.5,0.8743233010950764,0.00411922752032215,0.7163382503754946,0.018272005218937494,0.7142317830325667,0.018461143655155474,0.8267836257309943,0.0075872544900395114,0.5802962962962962,0.01933375904171583,0.0107246376811594,0.0015061311370164086,0.4197037037037037,0.019333759041715772,0.9515219323671499,0.0040331680392758406,0.9624065411528587,0.004441570392483959
clinc150,2,0.75,0.8884579771746316,0.005197056407053799,0.7633186710910923,0.01843615888672167,0.7616501470099785,0.01861268050309323,0.8488888888888889,0.008997679898847326,0.6460740740740741,0.017053775995953632,0.016231884057971,0.0015061311370164069,0.3539259259259259,0.017053775995953632,0.9534908427267847,0.0034646372818398934,0.9638958313505674,0.003972451255679667
clinc150,2,1.0,0.9015090754397211,0.004237565194638721,0.8036377754209748,0.012604845181586737,0.8023328247540582,0.012716609302765351,0.8687134502923977,0.007029230035703724,0.7100740740740741,0.010925863151106548,0.024154589371980634,0.003433691911868024,0.28992592592592586,0.010925863151106495,0.9548369296833066,0.003034638592237122,0.9648781441842692,0.0036082117808718113
clinc150,2,1.25,0.91259891960308,0.0035224084663978182,0.8342139876125548,0.009860429297303297,0.8331688551860145,0.00994513940407412,0.8845029239766081,0.006088334397696595,0.7684444444444445,0.005388602512436539,0.03400966183574874,0.004938890017055895,0.23155555555555551,0.005388602512436488,0.9557466022544282,0.002708071898451721,0.9655119079392517,0.003329744934254404
clinc150,2,1.5,0.918457887754737,0.0029662905945068226,0.8541156478577602,0.009575955463055796,0.8532577513258005,0.009665546139434603,0.8933333333333334,0.005545080922554069,0.814962962962963,0.006671603110635675,0.0483091787439613,0.003935345285877576,0.18503703703703697,0.006671603110635641,0.9563365324745036,0.002401602615117081,0.9658986919877557,0.003069502895078806
clinc150,2,2.0,0.916036092934489,0.004567635701113632,0.8688808540069818,0.009253909131570528,0.8682521174879483,0.009328513009117285,0.8928070175438596,0.006561966389215789,0.8893333333333334,0.006547075494513909,0.09391304347826084,0.007619385175707185,0.11066666666666664,0.006547075494513894,0.9569309286097692,0.001919068689405335,0.9662658138164448,0.0026396059298782687
stackoverflow,1,0.5,0.8748999320706424,0.003842132312677954,0.8478142809746444,0.001445922276148315,0.8451057158650447,0.0013102014538111076,0.8606666666666666,0.0033291640592397133,0.7771111111111111,0.010090332740540072,0.04899999999999997,0.015275252316519468,0.22288888888888883,0.010090332740540072,0.9145706296296297,0.011765799441514414,0.8836595715398877,0.026808760712481942
stackoverflow,1,0.75,0.8753392459662618,0.008767036486135749,0.8556089328878979,0.00461569498393209,0.8536359015800615,0.004277962709404001,0.8635555555555555,0.007601778544330037,0.81,0.006928203230275515,0.07366666666666664,0.02126290457842274,0.19000000000000003,0.006928203230275515,0.9161913333333334,0.011160094313508985,0.8859259316194542,0.02571555403848
stackoverflow,1,1.0,0.8670909818700716,0.009628993510880545,0.856539550407569,0.003713175493914943,0.8554844072613187,0.0033284968616471094,0.8582222222222221,0.007768049471559253,0.8392222222222222,0.0038920621973637963,0.11144444444444444,0.02018066548108014,0.16077777777777777,0.0038920621973637963,0.9175099999999999,0.010667169120689105,0.8877708242406266,0.024782637624767533
stackoverflow,1,1.25,0.8447214031080444,0.013034614812298858,0.8461875193937453,0.005860886367568623,0.8463341310223154,0.005593647811096302,0.8396666666666667,0.010152996273678761,0.8622222222222221,0.0025239592648000856,0.16788888888888887,0.023238696973734024,0.13777777777777775,0.002523959264800094,0.9185855185185184,0.010244485408651086,0.8892294088626121,0.024035569109124376
stackoverflow,1,1.5,0.8099149060969072,0.022977795538766933,0.829625176097225,0.008507193912084479,0.8315962030972569,0.0075250531900534915,0.8110555555555555,0.017105338131489553,0.8846666666666666,0.0040960685758148615,0.24044444444444443,0.03760959294490547,0.11533333333333329,0.004096068575814858,0.9194775555555554,0.009893835506871899,0.8903948532366979,0.023505458519613418
stackoverflow,1,2.0,0.68675085329841,0.05326178826297203,0.7881927460283907,0.012050928014246091,0.7983369353013887,0.009648570485653728,0.7250555555555556,0.030452756367369604,0.9343333333333333,0.007211102550928062,0.441,0.06446963109351055,0.0656666666666666,0.007211102550927978,0.9208462222222221,0.009296785112056298,0.8921201969155342,0.022670856417492415
stackoverflow,2,0.5,0.770689634006177,0.03994963528667656,0.7978473721539396,0.010686305729951922,0.8005631459687158,0.007826259310681595,0.7755555555555556,0.026922900894825432,0.8887777777777778,0.009142898478742492,0.3018888888888889,0.062972951277454,0.11122222222222217,0.009142898478742544,0.8878445555555556,0.019079164494026562,0.86917444386366,0.03288683799876681
stackoverflow,2,0.75,0.7298659173944037,0.05505978912125263,0.7849126103974462,0.013144707923027814,0.7904172796977503,0.008989236782595268,0.7486111111111112,0.03407195544943303,0.9155555555555556,0.004537906190369326,0.37455555555555553,0.07698869565890344,0.08444444444444443,0.004537906190369387,0.8916655185185185,0.01770331875852237,0.8728592873344353,0.03127376925462958
stackoverflow,2,1.0,0.6764813688704443,0.07532518444936462,0.7680702640586476,0.015447168759475728,0.7772291535774679,0.00973981606171208,0.7156111111111111,0.04252755098277572,0.9362222222222222,0.0035642255405212227,0.45255555555555554,0.09574522519764704,0.06377777777777772,0.0035642255405212344,0.8945461111111112,0.016609273663889593,0.8753874680660094,0.03022145668564369
stackoverflow,2,1.25,0.6070724405845609,0.10037805271977002,0.7478190960225762,0.020150694538906024,0.7618937615663777,0.013025135920935306,0.6766666666666667,0.051667473111985836,0.9523333333333334,0.002962731472438572,0.5378888888888889,0.1133266337889109,0.047666666666666635,0.0029627314724385376,0.896700037037037,0.015674713930613947,0.8772720585351865,0.029364481771919086
stackoverflow,2,1.5,0.5260479796315395,0.12960098985860735,0.7276052844690758,0.022929468165037697,0.7477610149528293,0.013862535054074756,0.6362777777777778,0.06001951843019565,0.9654444444444445,0.0018358568490953466,0.6231111111111112,0.130347541140911,0.0345555555555555,0.0018358568490953844,0.8983275925925925,0.014942954738362841,0.8786329930155196,0.028774751442760017
stackoverflow,2,2.0,0.364327097333409,0.16309688616125395,0.6931673916734722,0.024692795509321498,0.7260514211074787,0.014301471429132198,0.5676111111111112,0.06183138661206272,0.9825555555555555,0.0029876288132774974,0.7644444444444444,0.13283922334634174,0.017444444444444433,0.002987628813277489,0.9005315185185186,0.013855701494969286,0.8804398795927576,0.028027753832166484
