dataset,kir,seed,k,radius_lambda,distance,radius_method,threshold,calibration_known_recall,calibration_false_reject_rate,test_used_for_selection,oos_used_for_training,test_oos_precision,test_oos_recall,test_oos_f1,test_id_recall,test_oos_rejection,test_auroc,test_aupr_oos,test_fpr95,test_false_accept_rate,test_false_reject_rate,test_f1_all,test_f1_u,test_f1_k,test_accuracy,test_known_recall,known_only_selected_lambda,known_only_selection_constraint_met
banking77,0.5,13,2,1.5,mahalanobis_diag,mean_std,1.0,0.8805668016194332,0.1194331983805668,False,False,0.8700729927007299,0.764102564102564,0.8136518771331058,0.8828947368421053,0.764102564102564,0.910761217948718,0.9013743090526272,0.3217105263157894,0.2358974358974359,0.1171052631578947,0.8179036332574148,0.8136518771331058,0.8180155215764756,0.811038961038961,0.8828947368421053,2.0,False
banking77,0.5,13,2,2.0,mahalanobis_diag,mean_std,1.0,0.9392712550607288,0.0607287449392712,False,False,0.9004878048780488,0.5916666666666667,0.7141199226305609,0.9328947368421052,0.5916666666666667,0.9115114709851552,0.9026527967542314,0.3269736842105263,0.4083333333333333,0.0671052631578947,0.7835777436883395,0.7141199226305609,0.7854055810845968,0.7415584415584415,0.9328947368421052,2.0,False
banking77,0.5,42,1,0.5,mahalanobis_diag,mean_std,1.0,0.703030303030303,0.296969696969697,False,False,0.7654190827622562,0.9307692307692308,0.8400347121781891,0.7072368421052632,0.9307692307692308,0.8986799932523618,0.883701448996017,0.3664473684210526,0.0692307692307692,0.2927631578947368,0.7806713033584612,0.8400347121781891,0.7791091083895211,0.8116883116883117,0.7072368421052632,2.0,True
banking77,0.5,42,1,0.75,mahalanobis_diag,mean_std,1.0,0.7636363636363637,0.2363636363636363,False,False,0.7993197278911565,0.903846153846154,0.8483754512635379,0.7671052631578947,0.903846153846154,0.8999350539811067,0.8848514040069654,0.3618421052631579,0.0961538461538461,0.2328947368421052,0.8073831204247696,0.8483754512635379,0.8063043748763808,0.825974025974026,0.7671052631578947,2.0,True
banking77,0.5,42,1,1.0,mahalanobis_diag,mean_std,1.0,0.8161616161616162,0.1838383838383838,False,False,0.8293897882938979,0.8538461538461538,0.8414403032217309,0.8197368421052631,0.8538461538461538,0.9006448211875844,0.8851886213770147,0.3546052631578947,0.1461538461538461,0.1802631578947368,0.8168639763258652,0.8414403032217309,0.8162172308812371,0.824025974025974,0.8197368421052631,2.0,True
banking77,0.5,42,1,1.25,mahalanobis_diag,mean_std,1.0,0.8727272727272728,0.1272727272727272,False,False,0.8505509641873278,0.7916666666666666,0.8200531208499336,0.8572368421052632,0.7916666666666666,0.9010260627530364,0.8854846478940195,0.3559210526315789,0.2083333333333333,0.1427631578947368,0.8165270150356873,0.8200531208499336,0.8164342227774176,0.810064935064935,0.8572368421052632,2.0,True
banking77,0.5,42,1,1.5,mahalanobis_diag,mean_std,1.0,0.907070707070707,0.0929292929292929,False,False,0.873545384018619,0.7217948717948718,0.7904527904527905,0.8927631578947368,0.7217948717948718,0.9010884784075576,0.8854454374443222,0.3625,0.2782051282051282,0.1072368421052631,0.8137507767824878,0.7904527904527905,0.8143638816859009,0.7905844155844156,0.8927631578947368,2.0,True
banking77,0.5,42,1,2.0,mahalanobis_diag,mean_std,1.0,0.9575757575757576,0.0424242424242424,False,False,0.8977395048439182,0.5346153846153846,0.670148654077943,0.9375,0.5346153846153846,0.9006161437246963,0.8848627508358468,0.3592105263157895,0.4653846153846154,0.0625,0.7796987758900565,0.670148654077943,0.7825816738324806,0.712987012987013,0.9375,2.0,True
banking77,0.5,42,2,0.5,mahalanobis_diag,mean_std,1.0,0.692929292929293,0.307070707070707,False,False,0.7612403100775194,0.9442307692307692,0.8429184549356223,0.6960526315789474,0.9442307692307692,0.9047296727395412,0.8906708953803922,0.3125,0.0557692307692307,0.3039473684210526,0.7782360120418989,0.8429184549356223,0.776533842492064,0.8136363636363636,0.6960526315789474,2.0,False
banking77,0.5,42,2,0.75,mahalanobis_diag,mean_std,1.0,0.7555555555555555,0.2444444444444444,False,False,0.7882288228822882,0.9185897435897435,0.8484310242747187,0.7467105263157895,0.9185897435897435,0.9060775134952768,0.8924626359291178,0.3184210526315789,0.0814102564102564,0.2532894736842105,0.7998385213991254,0.8484310242747187,0.7985597713234519,0.8246753246753247,0.7467105263157895,2.0,False
