dataset,kir,comparison_method,comparison_label,metric,n_seeds,mean_better_delta,median_better_delta,std_better_delta,ci95_low,ci95_high,wins,ties,losses,sign_test_pvalue,effect_size,interpretation,effect_pp,ci95_low_pp,ci95_high_pp,significant_95,metric_label
clinc150,0.25,mogb_partition_ours_boundary,MOGB partition + ours boundary,oos_f1,5,0.010328805312903,0.0086332655992096,0.0043600511957554,0.0069844013223247,0.0137171541331268,5,0,0,0.0625,2.3689642275205847,trainable_minus_comparison,1.0328805312903,0.69844013223247,1.37171541331268,True,OOS F1
clinc150,0.25,ours_partition_mogb_boundary,Ours partition + MOGB boundary,false_accept_rate,5,-0.0205701754385965,-0.0225877192982456,0.0077026460140079,-0.0261842105263158,-0.0140350877192982,0,0,5,0.0625,-2.670533658328284,comparison_minus_trainable,-2.05701754385965,-2.61842105263158,-1.40350877192982,True,False acceptance
clinc150,0.25,ours_partition_mogb_boundary,Ours partition + MOGB boundary,f1_all,5,0.2302044145804234,0.237133295055306,0.0144462356342096,0.218342901227073,0.2410415427840665,5,0,0,0.0625,15.93525264362188,trainable_minus_comparison,23.02044145804234,21.8342901227073,24.10415427840665,True,F1-All
clinc150,0.25,ours_partition_mogb_boundary,Ours partition + MOGB boundary,aupr_oos,5,0.024580502940047,0.0247960963860653,0.0022355632293062,0.0229314468724882,0.0263775687012913,5,0,0,0.0625,10.99521705215874,trainable_minus_comparison,2.4580502940046998,2.29314468724882,2.63775687012913,True,AUPR-OOS
clinc150,0.25,ours_partition_mogb_boundary,Ours partition + MOGB boundary,known_recall,5,0.3173684210526316,0.3166666666666667,0.0107326273117071,0.31,0.3259649122807018,5,0,0,0.0625,29.57043152951424,trainable_minus_comparison,31.736842105263158,31.0,32.59649122807018,True,Known Recall
clinc150,0.25,ours_partition_mogb_boundary,Ours partition + MOGB boundary,false_reject_rate,5,0.3173684210526316,0.3166666666666667,0.0107326273117072,0.3096491228070176,0.3264912280701754,5,0,0,0.0625,29.57043152951416,comparison_minus_trainable,31.736842105263158,30.96491228070176,32.64912280701754,True,False rejection
clinc150,0.25,ours_partition_mogb_boundary,Ours partition + MOGB boundary,f1_k,5,0.2355975518336336,0.2426519765147328,0.0147470070745388,0.2234587305874492,0.2466486009592741,5,0,0,0.0625,15.975957063206442,trainable_minus_comparison,23.55975518336336,22.34587305874492,24.66486009592741,True,F1-K
clinc150,0.25,ours_partition_mogb_boundary,Ours partition + MOGB boundary,auroc,5,0.05707067559249,0.0544465604801478,0.0090425410257192,0.0507315712526931,0.0650601338873499,5,0,0,0.0625,6.311353792055408,trainable_minus_comparison,5.707067559249,5.07315712526931,6.506013388734989,True,AUROC
clinc150,0.25,ours_partition_mogb_boundary,Ours partition + MOGB boundary,oos_f1,5,0.025265198958437,0.0250784935307509,0.0043351932891078,0.0219166935264301,0.0287588447110578,5,0,0,0.0625,5.827929061874986,trainable_minus_comparison,2.5265198958437,2.19166935264301,2.8758844711057803,True,OOS F1
clinc150,0.5,single_centroid,Frozen K=1,false_accept_rate,5,0.0512463768115941,0.0510144927536232,0.0070922744636571,0.0457971014492753,0.056695652173913,5,0,0,0.0625,7.225661820364597,comparison_minus_trainable,5.12463768115941,4.57971014492753,5.6695652173913,True,False acceptance
clinc150,0.5,single_centroid,Frozen K=1,f1_all,5,0.0154727780847842,0.0137014471553345,0.0040930124718648,0.0124886499259105,0.0189881625599991,5,0,0,0.0625,3.7802909693394056,trainable_minus_comparison,1.54727780847842,1.24886499259105,1.8988162559999098,True,F1-All
clinc150,0.5,single_centroid,Frozen K=1,aupr_oos,5,0.0195995483045285,0.0202967394783534,0.0059541119583417,0.0146455689020151,0.0239395458125635,5,0,0,0.0625,3.29176683973326,trainable_minus_comparison,1.95995483045285,1.4645568902015098,2.39395458125635,True,AUPR-OOS
clinc150,0.5,single_centroid,Frozen K=1,known_recall,5,-0.0431111111111111,-0.0426666666666666,0.0119422478600394,-0.0528,-0.0331555555555555,0,0,5,0.0625,-3.6099661986892166,trainable_minus_comparison,-4.31111111111111,-5.28,-3.3155555555555503,True,Known Recall
clinc150,0.5,single_centroid,Frozen K=1,false_reject_rate,5,-0.0431111111111111,-0.0426666666666667,0.0119422478600394,-0.0528,-0.0331555555555555,0,0,5,0.0625,-3.6099661986892286,comparison_minus_trainable,-4.31111111111111,-5.28,-3.3155555555555503,True,False rejection
clinc150,0.5,single_centroid,Frozen K=1,f1_k,5,0.015479604007255,0.0136996001795789,0.004154913619339,0.0124541515660789,0.0190527821825443,5,0,0,0.0625,3.725613917749128,trainable_minus_comparison,1.5479604007255,1.24541515660789,1.90527821825443,True,F1-K
clinc150,0.5,single_centroid,Frozen K=1,auroc,5,0.0243471046698873,0.0243353301127215,0.0054567646426439,0.0199271368760064,0.0284807987117551,5,0,0,0.0625,4.461820559314183,trainable_minus_comparison,2.43471046698873,1.9927136876006402,2.84807987117551,True,AUROC
clinc150,0.5,single_centroid,Frozen K=1,oos_f1,5,0.014960833899474,0.0151094890229845,0.0018216584726809,0.0136124610972907,0.0163930330179189,5,0,0,0.0625,8.21275454419062,trainable_minus_comparison,1.4960833899474,1.36124610972907,1.63930330179189,True,OOS F1
clinc150,0.5,fixed_k2,Frozen K=2,false_accept_rate,5,0.0274782608695652,0.0327536231884058,0.0116905417781103,0.0171014492753623,0.0343768115942029,5,0,0,0.0625,2.3504694128903627,comparison_minus_trainable,2.7478260869565196,1.71014492753623,3.4376811594202903,True,False acceptance
clinc150,0.5,fixed_k2,Frozen K=2,f1_all,5,0.0172230304750056,0.0161881034810985,0.0033720892228502,0.0148505987984113,0.0200652179170117,5,0,0,0.0625,5.107525138509755,trainable_minus_comparison,1.72230304750056,1.48505987984113,2.0065217917011697,True,F1-All
clinc150,0.5,fixed_k2,Frozen K=2,aupr_oos,5,0.0278649121753383,0.0240892706239831,0.0081626416996153,0.0219959714945926,0.0348269130301646,5,0,0,0.0625,3.4137125211132697,trainable_minus_comparison,2.7864912175338303,2.19959714945926,3.48269130301646,True,AUPR-OOS
clinc150,0.5,fixed_k2,Frozen K=2,known_recall,5,-0.0069333333333333,-0.0075555555555555,0.0111758116229694,-0.0155555555555555,0.0016888888888888,1,1,3,0.625,-0.6203874552684279,trainable_minus_comparison,-0.69333333333333,-1.55555555555555,0.16888888888887998,False,Known Recall
clinc150,0.5,fixed_k2,Frozen K=2,false_reject_rate,5,-0.0069333333333333,-0.0075555555555555,0.0111758116229694,-0.0155555555555555,0.0016888888888888,1,1,3,0.625,-0.6203874552684284,comparison_minus_trainable,-0.69333333333333,-1.55555555555555,0.16888888888887998,False,False rejection
clinc150,0.5,fixed_k2,Frozen K=2,f1_k,5,0.0172874930001986,0.0162035557834487,0.0033833390243406,0.0149296772430778,0.0201469435027502,5,0,0,0.0625,5.109595247720635,trainable_minus_comparison,1.72874930001986,1.49296772430778,2.01469435027502,True,F1-K
clinc150,0.5,fixed_k2,Frozen K=2,auroc,5,0.0282919162640901,0.0263835104669889,0.008029334059545,0.0223060611916265,0.0342777713365537,5,0,0,0.0625,3.523569458473001,trainable_minus_comparison,2.8291916264090102,2.2306061191626503,3.42777713365537,True,AUROC
clinc150,0.5,fixed_k2,Frozen K=2,oos_f1,5,0.0123883410855274,0.0135384912291668,0.0036815745433512,0.0090658366819437,0.0145320748168885,5,0,0,0.0625,3.364957286523015,trainable_minus_comparison,1.23883410855274,0.90658366819437,1.45320748168885,True,OOS F1
clinc150,0.5,random_partition,Random K=2,false_accept_rate,5,0.052695652173913,0.0562318840579711,0.0074926274763019,0.0469565217391304,0.0584347826086956,5,0,0,0.0625,7.033000418155229,comparison_minus_trainable,5.2695652173913,4.6956521739130395,5.84347826086956,True,False acceptance
clinc150,0.5,random_partition,Random K=2,f1_all,5,0.0106590759693191,0.0093227829346905,0.0036681113465217,0.0078243144105549,0.0134938375280834,5,0,0,0.0625,2.9058757933906256,trainable_minus_comparison,1.0659075969319098,0.78243144105549,1.3493837528083399,True,F1-All
clinc150,0.5,random_partition,Random K=2,aupr_oos,5,0.0183683945397964,0.0186530810329815,0.0058131994370193,0.0136819831466073,0.0226185977478372,5,0,0,0.0625,3.1597736734824307,trainable_minus_comparison,1.8368394539796402,1.36819831466073,2.26185977478372,True,AUPR-OOS
