dataset,kir,distance,seed,best_k,best_k_oos_f1,k1_oos_f1,delta_oos_f1_vs_k1,selection_note
banking77,0.60,mahalanobis_diag,123,4,0.7654411764705882,0.7329401853411963,0.032500991129391865,test-set oracle for sensitivity analysis only
banking77,0.70,euclidean,13,5,0.6748932130991931,0.494478527607362,0.18041468549183115,test-set oracle for sensitivity analysis only
banking77,0.70,euclidean,42,5,0.7185011709601875,0.6048109965635738,0.11369017439661366,test-set oracle for sensitivity analysis only
banking77,0.70,euclidean,87,4,0.7029369282619162,0.6454849498327759,0.057451978429140294,test-set oracle for sensitivity analysis only
banking77,0.70,euclidean,100,5,0.6978250809810272,0.5943775100401606,0.10344757094086665,test-set oracle for sensitivity analysis only
banking77,0.70,euclidean,123,5,0.6812674743709226,0.5700598802395209,0.11120759413140169,test-set oracle for sensitivity analysis only
banking77,0.70,mahalanobis_diag,13,5,0.6824440619621343,0.6070430408049189,0.07540102115721536,test-set oracle for sensitivity analysis only
banking77,0.70,mahalanobis_diag,42,4,0.7220216606498194,0.6784,0.04362166064981943,test-set oracle for sensitivity analysis only
banking77,0.70,mahalanobis_diag,87,4,0.7092651757188498,0.6984631690514043,0.010802006667445574,test-set oracle for sensitivity analysis only
banking77,0.70,mahalanobis_diag,100,4,0.6974037600716204,0.6613076098606644,0.036096150210956024,test-set oracle for sensitivity analysis only
banking77,0.70,mahalanobis_diag,123,4,0.6844526218951242,0.6615720524017467,0.02288056949337758,test-set oracle for sensitivity analysis only
banking77,0.75,euclidean,13,5,0.6226312939902545,0.4677533664068037,0.15487792758345081,test-set oracle for sensitivity analysis only
banking77,0.75,euclidean,42,5,0.6733721545791423,0.5716180371352786,0.10175411744386376,test-set oracle for sensitivity analysis only
banking77,0.75,euclidean,87,4,0.6505228398458999,0.5678524374176548,0.08267040242824508,test-set oracle for sensitivity analysis only
banking77,0.75,euclidean,100,5,0.6356837606837606,0.5380434782608695,0.09764028242289113,test-set oracle for sensitivity analysis only
banking77,0.75,euclidean,123,5,0.6284796573875803,0.5377685377685377,0.09071111961904255,test-set oracle for sensitivity analysis only
banking77,0.75,mahalanobis_diag,13,5,0.6292352371732817,0.5827984595635429,0.046436777609738744,test-set oracle for sensitivity analysis only
banking77,0.75,mahalanobis_diag,42,4,0.6755237608584568,0.6482504604051565,0.02727330045330023,test-set oracle for sensitivity analysis only
banking77,0.75,mahalanobis_diag,87,4,0.6559751681324367,0.6253101736972705,0.030664994435166237,test-set oracle for sensitivity analysis only
banking77,0.75,mahalanobis_diag,100,4,0.6366427840327533,0.6064434617814276,0.03019932225132571,test-set oracle for sensitivity analysis only
banking77,0.75,mahalanobis_diag,123,4,0.6416275430359937,0.6227848101265823,0.018842732909411408,test-set oracle for sensitivity analysis only
banking77,0.80,euclidean,13,4,0.5584158415841584,0.42265426880811496,0.1357615727760434,test-set oracle for sensitivity analysis only
banking77,0.80,euclidean,42,5,0.6019656019656019,0.5498442367601246,0.05212136520547728,test-set oracle for sensitivity analysis only
banking77,0.80,euclidean,87,4,0.5652741514360314,0.5345911949685535,0.030682956467477984,test-set oracle for sensitivity analysis only
banking77,0.80,euclidean,100,5,0.5848241826033312,0.48264729620661817,0.10217688639671307,test-set oracle for sensitivity analysis only
banking77,0.80,euclidean,123,5,0.5673494723774053,0.47068676716917923,0.09666270520822606,test-set oracle for sensitivity analysis only
banking77,0.80,mahalanobis_diag,13,4,0.5610200364298725,0.5338403041825094,0.027179732247363142,test-set oracle for sensitivity analysis only
banking77,0.80,mahalanobis_diag,42,1,0.6026200873362445,0.6026200873362445,0.0,test-set oracle for sensitivity analysis only
banking77,0.80,mahalanobis_diag,87,1,0.5873715124816447,0.5873715124816447,0.0,test-set oracle for sensitivity analysis only
banking77,0.80,mahalanobis_diag,100,3,0.5770700636942675,0.5607755406413124,0.01629452305295509,test-set oracle for sensitivity analysis only
banking77,0.80,mahalanobis_diag,123,4,0.5738498789346248,0.5668934240362813,0.0069564548983435115,test-set oracle for sensitivity analysis only
banking77,0.90,euclidean,13,3,0.3913470993117011,0.31891223733003704,0.07243486198166404,test-set oracle for sensitivity analysis only
banking77,0.90,euclidean,42,2,0.4796905222437137,0.4519774011299435,0.027713121113770223,test-set oracle for sensitivity analysis only
banking77,0.90,euclidean,87,4,0.4092116917626218,0.3591549295774648,0.05005676218515698,test-set oracle for sensitivity analysis only
banking77,0.90,euclidean,100,5,0.43076923076923074,0.3772241992882563,0.05354503148097445,test-set oracle for sensitivity analysis only
banking77,0.90,euclidean,123,3,0.39417475728155343,0.3333333333333333,0.06084142394822012,test-set oracle for sensitivity analysis only
banking77,0.90,mahalanobis_diag,13,1,0.39373601789709173,0.39373601789709173,0.0,test-set oracle for sensitivity analysis only
banking77,0.90,mahalanobis_diag,42,1,0.508298755186722,0.508298755186722,0.0,test-set oracle for sensitivity analysis only
banking77,0.90,mahalanobis_diag,87,3,0.4053333333333334,0.3982494529540482,0.007083880379285201,test-set oracle for sensitivity analysis only
banking77,0.90,mahalanobis_diag,100,1,0.41731409544950054,0.41731409544950054,0.0,test-set oracle for sensitivity analysis only
banking77,0.90,mahalanobis_diag,123,1,0.42152466367713,0.42152466367713,0.0,test-set oracle for sensitivity analysis only
clinc150,0.10,euclidean,13,2,0.9739776951672862,0.9739413680781759,3.632708911027738e-05,test-set oracle for sensitivity analysis only
clinc150,0.10,euclidean,42,2,0.9835569835569835,0.9821530282893487,0.0014039552676348155,test-set oracle for sensitivity analysis only
clinc150,0.10,euclidean,87,5,0.982184937317372,0.9818492825239952,0.00033565479337682724,test-set oracle for sensitivity analysis only
clinc150,0.10,euclidean,100,4,0.9814849801624786,0.9802650395652588,0.0012199405972198596,test-set oracle for sensitivity analysis only
clinc150,0.10,euclidean,123,4,0.9801812004530011,0.9798210546354464,0.0003601458175546135,test-set oracle for sensitivity analysis only
clinc150,0.10,mahalanobis_diag,13,1,0.9759587864911277,0.9759587864911277,0.0,test-set oracle for sensitivity analysis only
clinc150,0.10,mahalanobis_diag,42,2,0.9849227289860535,0.9840189125295509,0.0009038164565026152,test-set oracle for sensitivity analysis only
clinc150,0.10,mahalanobis_diag,87,1,0.9829674489023467,0.9829674489023467,0.0,test-set oracle for sensitivity analysis only
clinc150,0.10,mahalanobis_diag,100,2,0.981310175571078,0.9801726591404991,0.001137516430578911,test-set oracle for sensitivity analysis only
clinc150,0.10,mahalanobis_diag,123,1,0.9829448550312677,0.9829448550312677,0.0,test-set oracle for sensitivity analysis only
clinc150,0.20,euclidean,13,2,0.9561330561330561,0.9530383851061605,0.0030946710268956457,test-set oracle for sensitivity analysis only
clinc150,0.20,euclidean,42,5,0.955873340143003,0.9505528896307116,0.005320450512291353,test-set oracle for sensitivity analysis only
clinc150,0.20,euclidean,87,5,0.9567617295308187,0.955439330543933,0.0013223989868856867,test-set oracle for sensitivity analysis only
clinc150,0.20,euclidean,100,2,0.9631920816579029,0.9614904246461282,0.0017016570117747154,test-set oracle for sensitivity analysis only
clinc150,0.20,euclidean,123,5,0.9522731948158815,0.9503620526812888,0.0019111421345926471,test-set oracle for sensitivity analysis only
clinc150,0.20,mahalanobis_diag,13,1,0.9562779104787621,0.9562779104787621,0.0,test-set oracle for sensitivity analysis only
clinc150,0.20,mahalanobis_diag,42,2,0.9592778746538106,0.9547520661157025,0.004525808538108134,test-set oracle for sensitivity analysis only
clinc150,0.20,mahalanobis_diag,87,1,0.9605549228698622,0.9605549228698622,0.0,test-set oracle for sensitivity analysis only
clinc150,0.20,mahalanobis_diag,100,2,0.963963963963964,0.9631616964193581,0.0008022675446058836,test-set oracle for sensitivity analysis only
clinc150,0.20,mahalanobis_diag,123,1,0.9561148086522463,0.9561148086522463,0.0,test-set oracle for sensitivity analysis only
clinc150,0.25,euclidean,13,2,0.9463605701229463,0.9442615755979812,0.002098994524965092,test-set oracle for sensitivity analysis only
clinc150,0.25,euclidean,42,2,0.9448784722222223,0.938201011656037,0.006677460566185345,test-set oracle for sensitivity analysis only
clinc150,0.25,euclidean,87,5,0.9371980676328503,0.9354624085163007,0.0017356591165496038,test-set oracle for sensitivity analysis only
clinc150,0.25,euclidean,100,2,0.9567555938037866,0.9540204837655263,0.0027351100382603244,test-set oracle for sensitivity analysis only
clinc150,0.25,euclidean,123,5,0.9409232755837726,0.9384157761374903,0.0025074994462823685,test-set oracle for sensitivity analysis only
clinc150,0.25,mahalanobis_diag,13,1,0.9484446378072656,0.9484446378072656,0.0,test-set oracle for sensitivity analysis only
clinc150,0.25,mahalanobis_diag,42,2,0.9486767384549448,0.9436910057502441,0.004985732704700707,test-set oracle for sensitivity analysis only
clinc150,0.25,mahalanobis_diag,87,1,0.9414463622460126,0.9414463622460126,0.0,test-set oracle for sensitivity analysis only
clinc150,0.25,mahalanobis_diag,100,1,0.9568027577291824,0.9568027577291824,0.0,test-set oracle for sensitivity analysis only
clinc150,0.25,mahalanobis_diag,123,1,0.9452801395247439,0.9452801395247439,0.0,test-set oracle for sensitivity analysis only
clinc150,0.30,euclidean,13,2,0.9383950897931348,0.9352022058823528,0.003192883910781985,test-set oracle for sensitivity analysis only
clinc150,0.30,euclidean,42,5,0.9271817676486938,0.9211407458723011,0.006041021776392652,test-set oracle for sensitivity analysis only
clinc150,0.30,euclidean,87,2,0.9293688767372978,0.9290829290829291,0.0002859476543687345,test-set oracle for sensitivity analysis only
clinc150,0.30,euclidean,100,2,0.9454545454545454,0.9443684450524396,0.0010861004021058829,test-set oracle for sensitivity analysis only
clinc150,0.30,euclidean,123,2,0.933545021546836,0.9327220630372492,0.0008229585095868019,test-set oracle for sensitivity analysis only
clinc150,0.30,mahalanobis_diag,13,1,0.9397453387903593,0.9397453387903593,0.0,test-set oracle for sensitivity analysis only
clinc150,0.30,mahalanobis_diag,42,2,0.93272239606616,0.9288873766587274,0.0038350194074325827,test-set oracle for sensitivity analysis only
clinc150,0.30,mahalanobis_diag,87,1,0.9342883128694861,0.9342883128694861,0.0,test-set oracle for sensitivity analysis only
clinc150,0.30,mahalanobis_diag,100,1,0.948019801980198,0.948019801980198,0.0,test-set oracle for sensitivity analysis only
clinc150,0.30,mahalanobis_diag,123,1,0.9389235127478754,0.9389235127478754,0.0,test-set oracle for sensitivity analysis only
clinc150,0.40,euclidean,13,2,0.921791193713359,0.9184060721062619,0.0033851216070971413,test-set oracle for sensitivity analysis only
clinc150,0.40,euclidean,42,2,0.9134365325077399,0.9091827712517367,0.004253761256003186,test-set oracle for sensitivity analysis only
clinc150,0.40,euclidean,87,2,0.913561661021202,0.9115315776016364,0.002030083419565565,test-set oracle for sensitivity analysis only
clinc150,0.40,euclidean,100,2,0.9129511677282377,0.9102009666751463,0.002750201053091428,test-set oracle for sensitivity analysis only
clinc150,0.40,euclidean,123,1,0.9129774854540855,0.9129774854540855,0.0,test-set oracle for sensitivity analysis only
clinc150,0.40,mahalanobis_diag,13,1,0.9234795613160519,0.9234795613160519,0.0,test-set oracle for sensitivity analysis only
clinc150,0.40,mahalanobis_diag,42,2,0.9142717973697029,0.9129032258064517,0.0013685715632512085,test-set oracle for sensitivity analysis only
clinc150,0.40,mahalanobis_diag,87,1,0.917753259779338,0.917753259779338,0.0,test-set oracle for sensitivity analysis only
clinc150,0.40,mahalanobis_diag,100,1,0.9126140767595949,0.9126140767595949,0.0,test-set oracle for sensitivity analysis only
clinc150,0.40,mahalanobis_diag,123,1,0.9179467965530161,0.9179467965530161,0.0,test-set oracle for sensitivity analysis only
clinc150,0.50,euclidean,13,2,0.8935519733185103,0.8932504942106748,0.0003014791078355117,test-set oracle for sensitivity analysis only
clinc150,0.50,euclidean,42,3,0.8920686835650041,0.8814846056516238,0.010584077913380341,test-set oracle for sensitivity analysis only
clinc150,0.50,euclidean,87,2,0.8958073889580739,0.8935625976978826,0.002244791260191281,test-set oracle for sensitivity analysis only
clinc150,0.50,euclidean,100,2,0.8901220865704773,0.8876595744680851,0.0024625121023922336,test-set oracle for sensitivity analysis only
clinc150,0.50,euclidean,123,1,0.8912092563849301,0.8912092563849301,0.0,test-set oracle for sensitivity analysis only
clinc150,0.50,mahalanobis_diag,13,1,0.8979082975481368,0.8979082975481368,0.0,test-set oracle for sensitivity analysis only
clinc150,0.50,mahalanobis_diag,42,2,0.8882935976426467,0.8840280643829962,0.004265533259650511,test-set oracle for sensitivity analysis only
clinc150,0.50,mahalanobis_diag,87,1,0.8974822645708722,0.8974822645708722,0.0,test-set oracle for sensitivity analysis only
clinc150,0.50,mahalanobis_diag,100,1,0.8904947192884936,0.8904947192884936,0.0,test-set oracle for sensitivity analysis only
clinc150,0.50,mahalanobis_diag,123,1,0.8961884961884962,0.8961884961884962,0.0,test-set oracle for sensitivity analysis only
clinc150,0.60,euclidean,13,2,0.8715497301464918,0.8659076533839343,0.0056420767625575685,test-set oracle for sensitivity analysis only
clinc150,0.60,euclidean,42,2,0.85380476556495,0.8438993309971329,0.009905434567817117,test-set oracle for sensitivity analysis only
