dataset,kir,distance,oos_view,best_k,best_k_mean_oos_f1,delta_oos_f1_vs_k1,best_k_mean_f1_all,delta_f1_all_vs_k1,best_k_mean_known_recall,delta_known_recall_vs_k1,cross_seed_best_k_consistency,number_of_intents_benefiting_from_k_gt_1,number_of_intents_with_k_gt_1_in_at_least_3_seeds,selection_note
banking77,0.10,euclidean,combined,5,0.9550752739887958,0.018355282344420742,0.7306256417995294,0.06365042731135684,0.7625,-0.05312500000000009,0.6,23,3,oracle test sensitivity only; not a validation-selected K
clinc150,0.25,euclidean,combined,2,0.9447183904938932,0.002646139359226085,0.7801346791980823,-0.00425524901491392,0.7435087719298246,-0.035964912280701755,0.6,61,11,oracle test sensitivity only; not a validation-selected K
clinc150,0.25,mahalanobis_diag,combined,1,0.9471329806114899,0.0,0.7802269577968036,0.0,0.7496491228070176,0.0,0.8,44,8,oracle test sensitivity only; not a validation-selected K
clinc150,0.30,euclidean,combined,2,0.9346886166756706,0.002185338890216215,0.7835322338326968,-0.004324548027874631,0.7422222222222222,-0.03881481481481486,0.8,71,13,oracle test sensitivity only; not a validation-selected K
clinc150,0.30,mahalanobis_diag,combined,1,0.9379728686093293,0.0,0.7834098254872419,0.0,0.7512592592592593,0.0,0.8,52,9,oracle test sensitivity only; not a validation-selected K
clinc150,0.40,euclidean,combined,2,0.9144343071215282,0.001974532503754789,0.7935282227368174,-0.0012857003516626442,0.7497777777777778,-0.035666666666666735,0.8,77,22,oracle test sensitivity only; not a validation-selected K
clinc150,0.40,mahalanobis_diag,combined,1,0.9169393840428904,0.0,0.786267454686775,0.0,0.7558888888888889,0.0,0.8,64,16,oracle test sensitivity only; not a validation-selected K
clinc150,0.50,euclidean,combined,2,0.892005798496586,0.0025724928139467806,0.8009431390043901,-0.0017502523902214184,0.7513777777777777,-0.036177777777777864,0.6,85,33,oracle test sensitivity only; not a validation-selected K
clinc150,0.50,mahalanobis_diag,combined,1,0.893220368395799,0.0,0.7887844282007255,0.0,0.7581333333333333,0.0,0.8,74,23,oracle test sensitivity only; not a validation-selected K
clinc150,0.60,euclidean,combined,2,0.8642583628455428,0.0022681443100843746,0.804729787542561,-0.0025089664502901954,0.7514074074074074,-0.036666666666666736,0.6,86,43,oracle test sensitivity only; not a validation-selected K
clinc150,0.60,mahalanobis_diag,combined,1,0.8639070496563874,0.0,0.7902661467309282,0.0,0.7556296296296295,0.0,0.8,74,34,oracle test sensitivity only; not a validation-selected K
clinc150,0.70,euclidean,combined,1,0.8355842439852281,0.0,0.8154701183864116,0.0,0.7903492063492064,0.0,0.6,82,60,oracle test sensitivity only; not a validation-selected K
clinc150,0.70,mahalanobis_diag,combined,1,0.8338486201982296,0.0,0.7943118552318552,0.0,0.7582222222222221,0.0,1.0,74,46,oracle test sensitivity only; not a validation-selected K
clinc150,0.75,euclidean,combined,1,0.8174656812211403,0.0,0.8174095805265577,0.0,0.7907142857142857,0.0,0.6,84,64,oracle test sensitivity only; not a validation-selected K
clinc150,0.75,mahalanobis_diag,combined,1,0.814740502971995,0.0,0.7947673850789216,0.0,0.7582142857142857,0.0,1.0,75,49,oracle test sensitivity only; not a validation-selected K
clinc150,0.80,euclidean,combined,1,0.7941268869507123,0.0,0.8190373035680125,0.0,0.7913888888888889,0.0,0.8,87,66,oracle test sensitivity only; not a validation-selected K
clinc150,0.80,mahalanobis_diag,combined,1,0.7898921705821651,0.0,0.7954009048801604,0.0,0.7588888888888888,0.0,1.0,73,53,oracle test sensitivity only; not a validation-selected K
clinc150,0.90,euclidean,combined,1,0.754069993572495,0.0,0.8216687662821297,0.0,0.7931358024691357,0.0,1.0,82,72,oracle test sensitivity only; not a validation-selected K
clinc150,0.90,mahalanobis_diag,combined,1,0.742011814950148,0.0,0.7944904408352829,0.0,0.7603456790123457,0.0,1.0,72,57,oracle test sensitivity only; not a validation-selected K
stackoverflow,0.10,euclidean,combined,1,0.9613203704980702,0.0,0.8351772833371873,0.0,0.8346666666666666,0.0,0.6,3,0,oracle test sensitivity only; not a validation-selected K
stackoverflow,0.10,mahalanobis_diag,combined,1,0.9643622716948549,0.0,0.8383688210029501,0.0,0.8256666666666668,0.0,0.6,3,0,oracle test sensitivity only; not a validation-selected K
stackoverflow,0.20,euclidean,combined,1,0.9016718507824942,0.0,0.7878364869092919,0.0,0.8503333333333334,0.0,0.8,5,1,oracle test sensitivity only; not a validation-selected K
stackoverflow,0.20,mahalanobis_diag,combined,1,0.9125682096172367,0.0,0.7868839446650815,0.0,0.8313333333333333,0.0,0.4,6,1,oracle test sensitivity only; not a validation-selected K
stackoverflow,0.25,euclidean,combined,1,0.8948207530022317,0.0,0.8101159547533475,0.0,0.8561333333333334,0.0,0.8,6,2,oracle test sensitivity only; not a validation-selected K
stackoverflow,0.25,mahalanobis_diag,combined,1,0.9041894994081593,0.0,0.803794896420466,0.0,0.8352,0.0,0.6,7,2,oracle test sensitivity only; not a validation-selected K
stackoverflow,0.30,euclidean,combined,1,0.8820202975485991,0.0,0.8193311274762433,0.0,0.8576666666666666,0.0,0.8,7,3,oracle test sensitivity only; not a validation-selected K
stackoverflow,0.30,mahalanobis_diag,combined,1,0.8910533939885047,0.0,0.8124933764792852,0.0,0.837111111111111,0.0,0.6,8,2,oracle test sensitivity only; not a validation-selected K
stackoverflow,0.40,euclidean,combined,1,0.8154683341696523,0.0,0.7968603562536388,0.0,0.8664166666666666,0.0,1.0,6,3,oracle test sensitivity only; not a validation-selected K
stackoverflow,0.40,mahalanobis_diag,combined,1,0.8296768729571184,0.0,0.7879411978603439,0.0,0.83725,0.0,1.0,8,2,oracle test sensitivity only; not a validation-selected K
stackoverflow,0.50,euclidean,combined,1,0.7654959559609912,0.0,0.7997964624589458,0.0,0.8714666666666666,0.0,1.0,6,5,oracle test sensitivity only; not a validation-selected K
stackoverflow,0.50,mahalanobis_diag,combined,1,0.7812258420202775,0.0,0.7835622291643267,0.0,0.8346666666666666,0.0,1.0,10,3,oracle test sensitivity only; not a validation-selected K
stackoverflow,0.60,euclidean,combined,1,0.7231639231286031,0.0,0.8094747155228259,0.0,0.8748333333333334,0.0,1.0,6,5,oracle test sensitivity only; not a validation-selected K
stackoverflow,0.60,mahalanobis_diag,combined,1,0.7356163716774902,0.0,0.790792821828968,0.0,0.8386666666666667,0.0,1.0,10,4,oracle test sensitivity only; not a validation-selected K
stackoverflow,0.70,euclidean,combined,1,0.6798851859334342,0.0,0.8082501086442079,0.0,0.8766666666666666,0.0,1.0,6,5,oracle test sensitivity only; not a validation-selected K
stackoverflow,0.70,mahalanobis_diag,combined,1,0.6849783734164279,0.0,0.785028655815182,0.0,0.841047619047619,0.0,1.0,9,5,oracle test sensitivity only; not a validation-selected K
stackoverflow,0.75,euclidean,combined,1,0.6560530143222347,0.0,0.8123797132114893,0.0,0.8762222222222222,0.0,1.0,6,5,oracle test sensitivity only; not a validation-selected K
stackoverflow,0.75,mahalanobis_diag,combined,1,0.6580314641723234,0.0,0.7878126722603183,0.0,0.8398222222222224,0.0,1.0,9,4,oracle test sensitivity only; not a validation-selected K
stackoverflow,0.80,euclidean,combined,1,0.6268757479370336,0.0,0.8181450911663422,0.0,0.8772916666666667,0.0,1.0,6,5,oracle test sensitivity only; not a validation-selected K
stackoverflow,0.80,mahalanobis_diag,combined,1,0.6194919529584791,0.0,0.791130979864746,0.0,0.8411666666666667,0.0,0.8,9,5,oracle test sensitivity only; not a validation-selected K
stackoverflow,0.90,euclidean,combined,1,0.5111089819300344,0.0,0.8208599996520288,0.0,0.8818888888888889,0.0,1.0,5,4,oracle test sensitivity only; not a validation-selected K
stackoverflow,0.90,mahalanobis_diag,combined,1,0.4843312753570614,0.0,0.7798455205337913,0.0,0.8441481481481482,0.0,0.8,7,7,oracle test sensitivity only; not a validation-selected K
