dataset,kir,data_seed,probe,split,known_count,known_macro_f1,known_accuracy,threshold_from_val,oos_precision,oos_recall,oos_f1,id_recall,oos_rejection,auroc,aupr_oos,fpr95
banking77_oos,50,42,knn,val,749,0.9295647561819712,0.9292389853137517,0.18335298641025932,0.8938589840788476,0.792871553463349,0.8403421240199572,0.8130841121495327,0.792871553463349,0.860421382286896,0.9161578294849271,1.0
banking77_oos,50,42,knn,test,1000,0.9088192759061137,0.909,0.18335298641025932,0.9255198487712666,0.7948051948051948,0.8551965065502184,0.803,0.7948051948051948,0.862717857142857,0.9429642640629433,1.0
banking77_oos,50,87,linear_probe,val,750,0.9080420468730109,0.9066666666666666,0.5061995117773839,0.8911260253542133,0.8041722745625841,0.8454191722674212,0.8053333333333333,0.8041722745625841,0.8801633019291162,0.9251023687959347,0.48533333333333334
banking77_oos,50,87,linear_probe,test,1000,0.8781344431904076,0.879,0.5061995117773839,0.9229129662522203,0.8435064935064935,0.8814249363867684,0.783,0.8435064935064935,0.8911275974025974,0.9579500778134391,0.428
banking77_oos,50,87,knn,val,750,0.9249485195063536,0.924,0.1928173847812946,0.8854003139717426,0.7590847913862718,0.8173913043478261,0.8053333333333333,0.7590847913862718,0.8324508748317633,0.8895292897857205,1.0
banking77_oos,50,87,knn,test,1000,0.8975088217889942,0.898,0.1928173847812946,0.9243074522044479,0.7691558441558441,0.8396243133085238,0.806,0.7691558441558441,0.8350547077922078,0.9250787025017999,1.0
stackoverflow,50,13,linear_probe,val,998,0.9067574666300384,0.906813627254509,0.28398799782478745,0.8230563002680965,0.921,0.8692779613025012,0.8016032064128257,0.921,0.9179208416833669,0.886141129479906,0.23647294589178355
stackoverflow,50,13,linear_probe,test,2996,0.8969506690713829,0.897196261682243,0.28398799782478745,0.8159618820726623,0.9151636606546426,0.8627204030226701,0.7937249666221629,0.9151636606546426,0.9094767193487999,0.8663781547080489,0.2416555407209613
stackoverflow,50,13,knn,val,998,0.9045658880254503,0.905811623246493,0.2951967567315996,0.8066732090284593,0.822,0.8142644873699851,0.8026052104208417,0.822,0.8829879759519038,0.8567695607987509,0.3627254509018036
stackoverflow,50,13,knn,test,2996,0.8803469794271193,0.8821762349799733,0.2951967567315996,0.7961538461538461,0.8296593186372746,0.8125613346418057,0.787716955941255,0.8296593186372746,0.8737775952438923,0.8368746084966507,0.3751668891855808
stackoverflow,50,42,linear_probe,val,998,0.902224200578118,0.9018036072144289,0.33115499981479013,0.838248436103664,0.938,0.8853232656913639,0.8186372745490982,0.938,0.9344428857715432,0.9084270354231332,0.1963927855711423
stackoverflow,50,42,linear_probe,test,2993,0.8976388989025958,0.897427330437688,0.33115499981479013,0.8284789644012945,0.9396062729396063,0.8805503439649781,0.8052121617106582,0.9396062729396063,0.9278799904704793,0.892177301549955,0.20915469428666889
stackoverflow,50,42,knn,val,998,0.8980883063313829,0.8997995991983968,0.37656373052659015,0.8048048048048048,0.804,0.8044022011005503,0.8046092184368737,0.804,0.8835350701402805,0.8603507629380984,0.35671342685370744
stackoverflow,50,42,knn,test,2993,0.874653807449894,0.8757099899766121,0.37656373052659015,0.8015820698747528,0.8114781448114782,0.8064997512850274,0.7988640160374206,0.8114781448114782,0.8790163924922807,0.8450710835181238,0.35549615770130305
stackoverflow,50,87,linear_probe,val,998,0.9423443935949101,0.9418837675350702,0.25100200104009773,0.8058058058058059,0.805,0.8054027013506754,0.8056112224448898,0.805,0.8789849699398797,0.8532677184012052,0.35470941883767537
stackoverflow,50,87,linear_probe,test,2994,0.9280442726224317,0.9275217100868404,0.25100200104009773,0.8036124794745484,0.8167556742323098,0.8101307730508194,0.8002672010688042,0.8167556742323098,0.8763122595881572,0.8343904181914402,0.3443553774215097
stackoverflow,50,87,knn,val,998,0.938413652752689,0.938877755511022,0.2659323487880328,0.7932535364526659,0.729,0.7597707139134966,0.8096192384769539,0.729,0.8383376753507015,0.8141725690392763,1.0
stackoverflow,50,87,knn,test,2994,0.9118819243093265,0.9134936539746159,0.2659323487880328,0.793177737881508,0.7373164218958611,0.7642276422764228,0.8076152304609219,0.7373164218958611,0.8347941989898802,0.8037453957351599,1.0
