dataset,kir,seed,distance,metric,ce_recon,ce_recon_geometry,geometry_minus_ce_recon
banking77,0.5,13,mahalanobis_diag,false_accept_rate,0.3467948717948718,0.3288461538461538,-0.017948717948717996
banking77,0.5,13,mahalanobis_diag,false_reject_rate,0.1539473684210526,0.156578947368421,0.0026315789473684015
banking77,0.5,13,mahalanobis_diag,auroc,0.8425624156545211,0.8518522267206479,0.009289811066126807
banking77,0.5,13,mahalanobis_diag,aupr_oos,0.8217804846778136,0.8309154266577485,0.009134941979934919
banking77,0.5,42,mahalanobis_diag,oos_f1,0.7018544935805991,0.7524820267031839,0.05062753312258472
banking77,0.5,42,mahalanobis_diag,near_oos_f1,0.2453987730061349,0.2365591397849462,-0.00883963322118872
banking77,0.5,42,mahalanobis_diag,id_recall,0.8289473684210527,0.8276315789473684,-0.0013157894736842701
banking77,0.5,42,mahalanobis_diag,false_accept_rate,0.3692307692307692,0.2955128205128205,-0.07371794871794868
banking77,0.5,42,mahalanobis_diag,false_reject_rate,0.1710526315789473,0.1723684210526316,0.0013157894736842979
banking77,0.5,42,mahalanobis_diag,auroc,0.83711580634278,0.8589258603238867,0.021810053981106692
banking77,0.5,42,mahalanobis_diag,aupr_oos,0.8051241066426459,0.8277749229365117,0.022650816293865783
banking77,0.5,87,mahalanobis_diag,oos_f1,0.7364016736401674,0.7512899896800825,0.01488831603991514
banking77,0.5,87,mahalanobis_diag,near_oos_f1,0.2565687789799072,0.2085308056872037,-0.04803797329270351
banking77,0.5,87,mahalanobis_diag,id_recall,0.8342105263157895,0.8322368421052632,-0.0019736842105263497
banking77,0.5,87,mahalanobis_diag,false_accept_rate,0.3230769230769231,0.3,-0.023076923076923106
banking77,0.5,87,mahalanobis_diag,false_reject_rate,0.1657894736842105,0.1677631578947368,0.001973684210526322
banking77,0.5,87,mahalanobis_diag,auroc,0.8571849696356274,0.8660370276653172,0.008852058029689802
banking77,0.5,87,mahalanobis_diag,aupr_oos,0.8308599597453027,0.839021838355431,0.008161878610128293
banking77,0.75,100,mahalanobis_diag,oos_f1,0.5065381968341363,0.572554169402495,0.06601597256835878
banking77,0.75,100,mahalanobis_diag,near_oos_f1,0.0609756097560975,0.0528455284552845,-0.008130081300812997
banking77,0.75,100,mahalanobis_diag,id_recall,0.8599137931034483,0.8590517241379311,-0.0008620689655172153
banking77,0.75,100,mahalanobis_diag,false_accept_rate,0.5157894736842106,0.4263157894736842,-0.08947368421052637
banking77,0.75,100,mahalanobis_diag,false_reject_rate,0.1400862068965517,0.1409482758620689,0.0008620689655171876
banking77,0.75,100,mahalanobis_diag,auroc,0.791940222323049,0.8193999546279491,0.027459732304900175
banking77,0.75,100,mahalanobis_diag,aupr_oos,0.5297005365675989,0.5669779237884315,0.037277387220832625
banking77,0.75,123,mahalanobis_diag,oos_f1,0.5066480055983205,0.561707805203469,0.05505979960514851
banking77,0.75,123,mahalanobis_diag,near_oos_f1,0.0426439232409381,0.0252100840336134,-0.017433839207324702
banking77,0.75,123,mahalanobis_diag,id_recall,0.8676724137931034,0.8629310344827587,-0.004741379310344795
banking77,0.75,123,mahalanobis_diag,false_accept_rate,0.5236842105263158,0.4460526315789473,-0.07763157894736844
banking77,0.75,123,mahalanobis_diag,false_reject_rate,0.1323275862068965,0.1370689655172413,0.004741379310344795
banking77,0.75,123,mahalanobis_diag,auroc,0.7916214836660616,0.8125079401088928,0.02088645644283127
banking77,0.75,123,mahalanobis_diag,aupr_oos,0.494487199458866,0.5371822424737581,0.04269504301489213
banking77,0.75,13,mahalanobis_diag,oos_f1,0.5385130609511052,0.5233644859813084,-0.015148574969796824
banking77,0.75,13,mahalanobis_diag,near_oos_f1,0.0484848484848484,0.0277227722772277,-0.020762076207620703
banking77,0.75,13,mahalanobis_diag,id_recall,0.8573275862068965,0.8508620689655173,-0.006465517241379226
banking77,0.75,13,mahalanobis_diag,false_accept_rate,0.4710526315789474,0.4842105263157895,0.01315789473684209
banking77,0.75,13,mahalanobis_diag,false_reject_rate,0.1426724137931034,0.1491379310344827,0.006465517241379309
banking77,0.75,13,mahalanobis_diag,auroc,0.7938997277676951,0.799323389292196,0.005423661524500911
banking77,0.75,13,mahalanobis_diag,aupr_oos,0.5229891648841167,0.5307430194554054,0.007753854571288632
banking77,0.75,42,mahalanobis_diag,oos_f1,0.5443629086057371,0.5810635538261998,0.03670064522046268
banking77,0.75,42,mahalanobis_diag,near_oos_f1,0.1351351351351351,0.1307692307692307,-0.004365904365904394
banking77,0.75,42,mahalanobis_diag,id_recall,0.8573275862068965,0.8560344827586207,-0.001293103448275823
banking77,0.75,42,mahalanobis_diag,false_accept_rate,0.4631578947368421,0.4105263157894737,-0.05263157894736842
banking77,0.75,42,mahalanobis_diag,false_reject_rate,0.1426724137931034,0.1439655172413793,0.0012931034482759063
banking77,0.75,42,mahalanobis_diag,auroc,0.8108552631578948,0.8396920372050817,0.028836774047186875
banking77,0.75,42,mahalanobis_diag,aupr_oos,0.5346303974024511,0.5747940306544634,0.04016363325201233
banking77,0.75,87,mahalanobis_diag,oos_f1,0.504394861392833,0.5542483660130719,0.049853504620238964
banking77,0.75,87,mahalanobis_diag,near_oos_f1,0.0393700787401574,0.0238095238095238,-0.015560554930633602
banking77,0.75,87,mahalanobis_diag,id_recall,0.8508620689655173,0.8508620689655173,0.0
banking77,0.75,87,mahalanobis_diag,false_accept_rate,0.5092105263157894,0.4421052631578947,-0.06710526315789472
banking77,0.75,87,mahalanobis_diag,false_reject_rate,0.1491379310344827,0.1491379310344827,0.0
banking77,0.75,87,mahalanobis_diag,auroc,0.7905467332123411,0.8177194872958258,0.02717275408348463
banking77,0.75,87,mahalanobis_diag,aupr_oos,0.5242680420251343,0.5583959267250762,0.03412788469994188
clinc150,0.25,100,mahalanobis_diag,oos_f1,0.9521322889469104,0.9596548004314994,0.007522511484589045
clinc150,0.25,100,mahalanobis_diag,near_oos_f1,0.8166160081053698,0.8248248248248248,0.008208816719454948
clinc150,0.25,100,mahalanobis_diag,id_recall,0.775438596491228,0.7701754385964912,-0.0052631578947368585
clinc150,0.25,100,mahalanobis_diag,false_accept_rate,0.0403508771929824,0.0245614035087719,-0.015789473684210503
clinc150,0.25,100,mahalanobis_diag,false_reject_rate,0.2245614035087719,0.2298245614035087,0.005263157894736803
