dataset,kir,data_seed,representation,k_name,k_gate,threshold,validation_near_q20_similarity,validation_far_q80_similarity,group_type,group,oos_count,false_accept_count,false_accept_rate,representation_collision_count,representation_collision_rate,boundary_overcoverage_count,boundary_overcoverage_rate,correct_rejection_count,correct_rejection_rate,mean_nearest_known_similarity,mean_gate_score
clinc150,50,87,ce_recon,frozen_selected_k,1,1.0,0.4987189012863967,0.8417227715162399,similarity_bin,0,451,0,0.0,20,0.04434589800443459,0,0.0,451,1.0,0.38176874823949447,3.244563880213459
clinc150,50,87,ce_recon,frozen_selected_k,1,1.0,0.4987189012863967,0.8417227715162399,similarity_bin,1,367,0,0.0,12,0.0326975476839237,0,0.0,367,1.0,0.470502160180664,3.0598529622682324
clinc150,50,87,ce_recon,frozen_selected_k,1,1.0,0.4987189012863967,0.8417227715162399,similarity_bin,2,353,0,0.0,11,0.031161473087818695,0,0.0,353,1.0,0.5262097497529941,2.9288226677771947
clinc150,50,87,ce_recon,frozen_selected_k,1,1.0,0.4987189012863967,0.8417227715162399,similarity_bin,3,377,0,0.0,31,0.08222811671087533,0,0.0,377,1.0,0.5856179536889595,2.802840509040113
clinc150,50,87,ce_recon,frozen_selected_k,1,1.0,0.4987189012863967,0.8417227715162399,similarity_bin,4,307,0,0.0,40,0.13029315960912052,0,0.0,307,1.0,0.6400303991403127,2.6262281610017206
clinc150,50,87,ce_recon,frozen_selected_k,1,1.0,0.4987189012863967,0.8417227715162399,similarity_bin,5,313,0,0.0,87,0.2779552715654952,0,0.0,313,1.0,0.6929254467010949,2.411219284532997
clinc150,50,87,ce_recon,frozen_selected_k,1,1.0,0.4987189012863967,0.8417227715162399,similarity_bin,6,322,0,0.0,74,0.22981366459627328,0,0.0,322,1.0,0.749056043644673,2.216817045549273
clinc150,50,87,ce_recon,frozen_selected_k,1,1.0,0.4987189012863967,0.8417227715162399,similarity_bin,7,283,0,0.0,123,0.43462897526501765,0,0.0,283,1.0,0.8100270482465015,2.030024549257066
clinc150,50,87,ce_recon,frozen_selected_k,1,1.0,0.4987189012863967,0.8417227715162399,similarity_bin,8,245,0,0.0,128,0.5224489795918368,0,0.0,245,1.0,0.8729906685112904,1.7567846194961174
clinc150,50,87,ce_recon,frozen_selected_k,1,1.0,0.4987189012863967,0.8417227715162399,similarity_bin,9,232,69,0.2974137931034483,201,0.8663793103448276,0,0.0,163,0.7025862068965517,0.942187664845408,1.1785531580569584
banking77_oos,50,13,ce_recon,k1,1,1.0,0.48008298278977196,0.8132571872899987,similarity_bin,0,492,0,0.0,72,0.14634146341463414,0,0.0,492,1.0,0.30589084858481264,1.771217421853544
banking77_oos,50,13,ce_recon,k1,1,1.0,0.48008298278977196,0.8132571872899987,similarity_bin,1,445,0,0.0,102,0.2292134831460674,0,0.0,445,1.0,0.43405977480068475,1.6859754903085458
banking77_oos,50,13,ce_recon,k1,1,1.0,0.48008298278977196,0.8132571872899987,similarity_bin,2,341,0,0.0,98,0.2873900293255132,0,0.0,341,1.0,0.5098249962989305,1.609903861809066
banking77_oos,50,13,ce_recon,k1,1,1.0,0.48008298278977196,0.8132571872899987,similarity_bin,3,322,0,0.0,121,0.37577639751552794,0,0.0,322,1.0,0.5641772730891905,1.5451117752777295
banking77_oos,50,13,ce_recon,k1,1,1.0,0.48008298278977196,0.8132571872899987,similarity_bin,4,278,0,0.0,101,0.36330935251798563,0,0.0,278,1.0,0.6153124997650025,1.454760973890805
banking77_oos,50,13,ce_recon,k1,1,1.0,0.48008298278977196,0.8132571872899987,similarity_bin,5,278,0,0.0,122,0.43884892086330934,0,0.0,278,1.0,0.6650025909019313,1.3964563319848429
banking77_oos,50,13,ce_recon,k1,1,1.0,0.48008298278977196,0.8132571872899987,similarity_bin,6,227,8,0.03524229074889868,162,0.7136563876651982,0,0.0,219,0.9647577092511013,0.7182234499386123,1.2982520108473072
banking77_oos,50,13,ce_recon,k1,1,1.0,0.48008298278977196,0.8132571872899987,similarity_bin,7,232,35,0.15086206896551724,222,0.9568965517241379,0,0.0,197,0.8491379310344828,0.7784620147229242,1.1718782867222914
banking77_oos,50,13,ce_recon,k1,1,1.0,0.48008298278977196,0.8132571872899987,similarity_bin,8,219,137,0.6255707762557078,219,1.0,0,0.0,82,0.3744292237442922,0.8499643943428353,0.9647084940899433
banking77_oos,50,13,ce_recon,k1,1,1.0,0.48008298278977196,0.8132571872899987,similarity_bin,9,246,241,0.9796747967479674,246,1.0,0,0.0,5,0.02032520325203252,0.9513140162734139,0.6218377322958905
banking77_oos,50,13,ce_recon,k2,2,1.0,0.48008298278977196,0.8132571872899987,similarity_bin,0,492,0,0.0,72,0.14634146341463414,0,0.0,492,1.0,0.30589084858481264,1.7822891664734377
banking77_oos,50,13,ce_recon,k2,2,1.0,0.48008298278977196,0.8132571872899987,similarity_bin,1,445,2,0.0044943820224719105,102,0.2292134831460674,2,0.0044943820224719105,443,0.9955056179775281,0.43405977480068475,1.6968908739412916
banking77_oos,50,13,ce_recon,k2,2,1.0,0.48008298278977196,0.8132571872899987,similarity_bin,2,341,17,0.04985337243401759,98,0.2873900293255132,15,0.04398826979472141,324,0.9501466275659824,0.5098249962989305,1.5584034301577945
banking77_oos,50,13,ce_recon,k2,2,1.0,0.48008298278977196,0.8132571872899987,similarity_bin,3,322,21,0.06521739130434782,121,0.37577639751552794,13,0.040372670807453416,301,0.9347826086956522,0.5641772730891905,1.4763617498048374
banking77_oos,50,13,ce_recon,k2,2,1.0,0.48008298278977196,0.8132571872899987,similarity_bin,4,278,19,0.0683453237410072,101,0.36330935251798563,10,0.03597122302158273,259,0.9316546762589928,0.6153124997650025,1.4893624202070999
banking77_oos,50,13,ce_recon,k2,2,1.0,0.48008298278977196,0.8132571872899987,similarity_bin,5,278,22,0.07913669064748201,122,0.43884892086330934,16,0.05755395683453238,256,0.920863309352518,0.6650025909019313,1.4161179535910888
banking77_oos,50,13,ce_recon,k2,2,1.0,0.48008298278977196,0.8132571872899987,similarity_bin,6,227,26,0.1145374449339207,162,0.7136563876651982,10,0.04405286343612335,201,0.8854625550660793,0.7182234499386123,1.305301553012067
banking77_oos,50,13,ce_recon,k2,2,1.0,0.48008298278977196,0.8132571872899987,similarity_bin,7,232,34,0.14655172413793102,222,0.9568965517241379,1,0.004310344827586207,198,0.853448275862069,0.7784620147229242,1.2077415621274672
banking77_oos,50,13,ce_recon,k2,2,1.0,0.48008298278977196,0.8132571872899987,similarity_bin,8,219,79,0.3607305936073059,219,1.0,0,0.0,140,0.639269406392694,0.8499643943428353,1.0701026377551137
banking77_oos,50,13,ce_recon,k2,2,1.0,0.48008298278977196,0.8132571872899987,similarity_bin,9,246,227,0.9227642276422764,246,1.0,0,0.0,19,0.07723577235772358,0.9513140162734139,0.7272675529561139
banking77_oos,50,13,ce_recon,frozen_selected_k,4,1.0,0.48008298278977196,0.8132571872899987,similarity_bin,0,492,0,0.0,72,0.14634146341463414,0,0.0,492,1.0,0.30589084858481264,11865676.926001878
banking77_oos,50,13,ce_recon,frozen_selected_k,4,1.0,0.48008298278977196,0.8132571872899987,similarity_bin,1,445,2,0.0044943820224719105,102,0.2292134831460674,2,0.0044943820224719105,443,0.9955056179775281,0.43405977480068475,1.885962801782917
banking77_oos,50,13,ce_recon,frozen_selected_k,4,1.0,0.48008298278977196,0.8132571872899987,similarity_bin,2,341,13,0.03812316715542522,98,0.2873900293255132,12,0.03519061583577713,328,0.9618768328445748,0.5098249962989305,1.721557343817943
banking77_oos,50,13,ce_recon,frozen_selected_k,4,1.0,0.48008298278977196,0.8132571872899987,similarity_bin,3,322,13,0.040372670807453416,121,0.37577639751552794,8,0.024844720496894408,309,0.9596273291925466,0.5641772730891905,1.6316027106771902
banking77_oos,50,13,ce_recon,frozen_selected_k,4,1.0,0.48008298278977196,0.8132571872899987,similarity_bin,4,278,16,0.05755395683453238,101,0.36330935251798563,8,0.02877697841726619,262,0.9424460431654677,0.6153124997650025,1.580574900942156
banking77_oos,50,13,ce_recon,frozen_selected_k,4,1.0,0.48008298278977196,0.8132571872899987,similarity_bin,5,278,25,0.08992805755395683,122,0.43884892086330934,12,0.04316546762589928,253,0.9100719424460432,0.6650025909019313,1.4960428711152145
banking77_oos,50,13,ce_recon,frozen_selected_k,4,1.0,0.48008298278977196,0.8132571872899987,similarity_bin,6,227,39,0.17180616740088106,162,0.7136563876651982,11,0.048458149779735685,188,0.8281938325991189,0.7182234499386123,1.375566356777502
banking77_oos,50,13,ce_recon,frozen_selected_k,4,1.0,0.48008298278977196,0.8132571872899987,similarity_bin,7,232,57,0.24568965517241378,222,0.9568965517241379,2,0.008620689655172414,175,0.7543103448275862,0.7784620147229242,1.2542494295981328
banking77_oos,50,13,ce_recon,frozen_selected_k,4,1.0,0.48008298278977196,0.8132571872899987,similarity_bin,8,219,69,0.3150684931506849,219,1.0,0,0.0,150,0.684931506849315,0.8499643943428353,1.1096087216140391
banking77_oos,50,13,ce_recon,frozen_selected_k,4,1.0,0.48008298278977196,0.8132571872899987,similarity_bin,9,246,174,0.7073170731707317,246,1.0,0,0.0,72,0.2926829268292683,0.9513140162734139,0.8714018593352061
