dataset,kir,data_seed,representation,k_variant,k_gate,selected_k,oos_precision,oos_recall,oos_f1,id_recall,oos_rejection,auroc,aupr_oos,fpr95,near_oos_f1,medium_oos_f1,far_oos_f1,threshold,checkpoint_epoch,status
clinc150,50,13,supcon,k1,1,1,0.8446359088382435,0.935076923076923,0.8875584112149533,0.7515555555555555,0.935076923076923,0.943181811965812,0.9552990239602304,0.2906666666666667,0.4802182810368349,0.8640613761687844,0.7599828252468871,1.0,1.0,complete
clinc150,50,13,supcon,k2,2,1,0.8268871699119765,0.953846153846154,0.885840834404915,0.7115555555555556,0.953846153846154,0.9412705641025642,0.9514348483337308,0.2733333333333333,0.5126621371216801,0.8452688424512796,0.7317073170731707,1.0,1.0,complete
clinc150,50,13,supcon,frozen_selected_k,1,1,0.8446359088382435,0.935076923076923,0.8875584112149533,0.7515555555555555,0.935076923076923,0.943181811965812,0.9552990239602304,0.2906666666666667,0.4802182810368349,0.8640613761687844,0.7599828252468871,1.0,1.0,complete
clinc150,50,87,ce,k1,1,1,0.8378023133543638,0.9806153846153848,0.9036007938758152,0.7257777777777777,0.9806153846153848,0.9574926495726496,0.9634003175594936,0.1711111111111111,0.5478723404255319,0.8657820317598434,0.7178783721993599,1.0,5.0,complete
clinc150,50,87,ce,k2,2,1,0.8271733472149921,0.9778461538461538,0.8962210941906373,0.7048888888888889,0.9778461538461538,0.9475941196581196,0.947296545068167,0.1813333333333333,0.522697795071336,0.8570198105081827,0.702775290957923,1.0,5.0,complete
clinc150,50,87,ce,frozen_selected_k,1,1,0.8378023133543638,0.9806153846153848,0.9036007938758152,0.7257777777777777,0.9806153846153848,0.9574926495726496,0.9634003175594936,0.1711111111111111,0.5478723404255319,0.8657820317598434,0.7178783721993599,1.0,5.0,complete
clinc150,50,87,supcon,k1,1,1,0.8530048727666486,0.9695384615384616,0.9075460829493088,0.7586666666666667,0.9695384615384616,0.960936341880342,0.9691925215684382,0.1626666666666666,0.5560165975103735,0.8700646087580761,0.7742203742203743,1.0,5.0,complete
clinc150,50,87,supcon,k2,2,1,0.8446888412017167,0.9689230769230768,0.9025508741759816,0.7426666666666667,0.9689230769230768,0.953599452991453,0.9578617178644396,0.1786666666666666,0.5464333781965006,0.8610121168923734,0.7628021302744776,1.0,5.0,complete
clinc150,50,87,supcon,frozen_selected_k,1,1,0.8530048727666486,0.9695384615384616,0.9075460829493088,0.7586666666666667,0.9695384615384616,0.960936341880342,0.9691925215684382,0.1626666666666666,0.5560165975103735,0.8700646087580761,0.7742203742203743,1.0,5.0,complete
banking77_oos,50,42,ce,k1,1,5,0.9376675603217158,0.9084415584415584,0.9228232189973616,0.814,0.9084415584415584,0.9326905844155844,0.9723960024359994,0.275,0.5100529100529101,0.9425909227532312,0.9140480591497228,1.0,5.0,complete
banking77_oos,50,42,ce,k2,2,5,0.9293613985016054,0.8457792207792207,0.8856025837157913,0.802,0.8457792207792207,0.9039805194805196,0.9574486782982182,0.374,0.5206611570247934,0.8737678855325914,0.9039704524469068,1.0,5.0,complete
