dataset,kir,data_seed,k_gate,bucket,oos_count,representation_collision_rate,boundary_overcoverage_rate,false_accept_rate,false_accept_count,false_accept_representation_collision_rate,false_accept_boundary_overcoverage_rate,correct_rejection_rate,mean_nearest_cosine,validation_q20,validation_q80
clinc150,50,87,2,far,963,0.033229491173416406,0.0,0.0,0,,,1.0,0.2539887297120941,0.43513185641017976,0.6714788132837478
clinc150,50,87,2,all,3250,0.20584615384615385,0.0024615384615384616,0.03569230769230769,116,0.9310344827586207,0.06896551724137931,0.9643076923076923,0.41663439041426653,0.43513185641017976,0.6714788132837478
banking77_oos,50,13,1,near,492,0.983739837398374,0.012195121951219513,0.9349593495934959,460,0.9869565217391304,0.013043478260869565,0.06504065040650407,0.7514904761652418,0.308595145519937,0.6282520521884994
banking77_oos,50,13,1,medium,1452,0.7320936639118457,0.006198347107438017,0.24586776859504134,357,0.9747899159663865,0.025210084033613446,0.7541322314049587,0.5566850755389323,0.308595145519937,0.6282520521884994
banking77_oos,50,13,1,far,1136,0.02992957746478873,0.0,0.0,0,,,1.0,0.17343210653118998,0.308595145519937,0.6282520521884994
banking77_oos,50,13,1,all,3080,0.5133116883116883,0.00487012987012987,0.26525974025974025,817,0.981640146878825,0.01835985312117503,0.7347402597402597,0.446447700316643,0.308595145519937,0.6282520521884994
banking77_oos,50,13,2,near,492,0.983739837398374,0.006097560975609756,0.7642276422764228,376,0.9920212765957447,0.007978723404255319,0.23577235772357724,0.7514904761652418,0.308595145519937,0.6282520521884994
banking77_oos,50,13,2,medium,1452,0.7320936639118457,0.024793388429752067,0.23209366391184574,337,0.8931750741839762,0.10682492581602374,0.7679063360881543,0.5566850755389323,0.308595145519937,0.6282520521884994
banking77_oos,50,13,2,far,1136,0.02992957746478873,0.0008802816901408451,0.002640845070422535,3,0.6666666666666666,0.3333333333333333,0.9973591549295775,0.17343210653118998,0.308595145519937,0.6282520521884994
banking77_oos,50,13,2,all,3080,0.5133116883116883,0.012987012987012988,0.23246753246753246,716,0.9441340782122905,0.055865921787709494,0.7675324675324675,0.446447700316643,0.308595145519937,0.6282520521884994
banking77_oos,50,13,4,near,492,0.983739837398374,0.008130081300813009,0.8394308943089431,413,0.9903147699757869,0.009685230024213076,0.16056910569105692,0.7514904761652418,0.308595145519937,0.6282520521884994
banking77_oos,50,13,4,medium,1452,0.7320936639118457,0.0371900826446281,0.2568870523415978,373,0.8552278820375335,0.1447721179624665,0.7431129476584022,0.5566850755389323,0.308595145519937,0.6282520521884994
banking77_oos,50,13,4,far,1136,0.02992957746478873,0.007042253521126761,0.008802816901408451,10,0.2,0.8,0.9911971830985915,0.17343210653118998,0.308595145519937,0.6282520521884994
banking77_oos,50,13,4,all,3080,0.5133116883116883,0.02142857142857143,0.2584415584415584,796,0.9170854271356784,0.0829145728643216,0.7415584415584415,0.446447700316643,0.308595145519937,0.6282520521884994
banking77_oos,50,42,1,near,447,1.0,0.0,0.9105145413870246,407,1.0,0.0,0.0894854586129754,0.7466442225602754,0.31565642435359287,0.594621920726825
banking77_oos,50,42,1,medium,1479,0.7119675456389453,0.005409060175794456,0.16835699797160245,249,0.9678714859437751,0.0321285140562249,0.8316430020283976,0.5643205841997454,0.31565642435359287,0.594621920726825
banking77_oos,50,42,1,far,1154,0.07105719237435008,0.0,0.0,0,,,1.0,0.1975935758183543,0.31565642435359287,0.594621920726825
banking77_oos,50,42,1,all,3080,0.5136363636363637,0.0025974025974025974,0.21298701298701297,656,0.9878048780487805,0.012195121951219513,0.787012987012987,0.45337762922410635,0.31565642435359287,0.594621920726825
banking77_oos,50,42,2,near,447,1.0,0.0,0.7114093959731543,318,1.0,0.0,0.28859060402684567,0.7466442225602754,0.31565642435359287,0.594621920726825
banking77_oos,50,42,2,medium,1479,0.7119675456389453,0.05070993914807302,0.2542258282623394,376,0.800531914893617,0.19946808510638298,0.7457741717376606,0.5643205841997454,0.31565642435359287,0.594621920726825
banking77_oos,50,42,2,far,1154,0.07105719237435008,0.0025996533795493936,0.006932409012131715,8,0.625,0.375,0.9930675909878682,0.1975935758183543,0.31565642435359287,0.594621920726825
banking77_oos,50,42,2,all,3080,0.5136363636363637,0.025324675324675326,0.22792207792207791,702,0.8888888888888888,0.1111111111111111,0.772077922077922,0.45337762922410635,0.31565642435359287,0.594621920726825
banking77_oos,50,42,5,near,447,1.0,0.0,0.7046979865771812,315,1.0,0.0,0.2953020134228188,0.7466442225602754,0.31565642435359287,0.594621920726825
banking77_oos,50,42,5,medium,1479,0.7119675456389453,0.08654496281271129,0.25557809330628806,378,0.6613756613756614,0.3386243386243386,0.744421906693712,0.5643205841997454,0.31565642435359287,0.594621920726825
banking77_oos,50,42,5,far,1154,0.07105719237435008,0.009532062391681109,0.012998266897746967,15,0.26666666666666666,0.7333333333333333,0.987001733102253,0.1975935758183543,0.31565642435359287,0.594621920726825
banking77_oos,50,42,5,all,3080,0.5136363636363637,0.04512987012987013,0.22987012987012986,708,0.8036723163841808,0.1963276836158192,0.7701298701298701,0.45337762922410635,0.31565642435359287,0.594621920726825
banking77_oos,50,87,1,near,513,0.9415204678362573,0.02729044834307992,0.935672514619883,480,0.9708333333333333,0.029166666666666667,0.06432748538011696,0.7354273992858661,0.32632950021206164,0.6068480109779623
banking77_oos,50,87,1,medium,1397,0.6542591267000716,0.010021474588403722,0.16678596993557623,233,0.9399141630901288,0.060085836909871244,0.8332140300644237,0.557372228254818,0.32632950021206164,0.6068480109779623
banking77_oos,50,87,1,far,1170,0.04786324786324787,0.0,0.0,0,,,1.0,0.19113808660111156,0.32632950021206164,0.6068480109779623
banking77_oos,50,87,1,all,3080,0.47175324675324676,0.00909090909090909,0.2314935064935065,713,0.9607293127629734,0.03927068723702665,0.7685064935064935,0.4479074091003021,0.32632950021206164,0.6068480109779623
banking77_oos,50,87,2,near,513,0.9415204678362573,0.01364522417153996,0.6666666666666666,342,0.97953216374269,0.02046783625730994,0.3333333333333333,0.7354273992858661,0.32632950021206164,0.6068480109779623
banking77_oos,50,87,2,medium,1397,0.6542591267000716,0.04581245526127416,0.18324982104509663,256,0.75,0.25,0.8167501789549033,0.557372228254818,0.32632950021206164,0.6068480109779623
banking77_oos,50,87,2,far,1170,0.04786324786324787,0.0,0.0008547008547008547,1,1.0,0.0,0.9991452991452991,0.19113808660111156,0.32632950021206164,0.6068480109779623
banking77_oos,50,87,2,all,3080,0.47175324675324676,0.023051948051948053,0.19448051948051948,599,0.8814691151919867,0.11853088480801335,0.8055194805194805,0.4479074091003021,0.32632950021206164,0.6068480109779623
stackoverflow,50,13,1,near,620,0.885483870967742,0.06774193548387097,0.632258064516129,392,0.8928571428571429,0.10714285714285714,0.36774193548387096,0.30346738757140457,0.7580304235222521,0.8754142121529742
stackoverflow,50,13,1,medium,1792,0.5864955357142857,0.02734375,0.24274553571428573,435,0.8873563218390804,0.11264367816091954,0.7572544642857143,0.1790681093858939,0.7580304235222521,0.8754142121529742
stackoverflow,50,13,1,far,582,0.22852233676975944,0.0,0.003436426116838488,2,1.0,0.0,0.9965635738831615,0.09666116925937704,0.7580304235222521,0.8754142121529742
stackoverflow,50,13,1,all,2994,0.5788243152972612,0.030394121576486306,0.2768871075484302,829,0.8902291917973462,0.1097708082026538,0.7231128924515698,0.18880983060212095,0.7580304235222521,0.8754142121529742
stackoverflow,50,13,2,near,620,0.885483870967742,0.05161290322580645,0.6258064516129033,388,0.9175257731958762,0.08247422680412371,0.3741935483870968,0.30346738757140457,0.7580304235222521,0.8754142121529742
stackoverflow,50,13,2,medium,1792,0.5864955357142857,0.10044642857142858,0.3197544642857143,573,0.6858638743455497,0.31413612565445026,0.6802455357142857,0.1790681093858939,0.7580304235222521,0.8754142121529742
stackoverflow,50,13,2,far,582,0.22852233676975944,0.09450171821305842,0.13402061855670103,78,0.2948717948717949,0.7051282051282052,0.865979381443299,0.09666116925937704,0.7580304235222521,0.8754142121529742
stackoverflow,50,13,2,all,2994,0.5788243152972612,0.08917835671342686,0.3470273881095524,1039,0.7430221366698749,0.2569778633301251,0.6529726118904475,0.18880983060212095,0.7580304235222521,0.8754142121529742
stackoverflow,50,42,1,near,615,0.7821138211382114,0.014634146341463415,0.5349593495934959,329,0.9726443768996961,0.02735562310030395,0.46504065040650405,0.28820429616707854,0.7731206060452469,0.8962383258859457
stackoverflow,50,42,1,medium,1727,0.48928778228141284,0.0023161551823972205,0.06311522872032427,109,0.963302752293578,0.03669724770642202,0.9368847712796757,0.15965646038152442,0.7731206060452469,0.8962383258859457
stackoverflow,50,42,1,far,655,0.0717557251908397,0.0,0.0,0,,,1.0,0.07552284059144265,0.7731206060452469,0.8962383258859457
stackoverflow,50,42,1,all,2997,0.4581247914581248,0.004337671004337671,0.14614614614614616,438,0.9703196347031964,0.02968036529680365,0.8538538538538538,0.16764758418720085,0.7731206060452469,0.8962383258859457
stackoverflow,50,42,2,near,615,0.7821138211382114,0.04715447154471545,0.5788617886178862,356,0.9185393258426966,0.08146067415730338,0.4211382113821138,0.28820429616707854,0.7731206060452469,0.8962383258859457
stackoverflow,50,42,2,medium,1727,0.48928778228141284,0.0677475390851187,0.2130862767805443,368,0.6820652173913043,0.3179347826086957,0.7869137232194557,0.15965646038152442,0.7731206060452469,0.8962383258859457
stackoverflow,50,42,2,far,655,0.0717557251908397,0.03358778625954199,0.035114503816793895,23,0.043478260869565216,0.9565217391304348,0.9648854961832061,0.07552284059144265,0.7731206060452469,0.8962383258859457
stackoverflow,50,42,2,all,2997,0.4581247914581248,0.056056056056056056,0.24924924924924924,747,0.7751004016064257,0.2248995983935743,0.7507507507507507,0.16764758418720085,0.7731206060452469,0.8962383258859457
stackoverflow,50,87,1,near,603,0.9966832504145937,0.0,0.48258706467661694,291,1.0,0.0,0.5174129353233831,0.36731830563228496,0.7035810831602337,0.8735266539437808
stackoverflow,50,87,1,medium,1835,0.7465940054495913,0.02779291553133515,0.2997275204359673,550,0.9072727272727272,0.09272727272727273,0.7002724795640327,0.20259581211004324,0.7035810831602337,0.8735266539437808
stackoverflow,50,87,1,far,558,0.3225806451612903,0.0,0.010752688172043012,6,1.0,0.0,0.989247311827957,0.09552222060719075,0.7035810831602337,0.8735266539437808
stackoverflow,50,87,1,all,2996,0.7179572763684913,0.017022696929238985,0.2827102803738318,847,0.9397874852420307,0.0602125147579693,0.7172897196261683,0.21580696015253992,0.7035810831602337,0.8735266539437808
stackoverflow,50,87,2,near,603,0.9966832504145937,0.0,0.9071310116086235,547,1.0,0.0,0.09286898839137644,0.36731830563228496,0.7035810831602337,0.8735266539437808
stackoverflow,50,87,2,medium,1835,0.7465940054495913,0.05722070844686648,0.41198910081743867,756,0.8611111111111112,0.1388888888888889,0.5880108991825613,0.20259581211004324,0.7035810831602337,0.8735266539437808
stackoverflow,50,87,2,far,558,0.3225806451612903,0.05913978494623656,0.1111111111111111,62,0.46774193548387094,0.532258064516129,0.8888888888888888,0.09552222060719075,0.7035810831602337,0.8735266539437808
stackoverflow,50,87,2,all,2996,0.7179572763684913,0.04606141522029372,0.45560747663551404,1365,0.8989010989010989,0.1010989010989011,0.544392523364486,0.21580696015253992,0.7035810831602337,0.8735266539437808
