dataset,kir,data_seed,representation,k_name,k_gate,threshold,validation_near_q20_similarity,validation_far_q80_similarity,group_type,group,oos_count,false_accept_count,false_accept_rate,representation_collision_count,representation_collision_rate,boundary_overcoverage_count,boundary_overcoverage_rate,correct_rejection_count,correct_rejection_rate,mean_nearest_known_similarity,mean_gate_score
clinc150,50,87,ce_recon,frozen_selected_k,1,1.0,0.4987189012863967,0.8417227715162399,bucket,all,3250,69,0.02123076923076923,727,0.2236923076923077,0,0.0,3181,0.9787692307692307,0.636203371857269,2.5322836624002827
clinc150,50,87,ce_recon,frozen_selected_k,1,1.0,0.4987189012863967,0.8417227715162399,bucket,near,477,69,0.14465408805031446,329,0.689727463312369,0,0.0,408,0.8553459119496856,0.9066462306696034,1.4755483531357716
clinc150,50,87,ce_recon,frozen_selected_k,1,1.0,0.4987189012863967,0.8417227715162399,bucket,medium,1955,0,0.0,366,0.18721227621483377,0,0.0,1955,1.0,0.6600197996237381,2.5267626553587954
clinc150,50,87,ce_recon,frozen_selected_k,1,1.0,0.4987189012863967,0.8417227715162399,bucket,far,818,0,0.0,32,0.039119804400977995,0,0.0,818,1.0,0.4215794599539311,3.1616923559030696
banking77_oos,50,13,ce_recon,k1,1,1.0,0.48008298278977196,0.8132571872899987,bucket,all,3080,421,0.1366883116883117,1465,0.47564935064935066,0,0.0,2659,0.8633116883116884,0.590553006196175,1.425864251825128
banking77_oos,50,13,ce_recon,k1,1,1.0,0.48008298278977196,0.8132571872899987,bucket,near,465,378,0.8129032258064516,465,1.0,0,0.0,87,0.1870967741935484,0.9035816136867543,0.7833188007537347
banking77_oos,50,13,ce_recon,k1,1,1.0,0.48008298278977196,0.8132571872899987,bucket,medium,1678,43,0.02562574493444577,826,0.4922526817640048,0,0.0,1635,0.9743742550655542,0.6287740830928757,1.433683306633886
banking77_oos,50,13,ce_recon,k1,1,1.0,0.48008298278977196,0.8132571872899987,bucket,far,937,0,0.0,174,0.18569903948772679,0,0.0,937,1.0,0.3667608295517957,1.7307343273631233
banking77_oos,50,13,ce_recon,k2,2,1.0,0.48008298278977196,0.8132571872899987,bucket,all,3080,447,0.14512987012987014,1465,0.47564935064935066,67,0.021753246753246754,2633,0.8548701298701299,0.590553006196175,1.4403539274313484
banking77_oos,50,13,ce_recon,k2,2,1.0,0.48008298278977196,0.8132571872899987,bucket,near,465,306,0.6580645161290323,465,1.0,0,0.0,159,0.3419354838709677,0.9035816136867543,0.8887318187001588
banking77_oos,50,13,ce_recon,k2,2,1.0,0.48008298278977196,0.8132571872899987,bucket,medium,1678,139,0.08283671036948749,826,0.4922526817640048,65,0.03873659117997616,1539,0.9171632896305125,0.6287740830928757,1.4249267532682797
banking77_oos,50,13,ce_recon,k2,2,1.0,0.48008298278977196,0.8132571872899987,bucket,far,937,2,0.0021344717182497333,174,0.18569903948772679,2,0.0021344717182497333,935,0.9978655282817502,0.3667608295517957,1.7417318130296757
banking77_oos,50,13,ce_recon,frozen_selected_k,4,1.0,0.48008298278977196,0.8132571872899987,bucket,all,3080,408,0.13246753246753246,1465,0.47564935064935066,55,0.017857142857142856,2672,0.8675324675324675,0.590553006196175,1895427.5698642328
banking77_oos,50,13,ce_recon,frozen_selected_k,4,1.0,0.48008298278977196,0.8132571872899987,bucket,near,465,243,0.5225806451612903,465,1.0,0,0.0,222,0.4774193548387097,0.9035816136867543,0.9835896073762052
banking77_oos,50,13,ce_recon,frozen_selected_k,4,1.0,0.48008298278977196,0.8132571872899987,bucket,medium,1678,163,0.09713945172824791,826,0.4922526817640048,53,0.03158522050059595,1515,0.9028605482717521,0.6287740830928757,1.5321610836514794
banking77_oos,50,13,ce_recon,frozen_selected_k,4,1.0,0.48008298278977196,0.8132571872899987,bucket,far,937,2,0.0021344717182497333,174,0.18569903948772679,2,0.0021344717182497333,935,0.9978655282817502,0.3667608295517957,6230431.042525476
banking77_oos,50,42,ce_recon,k1,1,1.0,0.4896881614501042,0.775829188995804,bucket,all,3080,347,0.11266233766233766,1490,0.4837662337662338,10,0.003246753246753247,2733,0.8873376623376623,0.5777070525922942,1.478945114525002
banking77_oos,50,42,ce_recon,k1,1,1.0,0.4896881614501042,0.775829188995804,bucket,near,516,337,0.6531007751937985,492,0.9534883720930233,10,0.01937984496124031,179,0.34689922480620156,0.8750773497538178,0.9043987574486807
banking77_oos,50,42,ce_recon,k1,1,1.0,0.4896881614501042,0.775829188995804,bucket,medium,1505,10,0.006644518272425249,836,0.5554817275747508,0,0.0,1495,0.9933554817275747,0.6247290329149413,1.456041106996662
banking77_oos,50,42,ce_recon,k1,1,1.0,0.4896881614501042,0.775829188995804,bucket,far,1059,0,0.0,162,0.1529745042492918,0,0.0,1059,1.0,0.3659873606933988,1.7914441245170072
