dataset,representation,k_name,group,mean_false_accept_rate,mean_representation_collision_rate,mean_boundary_overcoverage_rate,unit_count
clinc150,ce,1,near,0.2075079568545993,0.7150040354214583,0.0064102564102564005,3
clinc150,ce,2,all,0.0294358974358974,0.23856410256410254,0.003794871794871766,3
clinc150,ce,2,far,0.0,0.058319604568615534,0.0,3
clinc150,ce,2,medium,0.0018939393939393665,0.1867623139153697,0.0017045454545454334,3
clinc150,ce,2,near,0.17456734500291662,0.7150040354214583,0.0179830695620169,3
clinc150,ce,frozen_selected_k,all,0.03384615384615377,0.23856410256410254,0.0011282051282051,3
clinc150,ce,frozen_selected_k,far,0.0,0.058319604568615534,0.0,3
clinc150,ce,frozen_selected_k,medium,0.0,0.1867623139153697,0.0,3
clinc150,ce,frozen_selected_k,near,0.2075079568545993,0.7150040354214583,0.0064102564102564005,3
clinc150,frozen,1,all,0.07056410256410253,0.2445128205128205,0.003076923076923033,3
clinc150,frozen,1,far,0.0,0.04046645160956083,0.0,3
clinc150,frozen,1,medium,0.023159762313115766,0.22083077698733802,0.0018309930105536668,3
clinc150,frozen,1,near,0.36108137365040704,0.6819643087535127,0.012683381007675035,3
clinc150,frozen,2,all,0.0497435897435897,0.2445128205128205,0.004923076923076867,3
clinc150,frozen,2,far,0.0,0.04046645160956083,0.0,3
clinc150,frozen,2,medium,0.014942780621996466,0.22083077698733802,0.004678784470659,3
clinc150,frozen,2,near,0.25911028349712534,0.6819643087535127,0.013995762805202266,3
clinc150,frozen,frozen_selected_k,all,0.07056410256410253,0.2445128205128205,0.003076923076923033,3
clinc150,frozen,frozen_selected_k,far,0.0,0.04046645160956083,0.0,3
clinc150,frozen,frozen_selected_k,medium,0.023159762313115766,0.22083077698733802,0.0018309930105536668,3
clinc150,frozen,frozen_selected_k,near,0.36108137365040704,0.6819643087535127,0.012683381007675035,3
clinc150,frozen,tuned_selected_k,all,0.11876923076923075,0.2445128205128205,0.014974358974358934,3
clinc150,frozen,tuned_selected_k,far,0.0,0.04046645160956083,0.0,3
clinc150,frozen,tuned_selected_k,medium,0.07583170185751403,0.22083077698733802,0.01566805213484197,3
clinc150,frozen,tuned_selected_k,near,0.4774910236924171,0.6819643087535127,0.03868654828325163,3
clinc150,supcon,1,all,0.044410256410256366,0.19169230769230763,0.0009230769230769001,3
clinc150,supcon,1,far,0.0,0.015411872452275701,0.0,3
clinc150,supcon,1,medium,0.0014732965009208,0.12824815698327904,0.0,3
clinc150,supcon,1,near,0.26663633924112956,0.7087217456977936,0.0054701407994821,3
clinc150,supcon,2,all,0.03620512820512813,0.19169230769230763,0.003076923076923033,3
clinc150,supcon,2,far,0.0,0.015411872452275701,0.0,3
clinc150,supcon,2,medium,0.0036358135800637664,0.12824815698327904,0.0020209203240766,3
clinc150,supcon,2,near,0.21011151639894146,0.7087217456977936,0.012463292403412133,3
clinc150,supcon,frozen_selected_k,all,0.044410256410256366,0.19169230769230763,0.0009230769230769001,3
clinc150,supcon,frozen_selected_k,far,0.0,0.015411872452275701,0.0,3
clinc150,supcon,frozen_selected_k,medium,0.0014732965009208,0.12824815698327904,0.0,3
clinc150,supcon,frozen_selected_k,near,0.26663633924112956,0.7087217456977936,0.0054701407994821,3
clinc150,unsupervised_simcse,1,all,0.043076923076923,0.3187692307692307,0.0,1
clinc150,unsupervised_simcse,1,far,0.0,0.0795031055900621,0.0,1
clinc150,unsupervised_simcse,1,medium,0.0031813361611876,0.2645811240721102,0.0,1
clinc150,unsupervised_simcse,1,near,0.2397137745974955,0.8461538461538461,0.0,1
clinc150,unsupervised_simcse,2,all,0.027076923076923,0.3187692307692307,0.0015384615384615,1
clinc150,unsupervised_simcse,2,far,0.0,0.0795031055900621,0.0,1
clinc150,unsupervised_simcse,2,medium,0.0042417815482502,0.2645811240721102,0.0015906680805938,1
clinc150,unsupervised_simcse,2,near,0.1431127012522361,0.8461538461538461,0.0035778175313059,1
clinc150,unsupervised_simcse,frozen_selected_k,all,0.043076923076923,0.3187692307692307,0.0,1
clinc150,unsupervised_simcse,frozen_selected_k,far,0.0,0.0795031055900621,0.0,1
clinc150,unsupervised_simcse,frozen_selected_k,medium,0.0031813361611876,0.2645811240721102,0.0,1
clinc150,unsupervised_simcse,frozen_selected_k,near,0.2397137745974955,0.8461538461538461,0.0,1
stackoverflow,ce,1,all,0.07143281066204793,0.6865368084837137,0.0,3
stackoverflow,ce,1,far,0.0,0.23997915748137225,0.0,3
stackoverflow,ce,1,medium,0.0,0.7446617088479842,0.0,3
stackoverflow,ce,1,near,0.3713047974610353,0.9924242424242423,0.0,3
stackoverflow,ce,2,all,0.3145392701441455,0.6865368084837137,0.019357512088560867,3
stackoverflow,ce,2,far,0.053763440860215034,0.23997915748137225,0.029569892473118267,3
stackoverflow,ce,2,medium,0.31465305744927324,0.7446617088479842,0.02005571030640667,3
stackoverflow,ce,2,near,0.6001307533565597,0.9924242424242423,0.0064102564102564005,3
stackoverflow,ce,frozen_selected_k,all,0.09648291086244871,0.6865368084837137,0.0,3
stackoverflow,ce,frozen_selected_k,far,0.0,0.23997915748137225,0.0,3
stackoverflow,ce,frozen_selected_k,medium,0.008989176297926968,0.7446617088479842,0.0,3
stackoverflow,ce,frozen_selected_k,near,0.47644219292101136,0.9924242424242423,0.0,3
stackoverflow,frozen,1,all,0.23524784468946935,0.5849687943746257,0.017251496503354266,3
stackoverflow,frozen,1,far,0.004729704762960466,0.2076195690406298,0.0,3
stackoverflow,frozen,1,medium,0.2018627616235257,0.6074591078150966,0.019150940237910766,3
stackoverflow,frozen,1,near,0.5499348262620806,0.8880936475068489,0.027458693941778103,3
stackoverflow,frozen,2,all,0.3506280379981052,0.5849687943746257,0.06376527599659217,3
stackoverflow,frozen,2,far,0.09341541116153529,0.2076195690406298,0.06240976313961227,3
stackoverflow,frozen,2,medium,0.31494328062789906,0.6074591078150966,0.07513822536780453,3
stackoverflow,frozen,2,near,0.7039330839464709,0.8880936475068489,0.0329224582568406,3
